G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0877714	0.9609025	0.9944066	1.0321849	0.4991444	0.5033096	0.9688474	0.2597262	1.1029271
0.0647834	0.0000000	1.0718468	1.0565852	0.9975533	0.4761211	0.5502318	0.9969248	0.2892644	1.0612232
0.0822875	0.0783001	0.0000000	1.0230989	1.0451099	0.7003432	0.2833181	1.0177845	0.2579484	1.0467636
0.1108328	0.9785950	0.0495708	0.0000000	0.5944026	0.6939542	0.2224592	0.9477899	0.2877911	1.0238182
1.0172728	0.1090065	0.9761767	1.0723665	0.0000000	0.4884648	0.5249883	0.8926930	0.3050211	1.0931386
0.1771424	0.0895684	1.0822538	0.9464223	0.4162419	0.0000000	0.4919816	0.9951062	0.2613881	1.0446778
0.0609867	0.0948448	1.0516208	0.9441340	1.0301727	1.0603842	0.0000000	0.6493700	0.2360332	1.0643088
0.0699088	0.0947906	0.9596194	0.9055267	1.0049068	0.3142424	1.0598266	0.0000000	0.2537482	0.9769980
0.0550908	0.0951124	1.0292218	1.0547051	1.0065034	0.4014281	0.6172407	0.8411751	0.0000000	0.9584243
0.0441943	0.0987412	1.0507766	1.0407682	1.0146812	0.4941989	0.5147864	1.0386021	1.0905370	0.0000000
