"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0277985	0.0745909	0.8984020	0.6998788	0.7856346	0.3677592	0.3469062	0.7663988	0.1876490	0.7337880
50	0.0432488	0.0714536	0.8173013	0.7962506	0.6535110	0.4383565	0.2841647	0.8062393	0.1980548	0.2991326
100	0.0275417	0.0619273	0.7645679	0.5890033	0.9058823	0.3389777	0.3671263	0.7047947	0.2124261	0.2008576
150	0.0317940	0.0546993	0.6717206	0.7046167	0.6862621	0.2185733	0.2816737	0.7833065	0.2235639	0.1374861
200	0.0367775	0.0493643	0.6892572	0.8047336	0.8094556	0.2868508	0.4145892	0.6776602	0.2449343	0.0888293
250	0.0184520	0.1036870	0.8034906	0.6198524	0.7567084	0.3114314	0.4209765	0.6561384	0.3164562	0.1677600
300	0.0586198	0.0558296	0.8169876	0.7221856	0.7373582	0.2335768	0.3278081	0.6631477	0.3427856	0.1227091
350	0.0323408	0.0534873	0.7036968	0.8144065	0.6593377	0.3012718	0.4922452	0.6459138	0.2942653	0.1607768
400	0.0666157	0.0243613	0.6913839	0.7834963	0.6600064	0.2813034	0.3304476	0.7324270	0.4267133	0.1002544
450	0.0425685	0.0441938	0.7579934	0.6877405	0.8349817	0.3460720	0.3973532	0.6884632	0.4568669	0.1749882
500	0.0496276	0.0923658	0.7836679	0.7959741	0.8604738	0.2750652	0.4294955	0.6793150	0.4229760	0.1231576
550	0.0314349	0.0586706	0.6898500	0.7581744	0.6434970	0.4050221	0.4782256	0.8084701	0.4343195	0.6386865
600	0.0505474	0.0541571	0.5616902	0.6817789	0.8348910	0.3770461	0.3387764	0.8889860	0.2517312	0.7144979
650	0.0982586	0.0796275	0.7018821	0.8216278	0.7676224	0.2938813	0.3751169	0.7435741	0.1429488	0.6409798
700	0.0253869	0.0716606	0.6695636	0.7939470	0.6498693	0.2794738	0.4651462	0.6820070	0.1820948	0.6983864
750	0.0267194	0.0989867	0.6655919	0.7080570	0.7752433	0.3206220	0.3574889	0.6712744	0.1732765	0.7199885
800	0.0307699	0.0709244	0.6135729	0.6777411	0.6733382	0.3766768	0.4438506	0.7737788	0.1588469	0.6005390
850	0.0318454	0.0676326	0.8916952	0.6515457	0.7404897	0.2959430	0.4596220	0.7721947	0.2505139	0.6546450
900	0.0386863	0.0924778	0.6981094	0.7194223	0.8554427	0.2713225	0.4309245	0.7105097	0.1710430	0.7433959
950	0.0615926	0.0609357	0.7535305	0.6766898	0.6902972	0.2763449	0.3041117	0.6846880	0.1820067	0.7373955
1000	0.0389905	0.0935913	0.8283300	0.7304703	0.6802812	0.2934274	0.3886332	0.6374925	0.2223403	0.6328053

0	0.0454863	0.0735941	0.7641331	0.6809468	0.6916823	0.3451905	0.4238324	0.8144920	0.2365535	0.7250358
50	0.0381870	0.0872731	0.8086954	0.7493383	0.6530974	0.3152289	0.5160259	0.8037907	0.1687404	0.7176772
100	0.0481060	0.0754193	0.6738728	0.7312867	0.7469746	0.2167424	0.5380023	0.7207815	0.1587988	0.8151306
150	0.0365874	0.0441726	0.6790437	0.6821676	0.8517243	0.2287741	0.4744949	0.6039580	0.1601558	0.7263758
200	0.0553116	0.0921004	0.6705723	0.7540120	0.8622603	0.2158619	0.5459269	0.7008626	0.2035085	0.6430896
250	0.0303809	0.0722247	0.6218983	0.7072571	0.8012382	0.3056515	0.5800611	0.7534806	0.1918837	0.6931172
300	0.0491420	0.0620781	0.8510547	0.7833718	0.6874340	0.2542850	0.5245789	0.7803099	0.2186850	0.7552431
350	0.0660637	0.0609205	0.6888433	0.7308817	0.7839693	0.3622418	0.6165375	0.7310185	0.1960627	0.7217227
400	0.0468079	0.0444600	0.7467002	0.8537988	0.7394905	0.2646332	0.5201092	0.6925575	0.1790440	0.7086190
450	0.0453244	0.1612316	0.7407824	0.8827603	0.7731167	0.2924937	0.5040123	0.8883081	0.2017874	0.7542062
500	0.0112134	0.0438528	0.7835080	0.6763855	0.8609681	0.3083032	0.4400464	0.7112927	0.1802840	0.6928759
550	0.0513827	0.0670719	0.8172961	0.6366551	0.6994224	0.2053309	0.3868564	0.6604924	0.2263546	0.7103734
600	0.0647148	0.0964274	0.7450826	0.8071353	0.7674706	0.3251911	0.3742205	0.7252360	0.1642787	0.7601548
650	0.0320410	0.1425659	0.6707992	0.7424359	0.7361299	0.3701721	0.4418041	0.7183490	0.3012176	0.6653798
700	0.0720642	0.0425590	0.7216843	0.5880383	0.7271539	0.3168910	0.4399788	0.6783798	0.1982031	0.6499439
750	0.0555004	0.0411384	0.7541975	0.7995272	0.7154468	0.2764808	0.3634277	0.7056228	0.1963126	0.7540597
800	0.0268207	0.1246772	0.6720385	0.7869379	0.6891570	0.2959319	0.4854832	0.9210154	0.3058339	0.7539053
850	0.0244049	0.0750753	0.7599875	0.6831007	0.8795620	0.3371543	0.3923563	0.6030144	0.2073606	0.6757208
900	0.0261064	0.0595866	0.6497516	0.7541842	0.7713323	0.3371725	0.3129101	0.8635782	0.1566108	0.6942060
950	0.0115907	0.0503188	0.7121574	0.7244837	0.7915347	0.2397694	0.3526172	0.6828296	0.1854571	0.7950937
1000	0.0318127	0.1065501	0.6981967	0.7465345	0.7802034	0.3506150	0.4646191	0.7083764	0.1699394	0.7647890

0	0.0398852	0.0701935	0.8195320	0.7899574	0.7963571	0.3330414	0.3752027	0.7241156	0.1645541	0.7559783
50	0.0179352	0.0843642	0.7903113	0.6689230	0.7144829	0.2620750	0.4888574	1.0000000	0.2104889	0.6420878
100	0.0054391	0.0597272	0.8840836	0.8561381	0.7532785	0.2142409	0.3739358	0.6904153	0.1758068	0.7517125
150	0.0127627	0.0741350	0.6784213	0.7044846	0.7962609	0.2004929	0.3992309	0.6871738	0.2194632	0.7520518
200	0.0040976	0.0602418	0.8088991	0.6454664	0.7191306	0.2954375	0.3417912	0.6751807	0.1743670	0.7608246
250	0.0060198	0.0963083	0.8134572	0.7813761	0.7900315	0.2494128	0.3410114	0.7730120	0.1809353	0.8116546
300	0.0045139	0.0752424	0.7765261	0.8334754	0.6349818	0.2460912	0.3946134	0.7587471	0.1714557	0.7186103
350	0.0060978	0.0883315	0.6786707	0.6768580	0.7002386	0.2142122	0.3227287	0.7853034	0.2052053	0.7551841
400	0.0087253	0.0434640	0.7315103	0.6457775	0.8683438	0.2190213	0.3800888	0.7476230	0.1900768	0.6569922
450	0.0155607	0.0870460	0.7721355	0.6453629	0.8225504	0.1913354	0.4698330	0.8372145	0.2325109	0.6408504
500	0.0064755	0.1169664	0.7719496	0.6305263	0.7121507	0.2735051	0.3061438	0.7240731	0.1636110	0.7441594
550	0.0159846	0.1042934	0.6983632	0.7481052	0.7720440	0.3470340	0.3677273	0.7079324	0.2148800	0.8183539
600	0.0292132	0.0635792	0.8390952	0.7645163	0.8477299	0.3392044	0.4251052	0.7608185	0.2602251	0.8141930
650	0.0365677	0.0950439	0.7344620	0.7615122	0.6176449	0.3050799	0.4286555	0.7117211	0.1906965	0.6348828
700	0.0455510	0.1036120	0.8391509	0.7800189	0.8130178	0.4127025	0.4112836	0.8066957	0.2440539	0.7946619
750	0.0471400	0.1255636	0.8328462	0.7682975	0.8010143	0.3481356	0.4392321	0.8138036	0.2067369	0.7143082
800	0.0297725	0.0565329	0.8252972	0.7681574	0.7311340	0.3628006	0.3599268	0.8646344	0.2315055	0.6301558
850	0.0288844	0.0578584	0.7872542	0.8594634	0.7882617	0.3826848	0.4803585	0.6800783	0.1949449	0.6216090
900	0.0375995	0.0543304	0.7560418	0.7155767	0.6637457	0.3638181	0.4841548	0.6408567	0.2205755	0.8794618
950	0.0237509	0.0788968	0.7668646	0.7280805	0.6293343	0.3139623	0.4899153	0.7320799	0.1736575	0.8456597
1000	0.0244346	0.0684899	0.7471019	0.7734108	0.7301731	0.3558211	0.3654834	0.7722914	0.2313898	0.7862438

0	0.0406162	0.0859070	0.7631131	0.7636709	0.6978716	0.3609028	0.3547251	0.7267183	0.2555466	0.7790046
50	0.0552946	0.0372143	0.7449798	0.6584620	0.5427599	0.3236727	0.3147832	0.7376503	0.2133076	0.7799960
100	0.0624572	0.0522186	0.8221384	0.8737267	0.6305701	0.3357678	0.3154706	0.6765881	0.2007093	0.6584907
150	0.0620401	0.0646153	0.7683711	0.8112735	0.5173920	0.3200274	0.2780448	0.7378463	0.2045056	0.7901317
200	0.0612727	0.0448317	0.6995587	0.5627078	0.6333289	0.3700458	0.3367621	0.7920465	0.2044515	0.7805553
250	0.0677213	0.1138375	0.7125084	0.6023459	0.4666983	0.3312543	0.2459938	0.7233020	0.2767014	0.7739112
300	0.0314592	0.0916403	0.8418457	0.5859691	0.4342026	0.3464378	0.2671992	0.5951493	0.1281758	0.8439415
350	0.0601201	0.0594682	0.7361105	0.7273980	0.5531988	0.3797730	0.3209380	0.8675320	0.1752848	0.6029242
400	0.1095289	0.0715226	0.7556244	0.7776279	0.4099065	0.3750623	0.2609629	0.8326439	0.2263154	0.7292154
450	0.0874170	0.1216156	0.8049220	0.7195913	0.4730762	0.3746660	0.1994451	0.7587924	0.1896662	0.8037366
500	0.0413396	0.0955118	0.7396364	0.6804496	0.5674287	0.3812739	0.2555294	0.7128743	0.1773109	0.6575347
550	0.0396226	0.0787902	0.7876873	0.8939097	0.6531666	0.3512977	0.3363913	0.8942360	0.1666754	0.7755357
600	0.0838987	0.0488588	0.6977788	0.7476626	0.7362597	0.3923046	0.3690464	0.7675991	0.2658748	0.7114361
650	0.0570309	0.0729643	0.6479709	0.5681963	0.8034322	0.5084114	0.3773677	0.6322429	0.2174473	0.8711884
700	0.0393213	0.0489702	0.7871585	0.6053098	0.8052606	0.3953530	0.3081583	0.7125904	0.2208950	0.7905723
750	0.0497114	0.0556409	0.7681972	0.7854787	0.7367073	0.3810275	0.3549473	0.7450969	0.1616366	0.6456443
