G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.5360575	0.2205519	0.4246538	0.5935570	0.9967925	0.0812718	0.0161533	0.8269157	0.1034290	1.0457734
0.9651295	0.1295344	0.4570787	0.6457399	0.9863992	0.0928494	0.0075555	0.6066027	0.0899243	1.0114389
1.0743932	0.1179165	0.2423564	0.6431752	1.0039897	0.1063607	0.0118285	0.6773888	0.0858782	0.9707906
0.9737388	0.1220957	0.2522294	0.3006410	1.0419834	0.0829772	0.0057079	0.8162001	0.1104072	1.0285147
0.9842488	0.2317019	0.4073941	0.6219384	0.5147649	0.0918350	0.0063563	0.7417446	0.0807831	1.0400341
0.9409582	0.2680387	0.5030941	0.6323725	1.0345479	0.0370492	0.0084538	0.8165744	0.0936438	1.0290756
1.0013509	0.2136575	0.4671171	0.5571499	1.1041348	0.0721953	0.0063063	0.8867682	0.0693405	1.0147659
0.9435306	0.2408013	0.4407741	0.6082121	1.0659548	0.0748208	0.0166305	0.3766820	0.0976726	0.9658604
0.9327117	0.2780779	0.4811101	0.6270843	1.0254998	0.0905971	0.0067965	0.9807014	0.0656570	1.0461440
0.9572276	0.2865092	0.4824059	0.6549071	0.9948565	0.1172623	0.0069253	0.0880388	0.3425847	0.4856261
