G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.6805829	0.0336992	0.7764755	0.3215202	0.7629335	0.6941406	0.3946461	0.3819154	0.0140141	0.4879679
0.3866141	0.0603829	0.6111167	0.3271703	0.8407183	0.7426793	0.1021367	0.8442465	0.0000592	0.3146584
0.3654426	0.0675451	0.4477903	0.3244649	0.8281332	0.4659925	0.2617776	0.7620841	0.0032938	0.2057977
0.5519485	0.0373120	0.3891417	0.2782388	0.7064553	0.6653235	0.2406867	0.8251089	0.0114611	0.1778997
0.2742910	0.0605846	0.5138961	0.3583387	0.7666714	0.7615368	0.0024158	0.6777564	0.0015114	0.3796478
0.5455424	0.0154288	0.7470678	0.2408931	0.6354844	0.4421581	0.2608218	0.7332615	0.0111642	0.2466238
0.2511442	0.0911468	0.6111474	0.1250502	0.8036482	0.7848774	0.0872755	0.8395627	0.0001130	0.2196555
0.3729015	0.0487263	0.6834626	0.3824711	0.7494613	0.6251794	0.0495608	0.7666303	0.0010303	0.2151107
0.0882549	0.1580109	0.3453765	0.2256936	0.6143383	0.7429611	0.1953805	0.7669939	0.0071708	0.2619264
0.0045969	0.1790855	0.1357245	0.7348163	0.4781920	0.7145849	0.2165768	0.5392460	0.0000678	0.5506319
