G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000028	0.0814875	0.8010070	0.4540596	1.0000000	0.9999701	0.2315098	0.9999291	0.0043375	0.4146154
0.9997117	0.0000035	0.8010070	0.4540596	1.0000000	1.0000000	0.2315094	0.9999291	0.0043375	0.4146155
0.0914329	0.9999561	0.0000000	0.4540596	1.0000000	1.0000000	0.2315094	0.9999291	0.0043375	0.4146154
0.6702385	0.0708041	1.0000000	0.0000000	1.0000000	0.9999788	0.2246130	0.9497903	0.0872296	0.4345270
0.1063232	0.2047859	0.2342558	1.0000000	0.0000000	0.9999706	0.2315193	0.9999997	0.0003402	0.4145879
0.5339198	0.0814875	0.8010070	0.4540596	1.0000000	0.0000027	0.7735237	0.9999291	0.0043375	0.4146154
0.5339198	0.0814875	0.8010070	0.4540596	1.0000000	1.0000000	0.0000016	0.9999291	0.0043375	0.4146155
0.5339198	0.0814875	0.8010070	0.4540596	1.0000000	1.0000000	0.0041569	0.0000039	0.0042371	0.9999738
0.5339198	0.0814875	0.8010070	0.4540596	1.0000000	0.9999701	0.2315191	0.9999997	0.0000037	0.4145890
0.5339198	0.0814875	0.8010070	0.4540596	1.0000000	0.9999979	0.1504352	0.5513056	0.3019177	0.0000001
