"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7602409	0.1397304	0.2752191	0.4278752	0.2939093	0.4078380	0.8091163	0.5734843	0.4695745	1.0469826
50	0.7530458	0.4380857	0.5160539	0.5265729	0.2795527	0.3206908	0.6484139	0.6126748	0.4966838	0.6273966
100	0.6363948	0.4800141	0.5427452	0.5098562	0.3248430	0.2962038	0.6688795	0.6742610	0.7387228	0.5327693
150	0.7134428	0.5423800	0.5867661	0.4175804	0.2815613	0.3287838	0.6114553	0.6967453	0.7067943	0.5144974
200	0.6955180	0.5643787	0.6341497	0.4358311	0.2881198	0.2371005	0.6069504	0.6624141	0.7503605	0.5299467
250	0.7217077	0.5339668	0.5460483	0.3952024	0.3225699	0.1988730	0.6483331	0.7524526	0.7464362	0.4724503
300	0.6667049	0.4989530	0.5659671	0.3681440	0.4080845	0.3152714	0.6481456	0.7161412	0.7882992	0.4897144
350	0.6570851	0.5447856	0.5053855	0.2469754	0.4976870	0.2484288	0.6073805	0.4975625	0.8425170	0.4892890
400	0.6897802	0.5804939	0.4996672	0.1913364	0.5241019	0.2558102	0.6786106	0.4446450	0.7858154	0.5305437
450	0.7683795	0.5450202	0.5525095	0.1847642	0.5675558	0.3101784	0.7444985	0.3866347	0.7382667	0.5185546
500	0.7771075	0.5130495	0.4951092	0.1671546	0.4180305	0.3955996	0.8275738	0.4523297	0.7770395	0.5520840
550	0.7629852	0.2369343	0.2889030	0.2473302	0.2886131	0.5106905	0.7855074	0.5145736	0.7246917	0.8986960
600	0.7958325	0.1966394	0.3751705	0.3793427	0.1941202	0.4660243	0.6152978	0.7063189	0.6217203	0.9566738
650	0.7200675	0.2259780	0.3650126	0.4944183	0.2106072	0.2951720	0.5291246	0.7680229	0.5656638	0.8977666
700	0.6453797	0.1416078	0.2445606	0.6218440	0.2801185	0.1522362	0.4614748	0.7187362	0.5399258	0.9935954
750	0.5861770	0.0793713	0.1468623	0.5018078	0.5492045	0.1743121	0.4371382	0.6228202	0.5122241	1.0475328
800	0.6652788	0.0542918	0.0818731	0.2475723	0.7176388	0.1401099	0.6048242	0.2966747	0.4541541	1.0527225
850	0.6831170	0.0363834	0.0979952	0.1376312	0.7054191	0.2565335	0.8216626	0.1838896	0.5106324	0.9824293
900	0.6945538	0.0464506	0.1714824	0.1260838	0.5065457	0.4184195	0.8410191	0.2116776	0.5120294	0.9785527
950	0.7259817	0.0838754	0.2323482	0.1820765	0.3109875	0.4615053	0.7919234	0.2522854	0.4893288	1.0133376
1000	0.7393977	0.1471202	0.2898029	0.2782949	0.2423217	0.4754245	0.7801906	0.4836983	0.4242868	1.0307475

0	0.7602409	0.1397304	0.2752191	0.4278752	0.2939093	0.4078380	0.8091163	0.5734843	0.4695745	1.0469826
50	0.6046959	0.6678145	0.7612606	0.4791133	0.3749492	0.2411784	0.5253786	0.5368866	0.4861546	0.9105496
100	0.6268064	0.8541807	0.8674258	0.3323431	0.3738241	0.2623525	0.6415868	0.5163540	0.4038449	0.9546720
150	0.6313590	0.8605067	0.8197962	0.2896681	0.4257692	0.2768614	0.6153178	0.4338219	0.4467576	0.9312316
200	0.6749166	0.8506523	0.9279102	0.2318066	0.4668107	0.3053146	0.6361897	0.3217446	0.4349011	0.9471135
250	0.7219059	0.9417689	0.9245941	0.2096945	0.4874606	0.3437417	0.7448855	0.3088628	0.4307412	0.9501614
300	0.7733614	0.9334310	0.9543351	0.2269164	0.3972434	0.3581236	0.7986429	0.2894738	0.3810817	1.0209464
350	0.7995048	0.8985042	0.9239899	0.2163521	0.3678253	0.4571436	0.7648490	0.2643843	0.3883850	1.0089797
400	0.8110997	0.9608531	0.9442641	0.3124160	0.2619238	0.4521061	0.8144418	0.4180393	0.4062232	1.0089427
450	0.8210248	0.9469658	0.8749645	0.4484043	0.2258764	0.4077952	0.8046605	0.5261138	0.4367945	0.9582345
500	0.7945428	0.9240919	0.9687412	0.5136761	0.2430172	0.5034930	0.7448920	0.5554242	0.4260983	0.9577639
550	0.7608347	0.4805721	0.4582537	0.5508326	0.2269214	0.4334206	0.6568542	0.5430703	0.4673094	0.9259393
600	0.7279067	0.2667889	0.3154223	0.5574550	0.2440528	0.3223435	0.6510657	0.6921733	0.4939629	0.9880065
650	0.6297008	0.1564695	0.2712353	0.5209805	0.2443211	0.2550590	0.5181077	0.6440604	0.5473181	1.0466469
700	0.6837454	0.1337649	0.1987524	0.5415153	0.3295914	0.2258395	0.5686594	0.7180527	0.4986875	1.0083790
750	0.6227331	0.1132897	0.1926371	0.4123720	0.4513590	0.2228010	0.5482150	0.4992457	0.4659640	1.0150484
800	0.7772530	0.0887735	0.1778838	0.2454013	0.4566799	0.2201291	0.7060307	0.3099150	0.4760504	1.0306067
850	0.7550712	0.0976714	0.1846393	0.2489200	0.4589676	0.3153862	0.8175639	0.2494645	0.4779855	1.0166263
900	0.6511727	0.0892714	0.2638374	0.2258987	0.3496556	0.4540174	0.9207952	0.2923278	0.4789677	0.9973636
950	0.7929117	0.1353870	0.2752204	0.2731472	0.2621967	0.5696362	0.9547509	0.4071802	0.4675193	1.0016357
