"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7609662	0.0741578	0.2181657	0.2031215	0.4073741	0.4003990	0.7947800	0.2755976	0.4687634	1.0000000
50	0.7813612	0.4163438	0.5162371	0.2538638	0.3273503	0.4479770	0.8513193	0.3798678	0.5403271	0.6454195
100	0.7970396	0.5284338	0.5844632	0.3372950	0.2642521	0.4887840	0.8492931	0.5437285	0.6753019	0.5519244
150	0.7972802	0.5721377	0.6096126	0.4392692	0.2204477	0.4924552	0.7842480	0.6900924	0.7597910	0.5272717
200	0.7769676	0.5888383	0.6179685	0.5350163	0.1998567	0.4461177	0.7029450	0.7785475	0.7993803	0.5207714
250	0.7446172	0.5872502	0.6112183	0.5945880	0.2059278	0.3779245	0.6492780	0.8216886	0.8159662	0.5190574
300	0.7141109	0.5744700	0.5934749	0.5968391	0.2385373	0.3212648	0.6194865	0.8375980	0.8225312	0.5186054
350	0.6919571	0.5593227	0.5722807	0.5409374	0.2912098	0.2847246	0.6035418	0.8304478	0.8250444	0.5184863
400	0.6782726	0.5471042	0.5535826	0.4511112	0.3515011	0.2640306	0.5973843	0.7870350	0.8259863	0.5184549
450	0.6723562	0.5389636	0.5398733	0.3615069	0.4063010	0.2550362	0.6037269	0.6987328	0.8263344	0.5184466
500	0.6761282	0.5342901	0.5316168	0.2927384	0.4459264	0.2585160	0.6311843	0.5975342	0.8264617	0.5184444
550	0.6751796	0.1975902	0.2412384	0.2490642	0.4648555	0.2578982	0.5885008	0.5218192	0.7491070	0.8730243
600	0.6720322	0.0980008	0.1894476	0.2256694	0.4762754	0.2537395	0.6273319	0.4643495	0.6132237	0.9665193
650	0.6901129	0.0686580	0.1804919	0.2129435	0.4808249	0.2760357	0.6798333	0.4056968	0.5317648	0.9911719
700	0.7178037	0.0640786	0.1892531	0.2091717	0.4602700	0.3177186	0.7282181	0.3588516	0.4942369	0.9976722
750	0.7431770	0.0722782	0.2114338	0.2208596	0.4125523	0.3637123	0.7619773	0.3506213	0.4786412	0.9993862
800	0.7607345	0.0888048	0.2403236	0.2543879	0.3542089	0.4006677	0.7764397	0.3973606	0.4724963	0.9998382
850	0.7687865	0.1088538	0.2676895	0.3102590	0.3030482	0.4199680	0.7649492	0.4841183	0.4701505	0.9999573
900	0.7646602	0.1258038	0.2865013	0.3788414	0.2687381	0.4129753	0.7173237	0.5643147	0.4692730	0.9999887
950	0.7447145	0.1320091	0.2906344	0.4406640	0.2563669	0.3742662	0.6507419	0.6112659	0.4689491	0.9999970
1000	0.7122589	0.1228940	0.2764317	0.4725195	0.2706473	0.3181118	0.5960834	0.6279939	0.4688307	0.9999992

0	0.7609662	0.0741578	0.2181657	0.2031215	0.4073741	0.4003990	0.7947800	0.2755976	0.4687634	1.0000000
50	0.7759444	0.6826994	0.7854343	0.2538193	0.3281004	0.4356522	0.8026941	0.3723817	0.4326115	0.9695474
100	0.7810024	0.8623272	0.8849226	0.3351340	0.2715284	0.4495170	0.7839006	0.4932854	0.4267043	0.9615178
150	0.7733640	0.9157723	0.9035145	0.4256020	0.2393505	0.4340083	0.7217797	0.5742508	0.4269681	0.9594005
200	0.7485174	0.9312952	0.9062979	0.4973803	0.2316934	0.3835074	0.6485192	0.6104186	0.4277088	0.9588422
250	0.7128731	0.9346733	0.9040785	0.5264350	0.2518347	0.3201815	0.5967579	0.6202412	0.4281445	0.9586950
300	0.6791778	0.9340903	0.8995661	0.4993674	0.3006066	0.2693502	0.5692637	0.6088800	0.4283453	0.9586562
350	0.6565911	0.9326342	0.8946450	0.4250720	0.3696557	0.2391598	0.5662143	0.5593468	0.4284289	0.9586460
400	0.6525006	0.9314279	0.8906959	0.3358735	0.4402017	0.2318063	0.6019354	0.4543207	0.4284619	0.9586433
450	0.6750169	0.9307695	0.8886606	0.2631127	0.4869126	0.2560246	0.6783140	0.3386497	0.4284745	0.9586426
500	0.7147219	0.9307796	0.8894040	0.2209194	0.4840614	0.3124985	0.7461328	0.2703598	0.4284792	0.9586424
550	0.7487733	0.3237669	0.3255495	0.2134050	0.4295165	0.3745572	0.7831901	0.2682881	0.4659873	0.9890949
600	0.7692968	0.1640864	0.2624329	0.2426395	0.3556561	0.4195350	0.7986981	0.3402015	0.4713724	0.9971246
650	0.7786076	0.1368947	0.2795903	0.3062826	0.2931533	0.4428893	0.7914909	0.4620626	0.4706603	0.9992418
700	0.7760015	0.1435720	0.3001519	0.3899233	0.2524747	0.4390619	0.7399509	0.5666110	0.4696956	0.9998001
750	0.7552784	0.1487498	0.3066956	0.4678048	0.2359344	0.3966102	0.6589829	0.6221889	0.4691635	0.9999473
800	0.7182548	0.1379072	0.2921907	0.5119903	0.2478819	0.3296763	0.5934635	0.6422244	0.4689240	0.9999861
850	0.6780680	0.1130075	0.2592613	0.5011398	0.2922302	0.2694063	0.5550790	0.6374847	0.4688254	0.9999963
900	0.6472156	0.0859312	0.2194673	0.4344774	0.3643499	0.2303497	0.5424516	0.5946329	0.4687868	0.9999990
950	0.6349376	0.0653081	0.1847444	0.3415615	0.4463165	0.2147513	0.5686178	0.4870372	0.4687721	0.9999997
1000	0.6529797	0.0534007	0.1633548	0.2598977	0.5103454	0.2305895	0.6477699	0.3555935	0.4687666	0.9999999

0	0.7609662	0.0741578	0.2181657	0.2031215	0.4073741	0.4003990	0.7947800	0.2755976	0.4687634	1.0000000
50	0.7682271	0.6956341	0.2572522	0.2445701	0.3291199	0.4190321	0.7380235	0.3701982	0.4105293	1.0000000
100	0.7567755	0.8783224	0.2801998	0.3205623	0.2821179	0.3969510	0.7006272	0.4806891	0.3897398	1.0000000
150	0.7365575	0.9317745	0.2820200	0.3938802	0.2695384	0.3583673	0.6415636	0.5444863	0.3823180	1.0000000
200	0.7047329	0.9468366	0.2663191	0.4298824	0.2865095	0.3058213	0.5822607	0.5619110	0.3796684	1.0000000
250	0.6681992	0.9503836	0.2373134	0.4148792	0.3324598	0.2554985	0.5478946	0.5443728	0.3787225	1.0000000
300	0.6414759	0.9506370	0.2033014	0.3565844	0.4019516	0.2233310	0.5469016	0.4793750	0.3783848	1.0000000
350	0.6379076	0.9502108	0.1746677	0.2819020	0.4756201	0.2166447	0.5867235	0.3644651	0.3782643	1.0000000
400	0.6609745	0.9498948	0.1600079	0.2194131	0.5240596	0.2391200	0.6434244	0.2570025	0.3782212	1.0000000
450	0.6927085	0.9499027	0.1637987	0.1828433	0.5246636	0.2789954	0.6804485	0.1995592	0.3782059	1.0000000
500	0.7162810	0.9502543	0.1822695	0.1738536	0.4834348	0.3152685	0.6991746	0.1893058	0.3782004	1.0000000
550	0.7392122	0.3300659	0.2066639	0.1986706	0.4263466	0.3560609	0.7736477	0.2254296	0.4364326	1.0000000
600	0.7636542	0.1623845	0.2364347	0.2380408	0.3636295	0.4065395	0.7984874	0.3128592	0.4572214	1.0000000
650	0.7772385	0.1316344	0.2688853	0.2977883	0.3038867	0.4389795	0.7981150	0.4342350	0.4646430	1.0000000
700	0.7784797	0.1391230	0.2950403	0.3755642	0.2596458	0.4441664	0.7573949	0.5443883	0.4672924	1.0000000
