"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.5424327	0.0676443	0.1328603	0.3476686	0.1991388	0.3315571	0.6287572	0.3499262	0.4164480	0.8101820
50	0.6501631	0.2198341	0.4130026	0.3762335	0.1806091	0.3041854	0.5314392	0.5608477	0.3595592	0.5692100
100	0.4996581	0.2660888	0.3941047	0.4894343	0.2314224	0.2258898	0.4350782	0.5696134	0.4063230	0.3997280
150	0.5196295	0.5727130	0.4159437	0.3768840	0.3185926	0.2156728	0.4532006	0.6365374	0.4904072	0.5355790
200	0.6166611	0.3643079	0.5630173	0.3225182	0.2056132	0.2048996	0.3555255	0.5200984	0.6335481	0.4117858
250	0.4228809	0.4545736	0.4018547	0.3943003	0.2523696	0.2519489	0.6014864	0.5443171	0.5611247	0.3857077
300	0.4708422	0.3522238	0.5346833	0.2718551	0.3047101	0.2249540	0.5040866	0.6088069	0.6105921	0.4614793
350	0.5218372	0.4682413	0.3547641	0.2190440	0.3499889	0.1849395	0.5224075	0.5585118	0.6888875	0.3804864
400	0.5456979	0.5256995	0.3886071	0.1925867	0.4296729	0.2108506	0.6194471	0.3514534	0.6037107	0.3746633
450	0.6011301	0.4799736	0.3791874	0.2058094	0.4591662	0.2613364	0.4720525	0.3296262	0.5134753	0.3484185
500	0.5791377	0.4448277	0.4239399	0.1779728	0.3220290	0.2353625	0.5976556	0.2505089	0.6823931	0.4631958
550	0.5180103	0.3589777	0.3255094	0.1000628	0.3270613	0.3369329	0.6382392	0.3907334	0.5172575	0.5300447
600	0.6701365	0.2000377	0.2737913	0.2189987	0.2585299	0.4414713	0.6247458	0.3758960	0.5499702	0.6947986
650	0.6392678	0.1927205	0.2918486	0.3440576	0.2224095	0.3321307	0.3638484	0.5457927	0.4373943	0.6347944
700	0.4906015	0.1898759	0.2497714	0.5179981	0.1353559	0.1607516	0.3948018	0.5621336	0.3844438	0.9258114
750	0.4866118	0.1191490	0.1617987	0.4409907	0.3539571	0.1899694	0.3768656	0.4616416	0.3999881	0.8340313
800	0.4638423	0.0601759	0.1179480	0.3110857	0.4927391	0.1023814	0.4770080	0.3391570	0.3693938	0.8006934
850	0.4878630	0.0314388	0.0427736	0.1796500	0.5988719	0.1423677	0.4897233	0.2129537	0.2964318	0.7654064
900	0.5134527	0.0180602	0.0919607	0.0966124	0.5348178	0.2197176	0.5723491	0.1105607	0.3590824	0.7937584
950	0.6137126	0.0450315	0.1662314	0.1199193	0.3692225	0.3837779	0.6522523	0.1651838	0.3516252	0.7380631
1000	0.4546158	0.0915055	0.1921612	0.1657193	0.2117900	0.2883503	0.7566387	0.2976957	0.3143744	0.8586599

