G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0547810	0.1618545	0.2444951	0.1747575	0.6377330	0.1682088	0.5391480	0.6996172	0.3183708	0.7337855
0.0259777	0.0733821	0.3779966	0.3544939	0.7047868	0.1515013	0.6515653	0.7968168	0.4518122	0.8198272
0.3089190	0.3715270	0.0815510	0.3242529	0.8266534	0.1868018	0.5428045	0.7921261	0.3261686	0.6433789
0.1077020	0.2405934	0.2766852	0.1527512	0.8714463	0.2127036	0.4879541	0.6300380	0.4855821	0.6446082
0.0455110	0.1393425	0.4715602	0.7128359	0.4385693	0.2591739	0.5279891	0.6830800	0.4246287	0.7262787
0.1273332	0.1661722	0.2712144	0.1675557	0.8427992	0.1353430	0.5505187	0.6385472	0.5327337	0.8095344
0.0709234	0.2201818	0.2870519	0.1824638	0.8857294	0.0986698	0.2968292	0.7409837	0.2524653	0.6461466
0.0579551	0.3554883	0.2119663	0.2388308	0.7220354	0.1071655	0.3695585	0.3342556	0.3424324	0.8843022
0.0786603	0.2348410	0.3143086	0.2915033	0.6411677	0.1837973	0.5732538	0.7737450	0.2109394	0.7592993
0.2363565	0.2479032	0.2558312	0.2364391	0.8718513	0.0754698	0.2854156	0.3524114	0.0747752	0.3045158
