G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.3201253	0.9955064	0.6413609	0.6985605	0.1513035	0.3314455	0.5869016	0.6025224	0.1515452	0.7854433
0.7494260	0.4210955	0.6174525	0.5851000	0.1835520	0.3925863	0.5332824	0.4805781	0.2428579	0.8357798
0.7458071	0.6718879	0.3631258	0.6469189	0.2846153	0.3862225	0.4757753	0.5745555	0.2351443	0.8001588
0.7014247	0.7546201	0.3366681	0.3026486	0.2244363	0.4589725	0.2796475	0.6439883	0.1749690	0.9006829
0.7974508	0.7640903	0.6165189	0.6072978	0.0743252	0.4791281	0.6039298	0.5969519	0.2094327	0.8713162
0.8090506	0.8500044	0.7502489	0.6891863	0.1242993	0.1834624	0.6121197	0.6644383	0.1395212	0.7274393
0.7787366	0.7292984	0.3730718	0.5643675	0.3205394	0.7182074	0.2686465	0.6079469	0.1938628	0.6606818
0.7034479	0.7011016	0.6106904	0.6038118	0.1659027	0.4813757	0.5514630	0.2444663	0.1571197	0.9505442
0.7335806	0.7587197	0.7163139	0.6101851	0.1588997	0.4359660	0.5350599	0.7910071	0.1366977	0.6932021
0.7982572	0.6149937	0.6661318	0.5874234	0.2292582	0.3405250	0.5985255	0.4594659	0.2474108	0.4280016
