G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.9999865	0.9109730	0.7446839	0.7850691	0.5950502	0.6551638	0.5286510	0.9219931	0.1027342	0.9132973
0.9999864	0.9426328	0.7584029	0.8176847	0.6374146	0.6113988	0.6496963	0.7247777	0.2928198	0.9478131
0.9014149	0.5759693	0.3823252	0.5442394	0.5719544	0.5389246	0.3908854	0.5152785	0.5513887	0.9996152
0.9999885	0.9959984	0.7603000	0.3922576	0.5105755	0.7262604	0.5645963	0.8362082	0.1844498	0.9415907
0.9535311	0.9999442	0.9298917	0.9876101	0.0175414	0.2378369	0.8875292	0.9401181	0.0839553	0.9426131
0.9999882	0.9999710	0.1538316	0.5355559	0.4801845	0.7568769	0.2821992	0.8953765	0.1283771	0.9824111
0.9999924	0.9604498	0.5556148	0.4688259	0.6646908	0.8125115	0.4772826	0.8598839	0.1619225	0.9894157
0.9999913	0.9999257	0.0477497	0.3288338	0.5238345	0.8445971	0.2023549	0.8052534	0.2132988	0.9937813
0.8692552	0.9026094	0.7711142	0.8109350	0.4585816	0.6206739	0.4184632	0.8313479	0.1537644	0.9861046
0.9817525	0.6854107	0.5630385	0.4423718	0.5447881	0.8063646	0.2111644	0.6033435	0.3023782	0.9480367
