G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4998382	0.6553149	0.5335150	0.6137705	0.0316895	0.0635326	0.1367522	1.0000000	0.0094332	1.0000000
0.9898069	0.2801812	0.4018917	0.5293506	0.0316895	0.0635326	0.3769874	1.0000000	0.0094332	1.0000000
0.9948509	0.3313842	0.2004861	0.5288234	0.0316895	0.0635326	0.9632952	1.0000000	0.0094332	1.0000000
0.8272720	0.1332638	0.0723555	0.2740359	0.0316895	0.0635326	0.9998613	1.0000000	0.0094332	1.0000000
0.9993835	0.5592721	0.4005559	0.5285149	0.0158451	0.0635326	0.3808777	1.0000000	0.0094332	1.0000000
0.9971767	0.5594636	0.4008361	0.5287056	0.0212820	0.0317708	0.3801682	1.0000000	0.0094332	1.0000000
0.9993830	0.5591415	0.4003817	0.5284041	0.0316895	0.0635326	0.1906787	1.0000000	0.0094332	1.0000000
0.9996854	0.5582606	0.3992095	0.5276446	0.0555067	0.0864943	0.5103513	0.5000000	0.0094332	1.0000000
0.9993830	0.5591417	0.4003817	0.5284041	0.0316895	0.0635326	0.3813560	1.0000000	0.0047167	1.0000000
0.9993830	0.5591412	0.4003816	0.5284041	0.0316895	0.0635327	0.3813578	0.9999926	0.0674409	0.5000000
