G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.7181643	0.1575906	0.5183411	0.0511804	0.0531413	0.2520892	0.0413960	0.6146411	0.1647280	0.5436497	0.3892197	0.0601250	0.2265230	0.2975348	0.0345770	0.0631676	0.7461553	0.0793295	0.1643503	0.1320365	0.0000000	0.0519808	0.1156319	0.2812288	0.0404619	0.7021861	0.0564754	0.1391978	0.6638971	0.4077042	0.0137708	0.0388186	0.2314940	0.3807134	0.6770687	0.0151220	0.3619568	0.7127024	0.0923561	0.1645385	0.0089143	0.4299338	0.0440102	0.2621237	0.4609045	0.6920414	0.1425902	0.0000000	0.1337442	0.7029035	0.3302893	0.6274144	0.7086068	0.2012246	0.3055271	0.0409225	0.2751585	0.1661616	0.3179206	0.6377688	0.3026360	0.3470714	0.1059746	0.5078876	0.7361570	0.0001619	0.3289960	0.3949827	0.1782036	0.0289296	0.1221527	0.5063062	0.5826343	0.1112619	0.1906841	0.1158492	0.2474081	0.0205971	0.6541943	0.4222912	0.2849309	0.3335371	0.3826376	0.3625129	0.0083565	0.6587765	0.8551092	0.4095520	0.7701610	0.5526156	0.5815326	0.0081181	0.2716219	0.1122010	0.3593716	0.1643694	0.1965824	0.4489068	0.5118222	0.0788945
0.5914123	0.1817966	0.4648871	0.0469933	0.0999719	0.3112463	0.0405738	0.5133959	0.2680341	0.3698122	0.4253743	0.0878202	0.2335758	0.2591287	0.0331613	0.0817734	0.6460443	0.0691478	0.2875967	0.1756162	0.1246926	0.0891949	0.1077440	0.3418381	0.0175302	0.6753074	0.0774950	0.1463328	0.5880051	0.4000779	0.0222460	0.0181283	0.1547720	0.2409581	0.7149016	0.0128841	0.0000000	0.6170269	0.0820535	0.1774701	0.0198030	0.5138117	0.0482545	0.1656018	0.5279639	0.6767728	0.1308095	0.0000000	0.1026120	0.6728575	0.1067505	0.6178324	0.5092446	0.3088200	0.3064569	0.0348888	0.2770421	0.2357566	0.4027149	0.5514560	0.3832096	0.3144954	0.1070884	0.3777664	0.6369321	0.0056129	0.3629722	0.3351998	0.2613075	0.0344654	0.0598222	0.5804325	0.6556097	0.2615007	0.4895313	0.5176175	0.3728522	0.0396843	0.6831953	0.3849455	0.3442022	0.2804081	0.3420477	0.3932876	0.0293549	0.5927273	0.5644514	0.3631284	0.6179160	0.4778835	0.6089069	0.0650809	0.3444921	0.1347481	0.4409857	0.1584664	0.2064371	0.7099580	0.5576408	0.1438965
0.5907950	0.1394073	0.5523514	0.0538852	0.0654273	0.3887618	0.0000000	0.5851360	0.1586805	0.4101210	0.4515036	0.1200519	0.2254212	0.2226035	0.0669179	0.1188151	0.6790345	0.1078064	0.2197661	0.2269754	0.1353547	0.0474399	0.0866016	0.3626187	0.0228099	0.5712776	0.0703399	0.1664420	0.6922274	0.4924324	0.0173310	0.0113042	0.1583477	0.3560178	0.6821737	0.0167109	0.4207754	0.6889765	0.1454243	0.2070092	0.0170309	0.4424075	0.0631796	0.1199844	0.4358878	0.6625408	0.1016507	0.0000000	0.0975602	0.6522895	0.3889425	0.5183265	0.5316901	0.2289950	0.2705413	0.0614066	0.5354715	0.3179135	0.2582924	0.6058703	0.3879782	0.3367008	0.1361475	0.0348876	0.6302549	0.0040257	0.3910030	0.3127168	0.0872827	0.0626043	0.0738116	0.5365188	0.7731032	0.1091947	0.1516406	0.0544600	0.3963522	0.0592970	0.7639271	0.4621835	0.4465466	0.2061791	0.3355845	0.2450872	0.0067889	0.6365574	0.7558250	0.4273176	0.6042720	0.4225729	0.6625116	0.0151566	0.3581432	0.1643889	0.3111303	0.1754863	0.1460293	0.6062020	0.3524983	0.2023786
0.5841431	0.5518670	0.5838347	0.5115354	0.1166835	0.4594444	0.5070007	0.5467192	0.4482757	0.2283557	0.5709209	0.4400502	0.4068394	0.2603844	0.0324589	0.0627408	0.6327910	0.0201024	0.1680948	0.0818646	0.0000000	0.3717428	0.1308803	0.3367317	0.0191780	0.6283295	0.0586936	0.1045251	0.6554895	0.4414480	0.1081299	0.1245784	0.0486344	0.1443157	0.6331294	0.0309632	0.0000000	0.6369203	0.0934020	0.2941207	0.0202618	0.6974021	0.0588026	0.3238951	0.1215356	0.6386186	0.0855827	0.5953228	0.1119720	0.8592652	0.0547723	0.7045984	0.6701660	0.7036053	0.2747896	0.2909635	0.8203016	0.1940390	0.5859299	0.1538901	0.3936492	0.0081847	0.1705707	0.6281600	0.4757763	0.0263976	0.1865482	0.3964316	0.1069367	0.0540117	0.0025969	0.5865028	0.7113700	0.4341918	0.7843132	0.0916320	0.0010131	0.1041684	0.4393562	0.3900556	0.2811029	0.3382116	0.2463385	0.3371303	0.0029202	0.6685571	0.7190710	0.6957131	0.6329817	0.4436362	0.6642007	0.0161081	0.3630492	0.0799195	0.4855112	0.3246686	0.2366593	0.6023323	0.5665041	0.2257650
0.8414733	0.1482729	0.5591377	0.0429619	0.0762451	0.3782863	0.0449956	0.6475977	0.2539476	0.3870812	0.4114382	0.0918017	0.2367936	0.2519611	0.0265090	0.0750417	0.5635203	0.0598739	0.1772456	0.1540179	0.0787582	0.3964839	0.6632493	0.0000000	0.0261779	0.6969846	0.4099476	0.1122203	0.5906886	0.3678154	0.0166136	0.0518491	0.1494593	0.2855834	0.5154193	0.0784668	0.4053953	0.6735004	0.0852505	0.2272663	0.0155994	0.3818768	0.0813401	0.2114537	0.3169253	0.7022986	0.1181547	0.0000000	0.0980299	0.7147164	0.4393436	0.6412844	0.7526010	0.0919740	0.4556768	0.0698203	0.4419986	0.2602840	0.3364730	0.7158232	0.3860682	0.2660234	0.1110432	0.4601221	0.4904843	0.0155855	0.5901771	0.1681883	0.4950740	0.0330685	0.0528805	0.5212196	0.7727652	0.0477028	0.2153902	0.0174340	0.6617241	0.0249131	0.6550221	0.3874329	0.4015482	0.3327875	0.3729178	0.4577108	0.0295982	0.7684261	0.7324281	0.3666729	0.6262214	0.5089008	0.3980596	0.0275260	0.3566085	0.1317138	0.4468739	0.1199003	0.1889337	0.5918064	0.4399784	0.5331614
0.5476859	0.7890800	0.5403033	0.0827554	0.0976667	0.3598995	0.0352468	0.6427646	0.0397066	0.5272149	0.4299999	0.0128837	0.0000000	0.3249128	0.0635150	0.1191096	0.6025399	0.1185908	0.2270310	0.2026372	0.2001300	0.0713620	0.1012496	0.3756096	0.0312867	0.8179523	0.0659799	0.0692086	0.6616591	0.2935535	0.0110195	0.0197009	0.2529848	0.4400383	0.5216430	0.0239052	0.3499513	0.6152506	0.0932623	0.1861903	0.0264826	0.4465780	0.0604325	0.2268861	0.3418072	0.6569049	0.2891333	0.0000000	0.2912014	0.6661145	0.4426024	0.6630100	0.5439666	0.3764320	0.2424366	0.0634366	0.5184863	0.1555030	0.2097222	0.7289823	0.3433669	0.3306589	0.0784517	0.0267632	0.7464740	0.0121805	0.3439464	0.3866413	0.1990552	0.0390602	0.1679385	0.6156955	0.6316990	0.1018746	0.0571660	0.2058400	0.1672421	0.0174728	0.7868409	0.4678665	0.3556892	0.2780146	0.3779939	0.4101232	0.0060977	0.7490906	0.6826646	0.4309618	0.6878232	0.4296759	0.5743861	0.0138667	0.2578166	0.1346905	0.4427408	0.1976931	0.0837273	0.0966509	0.3420522	0.3015324
0.6690741	0.1524205	0.5108633	0.0414911	0.0709625	0.3069455	0.0740319	0.5746565	0.2871507	0.4571196	0.4727957	0.1114410	0.2702864	0.2308624	0.0483571	0.0626412	0.6513464	0.0682029	0.3045698	0.1688442	0.2894751	0.0000000	0.1140126	0.3449630	0.0314720	0.6125966	0.0474932	0.1297120	0.5401826	0.3623589	0.0185592	0.0413050	0.1683706	0.3032686	0.7271365	0.0226062	0.4220057	0.6394805	0.0843520	0.2254719	0.0137817	0.3716164	0.0349809	0.2474799	0.3707553	0.7368351	0.1330412	0.0000000	0.1123272	0.6620169	0.4382291	0.6947918	0.6200576	0.3840842	0.3807123	0.0821269	0.2277236	0.1837576	0.3274706	0.6111823	0.4139212	0.2826230	0.0707173	0.3799665	0.5836871	0.0044721	0.2971463	0.3587442	0.2160325	0.0665650	0.0436041	0.5667190	0.6877782	0.1544454	0.1096133	0.0892979	0.4086006	0.0455249	0.5568235	0.3871693	0.4350667	0.2265969	0.3813978	0.3184098	0.0025633	0.7134779	0.7477585	0.4350805	0.7784590	0.4148023	0.6391746	0.0162535	0.3075769	0.2102644	0.3432644	0.0874697	0.2023775	0.4098178	0.3695032	0.1622475
0.6620297	0.1539954	0.5463845	0.4125523	0.1138626	0.0000000	0.4499527	0.5388373	0.0925764	0.3585434	0.3969146	0.0230060	0.1893903	0.3144899	0.0700076	0.0481829	0.5602832	0.0238883	0.2423226	0.2517604	0.4147369	0.0458779	0.0782178	0.2716545	0.0121425	0.6418926	0.0445327	0.1689077	0.5318218	0.4670001	0.0160465	0.0217797	0.2200152	0.4133803	0.6641046	0.0161181	0.0000000	0.6735839	0.0947355	0.2332587	0.0263569	0.8120918	0.0763655	0.3336801	0.2745854	0.6777797	0.1483181	0.4675526	0.0887460	0.5748012	0.0871323	0.8121795	0.4945258	0.2169190	0.4136613	0.2571005	0.5157396	0.2888177	0.5412534	0.2255785	0.3181409	0.0244994	0.0550340	0.6015821	0.5029725	0.0021574	0.1711302	0.4473079	0.4631392	0.0525539	0.0249334	0.6485237	0.6485520	0.4759370	0.7682258	0.2886882	0.3500736	0.0763602	0.2207361	0.3604286	0.2488862	0.3729438	0.6759149	0.4750194	0.0066305	0.7185297	0.5990455	0.5999784	0.7655662	0.5323157	0.6080126	0.3334553	0.4370097	0.1006800	0.4195950	0.3305403	0.1724388	0.6065597	0.8665369	0.3080960
0.6163043	0.2630964	0.6069468	0.1302733	0.0569511	0.3088706	0.0000000	0.5212842	0.2711030	0.4030430	0.4116399	0.0667373	0.2197633	0.2828719	0.0610823	0.0957067	0.5575265	0.0847229	0.1830727	0.2613428	0.3729113	0.1077742	0.1308459	0.3203446	0.0100825	0.5886194	0.0833756	0.1727964	0.5517868	0.4275154	0.0137095	0.0414479	0.2191745	0.3338894	0.7180144	0.0464748	0.0000000	0.5337812	0.0916631	0.2275042	0.0093454	0.6919547	0.0238270	0.3957557	0.2772556	0.6511733	0.1090107	0.2688847	0.1192753	0.5519133	0.0662545	0.7793705	0.6191913	0.4305175	0.3748826	0.1476863	0.5120168	0.2592660	0.3536053	0.4020591	0.3827591	0.0313504	0.0734955	0.1718854	0.4740825	0.0137743	0.1927222	0.3498783	0.0800549	0.0326454	0.1472651	0.6124997	0.8727039	0.6167658	0.6509729	0.2937703	0.3310713	0.0734797	0.5932291	0.4414337	0.2865118	0.2742976	0.6187449	0.4590836	0.0078879	0.7352432	0.7141766	0.4272098	0.6271712	0.4236173	0.4185732	0.0204899	0.3293561	0.0835705	0.4041143	0.1259884	0.1601426	0.6212899	0.6700732	0.1900526
0.6714295	0.1384054	0.5659038	0.1901145	0.0819888	0.3595158	0.0000000	0.4508549	0.3047895	0.3499581	0.5054529	0.1299562	0.2289930	0.3470541	0.0524474	0.0542168	0.5871307	0.0348654	0.2591621	0.3470102	0.5508607	0.0000000	0.1109308	0.4772323	0.0283102	0.6467498	0.0834601	0.1626034	0.5359633	0.3457595	0.0213429	0.0450879	0.1315912	0.2359172	0.6732519	0.0492033	0.3536019	0.6522762	0.0609371	0.1647331	0.0365007	0.6315477	0.0331125	0.3043397	0.2582263	0.6495691	0.0809135	0.4208486	0.1060839	0.8187363	0.4058192	0.5706040	0.6570128	0.3981042	0.2614273	0.0514095	0.5365792	0.2551211	0.4560838	0.6402875	0.2343686	0.0419769	0.0382520	0.1853179	0.5153106	0.0038109	0.2641526	0.4111082	0.0926384	0.0532761	0.0591910	0.6390552	0.7054312	0.4546187	0.4704283	0.0416529	0.5761098	0.0929269	0.5311422	0.3436153	0.2638560	0.2431384	0.6353651	0.3028992	0.0018025	0.7071095	0.8096008	0.4617598	0.6789454	0.4718836	0.5018517	0.0269941	0.2841763	0.1280917	0.3583338	0.1122561	0.1624660	0.5191336	0.4854035	0.2357475
0.7060439	0.1286321	0.4847941	0.2023520	0.0926703	0.3359098	0.0000000	0.5813325	0.2709784	0.4284133	0.4945535	0.0758476	0.3111395	0.2376756	0.0472692	0.0788497	0.6268336	0.1254520	0.2122710	0.1985333	0.4205968	0.3393462	0.6112039	0.0000000	0.0301684	0.6450412	0.3886310	0.2348375	0.6888430	0.3535645	0.0229300	0.0293596	0.1308319	0.2313422	0.6144796	0.1063698	0.3744965	0.6198518	0.0894063	0.2239513	0.0039631	0.7553590	0.0660495	0.3297211	0.2265855	0.6231821	0.0807794	0.4659061	0.1021184	0.6904451	0.5428930	0.7358007	0.6587033	0.0785490	0.3300598	0.0699575	0.5740090	0.3843867	0.4415684	0.4680318	0.4878806	0.0329613	0.0512689	0.0996121	0.5599754	0.0150008	0.4917008	0.2730170	0.1075499	0.0364153	0.0527286	0.6021047	0.7134187	0.3680681	0.3103230	0.0047702	0.7598839	0.5504581	0.6789462	0.5073010	0.3620040	0.3608004	0.5820061	0.4502719	0.0096287	0.6496979	0.5612557	0.4046150	0.6476799	0.3954954	0.5388195	0.0055136	0.5064960	0.0971579	0.3275018	0.1765074	0.3185957	0.6187948	0.5064794	0.6217678
