G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4029206	0.6216574	0.3592001	0.5822878	0.1621730	0.4505267	0.5201266	0.5529846	0.5744453	0.1265327	0.4477661	0.4846944	0.4114030	0.3606921	0.1935390	0.0417276	0.4285975	0.0092503	0.0613687	0.0117986	0.2365238	0.4309201	0.0251415	0.5384703	0.0025456	0.6200470	0.0367003	0.1385364	0.5138279	0.7285188	0.1572085	0.0488236	0.1336831	0.1453706	0.2999810	0.0963223	0.5202964	0.3013718	0.3304919	0.4565234	0.4329912	0.7015730	0.1188604	0.1208242	0.4395474	0.6215351	0.0433842	0.7366427	0.0969928	0.5060608	0.2049713	0.7281937	0.3079443	0.7015447	0.0816887	0.3913120	0.4526754	0.5933792	0.7450854	0.2585640	0.5926380	0.2595546	0.3059363	0.6010085	0.1070295	0.0788104	0.2803438	0.3796716	0.3637803	0.0558398	0.0052127	0.6641961	0.6405969	0.4298131	0.4541283	0.0032337	0.3759390	0.1761293	0.4394164	0.6327854	0.1300742	0.5929280	0.5858253	0.1028535	0.0377390	0.2434663	0.7072782	0.5350853	0.7066091	0.3939179	0.5460366	0.0135447	0.0524507	0.1876573	0.1775185	0.3408338	0.2325370	0.6558898	0.7637647	0.3439368
0.6382376	0.2754663	0.6545277	0.0522360	0.0000874	0.2178433	0.4919058	0.4406210	0.5356023	0.1951952	0.5643089	0.5113524	0.5283549	0.3210056	0.0001672	0.0511879	0.6499297	0.0646528	0.3883570	0.0133856	0.3101167	0.4113097	0.1761764	0.2524905	0.0179906	0.5867835	0.2240034	0.2243233	0.3869388	0.3183767	0.0053296	0.0319669	0.1172911	0.3975700	0.1299279	0.2683936	0.6522711	0.1791625	0.4930541	0.2648474	0.1624078	0.6859251	0.0976067	0.1163687	0.5180594	0.6586315	0.0404014	0.5375400	0.0000253	0.7794981	0.3794187	0.5853673	0.2556524	0.4606745	0.3687147	0.3327350	0.6829451	0.3937796	0.4367505	0.6837498	0.2926203	0.0259959	0.1276522	0.8132837	0.1355557	0.2084769	0.2357403	0.6339467	0.0899901	0.0290104	0.0466644	0.2995556	0.4894166	0.4125666	0.6985406	0.2114536	0.5811375	0.0625215	0.4050344	0.6138365	0.4000720	0.3875849	0.7276406	0.4651692	0.1373138	0.2750940	0.6878039	0.3168348	0.5486929	0.3852884	0.6487191	0.2407238	0.5228112	0.1423496	0.7757874	0.2632577	0.4565287	0.5969726	0.6098482	0.1383827
0.3830843	0.0455162	0.3028402	0.0014297	0.0002525	0.4241776	0.6082230	0.3091343	0.6332017	0.0542901	0.5866948	0.6269679	0.5901449	0.1877622	0.0000017	0.0089134	0.7449115	0.0285109	0.0484432	0.0723196	0.1083876	0.6715071	0.6365952	0.0766053	0.0005682	0.6027631	0.3696958	0.0881221	0.5934250	0.6172201	0.0478152	0.0334367	0.1748308	0.1020817	0.1573684	0.1716418	0.5298525	0.6539457	0.0332721	0.1860023	0.2628043	0.6031336	0.0011476	0.5234556	0.0704119	0.6334058	0.1196961	0.7359906	0.0854396	0.6968983	0.2852946	0.6411561	0.6853996	0.4167169	0.1587087	0.3337195	0.6024356	0.3354457	0.3590240	0.7353878	0.4302368	0.0027972	0.0091365	0.7368678	0.0242481	0.0370283	0.4419194	0.2011152	0.1675813	0.0032108	0.1088549	0.5276828	0.4414822	0.4940864	0.5250564	0.0000113	0.7012568	0.5735567	0.3505536	0.2995805	0.6675031	0.5505284	0.5655244	0.5925981	0.0110397	0.2425665	0.5725507	0.4483364	0.5887137	0.7900192	0.6472167	0.2608696	0.4078175	0.2060622	0.5327294	0.5335444	0.3854176	0.6797750	0.7199929	0.2006796
0.6690213	0.6202589	0.4080444	0.7777248	0.4338608	0.1145785	0.5558225	0.3185769	0.6330848	0.2051243	0.4926931	0.4321546	0.3401337	0.3324598	0.3452611	0.2282431	0.3215373	0.0238144	0.5952615	0.0769320	0.4454470	0.4899415	0.1817256	0.1360548	0.0287053	0.7730147	0.1522290	0.2176006	0.5096643	0.4351776	0.0710432	0.2146971	0.0538352	0.0442110	0.3008006	0.1272018	0.5002246	0.1617929	0.3831603	0.2837514	0.4467493	0.7540410	0.0008995	0.5704246	0.0371927	0.7406392	0.0114103	0.5731795	0.2034781	0.6924463	0.3691122	0.5805592	0.3864027	0.4735200	0.3173021	0.5311885	0.7676617	0.5501731	0.6546995	0.8103637	0.4482694	0.1022632	0.0852313	0.6817900	0.0210605	0.0775771	0.2636732	0.3597242	0.5655430	0.0401737	0.0128671	0.5418138	0.4584605	0.5218455	0.5125766	0.1769003	0.5998576	0.1030986	0.3328186	0.2573467	0.0659339	0.4343126	0.6354716	0.5975622	0.0271463	0.3040415	0.5124713	0.4954822	0.6988095	0.4040227	0.2754694	0.4315343	0.5417928	0.0857267	0.3072045	0.3129134	0.0000963	0.5482581	0.5613871	0.3173935
0.4306806	0.6963102	0.5468932	0.6576516	0.7236374	0.5461656	0.4198061	0.3504281	0.4962776	0.2857174	0.4507823	0.2906215	0.2912405	0.6382091	0.6456584	0.6236322	0.0053428	0.0134638	0.3958666	0.0559035	0.2217282	0.2211953	0.0583130	0.2873359	0.0288511	0.7369118	0.0752598	0.0990804	0.6015546	0.3653945	0.0002022	0.0219514	0.2013322	0.3268497	0.7533792	0.0014961	0.6439428	0.2645834	0.2475463	0.1541172	0.2694603	0.5029107	0.0465257	0.6079518	0.0009319	0.5096920	0.0095740	0.6399588	0.0670251	0.4552744	0.6806233	0.6358135	0.7483966	0.5692643	0.0122537	0.4432957	0.6444543	0.0968263	0.6258560	0.6096774	0.2866787	0.0236496	0.1722238	0.6352411	0.0577009	0.0394216	0.0521772	0.4964309	0.4620129	0.1887768	0.0311087	0.8337496	0.6176285	0.0847487	0.2466327	0.0495429	0.5868182	0.2210405	0.3700475	0.4005928	0.2788386	0.4417346	0.3778551	0.2495862	0.1289952	0.3908742	0.4329434	0.3947219	0.7200871	0.6005892	0.5234712	0.0987299	0.4822456	0.3387789	0.6256116	0.4153451	0.3275336	0.5291710	0.5769818	0.5523925
0.5250847	0.2711890	0.2582511	0.6483400	0.2008649	0.3635887	0.6843325	0.4247397	0.6845379	0.0710162	0.5499735	0.6218890	0.5378451	0.2122418	0.0000048	0.0037225	0.5456069	0.0803006	0.1157693	0.1336089	0.0451954	0.3750657	0.0996553	0.3387023	0.0007180	0.6989908	0.2656762	0.2085803	0.3543527	0.5681393	0.0066804	0.0908852	0.1426830	0.0614322	0.4374375	0.1274897	0.5579901	0.3912182	0.2522760	0.4454663	0.2795663	0.4844269	0.3531945	0.0983963	0.4785535	0.6238440	0.0357457	0.7649490	0.0781538	0.5947471	0.1890422	0.5201915	0.4617795	0.5627904	0.1537773	0.4295763	0.6331374	0.4640487	0.6249067	0.6395034	0.5754343	0.0215035	0.0690808	0.7301460	0.0807374	0.1549583	0.4285547	0.5732289	0.5295535	0.0893174	0.0029455	0.4819821	0.6035454	0.5803212	0.2025591	0.1768937	0.6921915	0.0705221	0.3068356	0.6119055	0.3655556	0.3540489	0.6856864	0.1328954	0.2527595	0.4453477	0.5836420	0.4508186	0.4490436	0.6306556	0.6134774	0.4764003	0.6302506	0.4558775	0.4148824	0.3347261	0.3637739	0.6626327	0.5007586	0.1262825
0.6025740	0.6411317	0.6396576	0.7665652	0.5843881	0.3764082	0.4667065	0.5071646	0.4844608	0.1501175	0.5277641	0.4319166	0.3888582	0.3604686	0.6941878	0.6229333	0.0422470	0.0073504	0.1528378	0.0467587	0.0859384	0.5036834	0.0593186	0.3436824	0.0054567	0.5688502	0.1369169	0.3175599	0.1600529	0.6792521	0.2438905	0.0094468	0.2346464	0.0253961	0.0141181	0.3588124	0.4344711	0.1005075	0.5067551	0.6489947	0.5232306	0.6948932	0.0109114	0.1953172	0.3838578	0.8354433	0.0011566	0.6943681	0.2622184	0.5479161	0.4502985	0.4406126	0.6985456	0.5750349	0.0644671	0.1908641	0.4946866	0.3021382	0.7333861	0.5556303	0.1916707	0.0006336	0.0202674	0.7600325	0.0152054	0.1321030	0.3706005	0.4794608	0.7068002	0.1457400	0.0975038	0.3293498	0.5049642	0.2144958	0.5514376	0.0109534	0.5380314	0.1773356	0.4454176	0.6229991	0.3261486	0.5334485	0.5705227	0.2469805	0.0296332	0.2969058	0.3420788	0.3831574	0.4087305	0.6094765	0.0554395	0.2217504	0.3428107	0.0070362	0.4917963	0.3070820	0.4261936	0.6803768	0.5427831	0.2427766
0.6531294	0.1095840	0.7076229	0.1537967	0.0004712	0.1485657	0.6568400	0.5845804	0.5777037	0.1795018	0.5594520	0.4573588	0.4282595	0.2766718	0.0000317	0.0704718	0.6975147	0.0436017	0.1168011	0.0009430	0.0453049	0.3722599	0.0251349	0.2857421	0.0239512	0.6804418	0.0210032	0.1046644	0.3958425	0.4889830	0.1725754	0.3143174	0.0152883	0.2816935	0.0167455	0.2672667	0.5622471	0.3011354	0.3097668	0.1344806	0.2444109	0.4732091	0.0309381	0.1572210	0.4736863	0.6582861	0.0750317	0.4404093	0.2048914	0.6231664	0.3985809	0.7012442	0.5214854	0.4971121	0.4076019	0.3805356	0.5935029	0.3248117	0.5685474	0.1688383	0.1572679	0.0138122	0.3848618	0.6838822	0.0600286	0.0483079	0.3347759	0.6967292	0.4141634	0.0462004	0.0044655	0.2759503	0.6734113	0.5079199	0.8846659	0.0027868	0.5749067	0.0291428	0.4431054	0.3709946	0.1991123	0.5044223	0.6742229	0.0872104	0.1400674	0.3312198	0.7986358	0.3978725	0.6260272	0.4218354	0.6981864	0.5962019	0.1200256	0.2392140	0.4278690	0.4422095	0.0006648	0.7019655	0.6104135	0.1031947
0.5261993	0.0823501	0.6468614	0.3077223	0.0796361	0.6106268	0.4996544	0.2594556	0.5352178	0.2533347	0.5511006	0.5713919	0.5058551	0.1340912	0.0001122	0.1058537	0.6582221	0.0048749	0.4599832	0.1840321	0.2529297	0.3604379	0.0323467	0.4067517	0.0321257	0.7508537	0.0104666	0.1492049	0.5577510	0.2930839	0.0002711	0.0594360	0.1208664	0.2936638	0.6108795	0.0165654	0.2805385	0.5657264	0.0004087	0.0033585	0.0059353	0.7078949	0.0655701	0.1930362	0.3721061	0.6637568	0.1158467	0.5379325	0.0712470	0.6049203	0.7699466	0.6411328	0.7465183	0.6524701	0.2777114	0.2561755	0.7746208	0.1728153	0.5667840	0.4766785	0.5011311	0.0055741	0.0575449	0.5419836	0.4473936	0.0605203	0.1806831	0.8284064	0.1867596	0.3200260	0.0409625	0.5929081	0.6673619	0.5044729	0.2644640	0.0517816	0.3126798	0.0221308	0.5029998	0.4922996	0.4378353	0.4583530	0.5700867	0.0212061	0.0074577	0.7628967	0.6167463	0.3276511	0.4099848	0.4042128	0.8514353	0.0196284	0.2140904	0.1009468	0.4012235	0.4427676	0.1081808	0.7181875	0.4610266	0.0056129
0.3757951	0.7360259	0.6236600	0.6231127	0.5153269	0.2021050	0.4871523	0.4196437	0.4857405	0.1612076	0.5570047	0.3315572	0.3247881	0.6099068	0.2656915	0.2092858	0.1753789	0.2263425	0.3268011	0.1357726	0.2670980	0.3459120	0.1561607	0.3182343	0.0316969	0.6282294	0.1103766	0.1741423	0.4892482	0.4840027	0.0014362	0.0165762	0.1006954	0.0171207	0.7003702	0.0064409	0.5356185	0.0864351	0.6090173	0.3767482	0.5227486	0.5362701	0.0025387	0.6758351	0.0179951	0.6538789	0.0140024	0.4612482	0.0512757	0.3082251	0.2990716	0.6392439	0.6478222	0.6996375	0.3767600	0.3109793	0.6375835	0.3651640	0.5774991	0.5776094	0.4512126	0.1391445	0.0703085	0.6856928	0.0042509	0.1993294	0.2681723	0.2762936	0.5810442	0.3070663	0.0272096	0.5202508	0.4158805	0.4064591	0.2364952	0.0397204	0.6444143	0.0330448	0.3882573	0.6587528	0.0836270	0.3225764	0.6190605	0.4971402	0.0845680	0.2561396	0.4630138	0.5909447	0.6475787	0.4953996	0.4629302	0.4492550	0.7232794	0.2136930	0.5406359	0.1211269	0.0320492	0.6547802	0.2725764	0.4248268
