G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
1.0739220	0.2181499	0.8199644	0.0807243	0.0831143	0.3751694	0.0734811	0.9044299	0.2801538	0.7795112	0.5580852	0.1003190	0.3107287	0.4514407	0.0510393	0.1054189	1.0205820	0.1114139	0.3045725	0.2332943	0.0000000	0.0895652	0.1215582	0.4904551	0.0250133	0.9231534	0.0608620	0.2066032	0.8743738	0.5720928	0.0322810	0.0364019	0.2879385	0.5072283	0.9430221	0.0351877	0.5501243	1.0164390	0.0956684	0.3034020	0.0231373	0.6253447	0.1008212	0.2864667	0.6434610	1.0028032	0.1439295	0.0000000	0.1236265	1.0319627	0.6200378	0.9461057	0.9794311	0.4182546	0.4549824	0.0898246	0.3911199	0.2638480	0.4594051	1.0321581	0.5078595	0.4942867	0.1334084	0.6370774	0.9853374	0.0108737	0.5228439	0.6156350	0.4432997	0.0673728	0.1144717	0.7857220	0.9435230	0.1605262	0.1919115	0.1143585	0.3578325	0.0427793	0.9092960	0.5643576	0.5614977	0.4265869	0.5831757	0.4813283	0.0104283	0.9186567	1.0176963	0.5490735	0.9770892	0.6218522	0.8526274	0.0295127	0.3857882	0.2338433	0.5707380	0.1739231	0.2449707	0.7185254	0.6346769	0.1205956
0.9902031	0.1979662	0.7251600	0.1069386	0.0837798	0.4307104	0.0759185	0.9607022	0.4256367	0.5666724	0.5459962	0.1424967	0.3167014	0.4481936	0.0553853	0.1276279	1.0671810	0.1371729	0.3182159	0.2542229	0.1909952	0.1432028	0.1324242	0.4968531	0.0195767	0.9172368	0.0802558	0.1994382	0.8568517	0.6147412	0.0098760	0.0447610	0.2810769	0.5112520	1.0670201	0.0190543	0.0000000	0.9220806	0.1034811	0.2939848	0.0166968	0.6798360	0.0996301	0.3112586	0.5688430	1.0963800	0.1786971	0.0000000	0.1250009	0.9716673	0.1340709	0.9561496	0.9931362	0.4500703	0.4888830	0.1051226	0.4213883	0.3062632	0.4840796	0.7681553	0.5808568	0.4476638	0.1506430	0.6280823	1.0029176	0.0059338	0.4523912	0.4675549	0.3449601	0.0598440	0.0844393	0.9539368	0.9379540	0.4342081	0.6665513	0.6477702	0.4935666	0.0641636	0.9425238	0.6028978	0.5276611	0.4450187	0.5792711	0.6025615	0.0281021	1.1079640	0.9887226	0.5674689	1.0432244	0.6361190	0.9363850	0.0647784	0.4412362	0.1306998	0.5943365	0.1804737	0.2123605	1.0377303	0.9792025	0.2911226
0.8482993	0.1960236	0.7163563	0.1170259	0.1382196	0.4487060	0.0000000	0.8307146	0.2435994	0.6836556	0.6503558	0.0912611	0.3375690	0.4126722	0.0835951	0.1034958	0.9085107	0.1642591	0.3359782	0.2588741	0.2781762	0.0953740	0.1083106	0.4977200	0.0160478	0.8775564	0.0843741	0.2127543	0.8261049	0.6490270	0.0223943	0.0387417	0.2760162	0.4258445	0.9427563	0.0558950	0.5866629	0.9493576	0.1661043	0.3782955	0.0270832	0.6199358	0.1152079	0.2842393	0.5909056	0.9550632	0.2052118	0.0000000	0.1563726	1.0174683	0.6545259	0.9821149	0.9610128	0.3485534	0.4340098	0.1209875	0.6677059	0.2885469	0.4591697	0.9429655	0.6279087	0.5122336	0.1505600	0.0559192	1.0447110	0.0116604	0.5035021	0.5012999	0.1878372	0.0581087	0.1106618	0.8250525	1.0223734	0.2163674	0.1770344	0.0984721	0.6149820	0.0780045	0.9601557	0.6411915	0.5819535	0.3013879	0.5530221	0.5004683	0.0262538	0.9630561	0.9772892	0.5754371	0.9541644	0.8073335	0.8848723	0.0316355	0.3956821	0.1362790	0.5800363	0.2358700	0.2019054	0.9983746	0.6026786	0.2953178
1.0389070	0.7637820	0.8205191	0.6265036	0.0927658	0.6742185	0.8001375	0.8423378	0.7741019	0.3024392	0.9102975	0.6319384	0.6145779	0.2910622	0.0965152	0.1068016	1.0737991	0.0501633	0.2417333	0.1460373	0.0000000	0.5991677	0.1782305	0.3123643	0.0179735	0.8445498	0.1741322	0.1882657	0.9313565	0.6459617	0.0305611	0.1498633	0.1409181	0.2233719	0.9530039	0.0369288	0.0000000	1.0180858	0.1216712	0.3327385	0.0034058	1.0217668	0.0680240	0.4090708	0.2969258	0.9683449	0.0826060	0.8538401	0.1295141	0.9820435	0.0777999	1.0313423	1.0051190	1.0003085	0.4057933	0.4025496	0.9856406	0.4698869	0.8286185	0.1425752	0.5532828	0.0274571	0.1418225	0.9060716	0.8046997	0.0206115	0.2556331	0.5839749	0.1689082	0.0472862	0.0048603	0.8601898	1.0404792	0.6927402	1.0276705	0.1857244	0.0021153	0.1863544	0.6895749	0.6295746	0.3091485	0.6147804	0.3608017	0.5034474	0.0058672	1.0734390	0.9747979	0.8033701	0.9391581	0.6712637	0.9406623	0.0266990	0.6834680	0.1127316	0.5701630	0.3845896	0.3732147	1.0587122	1.0085723	0.3779886
1.0306690	0.1534095	0.8004609	0.1191686	0.1449524	0.4578078	0.0869211	0.7336301	0.4045907	0.5974583	0.6687504	0.1484758	0.2997428	0.3819766	0.0665984	0.1001633	0.9478584	0.1079822	0.3267311	0.2406594	0.1013207	0.4475983	0.9693592	0.0000000	0.0300154	0.9574630	0.6118185	0.2012946	0.8151270	0.5726359	0.0231310	0.0507061	0.2332406	0.4642743	0.7038635	0.1538781	0.5557166	0.9795375	0.0845990	0.2907093	0.0405849	0.5433270	0.0988918	0.3634800	0.6008539	1.0932321	0.1964615	0.0000000	0.1648068	1.0523046	0.5796673	0.9705699	0.9914665	0.1423519	0.5521889	0.1102868	0.6880568	0.3819547	0.4377124	1.0694764	0.5060998	0.4215892	0.1213818	0.8134891	0.6481968	0.0119410	0.8778202	0.1995347	0.6897623	0.0691136	0.1225278	0.8021086	1.0393291	0.1301079	0.3502637	0.0085141	1.0346780	0.0804389	1.0687822	0.6347195	0.6113067	0.4311723	0.4636730	0.5507326	0.0663199	1.0443827	0.9837229	0.6086452	0.9355605	0.8465961	0.8373382	0.0565608	0.6081239	0.1384709	0.6416823	0.2063835	0.3712189	0.9239288	0.5962416	0.8797831
0.8931567	1.0741893	0.7165529	0.0903771	0.1420901	0.4620472	0.0410103	0.9121040	0.0515341	0.6459059	0.6344883	0.0301020	0.0000000	0.3974478	0.0823575	0.0779501	1.0511288	0.1703602	0.4162231	0.2471188	0.2938687	0.0855753	0.1064043	0.5649962	0.0303401	0.9103488	0.0737636	0.1548694	0.8488472	0.5003885	0.0148007	0.0373610	0.3408899	0.5821261	1.0547777	0.0485074	0.5970588	1.0052515	0.1361431	0.3224886	0.0364597	0.6365087	0.1077388	0.3257450	0.5000589	0.8254800	0.5015510	0.0000000	0.4953158	0.9732811	0.6326355	0.9648601	1.0117797	0.4720116	0.3676471	0.0978541	0.7604085	0.2838689	0.3676749	1.0548531	0.5438475	0.4464924	0.1232049	0.0332610	1.0380091	0.0175683	0.5220838	0.3855562	0.2620836	0.0767303	0.2205322	0.8580968	1.0337761	0.2641709	0.1662087	0.3183646	0.2362337	0.0327636	1.0001955	0.6190925	0.6902493	0.3938617	0.5920789	0.7047557	0.0168920	1.0599776	0.9596904	0.5689673	1.0013784	0.6839686	0.9886704	0.0169287	0.4066096	0.1329727	0.5798309	0.3310273	0.1329267	0.1580323	0.6149265	0.4010012
1.0707776	0.2993301	0.7596611	0.1057979	0.1177912	0.3785429	0.0723451	0.7607962	0.4326085	0.6818860	0.6368299	0.2133582	0.3591667	0.4398431	0.0594731	0.0948983	0.9022393	0.1383750	0.3802727	0.3021331	0.3327790	0.0000000	0.1127659	0.4658748	0.0455671	1.0023938	0.0790307	0.1952382	0.8600089	0.5941497	0.0172708	0.0695624	0.2695272	0.4315279	0.9137764	0.0637722	0.6126872	0.9190081	0.1275598	0.3134781	0.0230657	0.6204481	0.0652886	0.4102163	0.6127653	1.0053760	0.1380799	0.0000000	0.1940077	0.9773535	0.6852614	0.8256972	0.9081671	0.5542903	0.4507656	0.1288905	0.3395686	0.2915880	0.5013617	1.0000518	0.5579676	0.5250726	0.1385238	0.5005934	0.8943782	0.0048224	0.4248659	0.5338293	0.3000577	0.0466247	0.0934292	0.8269427	0.8810947	0.2352573	0.2287646	0.1050653	0.7113094	0.0740628	1.0059850	0.5710005	0.4590536	0.4340380	0.6059684	0.4399727	0.0012914	0.9858082	1.0081751	0.6308928	0.9748062	0.6930405	0.8779013	0.0336128	0.4515118	0.2039728	0.6112362	0.1979148	0.2606519	0.6198082	0.5789646	0.2210179
0.9734154	0.2353567	0.8051959	0.5903999	0.1741081	0.0000000	0.6876610	0.7782897	0.1010603	0.5444303	0.6275711	0.0520774	0.2136079	0.4068516	0.0978938	0.0974731	0.9722846	0.0639557	0.3392257	0.3933321	0.4717874	0.0818482	0.1116150	0.4783010	0.0584747	0.9843396	0.0804933	0.2124576	0.7941605	0.6016931	0.0152201	0.0386066	0.3864914	0.5023627	0.9568170	0.0553833	0.0000000	1.0945596	0.1350588	0.3305491	0.0272113	0.9529185	0.0987841	0.4507658	0.3634748	1.0451021	0.2106687	0.7029102	0.1553319	1.0054935	0.1399425	1.0562581	0.8287160	0.2807128	0.5924800	0.3599813	0.8935408	0.5002353	0.8002413	0.3168969	0.5798867	0.0492009	0.1053363	0.9653634	0.8252501	0.0010812	0.2532564	0.6354353	0.6489212	0.0561526	0.0653761	0.8276215	0.9368072	0.8164104	0.9935728	0.4062172	0.4474413	0.0920530	0.3081033	0.6667491	0.4181907	0.6732988	1.0595926	0.7755044	0.0053317	1.0948783	0.8988871	0.9563649	1.0207076	0.7508255	0.8675105	0.5279434	0.5824836	0.1810380	0.5997880	0.4674742	0.2342240	0.9174546	1.0635390	0.4964305
1.0400520	0.3886711	0.7918753	0.1636970	0.0807908	0.4485324	0.0000000	0.8573092	0.3352468	0.6340526	0.6684201	0.1732787	0.2860260	0.3714351	0.0843002	0.0910568	0.9417644	0.1488393	0.3926836	0.3281677	0.6150408	0.1631390	0.1622261	0.5055135	0.0220049	1.0459628	0.0929487	0.2466687	0.7892534	0.6584157	0.0218710	0.0614019	0.3244576	0.4788022	1.0678897	0.0657203	0.0000000	0.7838148	0.1485015	0.3738974	0.0152426	0.9327116	0.0842602	0.5209627	0.3832843	0.9720258	0.1438909	0.5260847	0.1452596	0.9554026	0.1354770	1.0494035	0.9821959	0.6331108	0.3993213	0.1190149	0.7282073	0.3579762	0.5274467	0.6865444	0.4770215	0.0399884	0.1053821	0.2235652	0.8218892	0.0164507	0.3280848	0.4433671	0.1102066	0.0668150	0.1429006	0.8665129	0.9557038	0.8022130	0.9731643	0.4511516	0.4696757	0.1055149	0.8521189	0.5269929	0.4144750	0.4116823	0.9382935	0.6605131	0.0060803	1.0128274	1.0542682	0.5237391	0.9774538	0.6161636	0.7112855	0.0379435	0.4562650	0.1557168	0.6014473	0.1649964	0.3061757	0.9620365	0.9995960	0.3115662
0.9535790	0.2509789	0.8487438	0.3210924	0.1320173	0.4304243	0.0000000	0.7040719	0.5006005	0.5876855	0.6419611	0.1630303	0.3306027	0.3736175	0.0941399	0.0893699	0.9518362	0.0821706	0.2983593	0.2998735	0.7025878	0.0000000	0.1975970	0.4473797	0.0386871	0.9156764	0.1035919	0.2504866	0.8002859	0.6013989	0.0504812	0.0669512	0.2359116	0.4153353	1.0580720	0.0791053	0.6064868	0.9652663	0.0649054	0.2898816	0.0187634	0.9754183	0.0487952	0.4653324	0.3758332	1.0908414	0.1471333	0.5224987	0.1450861	0.9424662	0.6142743	0.8840360	0.9867685	0.6578556	0.4280476	0.0939972	0.8415325	0.3655324	0.7703823	0.9542711	0.4611377	0.0537265	0.1322683	0.2325097	0.7197360	0.0042671	0.3640332	0.6889590	0.1473223	0.0567573	0.0591195	0.8286289	0.9308286	0.7463608	0.7121262	0.0738108	0.7858640	0.1108904	0.8763035	0.6166149	0.2840160	0.4065244	0.9574921	0.4379563	0.0061874	1.0698719	1.0962163	0.6702505	1.0379978	0.7153384	0.6634816	0.0327048	0.5571679	0.2397132	0.5615057	0.1937123	0.2364354	0.8225003	0.7028669	0.3555090
