G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.8139676	0.7249693	0.7017403	0.3243310	0.4687196	0.3291570	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501205	0.2687763	0.1135153	0.2569950	0.0707521	0.9603103	0.9986560	0.3915579	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632019	0.9761394	0.0196441	0.6796081	0.9999875	0.9999999	0.6023837	0.7855683	0.0033979	0.8189798	0.6080789	0.8064823	0.2551403	0.0652500	0.0679931	0.4668988	0.0620073	0.4498044	0.4959066	0.6832374	0.2760811	0.3882148	0.0787943	0.5639839	0.1785811	0.1221436	0.4890088	0.9830931	0.8262359	0.0510090	0.0712686	0.8458431	0.6102600	0.1248739	0.7097434	0.8588566	0.7204348	0.8614289	0.0444793	0.1951725	0.9548093	0.6988290	0.1862790	0.9360952	0.6407388	0.1015707	0.8986720	0.5705005	0.9616309	0.6723447	0.5989822	0.9999977	0.3847079	0.1733128	0.0085957	0.6298208	0.0410360	0.4686576
0.0763091	0.0000001	0.7249693	0.7017403	0.3243310	0.4687196	0.3291570	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501206	0.2688081	0.1157879	0.6542749	0.2361140	0.9603103	0.9986560	0.0286820	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632082	0.8939550	0.0745696	0.6796249	0.9999875	0.9999999	0.6023837	0.7855683	0.0152750	0.8703035	0.6546125	0.8227286	0.2551156	0.0652516	0.0660874	0.5423335	0.0672698	0.4498227	0.4959062	0.6830124	0.2760854	0.3886297	0.1407865	0.5639845	0.1785811	0.1222609	0.7763063	0.8142056	0.8263556	0.1692635	0.0015490	0.8455168	0.6102600	0.4243983	0.7097433	0.9981136	0.7204247	0.8572495	0.0374507	0.1951725	0.9324318	0.6970151	0.1862790	0.9362600	0.6693219	0.1019453	0.9152020	0.5705005	0.6505024	0.6990466	0.5989822	0.9999977	0.3847079	0.1621486	0.0085902	0.6298117	0.0410360	0.4686576
0.1672273	0.8455247	0.0000000	0.7017488	0.3102530	0.4302397	0.3291570	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501207	0.2688184	0.1165325	0.8926398	0.5963465	0.9603103	0.9986560	0.0126183	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632103	0.8939408	0.0745791	0.6796303	0.9999875	0.9999999	0.6023837	0.7855683	0.0004298	0.9719632	0.9144862	0.8973908	0.2551076	0.0652521	0.0408825	0.8327532	0.1199165	0.4498286	0.4959061	0.6830118	0.2760868	0.4734003	0.2834445	0.5639840	0.1785811	0.1237201	0.8075329	0.1602479	0.8267868	0.4162242	0.0015792	0.8454074	0.6102600	0.6750626	0.7097433	0.9981725	0.7204258	0.8572459	0.0022391	0.1951725	0.9322516	0.6970152	0.1862790	0.9362678	0.6615033	0.1020692	0.9204038	0.5705005	0.4752041	0.2347469	0.5989822	0.9999977	0.3847079	0.1621464	0.0085902	0.6298088	0.0410360	0.4686576
0.0938902	0.8139676	0.7249693	0.0000000	0.3243310	0.4687195	0.9999938	0.0087263	0.5045113	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005923	0.4800244	0.3107586	0.2819214	0.1067481	0.7477402	0.3140183	0.9603103	0.9986560	0.0040479	1.0000000	0.0002095	0.8508330	0.0183614	0.0328706	0.9415074	0.6489805	0.8939402	0.0745795	0.6589449	0.9999875	0.9999999	0.6023837	0.7855683	0.0213767	0.6846896	0.6832285	0.7589566	0.4088713	0.0441825	0.0657592	0.5351589	0.0975236	0.4207912	0.2317123	0.6830080	0.2759997	0.3909398	0.1108557	0.5806724	0.1840611	0.1212430	0.8526406	0.7670165	0.8254736	0.5059893	0.0011945	0.8467446	0.6102547	0.6906809	0.7455833	0.9997990	0.8408183	0.8676454	0.0250372	0.1495554	0.9322095	0.6954383	0.4138898	0.9362713	0.6564466	0.1026468	0.7714886	0.5705005	0.2187283	0.6726748	0.5989822	0.9999993	0.3847079	0.1621463	0.0085968	0.6255213	0.0410461	0.4397179
0.1591248	0.7695719	1.0000000	0.7018151	0.0000000	0.5198780	0.3291570	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501207	0.2688182	0.1165173	0.8864639	0.5735130	0.9603103	0.9986560	0.0128215	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632103	0.8939408	0.0745791	0.6796302	0.9999875	0.9999999	0.6023837	0.7855683	0.0687499	0.8547911	0.7278425	0.8932311	0.2551078	0.0652521	0.0735527	0.2908495	0.1114612	0.4498285	0.4959061	0.6830117	0.2760868	0.4594021	0.2758069	0.5639840	0.1785811	0.1234964	0.8068058	0.1629481	0.8267563	0.4008667	0.0015786	0.8454095	0.6102600	0.6725158	0.7097433	0.9986510	0.7204258	0.8572460	0.0026860	0.1951725	0.9322530	0.6970152	0.1862790	0.9362677	0.6391436	0.1020668	0.9926822	0.5705005	0.4770270	0.6860118	0.5989822	0.9999977	0.3847079	0.1621464	0.0085902	0.6298089	0.0410360	0.4686576
0.1786825	0.9999993	0.8212213	0.7017652	0.2792141	0.0000000	0.3291570	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501207	0.2688187	0.1165505	0.8998227	0.6253910	0.9603103	0.9986560	0.0123861	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632103	0.8939408	0.0745791	0.6796304	0.9999875	0.9999999	0.6023837	0.7855683	0.0560515	0.8734966	0.7205720	0.9024609	0.2551074	0.0652521	0.0676306	0.4663724	0.1318937	0.4498288	0.4959061	0.6830118	0.2760869	0.4930303	0.2930284	0.5639840	0.1785811	0.1240760	0.8083800	0.7110936	0.8268278	0.4369607	0.0015798	0.8454047	0.6102600	0.6777679	0.7097433	0.9987200	0.7204258	0.8572458	0.0017861	0.1951725	0.9322499	0.6970152	0.1862790	0.9362679	0.6495814	0.1020722	0.9255741	0.5705005	0.4731545	0.6614754	0.5989822	0.9999977	0.3847079	0.1621464	0.0085902	0.6298087	0.0410360	0.4686576
0.1640899	0.8139676	0.7249693	0.7017403	0.3243310	0.4687196	0.0000001	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501207	0.2688183	0.1165270	0.8903761	0.5877436	0.9603103	0.9986560	1.0000000	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632103	0.9995088	0.0007436	0.6796302	0.9999875	0.9999999	0.6023837	0.7855683	0.0428702	0.9709783	0.7166248	0.8958455	0.2551077	0.0652521	0.0649110	0.3740765	0.1166447	0.4498286	0.4959061	0.7561899	0.2760868	0.4677121	0.3408050	0.5639840	0.0189576	0.1236309	0.5509642	0.7131162	0.8267752	0.2834299	0.2054641	0.8454081	0.6102600	0.1167637	0.7097433	0.9981607	0.6709266	0.8624149	0.0023965	0.1951725	0.9830797	0.6992858	0.1862790	0.9359741	0.6391444	0.1020684	0.9244010	0.5705005	0.4758626	0.6723446	0.5989822	0.9999797	0.3847079	0.1759001	0.0085962	0.2400082	0.0410360	0.4686576
0.0938443	0.8139676	0.7249693	0.7017328	0.3243310	0.4687195	0.9999999	0.0000000	0.5045130	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005923	0.4800244	0.3107586	0.2819187	0.1067474	0.7475407	0.3138115	0.9603103	0.9986560	0.0040479	1.0000000	0.0002095	0.8508330	0.0183617	0.0328706	0.9415074	0.6489772	0.8939402	0.0745795	0.6589373	0.9999875	0.9999999	0.6023837	0.7855683	0.0213600	0.6846590	0.6831762	0.7588114	0.4088859	0.0441817	0.0657603	0.5351740	0.0975175	0.4207795	0.2257156	0.6830080	0.2759997	0.3909300	0.1107860	0.5806724	0.1840609	0.1212434	0.8526181	0.7671376	0.8254734	0.5059164	0.0011944	0.8467447	0.6102548	0.6906784	0.7455834	0.9997990	0.8408162	0.8676498	0.0250736	0.1495554	0.9322095	0.6954378	0.4138899	0.9362713	0.6564441	0.1026444	0.7714779	0.5705005	0.2181254	0.6726746	0.5989822	0.9999993	0.3847079	0.1621463	0.0085968	0.2371758	0.0410461	0.4397180
0.0938903	0.8139676	0.7249693	0.7017328	0.3243310	0.4687195	0.9999937	0.0087263	0.0000000	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005923	0.4800244	0.3107586	0.2819265	0.1067483	0.7477413	0.3140159	0.9603103	0.9986560	0.0040479	1.0000000	0.0002095	0.8508330	0.0183614	0.0328706	0.9415073	0.6489827	0.8939402	0.0745795	0.6589534	0.9999875	0.9999999	0.6023837	0.7855683	0.0213763	0.6846956	0.6832352	0.7589576	0.4075933	0.0441825	0.0657592	0.5351600	0.0975242	0.4208016	0.2354318	0.6830080	0.2759997	0.3909398	0.1108669	0.5806724	0.2785857	0.1243017	0.5748041	0.7669809	0.8254735	0.5059998	0.0011945	0.8467445	0.6102547	0.6906810	0.7455831	0.9997990	0.8408190	0.8676418	0.0250368	0.1495554	0.9322095	0.6954386	0.4138898	0.9362713	0.7059236	0.1026496	0.7714936	0.5705005	0.2187078	0.6726750	0.5989822	0.9999993	0.3847079	0.1621463	0.0085968	0.6255170	0.0410461	0.4397178
0.1640898	0.8139675	0.7249692	0.7017403	0.3243310	0.4687196	0.3291570	0.4657396	0.4501511	0.0000005	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800054	0.3501199	0.2686099	0.1165269	0.8904238	0.5879194	0.9603809	0.9999999	0.0126905	1.0000000	0.0002095	0.8508330	0.0177948	0.0328724	0.9416691	0.6631577	0.8939408	0.0745791	0.6795200	0.9999875	0.9999999	0.6023864	0.7855682	0.0428980	0.9709741	0.4092411	0.9022438	0.2552661	0.0652407	0.0689358	0.4917081	0.1166819	0.4497053	0.4959087	0.6937006	0.2760868	0.4681263	0.2806691	0.5639846	0.1785818	0.1236359	0.8072833	0.7105766	0.8267758	0.4102836	0.0015790	0.8454092	0.6099760	0.6741538	0.7097643	0.9987361	0.7204032	0.8573035	0.0023931	0.1951726	0.9322526	0.6970066	0.1862793	0.9362726	0.6692896	0.1020380	0.9178626	0.5705027	0.4758483	0.6723731	0.5989822	0.9999977	0.3847079	0.1621464	0.0085903	0.6298682	0.0410347	0.4686577
