G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4195251	0.8901184	0.2937984	0.5865446	0.5134378	0.0130072	0.9964293	0.0392216	0.4360040	0.1862778	0.2024877	0.9240682	0.1118758	0.9043300	0.2889256	0.8338848	0.6492364	0.6148395	0.8130981	0.4876786	0.2771188	0.2856501	0.4224618	1.0000000	0.0000000	0.0000000	0.0000275	0.6189503	0.1589760	0.6332317	0.2930986	0.7567732	0.2253414	0.9422879	0.6636728	0.0040504	0.8745940	0.0002413	0.8536703	0.1504994	0.0575778	0.3793831	0.5668328	0.5420885	0.2067627	0.4768765	0.9999847	0.9563398	0.5281082	0.9373969	0.1035037	0.4215068	0.6398913	0.8369824	0.0924180	0.0876193	0.1954201	0.2376094	0.0562368	0.2954667	0.4687929	0.9662114	0.3752707	0.3154882	0.0376977	0.7478048	0.7122816	0.8675038	0.5460914	0.5174270	0.5344325	0.9854792	0.0275399	0.5612939	0.0714492	0.5882445	0.7616430	0.9999474	0.8147949	0.5038216	0.0783728	0.0030892	0.6440129	0.9965176	0.9305771	0.6474684	0.4604739	0.1753990	0.7053020	0.1648265	0.0862822	0.4092332	0.3605654	0.9905691	0.1570494	0.1195556	0.0000670	0.5077469	0.1448981	0.1968572
0.2492651	0.7402749	0.7997454	0.2454364	0.2898683	0.3349172	0.3314790	0.4437322	0.7164735	0.6862303	0.0183853	0.8758999	0.1118758	0.9043300	0.0344157	0.4179715	0.5088622	0.4883888	0.2595567	0.1910071	0.4575293	0.9194469	0.8483478	1.0000000	0.0007542	0.0289540	0.0835836	0.7726714	0.9096385	0.9765015	0.6730295	0.8238098	0.3139823	0.9522341	0.9656826	0.0084937	1.0000000	0.0002612	0.8805701	0.5830893	0.5698774	0.9355889	0.4108949	0.8885802	0.0781781	0.9451890	0.9623133	0.9999617	0.6459565	0.6637733	0.2021502	0.4437546	0.8077422	0.3176511	0.0132354	0.7759989	0.0234420	0.9056867	0.4098820	0.9204480	0.4136480	0.6712627	0.2656794	0.0033716	0.3486768	0.5864259	0.4820822	0.8622890	0.6175468	0.6153999	0.6892359	0.9296406	0.4919205	0.4330781	0.7066686	0.8685832	0.0488584	0.9727167	0.6921061	0.2748181	0.0000000	0.3629174	0.7256964	0.9969481	0.1158856	0.8379856	0.6122223	0.3228936	0.9999984	0.5082362	0.2095266	0.4167833	0.0169786	0.9513777	0.1903895	0.0275556	0.4913641	0.3470022	0.0066123	0.5038081
0.2158817	0.6152346	0.6269475	0.4294930	0.3246842	0.5290575	0.8077267	0.0002458	0.3524792	0.3983696	0.6456314	0.8089084	0.0886200	0.7563780	0.9184182	0.9979166	0.1949970	0.9794177	0.9295596	0.8354602	0.1147691	0.0387206	0.4490038	0.1381935	0.1414257	0.0000000	0.1240430	0.4038709	0.2791195	0.9891754	0.4309487	0.4797776	0.1666689	0.9523545	0.9678033	0.0001629	1.0000000	0.0002715	0.8443232	0.1150602	0.0799434	0.3203578	0.4553086	0.9791634	0.0174874	0.5708329	0.9999579	0.8201243	0.5193378	0.9962114	0.2081972	0.5465928	0.9638083	1.0000000	0.0000050	0.1632553	0.0008439	0.0682689	0.6780105	0.6999953	0.1441773	0.9982449	0.5308603	0.4660342	0.1444172	0.7855454	0.1581179	0.8014463	0.6279949	0.6477655	0.5315234	0.9520707	0.0745336	0.4926899	0.3812292	0.7247833	0.6737395	0.8467399	0.9478016	0.0175224	0.0000000	0.0105069	0.7945540	0.9849207	0.7988154	0.7602287	0.6377467	0.2720476	0.9963338	0.1788200	0.4104705	0.7689139	0.6521173	0.9999957	0.4625345	0.5961628	0.3744510	0.2212283	0.4078156	0.0857588
0.8009383	0.9962183	0.5909492	0.6690397	0.3482772	0.0986618	0.1864256	0.1042272	0.8173829	0.4219163	0.0529624	0.0643802	0.4019017	0.4266116	0.3912357	0.7034448	0.2104073	0.9755968	0.8341845	0.9441768	0.1253721	0.4328441	0.3437606	0.0000038	0.9229720	0.8246027	0.1278539	0.7831238	0.8961017	0.6627832	0.5823248	0.5459064	0.1303308	0.9474149	0.8885984	0.6593246	0.9614837	0.4378449	0.6832270	0.9432258	0.7056162	0.7817646	0.6603075	0.2506406	0.4440237	0.8494594	0.9622722	0.7947114	0.3113182	0.9546608	0.0070381	0.1842882	0.9373807	1.0000000	0.3027338	0.4099629	0.3046962	0.9236389	0.1964842	0.9980465	0.0383501	0.9738715	0.5270594	0.3108522	0.1237390	0.9672009	0.3500582	0.5900978	0.2264577	0.6077910	0.8193715	0.8891752	0.1846778	0.4576664	0.8892726	0.2723534	0.4009800	0.9966019	0.3173348	0.4457470	0.3035338	0.0622017	0.5626275	0.7575036	0.3148415	0.6677784	0.9300869	0.1575476	0.9999153	0.7955697	0.5690912	0.2932340	0.4513805	0.9980295	0.7708465	0.1146329	0.0341815	0.6087295	0.0009014	0.0861025
0.1183215	0.5990930	0.7151187	0.4015300	0.2987036	0.5946875	0.8645144	0.1301594	0.3049452	0.1872492	0.2674094	0.3513256	0.9987384	0.0989682	0.5339222	0.9859166	0.3932063	0.8866716	0.6217889	0.4481347	0.2906291	0.0987488	0.4201849	0.1222720	0.4758643	0.0686413	0.0000193	0.3143566	0.9487176	0.5693163	0.4421486	0.8461128	0.8374907	0.9638022	0.8949084	0.0000198	1.0000000	0.0141288	0.8669400	0.8132113	0.1777375	0.7662157	0.3971269	0.5563336	0.4004057	0.7401345	0.9623132	0.9997799	0.2621141	0.8859356	0.0878253	0.8264046	0.9050139	0.6548438	0.0008318	0.0719512	0.3424225	0.6323858	0.3668861	0.7691055	0.0618453	0.9839609	0.6192693	0.8268267	0.2536556	0.4097015	0.5995815	0.6151636	0.1838486	0.7137841	0.5001232	0.9412041	0.0725089	0.6733649	0.5500915	0.8067902	0.2019866	0.9269643	0.9319327	0.7599843	0.0003130	0.0436770	0.3502891	0.4112804	0.5880746	0.8723227	0.9373436	0.2020148	0.9976425	0.9230505	0.5003085	0.8465797	0.4442050	0.9999919	0.5150191	0.0067845	0.2144542	0.1672980	0.0080803	0.0444017
0.0518733	0.7402653	0.4881051	0.3392899	0.3647201	0.5524959	0.9967270	0.0522667	0.6776931	0.1860620	0.0519340	0.5030471	0.3867366	0.5753934	0.4758052	0.5762164	0.3729469	0.7510982	0.9772156	0.6061857	0.2676579	0.6731783	0.1520506	0.1221949	0.9225211	0.2349579	0.0804433	0.2234368	0.5348323	0.0456340	0.1063015	0.7855492	0.2128250	0.9811893	0.9929999	0.0040476	0.9185449	0.0023042	0.4642884	0.9877756	0.5872087	0.7495273	0.1346385	0.5885779	0.3539699	0.6206202	0.9623110	0.9745757	0.8169142	0.4878939	0.0011936	0.5668808	0.6676673	0.6268285	0.5983063	0.0436289	0.0085825	0.6626363	0.0090571	0.0721696	0.6999811	0.8332554	0.8012391	0.3964407	0.0838273	0.4046832	0.2396793	0.5673250	0.6195401	0.1377353	0.5347054	0.1754477	0.0009400	0.8414656	0.5432117	0.4541309	0.2176271	0.7779957	0.3314642	0.2986914	0.0536911	0.0282888	0.5813142	0.5182059	0.5457911	0.5630448	0.8690625	0.1302338	0.8601914	0.3550752	0.1343665	0.8910999	0.9952342	0.9998764	0.5131768	0.3496279	0.1592353	0.5768527	0.0069514	0.1392659
0.3580824	0.9959506	0.0911547	0.0021554	0.6103208	0.0952343	0.6049169	0.0000000	0.4549415	0.3090604	0.0340800	1.0000000	0.0662475	0.9043300	0.1079029	0.3452261	0.7958725	0.8915153	0.7146965	0.5728812	0.2832018	0.7488186	0.7140747	1.0000000	0.0000000	0.0000000	0.0703189	0.1376719	0.7263630	0.6266743	0.6067415	0.8639434	0.4233874	0.9277148	0.5194533	0.0044304	0.6101088	0.0002589	0.4854290	0.9749141	0.2483030	0.7119419	0.7009711	0.3633127	0.4845648	0.7936933	0.9999892	0.9999949	0.6444098	0.5230208	0.0047546	0.8832111	0.9631685	0.7015675	0.0995986	0.2793894	0.0023950	0.4264370	0.0848916	0.6730577	0.4467064	0.3687368	0.5456472	0.1674773	0.0399846	0.5889001	0.6458918	0.9284430	0.6435399	0.8858322	0.8400010	0.8187541	0.1425287	0.8584705	0.1220590	0.8212622	0.3824567	0.7025644	0.5890036	0.2976077	0.4398438	0.3058177	0.9997248	0.7924097	0.8680588	0.9329242	0.8955964	0.2136103	0.6041130	0.7698682	0.2123910	0.2310858	0.1788534	0.9999999	0.1569398	0.0139583	0.0023381	0.1454749	0.1349083	0.5829301
0.0099099	0.3961618	0.5514902	0.4191137	0.3989515	0.5620224	0.9942579	0.0688086	0.8245017	0.3117286	0.1202240	0.4305751	1.0000000	0.0000000	0.0011010	0.4076206	0.6342706	0.4915613	0.9181222	0.9787555	0.7639096	0.9387155	0.3454252	0.0000028	0.9761131	0.2758501	0.6522154	0.2645176	0.4361099	0.5203813	0.0738499	0.9489341	0.2886353	0.9694851	0.8624006	0.0000044	0.9999989	0.0738446	0.0837320	0.3500909	0.0903173	0.3229555	0.2781496	0.7341461	0.1743884	0.8464895	0.9623133	0.9999971	0.4933868	0.8896284	0.5481646	0.7595646	0.8134541	0.4009256	0.2696760	0.0296726	0.0357806	0.9448596	0.1894617	0.9635201	0.0215332	0.8596386	0.4772757	0.2260763	0.0713670	0.6231599	0.0516095	0.1967565	0.7556880	0.3460627	0.5351402	0.9775089	0.0494565	0.9359725	0.6455413	0.3308547	0.4744440	0.9999943	0.6176226	0.6532330	0.0725553	0.0306895	0.3239445	0.2617474	0.0093171	0.3118702	0.9265935	0.3095847	0.9135384	0.9985297	0.1907075	0.8784915	0.9239128	0.9493531	0.1535760	0.0002102	0.1025537	0.5714681	0.0145729	0.5189791
0.1065064	0.6053384	0.4978078	0.3254133	0.4021166	0.7023551	0.7754658	0.0505725	0.7782921	0.0335641	0.0379468	0.4867204	0.4429115	0.0078873	0.7828556	0.5848555	0.4251409	0.6140628	0.5778718	0.4031396	0.3298290	0.6616509	0.1335088	0.0000023	0.9226576	0.2473139	0.2189969	0.8900602	0.3498930	0.0803174	0.0000000	0.6880639	0.2427881	0.9616077	0.9733301	0.0000573	0.8723658	0.0016254	0.6049219	0.9663744	0.3415343	0.6718773	0.0885815	0.6227954	0.3101733	0.4925096	0.9999887	0.9999729	0.6060512	0.8309050	0.1218824	0.9649405	0.7999648	0.6296418	0.8375765	0.4074529	0.5016655	0.7173505	0.1237011	0.0333964	0.3805660	0.9349116	0.3249149	0.7106844	0.5319306	0.6230996	0.2871739	0.2099304	0.6349236	0.4044894	0.3311503	0.5117641	0.0236904	0.9250797	0.9041942	0.4094087	0.5884894	0.8268910	0.7792562	0.5301342	0.3242925	0.0093953	0.5898112	0.0621267	0.3082778	0.0000000	0.6338946	0.0010546	0.9793887	0.8612334	0.1376802	0.1845695	0.6524760	0.9976495	0.5475371	0.1538792	0.0019974	0.4613397	0.0086695	0.0282907
0.0833903	0.9596373	0.6457408	0.3064148	0.3583998	0.0375593	0.3166687	0.2701342	0.5702924	0.2488263	0.1673164	0.9922809	0.8274225	0.1039269	0.9506138	0.5059811	0.4759003	0.8463438	0.7276848	0.6028435	0.2421640	0.6794894	0.0002024	0.1830016	0.1028965	0.0592050	0.0020987	0.9998727	0.1629537	0.6184353	0.2405977	0.2976784	0.0541356	0.9532174	0.9833218	0.2692419	0.9830394	0.0002334	0.8154011	0.6919059	0.2464920	0.6369442	0.6251088	0.5398839	0.4264444	0.6560512	0.9999919	0.9999728	0.5014269	0.7514070	0.0000648	0.5609946	0.4040322	0.6811156	0.2219498	0.3030525	0.0005094	0.4105684	0.4530445	0.6467214	0.2797238	0.0371879	0.3243864	0.4027490	0.0129801	0.6572279	0.0878589	0.0037425	0.4978612	0.9995730	0.8567539	0.5827972	0.3600634	0.6504536	0.5321128	0.3368235	0.7257188	0.9067117	0.5035897	0.3112844	0.0425685	0.0109726	0.8084696	0.1655817	0.9284895	0.6233278	0.9464781	0.4450686	0.9991279	0.5790514	0.7627978	0.2659647	0.2319176	0.9999083	0.5589943	0.3541847	0.0094103	0.7507787	0.1469774	0.5957932
