G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0749104	0.6590847	0.5092944	0.5471219	0.2565311	0.2918834	0.2541369	0.2794079	0.2467787	0.0253027	0.1171473	0.6661422	0.5057078	0.2930748	0.3342898	0.2165723	0.3299708	0.4895028	0.1926060	0.0891890	0.4206685	0.7963738	0.0456312	0.2311086	0.0399597	0.0058871	0.0039514	0.3005461	0.3565149	0.2131573	0.0748386	0.5585992	0.2482719	0.7320317	0.6357838	0.0492157	0.6237929	0.0006705	0.6098076	0.0188871	0.0284058	0.7173902	0.4406882	0.5929372	0.0591865	0.5556509	0.6597121	0.5812861	0.4484718	0.4833725	0.0250263	0.5498805	0.5033296	0.5501305	0.1574156	0.0351356	0.0372426	0.3220004	0.0363380	0.1331991	0.4465021	0.5197944	0.2108601	0.2429785	0.1736491	0.5260218	0.1507641	0.0931382	0.5393818	0.5400392	0.5849543	0.2000680	0.0123312	0.6279773	0.3574841	0.3635787	0.6013694	0.6241560	0.4090854	0.4166329	0.0128954	0.0726087	0.6159480	0.6375960	0.1526010	0.7484662	0.5049477	0.0338187	0.6981680	0.4970041	0.4449301	0.4761935	0.4366411	0.6317295	0.2500396	0.1167517	0.0131797	0.4152577	0.0335490	0.2732022
0.0783326	0.2683105	0.5605871	0.3200000	0.1266971	0.2065339	0.2911429	0.2413858	0.3308597	0.0818957	0.0858247	0.7379136	0.2390866	0.6245907	0.1601094	0.2620858	0.3416470	0.5434822	0.2031138	0.1449325	0.3819070	0.5856572	0.2059197	0.5017095	0.0236355	0.0028638	0.0001832	0.4217734	0.3283866	0.1894599	0.1416068	0.6229794	0.2748465	0.7460247	0.7615488	0.0157863	0.5265018	0.0026891	0.4800386	0.0043742	0.0096817	0.5256380	0.5543566	0.5462583	0.0526160	0.5487303	0.6570583	0.7414131	0.3894195	0.5558740	0.0291289	0.5645323	0.6322262	0.5993048	0.1697125	0.0534360	0.1371031	0.3636089	0.0270396	0.1019632	0.4792047	0.7470932	0.1474485	0.2071234	0.0962390	0.4093957	0.1682333	0.1961007	0.6466699	0.4863763	0.6563043	0.2447750	0.0031244	0.5900646	0.5452546	0.3258505	0.4392488	0.7726604	0.5058841	0.5342463	0.0171327	0.1849482	0.6669550	0.6351451	0.1236901	0.6162919	0.4045053	0.0917692	0.7671335	0.2411248	0.3068290	0.5374042	0.3697272	0.6043662	0.1725900	0.1367326	0.0074106	0.3985294	0.0134546	0.3679803
0.0799911	0.6301930	0.2871824	0.5169250	0.2099886	0.3268318	0.2972429	0.2670437	0.3555057	0.0500880	0.0586864	0.7905288	0.4198998	0.3897016	0.3455848	0.3633462	0.3064560	0.5410767	0.2083549	0.1180375	0.2850491	0.6801386	0.1085476	0.3114209	0.0651743	0.0264619	0.0004859	0.3939335	0.2412586	0.1554817	0.0745003	0.6079270	0.3958569	0.7642340	0.6221302	0.0152989	0.6602723	0.0008436	0.4846843	0.0081910	0.0104550	0.7100423	0.4285827	0.6138437	0.1122541	0.4632742	0.6570347	0.6812619	0.4260378	0.4804413	0.0108882	0.7327816	0.4819111	0.6145794	0.2131859	0.0362890	0.0468030	0.3597498	0.1418279	0.3930570	0.4091053	0.5530505	0.1003650	0.3919113	0.1321366	0.2633685	0.1221077	0.1604583	0.6331660	0.6111511	0.4810678	0.2756421	0.0024555	0.5522204	0.4983942	0.5070605	0.4772744	0.6813958	0.5392105	0.6108522	0.0022254	0.1277825	0.7356498	0.5352548	0.0701548	0.7389984	0.5465316	0.0586928	0.6086246	0.3409068	0.2629588	0.3919744	0.5360932	0.6465016	0.2927064	0.1864567	0.0007216	0.4761561	0.0283757	0.2964049
0.1277786	0.6157530	0.5021545	0.2017004	0.2683994	0.3411596	0.2468532	0.2328762	0.2526558	0.0544376	0.0663735	0.7274114	0.3594139	0.4060814	0.2809136	0.2940636	0.2751639	0.4976585	0.1707877	0.0663963	0.2857973	0.5961418	0.1083052	0.2984558	0.0298987	0.0138248	0.0032768	0.3382573	0.2102466	0.2093898	0.0742287	0.6226805	0.5012147	0.6328641	0.7015991	0.0137488	0.5405673	0.0065701	0.6426250	0.0128329	0.0224459	0.6650063	0.4749066	0.6028270	0.0810916	0.4421656	0.7251146	0.8717237	0.3288602	0.4872986	0.0487610	0.4728141	0.6054319	0.7212531	0.2643949	0.0281855	0.0613996	0.4042467	0.0995775	0.0737091	0.4367536	0.6367757	0.1314137	0.4034814	0.2206231	0.3517087	0.1807073	0.1291261	0.5519700	0.5709069	0.5679334	0.3001549	0.0057285	0.5594169	0.4833510	0.4749927	0.6228048	0.7988399	0.4875793	0.5762126	0.0052920	0.2142649	0.6060162	0.4740939	0.1618403	0.7055475	0.4655074	0.0833683	0.6402922	0.3190837	0.3290471	0.4902546	0.4241664	0.6165503	0.2515959	0.1582364	0.0034595	0.3234492	0.0619312	0.3893609
0.1012857	0.6583975	0.6605680	0.5609727	0.1907797	0.3634307	0.2665532	0.3796825	0.3684970	0.0281541	0.1017171	0.7044003	0.5542218	0.1634472	0.4690888	0.2607213	0.3638972	0.5420734	0.2534918	0.1269781	0.3959671	0.5531063	0.0478697	0.1293562	0.0671263	0.0110034	0.0041882	0.3590801	0.2322726	0.1713264	0.0631214	0.5269910	0.4313799	0.6655893	0.7499275	0.0048456	0.8112023	0.0052611	0.6199853	0.0380491	0.0145484	0.6985662	0.5266317	0.7759543	0.0849337	0.4952749	0.7164992	0.6214565	0.4884507	0.5681982	0.0690597	0.6844594	0.5154071	0.5405298	0.2177841	0.1260375	0.0253587	0.2244536	0.0662460	0.4242638	0.3249343	0.4137605	0.1906454	0.2387077	0.1338451	0.3662528	0.1245288	0.0990258	0.5077154	0.5158081	0.5536355	0.3450640	0.0001299	0.5397145	0.4605643	0.3982651	0.6066465	0.5209300	0.5000777	0.5641942	0.0065312	0.0647714	0.5857691	0.4261199	0.1033569	0.6820298	0.3927936	0.0659250	0.6372491	0.4245540	0.3284207	0.5727469	0.4914375	0.6342159	0.2349223	0.0725172	0.0275718	0.4604703	0.0646510	0.3218437
0.0587076	0.6616992	0.6927949	0.4988188	0.1599540	0.1979444	0.3267421	0.3403135	0.3030170	0.0140160	0.1102283	0.6498095	0.7799314	0.1404145	0.3485506	0.2442372	0.3562208	0.4847125	0.2334065	0.0912920	0.3385582	0.5979828	0.0528431	0.1365683	0.0523004	0.0219472	0.0036838	0.3803924	0.1825085	0.1599208	0.1027994	0.5681611	0.3904850	0.7553915	0.8308718	0.0089544	0.7512773	0.0000643	0.6338302	0.0038290	0.0238991	0.6707052	0.3965621	0.6643003	0.0642817	0.4348025	0.6173390	0.6495885	0.4808804	0.5575469	0.0177506	0.5608638	0.4602083	0.6359514	0.1871996	0.0616077	0.0202134	0.3310466	0.0630995	0.4288864	0.3974216	0.4242515	0.1674119	0.4445368	0.1974814	0.4209770	0.1096823	0.0575337	0.5839497	0.3676320	0.6129044	0.2737536	0.0037550	0.6662026	0.3521294	0.4002101	0.6392844	0.7059201	0.5762542	0.6051802	0.0014350	0.1499005	0.5901652	0.3390325	0.0675648	0.4945421	0.4870336	0.1319954	0.5735306	0.5085282	0.3441150	0.4632104	0.4579264	0.7187808	0.2364145	0.1572650	0.0093942	0.4272078	0.0232968	0.2617780
0.1116061	0.5341580	0.4927783	0.5497821	0.1934592	0.3724551	0.1350469	0.2943507	0.3762717	0.0332965	0.1053761	0.7060214	0.6854824	0.1761507	0.3324116	0.2937846	0.4013903	0.5176350	0.2073469	0.1033031	0.4121480	0.5443059	0.0385385	0.2339043	0.0441043	0.0061445	0.0008766	0.3849158	0.1957922	0.1668986	0.0985450	0.6282149	0.4289523	0.6779658	0.5881279	0.1467511	0.5982262	0.0057852	0.6118642	0.0159742	0.0453167	0.6944039	0.3924596	0.7009386	0.0290205	0.4194888	0.6701006	0.7924949	0.4944188	0.5812908	0.0640608	0.6061247	0.5342600	0.6104339	0.1838016	0.0454830	0.0578280	0.3592120	0.0695711	0.3508723	0.4308895	0.4719134	0.2670295	0.3953265	0.1514773	0.3555799	0.1145253	0.0899113	0.4775558	0.5654537	0.6314246	0.1279066	0.0106010	0.4975213	0.4068232	0.3581647	0.3727352	0.6002836	0.4192095	0.5623810	0.0042714	0.1437289	0.7938247	0.4047492	0.0925912	0.7032554	0.4350184	0.0850429	0.6616226	0.4229991	0.2991341	0.4519656	0.4640921	0.6936799	0.2222232	0.0947829	0.0160557	0.3619341	0.0443051	0.1863400
0.0898243	0.6160414	0.5068295	0.5091717	0.2613042	0.1938786	0.2338232	0.1471255	0.3976626	0.0389948	0.0946702	0.7817827	0.5190068	0.2032013	0.4022581	0.3837643	0.3169906	0.5650275	0.4110845	0.1589375	0.2474700	0.6147775	0.0490604	0.2145173	0.0403663	0.0031784	0.0020219	0.3746928	0.2330141	0.1797296	0.1488778	0.4823648	0.1506805	0.5930631	0.7368231	0.0064530	0.6241700	0.0008105	0.5532585	0.1058844	0.0801416	0.5306197	0.5057633	0.6083026	0.0481288	0.5780931	0.6229167	0.6223551	0.4144741	0.6443786	0.0237610	0.4540309	0.6702460	0.4958571	0.2394179	0.0280921	0.0374655	0.1962543	0.0510054	0.1196781	0.3861465	0.4916767	0.2421459	0.3440550	0.1631342	0.3734818	0.0860524	0.0400584	0.5521516	0.6429616	0.5974736	0.2789782	0.0222726	0.5574521	0.4806856	0.5060538	0.4537170	0.7411448	0.4665478	0.5133623	0.0129030	0.0515027	0.5914323	0.5889620	0.3052038	0.7008302	0.5939927	0.1386223	0.5736735	0.3554006	0.1987757	0.4364269	0.5214914	0.6998054	0.2821322	0.1555569	0.0124575	0.3328058	0.0157798	0.2902554
0.0873621	0.6572541	0.4314404	0.5151820	0.2244518	0.2721247	0.2097167	0.3418758	0.1482576	0.0459776	0.1619011	0.6813002	0.4285262	0.2191314	0.3980576	0.3328098	0.3080418	0.6270723	0.2840457	0.1711972	0.2708022	0.6485331	0.0545248	0.2254528	0.0595763	0.0293833	0.0012478	0.3001526	0.2480084	0.1237387	0.0903523	0.5768153	0.2717260	0.6120121	0.5893777	0.0044384	0.6573426	0.0016815	0.5365582	0.0319221	0.0457009	0.6497347	0.5074589	0.4768500	0.1047616	0.4083458	0.6446394	0.6946803	0.3577408	0.5593617	0.0113184	0.6014610	0.6778122	0.5652386	0.2397481	0.0362044	0.0278993	0.2568288	0.0889771	0.2231765	0.3562156	0.4497085	0.2448362	0.2883831	0.1498396	0.4387762	0.2595394	0.1065663	0.3892094	0.4470063	0.5991881	0.2519611	0.0032228	0.4587669	0.4237448	0.5460211	0.5125215	0.7666768	0.4275249	0.4933448	0.0057262	0.0988960	0.6744668	0.4777386	0.3238157	0.5780800	0.5156321	0.1272670	0.7523732	0.3385225	0.3585565	0.4554579	0.4111414	0.6641915	0.3113416	0.0555519	0.0040412	0.3665167	0.0156901	0.3451352
0.1615101	0.5334127	0.3932992	0.4356417	0.2970115	0.1754510	0.1992543	0.2724136	0.4053139	0.0168180	0.1627100	0.7664847	0.1597654	0.4130124	0.2435542	0.3361105	0.2671864	0.6149934	0.2255005	0.1929476	0.2069574	0.6216682	0.1910089	0.2803727	0.0800157	0.0151852	0.0015830	0.3872862	0.2033885	0.2442359	0.1280278	0.5809489	0.4342462	0.8494736	0.7453931	0.0298917	0.6539145	0.0010218	0.6709440	0.0193414	0.0447550	0.6301642	0.3678264	0.6056651	0.0276114	0.4323340	0.6510799	0.6594484	0.3893478	0.5489795	0.0215269	0.4993655	0.4494221	0.6282183	0.1899157	0.0369345	0.1658038	0.2292521	0.0889678	0.0544806	0.4467235	0.6443564	0.2404190	0.3071954	0.1017777	0.3700865	0.1854907	0.1777780	0.5001395	0.4403569	0.5947609	0.4207140	0.0041042	0.5233454	0.5647374	0.4856702	0.5433513	0.6709597	0.4748737	0.5484099	0.0029655	0.2005080	0.6462262	0.6077939	0.2059344	0.5847696	0.4466969	0.0921968	0.6508042	0.2587340	0.3256798	0.3912526	0.3703296	0.6328966	0.2328825	0.0665066	0.0049676	0.3753450	0.0156311	0.4665358
