G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G67A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.1300076	0.4206250	0.8700882	0.0513036	0.9254401	0.5643603	0.6238488	0.1595855	0.9047597	0.7826062	0.0334794	0.2423931	0.0949970	0.4437172	0.3620487	0.6297645	0.4968447	0.5936713	0.7023368	0.7666732	0.4191731	1.0111351	0.9888920	0.0176724	0.6909805	0.5324670	0.4688913	0.2528148	0.6671017	1.0154033	0.0280393	1.0315141	0.2467089	0.6355617	0.1164215	0.6184446	0.5771656	1.0550613	0.3571326	0.3200847	0.8468371	0.2754318	0.8963777	0.0299169	0.5311068	0.4136616	0.0631050	0.2482690	0.5067490	0.9353246	0.6244040	0.3373266	0.1770486	1.0571129	0.5298796	0.1429542	0.2621893	0.3735486	0.4042465	0.0020772	0.0427654	0.2215165	0.3953111	0.4488567	0.9238108	0.4424640	0.2663177	0.4803929	0.3253136	0.6201538	0.0728601	0.9501994	0.1698644	0.4732907	0.8069449	0.4351565	1.0373084	0.4000217	0.1222532	0.0971811	0.2206364	0.9491537	0.1324819	0.9788212	0.6709734	0.8812690	0.2431574	0.3534899	1.1489165	0.9689073	1.0952466	0.3940490	1.0415717	0.4694084	0.0318959	0.9730266	0.8405665	0.7765376	0.4583278
1.0686371	0.0000000	0.4617254	1.0228955	0.1186018	0.8988101	0.5056689	0.6424764	0.1943848	0.9692324	0.7282705	0.0263169	0.2664899	0.0817409	0.6050057	0.3386068	0.6619051	0.5890638	0.6943318	0.7227014	0.8916772	0.4253400	0.9380505	1.0385704	0.0075362	0.6459325	0.4842155	0.5308029	0.2129277	0.7037034	0.9748724	0.0072718	0.9789699	0.2597986	0.7941395	0.1909482	0.4864483	0.5727013	0.9483060	0.3050980	0.2573322	0.8240809	0.3472207	0.9060399	0.0329640	0.4174969	0.4463034	0.0698843	0.2871127	0.5883843	1.0443304	0.6609792	0.3189541	0.2825634	1.0137877	0.5509681	0.1508580	0.2894216	0.4222837	0.3207164	0.0058174	0.0246477	0.0816648	0.3267978	0.3859371	1.0220216	0.4155711	0.3178897	0.4475273	0.3456617	0.7867140	0.0158539	1.0384213	0.1705555	0.5233318	0.8387600	0.3676986	0.9518293	0.4357218	0.1352143	0.2546942	0.1799073	0.9379485	0.0629178	0.9323042	0.6194055	0.8520903	0.2004898	0.2912298	0.9729125	0.9784282	1.1123038	0.4865641	0.9272578	0.4409091	0.0221638	1.0312647	0.9842153	0.6858892	0.4046000
1.0159543	0.1109733	0.0000000	0.7575832	0.0724261	0.8881816	0.9955991	0.7008431	0.1753457	0.9037712	0.8038965	0.0184583	0.2074748	0.0995608	0.5739887	0.2917512	0.6646476	0.4807656	0.6487430	0.6832215	0.8257927	0.4914245	1.0450909	1.0487042	0.0055510	0.7069213	0.5856429	0.3895396	0.2059604	0.7388864	1.0451112	0.0217479	0.9438843	0.2556078	0.9763044	0.2252641	0.5655243	0.6371912	1.0391736	0.3181376	0.3032124	0.7394873	0.2979064	0.9986267	0.0158013	0.4165944	0.3812357	0.0410590	0.2296805	0.5261343	0.9625611	0.6213875	0.2924176	0.2380469	0.9880060	0.3836392	0.1298584	0.2491387	0.3811075	0.5049541	0.0067744	0.0449423	0.1737810	0.4218638	0.3860782	0.9096662	0.4207706	0.2969235	0.5132344	0.3467941	0.8075837	0.0420178	0.9065176	0.1483254	0.4596165	0.8252669	0.3613170	1.0020020	0.4716959	0.1646602	0.0553991	0.3621803	0.9936029	0.0741607	1.0647577	0.7186618	0.8436971	0.2435990	0.4940462	1.0428889	1.0652637	0.9652954	0.6834913	0.9466865	0.4707957	0.0175273	0.8829216	0.8619876	0.8624916	0.4151106
0.2253370	1.0141925	0.4074325	0.0000000	0.4583010	0.8843084	0.6060248	0.6381039	0.1955140	0.9667504	0.6762449	0.0246738	0.2115572	0.0865447	0.6166238	0.3089506	0.6111393	0.5063958	0.6422972	0.7711682	0.9297958	0.4208182	1.0243768	0.9819609	0.0283969	0.6940656	0.5470679	0.4916509	0.2719824	0.7233621	1.0887994	0.0110583	1.0077058	0.2061640	0.7592259	0.1491704	0.6081586	0.5946479	1.0851448	0.2942790	0.3206490	0.7574098	0.3325936	0.9694425	0.0494479	0.4761128	0.5021860	0.0703061	0.2383842	0.6137839	1.0518700	0.6322415	0.2969733	0.2636782	0.9590694	0.5677557	0.1385446	0.3200349	0.3891094	0.3671813	0.0034184	0.0319684	0.2728584	0.4460270	0.4464471	0.9509267	0.4534284	0.2958254	0.4241771	0.3527984	0.0132137	0.0347602	0.9148880	0.1618845	0.5010640	0.7480332	0.4337915	1.0021663	0.3641107	0.1661295	0.2549064	0.1795076	0.9919797	0.0945704	1.0046490	0.6406935	0.8951183	0.2294864	0.3438693	1.0413820	1.0651424	0.9943039	0.4804947	0.9896190	0.4126187	0.0277798	1.0156546	0.9760860	0.9687448	0.4189513
1.0702847	0.1476758	0.4085073	0.8026579	0.0000000	0.8794990	0.5305103	0.6973013	0.1794652	0.9249991	0.6799627	0.0260086	0.1856154	0.0850483	0.5749583	0.2717981	0.5407869	0.5574932	0.6496819	0.6892616	0.8278981	0.5110408	0.9871633	0.9821925	0.0112887	0.6503648	0.5914084	0.4840532	0.2508587	0.6120357	0.9646107	0.0215961	0.9819650	0.2398626	0.7494351	0.1740933	0.5266003	0.5306065	0.9831714	0.3958264	0.2998999	0.7248426	0.3039380	0.9618143	0.0368635	0.4763862	0.4940374	0.0608354	0.2350774	0.5843949	1.0711954	0.6226555	0.2978030	0.2115495	1.0445869	0.4980319	0.1331520	0.2523177	0.4799303	0.2785702	0.0119677	0.0797684	0.2116285	0.4374132	0.4325486	0.9530500	0.3559260	0.2937445	0.4119970	0.3163022	0.7453482	0.0337156	0.9524040	0.1779726	0.4461465	0.7425655	0.3970565	0.9993879	0.3033092	0.1636367	0.0724322	0.1967296	0.9390904	0.1056651	0.9202661	0.6971480	0.8707671	0.2142367	0.2987442	1.0534695	1.0536371	0.9678886	0.5768592	1.0684335	0.4493611	0.0422978	0.9270832	0.9353955	0.8311023	0.4523840
0.8959305	0.1642019	0.4066564	0.7754728	0.0516907	0.0000000	0.5306991	0.6355921	0.1976240	1.0001123	0.5865140	0.0150679	0.2089527	0.1068663	0.6103101	0.3805355	0.5588824	0.5904552	0.7468313	0.7169011	0.8556739	0.5453239	1.0324584	1.0395658	0.0035150	0.7363679	0.5626649	0.4348675	0.2342200	0.6221898	1.0776829	0.0259708	1.0304325	0.2494586	1.0476651	0.1879912	0.6115458	0.6089915	0.9934406	0.3806638	0.3098244	0.8176024	0.2882584	0.9751102	0.0442164	0.5011839	0.5324051	0.0785149	0.2743743	0.5651162	0.9455774	0.6013197	0.3231894	0.1945907	1.0754935	0.4740507	0.1491456	0.2923124	0.4266622	0.3705010	0.0007637	0.0784521	0.2415121	0.4175938	0.3841576	1.0108553	0.4566247	0.0062531	0.4356223	0.3371879	0.0201177	0.0233850	0.9180679	0.1479355	0.4739377	0.8178022	0.4825005	0.9190736	0.3144180	0.1681708	0.2160171	0.2291096	0.7226200	0.0158227	0.9314581	0.9526785	0.6911679	0.3925517	0.4291958	0.9763191	1.0469115	0.9916436	0.4737432	0.9459541	0.4838989	0.0248901	1.0391187	0.4161075	0.8608659	0.4405622
0.9464264	0.1073586	0.4722974	0.9178960	0.0629153	0.8530776	0.0000000	0.5570960	0.0892627	0.9314463	0.5818363	0.0225976	0.2989954	0.1050311	0.4983859	0.3041371	0.5739476	0.5130714	0.5664740	0.6572423	0.8352593	0.4193640	0.9777917	0.9293664	0.0238598	0.5962865	0.4386169	0.9006954	0.2654953	0.5780744	1.0597538	0.0410343	1.0610765	0.2019304	0.9275780	0.2015264	0.5934327	0.5011165	0.9773670	0.3625911	0.2811438	0.9735107	0.3886840	0.8676947	0.0451148	0.4333486	0.4118771	0.0372543	0.2385161	0.6228586	0.9704885	0.6584391	0.2929549	0.2705797	1.0093792	0.5122298	0.1509219	0.7186520	0.3783665	0.2714156	0.0053067	0.0646264	0.1699728	0.4023854	0.3901505	0.9206362	0.2951796	0.3026372	0.4598374	0.2815855	0.7244672	0.0482677	1.0254886	0.1473878	0.6502117	0.8284406	0.4825063	0.9684359	0.3258746	0.1411172	0.2741809	0.0114027	0.9440946	0.1325178	1.0606073	0.7664822	0.9920144	0.2102415	0.0150566	0.9914469	0.9831012	0.9435654	0.3062571	1.0498666	0.4632608	0.0419418	1.0796495	0.8876270	0.8440599	0.4102859
1.0289166	0.1087413	0.4435534	0.8428725	0.0850900	0.8298416	0.5307508	0.0000000	0.1416566	0.9409372	0.7441541	0.0199738	0.1806002	0.0793704	0.5207934	0.3792730	0.6127461	0.5312131	0.6426416	0.6548117	0.8251176	0.4769257	0.9752837	1.0504937	0.0185591	0.6546130	0.6008160	0.4752381	0.2501390	0.5896978	1.0035945	0.0135739	0.9784950	0.1761208	0.8613947	0.1956604	0.5560393	0.5411664	1.0320466	0.3793273	0.2690599	0.7880430	0.3475093	0.9159455	0.0441318	0.4560862	0.5161684	0.1062865	0.2439202	0.6152123	0.9496105	0.7377263	0.0169974	0.2431988	1.0779739	0.4976844	1.0017032	0.1728962	0.2947806	0.4482995	0.0086216	0.0410095	0.1630023	0.3429906	0.4110213	1.0007376	0.3746140	0.7869951	0.4325146	0.0152372	0.7127207	0.3636197	0.9456903	0.5449128	0.5601975	0.9151436	0.5427686	0.9131156	0.3406811	0.1218427	0.0786385	0.1928075	0.8938733	0.4932127	0.9640150	0.7348517	0.9736629	0.2825862	0.3137375	1.0285989	0.9731363	1.0246349	0.4672118	0.9386237	0.4438929	0.0284675	0.9500313	0.9246202	0.8443367	0.4308788
0.9780849	0.1305572	0.3906838	0.7571383	0.0884599	0.8769211	0.5779648	0.1738981	0.0000000	0.9217588	0.6279699	0.0259653	0.2670895	0.0944801	0.4969395	0.3448461	0.6484569	0.5674501	0.6442272	0.7377201	0.7957969	0.4630518	1.0132673	0.9249959	0.0103528	0.7269062	0.4776234	0.4788723	0.2469699	0.6500586	0.9317848	0.0246845	0.9125438	0.1742717	0.9094334	0.1636201	0.5601589	0.5898882	1.0613280	0.4237686	0.2942926	0.8377608	0.3360392	1.0189186	0.0102457	0.3316631	0.2967592	0.0311131	0.1896262	0.5279359	0.9436184	0.6061101	0.2952452	0.0722449	1.0243013	0.5230292	0.4393984	0.1997545	0.3293954	0.3647844	0.0029675	0.0608072	0.2076310	0.4460784	0.3798456	0.9332165	0.3687393	0.5642648	0.4511036	0.1575598	0.6850403	0.0903975	0.9843221	0.8520637	0.5833345	1.0242368	0.4983450	1.0199250	0.3149471	0.1087304	0.0444222	0.1551124	0.9649140	0.6286880	0.9935051	0.7235243	0.9477808	0.2451366	0.3026332	1.0512479	0.9834761	1.0532146	0.4950866	1.0038820	0.4678371	0.0471958	1.0002197	0.7821253	0.8164826	0.4739404
0.9936005	0.1373522	0.4836903	0.7192449	0.0682929	0.7751516	0.5366874	0.6228725	0.5878969	0.0000000	0.6809731	0.0349448	0.2485298	0.1150759	0.5609896	0.2857778	0.6098902	0.6371747	0.6982130	0.6421514	0.8472963	0.4475948	1.0599737	1.0000961	0.0124234	0.6737340	0.3468996	0.4431341	0.1644357	0.6329397	0.9236154	0.0016693	0.7644514	0.5103374	0.9194168	0.2172284	0.5207179	0.6599929	1.0042029	0.3536627	0.4218580	0.7827305	0.2715768	0.9876087	0.0345129	0.3445267	0.3329321	0.0509947	0.2847219	0.5319428	1.0827606	0.6517603	0.3265481	0.1580445	0.9938726	0.1117002	0.1342637	0.2301222	0.3739881	0.2406124	0.0002766	0.0646305	0.1084998	0.4138925	0.4197954	0.9470287	0.4397395	0.3005012	0.3423410	0.2646080	0.5923828	0.0083039	0.9979714	0.1787435	0.4635291	0.9096643	0.3504531	0.9734255	0.5901035	0.1237063	0.0660914	0.1869892	1.0021244	0.0137489	0.9729023	0.6312222	1.0302397	0.1782244	0.3280925	0.9746942	0.9330680	0.9468380	0.1759732	1.0497289	0.4928835	0.0263645	0.9370258	0.8266461	0.9091583	0.4230750
1.0239009	0.1126010	0.4378791	0.8828429	0.0609501	0.5162074	0.5648689	0.6778728	0.2041197	0.9131581	0.0000000	0.0315847	0.1799604	0.0960021	0.5758277	0.3383140	0.6465205	0.4525109	0.6118662	0.6923997	0.8950653	0.4813331	1.0082108	0.9710402	0.1305391	0.7001236	0.8321656	0.1945785	0.2432437	0.7473598	0.9659297	0.0237012	1.0693991	0.3349742	1.0454921	0.2273123	1.0739916	0.5496571	0.9670170	0.3399412	0.3694786	0.6470568	0.3036953	0.8813794	0.0182722	0.4782660	0.3928305	0.0439880	0.2081985	0.4577188	0.9629057	0.6678845	0.3374760	0.2218876	1.0681981	0.6880866	0.0747140	0.2440027	0.1176178	0.3696763	0.0062169	0.0854587	0.2377752	0.3336759	0.4421584	0.9217157	0.5036839	0.1787825	0.4347858	0.3072449	0.5781110	0.0285838	0.9709548	0.1342812	0.4539380	0.7637946	0.6627690	0.9400901	0.4730702	0.1334166	0.2497159	0.1772899	1.0381439	0.0548556	0.9145693	0.8004461	0.8407995	0.3579728	0.3978552	1.0274025	0.9675226	1.0247472	0.5202066	0.9968864	0.5093793	0.0479695	1.0364132	0.9182216	0.8537883	0.4178848
1.0233817	0.1278758	0.3998958	0.8351780	0.0763791	0.8074757	0.4664659	0.5727729	0.1963884	0.9671725	0.7757658	0.0000000	0.2244314	0.0888140	0.6196594	0.3296629	0.6329956	0.5356858	0.6163779	0.7103349	0.8665616	0.5011120	0.9312435	0.9391067	0.0059950	0.7082531	0.4433985	0.6161717	0.2274211	0.6485682	0.9861476	0.0100170	1.0664766	0.2758689	1.0022503	0.1834238	0.5328306	0.6318633	1.0667857	0.3584562	0.3059724	0.8373391	0.3325160	0.9174780	0.0291563	0.3323220	0.4025765	0.0641169	0.3036163	0.6728773	1.0190342	0.5809636	0.3166631	0.2336311	0.9879001	0.4270846	0.1579714	0.3071788	0.4280306	0.3605112	0.0135590	0.0606765	0.1368296	0.4112178	0.4022052	0.9897340	0.3991012	0.2835373	0.3918334	0.2862146	0.7020232	0.0146009	0.9619373	0.1549004	0.4895907	0.8831431	0.4738958	1.0030352	0.4713046	0.1347852	0.0756311	0.1322611	0.9409357	0.0434820	1.0737999	0.7133200	0.9695518	0.2659267	0.2957678	1.0542643	1.0353673	1.1086974	0.4899884	0.9911360	0.4433575	0.0243964	0.9711532	0.9314305	0.9491698	0.3985398
0.2487242	0.1224458	0.4228705	1.1273360	0.6120805	0.8141945	0.4978482	0.6568331	0.1682633	0.9153469	0.7657318	1.0133032	0.0000000	0.0898737	0.5608521	0.3497194	0.6089353	0.5488836	0.6710317	0.6670202	0.8952407	0.4785711	1.0719347	1.0219320	0.0016070	0.1085862	0.5243779	0.5033599	0.2266566	0.5955947	1.0443850	0.0143717	1.0275122	0.2494539	0.7609402	0.1355399	0.5480540	0.5710466	0.9349146	0.3524061	0.3338405	0.7881394	0.2454062	0.9248253	0.0176027	0.3741295	0.4549390	0.0599119	0.2097090	0.6643112	1.0163638	0.7532732	0.3100056	0.1742934	1.0381296	0.4646862	0.1085083	0.3575718	0.4278026	0.6520439	0.0180054	0.0616217	0.1031312	0.3857816	0.4357814	1.0152374	0.4042808	0.2463025	0.4568517	0.3509713	0.6825215	0.0035577	1.0935918	0.1468815	0.5082002	0.8771426	0.5290817	1.0003412	0.5022976	0.1415344	0.0625896	0.1913685	1.0096222	0.0460712	0.9847367	0.6412329	0.8575353	0.2275045	0.3156320	1.0310526	1.0162694	0.9639271	0.4818160	0.9297084	0.4842710	0.0295446	1.0167212	0.8773947	0.7531297	0.4386319
1.0792160	0.1810328	0.4379366	0.7116814	0.0559956	0.7825661	0.5390927	0.5954150	0.1321337	0.9892491	0.7410049	0.0148061	0.2747737	0.0000000	0.6587474	0.2582215	0.4732282	0.4466345	0.5282051	0.8222087	0.9815985	0.4487146	1.0226018	1.0158982	0.0057663	0.7195240	0.4175209	0.4892266	0.2156441	0.6596304	1.0040636	0.0073041	1.0602085	0.2333796	0.7771316	0.1604107	0.5951072	0.5527323	1.0235649	0.3085037	0.3444554	0.7735407	0.3678308	0.9177185	0.0197615	0.4927930	0.6975089	0.0923380	0.2682977	0.6855726	0.9976499	0.6377854	0.2762760	0.2673765	1.0642217	0.4347652	0.1398442	0.2444699	0.5062199	0.2941774	0.0238854	0.0575868	0.1163548	0.4167322	0.4237727	0.9931136	0.4478929	0.2551619	0.4410438	0.3556719	0.0359268	0.0043104	0.9418014	0.1620627	0.4326117	0.8998931	0.5492045	0.9983714	0.3723103	0.1500559	0.0642707	0.1640683	1.0283142	0.1576351	1.0089207	0.7907740	0.9778041	0.2248972	0.2831425	1.0939230	0.9984317	0.9472307	0.3237529	0.8993774	0.5090601	0.0164752	0.9900034	0.8439751	0.8591213	0.4341350
1.0031391	0.1150891	0.4768520	0.9929991	0.0563596	0.9349420	0.4991586	0.5955536	0.1877041	0.8427442	0.7946556	0.0204761	0.2359620	0.0989005	0.0000000	0.5442862	0.8685672	0.6037089	0.7668085	0.3434963	0.2670890	0.4574673	0.9752720	1.0687226	0.0044304	0.8242443	0.4741340	0.6294434	0.5898992	0.5007927	0.8072156	0.5378158	1.0610962	0.2389992	1.0258333	0.2702504	0.5625902	0.6117328	0.9845320	0.4525663	0.2628787	0.8701355	0.5189390	0.7602281	0.0338617	0.2132001	0.2458344	0.0239573	0.1364433	0.2939289	0.7753140	0.6036285	0.3033497	0.2768279	1.1102231	0.1075476	0.2255309	0.5608974	0.5151420	0.3854531	0.0285538	0.0675048	0.2442673	0.4268551	0.4082735	0.8373737	0.4909123	0.2750690	0.9679378	0.2943232	0.7613945	0.0541777	0.9826740	0.0590739	0.6085662	0.6608371	0.3570622	0.9993134	0.9651613	0.0961388	0.1246331	0.1688848	0.9173270	0.0887811	1.0881342	0.7152320	0.8616137	0.2237280	0.2107743	0.9647645	1.0294317	1.0053789	0.4965017	0.9532760	0.5937705	0.1187353	0.9759488	0.7024795	0.7562061	0.3276147
