G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G67A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0008819	0.1342153	0.4731414	0.8211033	0.0370210	0.8548410	0.5675061	0.5860858	0.1745501	0.8739678	0.7508405	0.0311180	0.2536808	0.0944746	0.4528176	0.3539082	0.6919642	0.5099381	0.6225227	0.6585781	0.7447158	0.4698102	1.0279049	1.0345513	0.0308689	0.6341732	0.4848974	0.4677490	0.2490379	0.6199969	1.1159381	0.0270303	1.0477426	0.2209017	0.7994160	0.1104432	0.6418682	0.5074801	0.9735212	0.3855250	0.2968755	0.8934822	0.3061973	0.9106865	0.0289531	0.5110055	0.4679904	0.0489678	0.2283457	0.5097646	0.8577008	0.5833931	0.3498661	0.1869683	1.1155244	0.4913342	0.1449073	0.3000858	0.4063392	0.3926498	0.0070338	0.0477262	0.2150653	0.4105324	0.3814464	1.0182358	0.4395470	0.2528185	0.4751849	0.3108169	0.6994948	0.0646720	1.0285446	0.1339039	0.5299192	0.7541069	0.5291598	1.1016242	0.3966404	0.1382853	0.0755382	0.1562940	0.9867209	0.1330022	1.0010759	0.7094399	0.8432459	0.1946139	0.3694248	1.1022792	1.0490428	1.1040458	0.4442945	0.8719619	0.4556580	0.0442188	1.1756848	0.8419865	0.7118636	0.4517390
0.9849106	0.0000000	0.5057331	1.0826436	0.0800417	0.9154505	0.5080906	0.5962064	0.2017741	0.9507500	0.7770280	0.0365972	0.1915907	0.1009001	0.5716980	0.2940194	0.6015253	0.5945833	0.6217718	0.6790533	0.9093939	0.4376977	0.8698737	1.0898110	0.0073573	0.7352499	0.4901693	0.5553968	0.2073251	0.5976645	0.9381812	0.0031224	1.0954362	0.2666628	0.8195573	0.1822942	0.5473653	0.6152205	0.9770827	0.3151478	0.3412317	0.8298219	0.2856361	1.0190605	0.0324389	0.3884094	0.4430532	0.0692534	0.2669764	0.5998801	1.0672346	0.6716985	0.2878597	0.2933500	1.0153400	0.4736127	0.1396913	0.2568679	0.4389274	0.2868058	0.0106696	0.0555764	0.1043707	0.3865723	0.4672378	1.0273127	0.4319405	0.2973696	0.4357489	0.3369963	0.6949924	0.0219912	1.0567408	0.1447201	0.4737064	0.7283888	0.4483088	1.0377013	0.4434148	0.1346873	0.2518394	0.1803877	0.8946021	0.0671152	0.8973096	0.6118885	0.8880581	0.1981695	0.2690581	1.0499367	0.9686964	1.0941716	0.5018010	0.9439286	0.3502388	0.0112906	1.0178869	0.9509171	0.6211944	0.4566228
0.9652057	0.1245057	0.0000000	0.8044360	0.0821482	0.8283639	0.9997524	0.6893121	0.1711251	0.8963888	0.7923691	0.0254298	0.1943097	0.1097978	0.5539616	0.2912715	0.6332905	0.5615827	0.6688429	0.7783281	0.8014257	0.5194828	1.1272307	1.0572960	0.0062843	0.7254510	0.5798533	0.4271107	0.2721274	0.6887510	1.0406798	0.0241103	1.0064098	0.2326155	0.8302663	0.2298534	0.5548891	0.6183787	0.9681547	0.3679275	0.3354564	0.7026502	0.3134048	1.0140244	0.0198018	0.3643456	0.3977131	0.0301877	0.2460963	0.4953063	1.0498944	0.6722380	0.3207005	0.1766309	0.9125812	0.3385682	0.1748160	0.2260298	0.3892518	0.5084049	0.0050077	0.0414105	0.1646564	0.4170526	0.3604279	0.9799662	0.4600759	0.2728209	0.5299971	0.4094847	0.6653266	0.0380314	0.9567052	0.1672935	0.4675635	0.8331244	0.3935252	1.0528384	0.4295567	0.1436867	0.0431731	0.3494862	1.0050161	0.0886022	1.0196177	0.6064990	0.8392412	0.2256903	0.4634018	1.0900952	1.0903217	0.9907315	0.6574063	1.0144937	0.4921613	0.0461527	0.8726229	0.9050413	0.8543887	0.4235186
0.2495195	1.0688992	0.3979397	0.0000000	0.4211004	0.8875635	0.5772502	0.7133801	0.1683907	0.9556100	0.7363639	0.0224269	0.2315294	0.0819146	0.6246840	0.2552202	0.5955515	0.5271824	0.6071241	0.7404298	1.0080140	0.5276905	1.0874495	1.0835808	0.0103090	0.6429778	0.5026406	0.4218668	0.2971917	0.6056904	1.1448041	0.0172984	0.9665422	0.2171878	0.7483265	0.1316402	0.5502613	0.5820039	0.9988272	0.3638376	0.3513098	0.7528598	0.3240113	1.0509326	0.0578642	0.4853055	0.4420462	0.1318906	0.2336040	0.5174614	1.0675034	0.6578217	0.2822167	0.2825652	0.9732135	0.5457878	0.1362977	0.3079803	0.4669024	0.3642313	0.0016437	0.0453549	0.2303796	0.3934047	0.4314027	0.9492712	0.4524039	0.2644245	0.4082719	0.3305525	0.0238004	0.0159485	0.9010546	0.1912571	0.4819282	0.7141468	0.5099563	0.9751915	0.3843022	0.1644502	0.2513321	0.2216227	0.8918583	0.1050923	0.8431003	0.7211036	0.9224064	0.2294084	0.3391265	1.0143189	1.0116686	1.0050872	0.4590991	0.9951931	0.4591809	0.0261498	0.9745338	1.0801440	0.9717351	0.4129065
1.0599914	0.1810580	0.3757162	0.7857728	0.0000000	0.8348877	0.5552962	0.7105211	0.1606167	0.9118905	0.6847643	0.0334434	0.2188428	0.0807457	0.5345490	0.2729783	0.5153376	0.5126742	0.6379734	0.6796239	0.8491136	0.4898076	1.0365375	0.9966622	0.0119489	0.7398824	0.5447267	0.4477551	0.2537575	0.6739206	1.0340458	0.0250955	0.9868824	0.2122800	0.7938012	0.1681512	0.6134426	0.5456682	1.0578167	0.3781854	0.2538766	0.7382480	0.3047840	0.9473111	0.0218933	0.4706700	0.5040129	0.1050956	0.2394011	0.5785689	1.0712256	0.6554595	0.2833753	0.2299473	1.0557886	0.4830479	0.1030938	0.2821978	0.5219974	0.3314463	0.0073700	0.0741388	0.2264580	0.4404045	0.4091647	1.0459271	0.3622851	0.2311551	0.4495578	0.3061684	0.6387336	0.0216049	0.8928730	0.1625283	0.4438756	0.7487919	0.3907909	0.9874242	0.3524595	0.1179258	0.0648586	0.1685667	1.0656969	0.0882996	0.9206055	0.6950990	0.8197768	0.2090618	0.3587429	1.1174814	0.9737059	0.9265745	0.6046132	0.9693019	0.4578981	0.0227470	0.9599770	1.0536185	0.8529294	0.4510515
1.0329007	0.1324072	0.4198153	0.7374502	0.0698668	0.0000000	0.6244298	0.6540852	0.1607409	0.8995574	0.6671088	0.0321663	0.1886358	0.1012307	0.5960710	0.3515022	0.5810149	0.6226042	0.6862724	0.6784877	0.8886789	0.5131008	1.0186159	0.9134183	0.0050455	0.7052811	0.5419780	0.5068865	0.2477983	0.6266187	1.0444298	0.0193750	1.0083450	0.2549911	1.0543831	0.1876315	0.5976853	0.5854631	0.9276589	0.3888684	0.2774575	0.8761898	0.2758025	0.9948485	0.0374557	0.4831436	0.4982757	0.0834415	0.2453738	0.5876064	1.0664602	0.6212463	0.2852060	0.1987743	1.0178638	0.4883054	0.1343928	0.3235084	0.4313067	0.4254589	0.0061406	0.0815878	0.2033236	0.3500516	0.3832227	1.0176877	0.4505917	0.0040276	0.4832181	0.3160605	0.0351297	0.0186289	1.0029760	0.1885216	0.4824833	0.8440514	0.5168139	0.9699028	0.2868500	0.1562989	0.2177341	0.2824434	0.6726055	0.0199727	0.9732930	1.0008274	0.7599841	0.3668796	0.3820695	1.0634820	1.0241264	0.9853561	0.4254254	0.9460516	0.4878322	0.0471758	0.9821007	0.4835947	0.8288918	0.4813565
0.9883983	0.0967767	0.5036759	0.9422641	0.0466753	0.7645226	0.0000000	0.5465620	0.1179418	0.8903943	0.6367637	0.0401558	0.3044046	0.0934009	0.5101405	0.2883928	0.6165694	0.4756371	0.5727337	0.6964123	0.7956437	0.4121515	0.8867413	0.8816972	0.0254169	0.6385398	0.4142677	0.8309824	0.2920430	0.5409114	1.0392437	0.0627311	1.1075325	0.1858996	0.8523047	0.2209182	0.6073118	0.5044090	1.0062290	0.4542045	0.2523466	0.9024541	0.4134938	0.9369955	0.0421626	0.5070611	0.3918131	0.0591443	0.2065048	0.6162689	0.9856162	0.6365514	0.2762557	0.2142247	1.0846891	0.5333184	0.1596148	0.6844980	0.4378819	0.3150840	0.0069494	0.0585338	0.1566956	0.4263049	0.3648517	0.8960603	0.2533152	0.2697050	0.4782054	0.2960529	0.7942995	0.0277446	0.9823529	0.1628325	0.7070212	0.8954115	0.4455369	1.0743711	0.2672000	0.1114841	0.2749414	0.0109948	0.9090562	0.1050550	1.0971518	0.6726687	0.9428524	0.2468013	0.0128755	0.9195607	1.0342356	0.9755586	0.3330619	0.9978406	0.4952538	0.0348504	1.0650791	0.9629999	0.8384950	0.4801484
0.9219186	0.1009094	0.4224822	0.8150950	0.0591280	0.8001315	0.5216083	0.0000000	0.1377129	0.9424577	0.7293231	0.0302642	0.2218718	0.0860769	0.5761826	0.3810976	0.6555243	0.4631967	0.6548514	0.6553930	0.8442365	0.4345668	1.0893306	1.0233300	0.0102352	0.6788579	0.5195603	0.4874828	0.2520438	0.6313752	0.9578081	0.0202350	1.1002010	0.2232133	0.7473508	0.1765978	0.5358454	0.6059663	0.9241007	0.4271711	0.2858872	0.8215472	0.3275774	0.9187231	0.0356258	0.4531807	0.4744503	0.1150231	0.2746158	0.5552330	0.9715676	0.5643020	0.0297484	0.2477684	0.9385034	0.4424975	1.0351169	0.1576695	0.2901995	0.4249109	0.0070793	0.0531147	0.1712659	0.4519111	0.3771615	1.0393418	0.3907160	0.8094738	0.4628580	0.0164098	0.8394697	0.3210003	1.0333779	0.5370791	0.5669448	0.8920664	0.5969426	0.9869059	0.3100534	0.1448991	0.0797781	0.1747993	0.9369364	0.4864001	0.9031630	0.7220264	0.9564845	0.2778321	0.3472520	1.0252780	0.9274129	1.0041600	0.4524130	0.8917987	0.4853397	0.0304145	1.0727463	0.9202849	0.9040420	0.4526085
1.0015205	0.1391376	0.4678149	0.7865919	0.0697424	0.8651212	0.5589468	0.1766808	0.0000000	0.9131117	0.6515479	0.0441347	0.2329829	0.0790398	0.4825758	0.3639697	0.6932753	0.5230602	0.6860303	0.7529513	0.8907879	0.4683569	0.9038989	0.9372628	0.0113943	0.7166277	0.4954926	0.5042279	0.2784278	0.6425753	0.9620891	0.0171012	0.9875182	0.2117066	0.8823753	0.1872581	0.5652294	0.5671777	0.9236879	0.4511528	0.2810428	0.8353410	0.3321142	1.0121412	0.0433551	0.3591210	0.3096024	0.0318556	0.2139820	0.4637544	1.0830074	0.6852555	0.3329973	0.0856120	1.1025020	0.4478575	0.4509398	0.2614274	0.3588197	0.3598201	0.0049601	0.0962140	0.1862929	0.4103979	0.3747392	0.9336625	0.4489861	0.5591185	0.5216024	0.1589151	0.7039622	0.1085175	0.9878246	0.8529159	0.5694345	1.0314546	0.3992387	1.0399719	0.3598810	0.0978400	0.0541362	0.1976958	0.8868172	0.7242159	0.9898018	0.7386494	0.9200974	0.2745022	0.2867168	1.0819955	1.0395894	1.1242922	0.5158147	0.9228691	0.4556367	0.0469545	1.0763552	0.8585842	0.9320508	0.4967587
0.8956715	0.1474801	0.4092798	0.7804317	0.0898145	0.7921643	0.6328741	0.6161432	0.6215011	0.0000000	0.7571126	0.0272593	0.2436816	0.0906413	0.5891781	0.3899237	0.5440645	0.6080329	0.7329696	0.6782214	0.8320440	0.4634465	1.0036122	0.9812371	0.0060353	0.7213509	0.3083731	0.4681713	0.1486209	0.6392015	0.9854015	0.0070142	0.7598034	0.5594325	0.9122763	0.2337752	0.5504344	0.6388422	1.0641027	0.3607628	0.3631162	0.7724247	0.2492247	1.0163570	0.0437661	0.3487001	0.2852693	0.0373467	0.2500416	0.6042146	1.0137834	0.6091003	0.3534250	0.1513016	0.8927130	0.1405569	0.1260446	0.2506124	0.3387956	0.2440626	0.0024207	0.0513233	0.1007756	0.3965662	0.4655033	0.9478055	0.3952870	0.3223976	0.3405813	0.2767082	0.5226561	0.0145735	0.9235953	0.1889733	0.5002812	0.8168343	0.3875412	0.9214337	0.5868136	0.1116453	0.0797105	0.1836031	1.0138589	0.0317168	0.9584616	0.6438176	1.0714366	0.1955994	0.2816206	1.0491214	0.8989408	0.9831198	0.1639745	0.9726509	0.4352945	0.0249931	0.8705563	0.8389965	0.8416910	0.3924006
