G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G67A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.1272712	0.4186642	0.8112910	0.0735143	0.8286190	0.5275185	0.6180474	0.1534736	0.9083004	0.7060208	0.0224440	0.2250672	0.0905667	0.5327323	0.3164964	0.6005388	0.5423289	0.6252007	0.7039913	0.8378367	0.4640653	1.0000000	0.9997455	0.0074856	0.6889297	0.5105674	0.5012259	0.2492798	0.6325189	0.9999429	0.0138726	0.9982160	0.2200869	0.8737785	0.1731960	0.5545464	0.5706037	0.9920269	0.3592228	0.2881278	0.8039609	0.3181777	0.9470177	0.0330091	0.4400789	0.4379825	0.0633100	0.2329314	0.5536864	0.9858442	0.6276730	0.3074351	0.2314661	0.9997942	0.5134320	0.1353026	0.2778690	0.4388131	0.3456237	0.0061794	0.0565159	0.1570893	0.3909500	0.4002675	0.9730941	0.3952387	0.2716269	0.4368533	0.3107476	0.7181070	0.0294931	0.9474038	0.1534849	0.5176957	0.8600552	0.4466316	0.9999319	0.3536107	0.1280187	0.0898018	0.1717307	0.9785246	0.0921655	1.0000000	0.6769580	0.9143768	0.2186865	0.3043558	0.9999960	0.9762122	0.9919461	0.4733101	0.9562080	0.4577462	0.0298610	0.9635493	0.8719110	0.7651087	0.4133727
0.9983158	0.0000000	0.4188205	0.9999990	0.0733893	0.8286192	0.5274873	0.6180383	0.1534737	0.9083004	0.7060208	0.0224440	0.2250672	0.0905667	0.5327323	0.3164963	0.6005387	0.5423291	0.6252008	0.7039913	0.8378367	0.4640654	1.0000000	0.9997455	0.0074855	0.6889296	0.5105606	0.5012404	0.2492800	0.6325151	0.9999429	0.0138725	0.9982160	0.2200858	0.8737787	0.1731961	0.5545464	0.5706038	0.9920276	0.3592225	0.2881272	0.8039680	0.3181777	0.9470177	0.0330091	0.4400823	0.4379848	0.0633102	0.2329318	0.5536874	0.9859355	0.6388832	0.2974357	0.2578695	0.9998708	0.5134408	0.1353042	0.2778778	0.4388151	0.3456182	0.0073272	0.0565160	0.1143676	0.3909498	0.4002675	0.9730937	0.3952412	0.2716272	0.4368540	0.3107414	0.7218576	0.0293223	0.9563995	0.1534848	0.5177031	0.8730198	0.4466309	0.9999319	0.3536091	0.1280188	0.2307868	0.1717175	0.9785246	0.0921651	1.0000000	0.6769577	0.9082796	0.2186855	0.3043280	0.9999960	0.9762122	0.9919461	0.4733044	0.9562080	0.4577462	0.0298609	0.9635496	0.8719110	0.6445162	0.4133727
0.9982685	0.1272697	0.0000000	0.8112999	0.0737475	0.8275403	0.9944482	0.7316722	0.1534736	0.9083004	0.7060208	0.0224440	0.2250672	0.0905667	0.5327322	0.3164964	0.6005388	0.5423291	0.6252010	0.7039913	0.8378367	0.4640654	1.0000000	0.9997455	0.0074855	0.6920664	0.6148551	0.3601395	0.2400887	0.6738015	0.9999514	0.0129250	0.9964568	0.2500952	0.8737881	0.1731961	0.5545464	0.5706042	0.9896772	0.3407949	0.3102402	0.7203114	0.3181778	0.9470177	0.0330125	0.4505385	0.4531196	0.0617913	0.2294929	0.5493365	0.9854310	0.6277545	0.3089113	0.2274833	0.9993081	0.3226732	0.1185721	0.2244059	0.3906086	0.4769790	0.0091103	0.0565089	0.1517062	0.3928520	0.4002275	0.9807986	0.4296812	0.2682551	0.4194605	0.3147624	0.7133258	0.0244374	0.9465182	0.1516067	0.4586466	0.8360154	0.4526121	0.9999418	0.3902139	0.1275032	0.0454903	0.3456070	0.9784725	0.0931457	1.0000000	0.6789093	0.8769899	0.2363032	0.4567960	0.9999960	0.9762123	0.9919849	0.5668300	0.9562479	0.4577496	0.0287333	0.9660584	0.8718790	0.8478764	0.4133727
0.2118750	1.0000000	0.4182888	0.0000000	0.4282946	0.8286185	0.5275938	0.6180703	0.1534735	0.9083004	0.7060208	0.0224440	0.2250672	0.0905667	0.5327322	0.3164964	0.6005388	0.5423289	0.6252007	0.7039913	0.8378367	0.4640653	1.0000000	0.9997455	0.0074856	0.6889302	0.5105861	0.5011894	0.2492778	0.6325289	0.9999429	0.0138724	0.9982158	0.2200918	0.8737783	0.1731960	0.5545465	0.5706037	0.9920257	0.3592197	0.2881315	0.8039422	0.3181778	0.9470177	0.0330091	0.4400778	0.4379832	0.0633095	0.2329305	0.5536849	0.9769500	0.6047709	0.3238641	0.2578695	0.9993708	0.5134094	0.1352980	0.2778456	0.4388081	0.3456370	0.0009162	0.0565159	0.2892037	0.3909508	0.4002675	0.9730960	0.3952427	0.2716259	0.4368503	0.3245116	0.0192599	0.0308378	0.8816627	0.1534844	0.5176759	0.7505377	0.4466343	0.9999319	0.3536172	0.1280186	0.2307866	0.1717634	0.9785245	0.0928094	1.0000000	0.6769585	0.8918008	0.2186890	0.3044268	0.9999960	0.9762123	0.9919461	0.4733296	0.9562080	0.4577462	0.0298608	0.9635487	0.8719109	0.9733612	0.4133727
1.0000000	0.1273738	0.4186634	0.8106167	0.0000001	0.8286190	0.5275187	0.6180475	0.1534737	0.9083004	0.7060208	0.0224440	0.2250672	0.0905667	0.5327323	0.3164963	0.6005387	0.5423292	0.6252008	0.7039913	0.8378367	0.4640654	1.0000000	0.9997455	0.0074855	0.6889298	0.5105677	0.5012256	0.2492793	0.6325190	0.9999429	0.0138725	0.9982159	0.2200876	0.8737789	0.1731961	0.5545464	0.5706039	0.9920272	0.3592213	0.2881285	0.8039607	0.3181777	0.9470178	0.0330091	0.4400851	0.4379871	0.0633103	0.2329318	0.5536871	0.9858440	0.6276289	0.3074770	0.2314686	0.9997939	0.5134315	0.1353025	0.2778682	0.4388130	0.3456237	0.0061750	0.0565160	0.1572694	0.3909500	0.4002675	0.9730944	0.3952456	0.2716269	0.4368528	0.3107477	0.7180829	0.0294927	0.9473675	0.1534849	0.5176958	0.8600037	0.4466318	0.9999319	0.3536100	0.1280189	0.0897420	0.1717309	0.9785246	0.0921647	1.0000000	0.6769577	0.9144082	0.2186865	0.3043565	0.9999960	0.9762122	0.9919461	0.4733107	0.9562080	0.4577462	0.0298608	0.9635493	0.8719110	0.8431752	0.4133727
0.9999217	0.1273585	0.4186637	0.8107080	0.0424649	0.0000000	0.5275186	0.6180475	0.1534736	0.9083004	0.7060208	0.0224440	0.2250672	0.0905667	0.5327323	0.3164964	0.6005388	0.5423290	0.6252007	0.7039913	0.8378367	0.4640654	1.0000000	0.9997455	0.0074856	0.6889297	0.5105675	0.5012258	0.2492797	0.6325189	0.9999429	0.0138725	0.9982160	0.2200871	1.0000000	0.1731960	0.5545464	0.5706038	0.9920270	0.3592225	0.2881279	0.8039609	0.3181777	0.9470177	0.0330091	0.4400803	0.4379835	0.0633101	0.2329315	0.5536865	0.9858440	0.6276355	0.3074709	0.2314697	0.9997939	0.4971658	0.1353026	0.2778688	0.4388131	0.3456237	0.0061757	0.0655618	0.2529442	0.3909500	0.4002675	0.9937852	0.4092880	0.0080188	0.4368532	0.3107476	0.0192599	0.0294221	0.9473730	0.1534849	0.5176958	0.8600112	0.4466317	0.9999319	0.3536099	0.1280188	0.2307869	0.1717308	0.6957938	0.0117443	1.0000000	0.9375119	0.7064268	0.3963683	0.3043560	0.9999960	0.9762122	0.9945767	0.4732559	0.9562080	0.4577462	0.0298610	0.9635493	0.4218309	0.8431568	0.4133727
0.9983966	0.1272753	0.4177404	0.8112643	0.0727482	0.8584647	0.0000000	0.4494473	0.1534733	0.9083006	0.7060208	0.0224440	0.2250672	0.0905667	0.5327322	0.3164964	0.6005388	0.5423280	0.6251996	0.7039913	0.8378366	0.4640649	1.0000000	0.9997455	0.0074856	0.6349977	0.4262082	0.8289694	0.2629318	0.5557800	0.9999266	0.0154872	0.9988862	0.2016132	0.8735026	0.1731957	0.5545469	0.5706022	1.0000000	0.3781419	0.2715486	0.9185212	0.3181778	0.9470177	0.0329833	0.4282362	0.4211739	0.0638327	0.2340758	0.5634766	0.9867189	0.6273231	0.3067981	0.2307636	0.9999065	0.5668884	0.1912261	0.7330136	0.4279614	0.3570426	0.0023291	0.0565114	0.1596847	0.3785848	0.4004031	0.9559188	0.3612438	0.2887590	0.4530992	0.2985565	0.7215820	0.0383859	0.9493450	0.1675348	0.7170848	0.8895646	0.4259189	0.9999176	0.3394138	0.1281663	0.2199008	0.0138866	0.9978981	0.1211924	1.0000000	0.6716946	0.9543820	0.2002866	0.0229427	0.9999960	0.9762122	0.9919181	0.3795423	0.9561925	0.4577450	0.0317983	0.9969034	0.8719662	0.8409928	0.4133727
0.9982988	0.1272711	0.4186699	0.8112913	0.0735201	0.8285933	0.5318836	0.0000000	0.1534735	0.9083004	0.7060208	0.0224440	0.2250672	0.0905667	0.5327322	0.3164964	0.6005388	0.5423288	0.6252006	0.7039913	0.8378367	0.4640653	1.0000000	0.9997455	0.0074856	0.6889585	0.5116626	0.4991136	0.2491544	0.6330998	0.9999430	0.0138590	0.9982029	0.2203874	0.8737785	0.1731960	0.5545465	0.5706037	0.9919677	0.3589908	0.2883634	0.8028743	0.3181778	0.9470177	0.0330092	0.4401968	0.4381604	0.0632907	0.2328876	0.5536226	0.9858381	0.6276751	0.0097967	0.2314386	0.9997912	0.5121019	0.9997955	0.1743310	0.3047470	0.3521612	0.0062182	0.0565157	0.1570184	0.3909929	0.4002668	0.9732086	0.3956627	0.7610310	0.4366682	0.0206199	0.7180621	0.2330787	0.9477861	0.5501747	0.5165584	0.9044446	0.4467901	0.9999321	0.3539717	0.1280146	0.0889774	0.1736299	0.9785197	0.4295507	1.0000000	0.6769767	0.9820035	0.2188321	0.3084417	0.9999960	0.9762123	0.9919464	0.4744560	0.9562083	0.4577463	0.0298453	0.9540826	0.8719105	0.8430671	0.4133727
0.9982607	0.1272697	0.4198806	0.8113012	0.0738150	0.8284518	0.5313795	0.1700594	0.0000000	0.9083004	0.7060208	0.0224440	0.2250672	0.0905667	0.5327322	0.3164964	0.6005388	0.5423292	0.6252010	0.7039913	0.8378367	0.4640654	1.0000000	0.9997455	0.0074855	0.6889526	0.5114179	0.5013831	0.2616179	0.6324772	0.9999283	0.0153281	0.9992968	0.1851267	0.8737818	0.1731961	0.5545463	0.5706043	0.9889613	0.3836219	0.2675495	0.8042991	0.3181778	0.9470177	0.0330278	0.4233283	0.4146950	0.0632951	0.2327437	0.5460466	0.9850245	0.6047697	0.3071189	0.0845353	0.9998387	0.5668757	0.3833664	0.2215290	0.3466862	0.3525799	0.0064555	0.0565834	0.1649454	0.3909490	0.4002691	0.9721557	0.3361589	0.4906922	0.4418778	0.1955368	0.7191328	0.0464173	0.9471211	0.7980523	0.5202254	0.9714209	0.4470577	0.9999661	0.3010588	0.1057919	0.0916457	0.1732507	0.9787631	0.6211305	1.0000000	0.6769844	0.9240096	0.2188548	0.3050045	0.9999960	0.9762123	0.9922631	0.4922239	0.9562194	0.4577462	0.0316799	0.9541053	0.8718545	0.8431352	0.4133727
0.9983522	0.1272732	0.4124612	0.8112771	0.0731009	0.8290289	0.5287757	0.6184233	0.6319506	0.0000000	0.7060208	0.0224440	0.2250672	0.0905667	0.5327322	0.3164964	0.6005388	0.5423284	0.6252001	0.7039913	0.8378366	0.4640651	1.0000000	0.9997455	0.0074856	0.6867758	0.3501273	0.4902867	0.1752368	0.6355324	0.9999813	0.0085040	0.7511564	0.5818392	0.8737696	0.1731958	0.5545467	0.5706029	0.9962991	0.3064291	0.4113108	0.7419011	0.3181778	0.9470177	0.0329496	0.4064284	0.3925329	0.0503758	0.2325495	0.5889039	0.9975213	0.6675805	0.3198418	0.1369055	0.9993446	0.1072350	0.1347503	0.2315289	0.3791682	0.3153610	0.0001168	0.0564678	0.1205762	0.3914036	0.4002621	0.9671487	0.4296156	0.2716791	0.3644809	0.3108275	0.6943148	0.0052939	0.9551150	0.1549062	0.4791477	0.8553679	0.3712020	0.9993974	0.6089938	0.1268751	0.0793667	0.1710573	0.9774236	0.0155029	1.0000000	0.6768657	0.9682184	0.2186139	0.3288461	0.9999960	0.9762122	0.9646272	0.1805374	0.9561531	0.4577668	0.0221653	0.9635423	0.8721250	0.8151006	0.4133727
