G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0042126	0.4315422	0.6090552	0.0838351	0.4189265	0.0005588	0.0099817	0.0037377	0.5973579	0.3169619	0.0000000	0.1039699	0.0025115	0.0856601	0.6660735	0.1909570	0.7623089	0.0934813	0.0000000	0.7027253	0.0296331	0.3690600	0.6529205	0.7836308	0.7298194	0.4972276	0.6210722	0.0666687	0.2917163	0.0318877	0.2683809	0.0998222	0.6094842	0.5927007	0.1887067	0.4517355	0.0681769	0.3989770	0.1101881	0.0116971	0.7220711	0.2677536	0.0768738	0.0828441	0.4780116	0.4743781	0.4379068	0.4855669	0.5000085	0.1611970	0.0290579	0.5020094	0.6600949	0.0038748	0.5056345	0.3499318	0.4875629	0.1755153	0.3429229	0.5958920	0.6548985	0.3648227	0.1420310	0.1301692	0.4093985	0.2977411	0.7051078	0.4338565	0.3330530	0.0337482	0.3853571	0.1314189	0.2894619	0.5717014	0.3482544	0.3627358	0.5774392	0.0215108	0.1368319	0.3585404	0.5631783	0.7865175	0.0493407	0.5022043	0.7176394	0.1833834	0.2810718	0.4143400	0.3264743	0.7092754	0.4113944	0.0741162	0.3123166	0.4002751	0.2329660	0.3792032	0.3501436	0.0287851	0.3217519	0.6053256
0.0080118	0.5058908	0.6365365	0.0779967	0.3447137	0.0007943	0.0439954	0.0224201	0.5476429	0.3534466	0.0000000	0.0845462	0.0070458	0.0494469	0.6965785	0.0754765	0.3827660	0.6759173	0.7183040	0.6606480	0.0350557	0.4650459	0.6219605	0.8285993	0.4530823	0.6507091	0.4034400	0.0225630	0.2549934	0.0341012	0.2812748	0.0537257	0.4185264	0.5718880	0.2472899	0.6352591	0.2590167	0.5114938	0.2694847	0.0110660	0.0000000	0.4230450	0.0520579	0.0717147	0.6305903	0.3206640	0.4688571	0.6506493	0.6200714	0.2763213	0.0473052	0.1945905	0.6801651	0.0021205	0.0240946	0.3065005	0.4750283	0.2165619	0.3830964	0.6005406	0.5584193	0.4116410	0.0238288	0.2378792	0.4401089	0.3649199	0.7130695	0.5273017	0.3251334	0.0503677	0.3094960	0.0905353	0.2372681	0.6871823	0.2781189	0.5018527	0.4131629	0.0581781	0.2078691	0.4484234	0.5544724	0.6417695	0.0680989	0.2646578	0.3752497	0.2943265	0.2067568	0.1639539	0.3510208	0.3518493	0.4261079	0.2611749	0.3602553	0.5397514	0.2751652	0.3900564	0.1327130	0.0219884	0.3360310	0.6122762
0.0082947	0.4890133	0.7383870	0.1360306	0.2319827	0.0000684	0.0483436	0.0086912	0.6401378	0.2999427	0.0928507	0.0403814	0.0121629	0.0906673	0.5834797	0.3835107	0.3612088	0.6001645	0.5845743	0.6376642	0.0613860	0.3996124	0.5686156	0.7747337	0.5307143	0.6554192	0.6110463	0.0376982	0.1497567	0.0112895	0.2796035	0.0646536	0.4418747	0.6969044	0.1583951	0.5566409	0.0000000	0.5271607	0.2178248	0.0167515	0.0000000	0.3561727	0.0274545	0.0182456	0.4852405	0.3366619	0.4716271	0.6455022	0.5748865	0.2021666	0.0594658	0.2920610	0.2445626	0.0046226	0.0322067	0.3843638	0.5173634	0.2004812	0.4245887	0.6891504	0.4576362	0.4089023	0.1771903	0.2037158	0.3629843	0.3616414	0.2858395	0.5246266	0.2441468	0.0287691	0.2439197	0.0542828	0.1462043	0.6705417	0.2151205	0.0724485	0.4335594	0.0149575	0.1219455	0.5175143	0.6139963	0.8133645	0.1403175	0.1357677	0.7382177	0.2916520	0.2093655	0.0805548	0.5026480	0.2890062	0.3416247	0.3651362	0.2450327	0.4161473	0.2603162	0.5163231	0.1745826	0.0218992	0.4191785	0.6912906
0.0150442	0.4019993	0.7717030	0.1185259	0.3797121	0.0003344	0.0165879	0.0131773	0.6109935	0.2419028	0.0000000	0.0495881	0.0001597	0.1058572	0.8040683	0.2714141	0.3702033	0.6422533	0.6345867	0.5869380	0.0260637	0.5094193	0.7385919	0.6184199	0.6132462	0.4667235	0.6624334	0.0492080	0.2097798	0.0251105	0.2977991	0.0671031	0.5369209	0.4469177	0.1504323	0.6186497	0.0000000	0.6211700	0.2944334	0.0072181	0.7002249	0.3677985	0.0417862	0.0187189	0.4826176	0.4095561	0.4332374	0.5825715	0.5695183	0.2348101	0.0371769	0.1667012	0.4379022	0.0040645	0.5779300	0.2776677	0.6113706	0.1550301	0.3913303	0.6446677	0.5314189	0.3425902	0.0137770	0.2084820	0.3189988	0.3395889	0.3736638	0.4849003	0.3364468	0.0206716	0.2971743	0.1921850	0.1457780	0.7025705	0.2413681	0.2610919	0.7891788	0.0310897	0.2042843	0.4453479	0.5938634	0.6815411	0.0567178	0.5387456	0.6793861	0.2244586	0.0875885	0.2346072	0.3236696	0.5352569	0.3395817	0.1550828	0.3456279	0.3500964	0.2241108	0.4486142	0.1924100	0.0102582	0.4178654	0.7388280
0.0237182	0.4350161	0.7249702	0.0548409	0.3619061	0.0001191	0.0112170	0.0345660	0.6282526	0.2972756	0.0000000	0.0634619	0.0095256	0.0650011	0.6552449	0.1853929	0.3745163	0.6419386	0.5860151	0.5810483	0.0331455	0.4150641	0.7280454	0.5322124	0.6648684	0.4996195	0.6922989	0.0669092	0.1057078	0.0168049	0.2618213	0.0731753	0.4509605	0.5452233	0.1483702	0.7750050	0.1453631	0.4701460	0.7198067	0.0233397	0.6963806	0.3759504	0.0000000	0.0486268	0.5453538	0.2569475	0.3673423	0.6403313	0.5637900	0.2828157	0.0239765	0.2117276	0.6412604	0.0047419	0.4659129	0.4281250	0.4529601	0.0945618	0.3208009	0.6212994	0.4916473	0.4290736	0.0576084	0.1722731	0.4192149	0.3497012	0.6477436	0.5337624	0.3555453	0.0515997	0.3780934	0.1356292	0.1701454	0.2178739	0.2975507	0.2988262	0.7198145	0.5211248	0.1697003	0.4033230	0.5971247	0.6228016	0.0970037	0.4028091	0.8768700	0.3584686	0.1806308	0.3820589	0.4422925	0.5602344	0.2841675	0.0526665	0.3111854	0.4221406	0.2648818	0.4566765	0.1081287	0.0054610	0.3478901	0.6316336
0.0253201	0.4609392	0.6558484	0.0224283	0.2931616	0.0003201	0.0189838	0.0078981	0.6835599	0.2153488	0.0653093	0.0725319	0.0025262	0.0831247	0.5173945	0.2328433	0.3071528	0.7372327	0.7213209	0.6896019	0.0345803	0.4049106	0.6375607	0.6204127	0.5953302	0.8121077	0.5828365	0.0396918	0.1513685	0.0597415	0.1983869	0.0290198	0.4639999	0.5633595	0.1975059	0.5786188	0.1542184	0.5278195	0.4660257	0.0090701	0.0000000	0.3682922	0.0000000	0.0424848	0.6092587	0.3861437	0.4122647	0.5246532	0.5663181	0.1785157	0.0280753	0.2130549	0.4527472	0.0001483	0.0102579	0.3721345	0.5716566	0.1462364	0.2596474	0.7732544	0.2674371	0.3559494	0.0326228	0.1405841	0.3674644	0.3353738	0.6331796	0.4785673	0.4356167	0.0284515	0.2689122	0.1798221	0.2068288	0.2837155	0.2076350	0.3284829	0.4245869	0.0778361	0.1169905	0.4348175	0.5231645	0.6405736	0.0756977	0.2353889	0.6248352	0.3083784	0.2288783	0.2930781	0.3192056	0.4081924	0.3540585	0.4286358	0.2731634	0.4056090	0.3067080	0.4149657	0.1773619	0.0157542	0.2762603	0.6960286
0.0190924	0.4932238	0.7573211	0.1074894	0.3506734	0.0002088	0.0332914	0.0219091	0.6156473	0.3093101	0.0496373	0.0411039	0.0049756	0.0913178	0.5545764	0.6360987	0.6976114	0.0534139	0.0000000	0.6002062	0.0243146	0.4164285	0.9063391	0.6497257	0.5002714	0.5739311	0.5677787	0.0377475	0.2621775	0.0172062	0.2812388	0.0481849	0.4614943	0.5396431	0.1861396	0.6340955	0.2110434	0.5335246	0.1141896	0.0201465	0.0000000	0.3264642	0.0844657	0.0531354	0.4742144	0.3276411	0.3936184	0.4836217	0.6370438	0.2794458	0.0712901	0.4561013	0.7623993	0.0003315	0.0145022	0.3737898	0.6248415	0.3035900	0.3778585	0.6712718	0.5465715	0.4106797	0.2971947	0.1979779	0.1179219	0.3663518	0.6120100	0.5675578	0.1537355	0.0581865	0.2526701	0.1337674	0.2686274	0.6746394	0.1532277	0.3839049	0.5467900	0.0937245	0.1633236	0.3977854	0.5899708	0.8070454	0.0879033	0.3370896	0.2829945	0.2770974	0.2280459	0.2356800	0.3336019	0.3925088	0.3132686	0.2209005	0.2037472	0.4572588	0.2394979	0.4581395	0.3286280	0.0921133	0.3513985	0.7356201
0.0060198	0.4767856	0.8316868	0.1828374	0.3772325	0.0005493	0.0848606	0.3546674	0.3820060	0.4144388	0.4996690	0.0962440	0.0048001	0.1122239	0.4464468	0.5554096	0.7484104	0.0897620	0.0187796	0.6563009	0.3024418	0.6602752	0.5381309	0.7458107	0.4169024	0.5352828	0.5259549	0.0849777	0.2567272	0.0741723	0.1249320	0.7056813	0.3627832	0.6699391	0.5336565	0.0641399	0.0450723	0.3782572	0.1389039	0.6804219	0.1791993	0.1614620	0.6627144	0.5069588	0.0000000	0.0000000	0.1047606	0.2167931	0.2036977	0.0596676	0.2278069	0.4649594	0.2162104	0.6402847	0.5611959	0.0063239	0.5321312	0.5550143	0.4626316	0.6803995	0.1477409	0.1493041	0.3942092	0.5616160	0.0062267	0.0364684	0.3260289	0.0820909	0.2033649	0.2073887	0.2605068	0.0003450	0.5017595	0.6237828	0.0914763	0.0817319	0.2257594	0.0371509	0.0330190	0.3293592	0.5732833	0.2709983	0.0573790	0.3883365	0.2367129	0.5539358	0.0240616	0.1587468	0.0447308	0.6700976	0.3378640	0.4540466	0.1511816	0.6051947	0.5579347	0.4034171	0.4891644	0.0219657	0.1503390	0.4527759
0.0070961	0.4264177	0.7487404	0.0452343	0.4050307	0.0007197	0.0750945	0.0156639	0.6115507	0.3215093	0.1290025	0.0529310	0.0019819	0.0924575	0.5081629	0.5243819	0.6505484	0.0536925	0.0000000	0.5888123	0.0611862	0.4241750	0.8250965	0.7018878	0.7461652	0.4882063	0.6586164	0.0787955	0.2540684	0.0214081	0.2421150	0.0687346	0.4769275	0.6240046	0.1406280	0.6991582	0.1906412	0.4927781	0.5508962	0.0115055	0.9193622	0.2768929	0.0000000	0.0506067	0.5347768	0.3196189	0.4260362	0.5214268	0.5648036	0.2130051	0.0378743	0.5025531	0.8767361	0.0047201	0.7002215	0.4271044	0.4723833	0.1636123	0.3330718	0.6675403	0.2002513	0.3435610	0.2021689	0.2277716	0.2947712	0.2993876	0.6270287	0.4485262	0.1833781	0.0265184	0.2946196	0.1692900	0.1680705	0.2789454	0.2651840	0.4636636	0.6760843	0.1346919	0.2105331	0.3996873	0.5151503	0.6870939	0.0790881	0.5717380	0.7600436	0.2778865	0.2141733	0.4884976	0.3864320	0.4716299	0.4073950	0.0703245	0.3109160	0.4078777	0.2153899	0.4227613	0.4278507	0.0489652	0.2749948	0.6115111
0.0062149	0.5250634	0.6341089	0.0728287	0.2632343	0.0006446	0.0225013	0.0108184	0.6375010	0.2321728	0.0723822	0.0448978	0.0107932	0.0984755	0.8104552	0.3067449	0.3924418	0.5661535	0.6999458	0.6984522	0.0644769	0.4645847	0.6161143	0.6024386	0.4603235	0.3667222	0.6511693	0.1465894	0.1979591	0.0296970	0.2377553	0.0682352	0.4460659	0.6781245	0.2198815	0.5926618	0.0000000	0.4660549	0.6092907	0.0344027	0.6815399	0.2997695	0.0000000	0.0215281	0.4296861	0.3078028	0.4507742	0.5697272	0.5458172	0.2684544	0.0443063	0.2027358	0.3159949	0.0046301	0.5792825	0.2449955	0.5662382	0.1342522	0.3128573	0.6990199	0.2442057	0.4835922	0.1648535	0.1837895	0.3749821	0.3917214	0.4432285	0.5460380	0.3197513	0.0154776	0.2422248	0.1431958	0.2011225	0.3140490	0.2429734	0.2000298	0.7560334	0.4690081	0.1675701	0.4371328	0.5065108	0.7548954	0.0912182	0.3715695	0.7712039	0.3420997	0.1903304	0.3879422	0.4442252	0.6586051	0.3293677	0.1426286	0.2369405	0.3144720	0.0294233	0.4492993	0.1727086	0.0096020	0.3803491	0.6663378
