Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0094491	0.6355617	1.0459758	0.0876986	0.4170952	0.0015965	0.0357302	0.0201856	0.7842026	0.5482911	0.1482550	0.1067167	0.0074763	0.0795139	0.9263252	0.4386615	0.5117037	1.0187251	0.9869150	0.9112762	0.0675828	0.6396705	0.9879649	0.9056811	1.0249936	0.8053086	0.8415975	0.0956169	0.2807776	0.0361236	0.3476186	0.0945586	0.7647381	0.8073502	0.2691465	0.9854445	0.2644993	0.7761342	0.3511720	0.0142404	0.9503393	0.3956488	0.0912837	0.0721673	0.8039584	0.5632487	0.5721011	0.9104100	0.8750489	0.3877912	0.0490860	0.3690556	1.0040851	0.0016799	0.7496314	0.4296180	0.7445798	0.3138374	0.4763448	0.9977159	0.8917758	0.5763065	0.2317245	0.3844034	0.5377636	0.4876338	1.0898320	0.8135737	0.5024926	0.0491368	0.3912071	0.2335426	0.3169327	0.9297559	0.3112694	0.3637340	0.9584119	0.1589398	0.2670455	0.6498318	0.7931145	1.0351174	0.1402507	0.6535788	1.0095359	0.4184859	0.2245238	0.5131035	0.6073464	0.7854143	0.4606182	0.1309775	0.4648780	0.5528648	0.0723851	0.5781484	0.2784400	0.0363961	0.5378107	0.9932421
50	0.0042080	0.6529485	0.9848648	0.1344214	0.2891016	0.0004498	0.0639163	0.0493244	0.7793392	0.4393848	0.1627061	0.2132853	0.0004413	0.1398182	0.8233070	0.4121321	0.4105789	0.9995925	0.8960337	0.9470769	0.0637172	0.6628701	0.9637008	0.9850929	0.7209935	0.6581296	0.8112577	0.0955580	0.2211615	0.0517385	0.1530967	0.0624916	0.6934074	0.6136629	0.2750590	0.9697676	0.2094931	0.7014664	0.4454931	0.4056661	0.8954873	0.4462252	0.0642156	0.1371057	0.6854957	0.3272332	0.5616891	0.7770445	0.9094663	0.3465643	0.0617186	0.3315316	0.9890732	0.0001439	0.8349843	0.4295342	0.7576451	0.2479447	0.4434354	0.9622052	0.8225282	0.6912180	0.3126282	0.1470664	0.4735596	0.4210407	1.0939114	0.7851833	0.4366734	0.0427716	0.3131699	0.2895415	0.2155327	0.9820371	0.3517787	0.4505514	0.8751062	0.5236230	0.2037633	0.5095651	0.7879685	0.9417013	0.1184496	0.6212171	0.9701615	0.3924250	0.2364667	0.5327447	0.5095623	0.7236030	0.5262272	0.2180917	0.4472031	0.4980820	0.1554206	0.6644036	0.3241120	0.0231315	0.4889218	0.9930919
100	0.0110429	0.6084590	0.9666858	0.1201252	0.2044427	0.0005405	0.0522959	0.0730125	0.7199812	0.5327399	0.1848702	0.2998576	0.0005255	0.1241807	0.8154132	0.4543756	0.5118624	0.9505691	0.9322282	0.9710852	0.0644584	0.7887414	1.0723187	1.0062543	0.6272120	0.6407900	0.8540019	0.0998267	0.1883334	0.0414108	0.0638638	0.0798838	0.6869540	0.5338568	0.2260002	0.9359226	0.1685952	0.6180195	0.5780210	0.5481767	0.9003549	0.4490136	0.0675817	0.2070782	0.6275809	0.3050520	0.5520409	0.8731071	0.9536461	0.3450122	0.0912245	0.3719032	0.9871411	0.0005741	0.8503765	0.3743377	0.7205685	0.2157671	0.4866072	1.0188186	0.7820395	0.9113671	0.3901068	0.0965858	0.4035886	0.5306476	0.9924725	0.7466381	0.5381417	0.0668307	0.2579007	0.3952726	0.2288982	0.9414697	0.3080264	0.2642463	0.7398022	0.8311305	0.1656325	0.4560170	0.7636468	1.0460795	0.2137032	0.6195984	1.0782331	0.4547051	0.4014091	0.5447197	0.4917185	0.7369937	0.5305508	0.3440253	0.4367879	0.4434564	0.0804454	0.6462351	0.2532397	0.0293307	0.2850177	0.9925783
150	0.0142340	0.5710826	0.9457984	0.1065904	0.1835213	0.0017236	0.0387247	0.0949639	0.7370066	0.5289398	0.1867443	0.4230693	0.0101737	0.1325211	0.8082891	0.4538907	0.4624812	0.9343138	0.8775969	0.8820550	0.1398065	0.8147568	1.0252175	1.0760809	0.5792723	0.5961254	0.9169784	0.0874123	0.1509275	0.0341013	0.0446020	0.1186559	0.5946323	0.5006835	0.2328167	0.8904948	0.1837121	0.5972811	0.5951696	0.6082641	0.9478765	0.4887570	0.1162765	0.2646513	0.6411790	0.2485113	0.6381814	0.8003551	0.9922299	0.3537008	0.1025793	0.3751772	0.9906606	0.0017319	0.9353236	0.3264964	0.7562472	0.2133963	0.4976821	0.9848503	0.5608101	0.8691543	0.4370778	0.1518687	0.4262966	0.4992011	0.9892615	0.8111280	0.5028444	0.1123665	0.1927316	0.3901206	0.2732594	0.8159220	0.2126702	0.1938670	0.6983833	0.9253784	0.1731520	0.5435835	0.7881570	0.8821797	0.2849745	0.5312454	1.0364993	0.4787742	0.4762430	0.5824045	0.5354735	0.6906750	0.4701241	0.3751431	0.3493379	0.3967435	0.0513252	0.6226772	0.2280287	0.0395449	0.1973781	0.9233808
200	0.0236710	0.6246455	1.0122107	0.0859052	0.1656656	0.0001495	0.0411978	0.0900966	0.7071171	0.5748055	0.1307895	0.4377215	0.0055436	0.0972718	0.8686232	0.4795491	0.4741751	0.8878733	1.0248159	0.8135472	0.1895177	0.8099642	0.9522770	1.1183562	0.5993399	0.7554208	0.9408981	0.1081095	0.1178043	0.0484039	0.0208035	0.1231987	0.5591612	0.4899994	0.3215632	0.9491456	0.1635908	0.5134241	0.5931279	0.7518713	0.9336378	0.4131990	0.1919341	0.3053542	0.6163571	0.1889798	0.6401105	0.8801594	0.9189303	0.3186320	0.0882296	0.4669383	0.9057325	0.0000036	0.8945416	0.2634535	0.6578009	0.1886406	0.5030494	0.9557104	0.5384768	0.9612431	0.3841518	0.2642216	0.4614780	0.4905616	0.9570062	0.8052079	0.4094374	0.1109279	0.1394191	0.4015501	0.3264544	0.8214894	0.1686022	0.1355493	0.6044054	0.8371952	0.1785225	0.5260984	0.7176159	1.0152283	0.3693550	0.5585516	0.9830469	0.4155102	0.5335189	0.5809385	0.4735534	0.7141344	0.4223553	0.3226514	0.3483404	0.4135189	0.0340390	0.5160255	0.1942479	0.0290338	0.1434435	0.8343530
250	0.0146006	0.5754139	1.1035262	0.1003731	0.2297095	0.0015185	0.0382317	0.1076029	0.6683208	0.5403246	0.2128908	0.4578808	0.0058599	0.0902513	0.7551163	0.4553431	0.5350959	0.9424100	0.8370146	0.8924769	0.1919440	0.8651745	0.9068688	1.0285154	0.5747192	0.7583976	1.0078036	0.1086109	0.0935147	0.0430269	0.0140204	0.1942938	0.5809042	0.4831305	0.3764173	1.0061569	0.1828435	0.4721381	0.5623203	0.7202597	0.9810379	0.3953910	0.3320653	0.3083932	0.6700121	0.2087047	0.6034114	0.8814492	0.9444209	0.2851963	0.1048997	0.4516415	0.9442538	0.0017292	1.0160641	0.1649175	0.6627528	0.2241859	0.5191169	1.0296003	0.4661531	0.9364100	0.3568441	0.2999421	0.4662784	0.5249078	1.0970031	0.8053267	0.3649223	0.1081922	0.1558342	0.3495894	0.3903937	0.7678590	0.1429121	0.1130384	0.5209958	0.8993814	0.1871948	0.4816916	0.6961418	0.9012058	0.4037780	0.5568297	0.9168630	0.4000872	0.6375460	0.5409951	0.3006674	0.7896492	0.4089421	0.3631193	0.4117917	0.4192016	0.0874029	0.5917070	0.2628152	0.0212393	0.0798328	0.8015943
300	0.0064780	0.5527833	0.9648730	0.1274524	0.1708738	0.0011359	0.0261908	0.0819574	0.6955082	0.6083686	0.2352871	0.5240706	0.0060830	0.1162622	0.7907697	0.4361507	0.4446265	1.0077400	0.8760416	0.9698889	0.2337893	0.8981395	0.9858762	0.9566663	0.5732614	0.7772424	1.0949296	0.0716407	0.0889004	0.0340350	0.0249252	0.1499510	0.6119869	0.5432157	0.4054011	1.0431885	0.1842499	0.4924959	0.4526458	0.7238155	1.1139345	0.3440564	0.3206851	0.3297260	0.5547344	0.2015218	0.7024287	0.9071167	0.9804292	0.2437988	0.0956392	0.4944390	0.8932718	0.0041005	1.0634689	0.1622577	0.7114586	0.2518169	0.4901753	1.0240320	0.4748501	0.7647421	0.3804628	0.3221077	0.5008253	0.5162123	1.0687985	0.8229491	0.3993915	0.1337531	0.1118149	0.3897858	0.4906516	0.8150062	0.0658372	0.0982534	0.5004359	0.9333624	0.1643099	0.4576270	0.6879677	0.8852846	0.4192104	0.5831792	1.0368926	0.4488143	0.5335467	0.5476228	0.4374764	0.9867449	0.4039398	0.3609117	0.4105831	0.4118088	0.1400446	0.6327780	0.3030439	0.0108367	0.0678765	0.7513093
350	0.0143344	0.5588823	1.0537711	0.1583150	0.1249114	0.0023167	0.0369513	0.1379395	0.6437999	0.6179440	0.2369427	0.5048071	0.0100986	0.1493606	0.9131232	0.4537765	0.4983074	0.9902666	0.8200459	0.9671629	0.2360150	1.0054515	0.9885944	0.9363958	0.6336341	0.7663438	0.9940026	0.0760703	0.0832632	0.0257653	0.0300637	0.1569717	0.5001200	0.5174558	0.4452240	1.0778520	0.2183580	0.4713269	0.4851717	0.7342704	0.9817652	0.2774943	0.3594502	0.2404450	0.6248519	0.2559318	0.6201631	0.8151363	0.9326075	0.2499002	0.0809961	0.4981066	0.9523272	0.0006951	1.0396064	0.1978939	0.7308490	0.3063303	0.6237260	0.9590692	0.4419622	0.7801898	0.5085286	0.4136123	0.4739083	0.4672083	0.9779209	0.7877442	0.4881697	0.1872215	0.0839795	0.4272448	0.5937829	0.8872966	0.0788654	0.0947455	0.5570515	0.9403428	0.2003145	0.4792853	0.7888199	0.9708385	0.3690665	0.4120906	0.9421970	0.4432600	0.5057808	0.5336339	0.4279230	0.9023994	0.4918117	0.4047985	0.3867420	0.3932016	0.2841720	0.6609577	0.3402914	0.0368774	0.0471977	0.7558397
400	0.0099503	0.5399664	1.1173521	0.1485299	0.1453194	0.0013816	0.0283645	0.1749757	0.6803989	0.5484846	0.2056455	0.4257017	0.0008170	0.1182982	0.9275368	0.4421714	0.4988443	0.8357272	0.9202633	0.8247997	0.2277870	0.9451196	0.9258509	1.0304456	0.6255756	0.8900484	0.9000729	0.0845391	0.0362334	0.0228921	0.0114462	0.2427588	0.5181559	0.4863562	0.5312493	1.0407831	0.2157218	0.4967919	0.5274256	0.6739403	0.8455138	0.2960566	0.2462155	0.2619047	0.5733309	0.2742463	0.5813313	0.7852500	1.0001220	0.2515492	0.1275189	0.5912088	0.9699096	0.0061691	1.0653009	0.1842319	0.6671677	0.3116208	0.5968182	0.9484491	0.4085496	0.8221606	0.4662112	0.4180620	0.4352547	0.4538698	0.9580609	0.7382324	0.4321207	0.2013990	0.0534731	0.3901142	0.6395943	0.9140076	0.0890690	0.1111469	0.5566456	1.0279914	0.2003442	0.4426492	0.6981059	0.8298938	0.4314109	0.4453070	0.9473960	0.4906821	0.4482233	0.4772228	0.4751547	0.9580872	0.4849354	0.3774395	0.4304674	0.3887461	0.3951603	0.6293798	0.3318029	0.0358097	0.0447578	0.7322202
