"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4666224	0.4423368	0.6949026	0.4404114	0.1388356	0.4031738	0.0140346	0.3896923	0.4246081	0.7207827	0.7370424	0.1862020	0.1144351	0.0368629	0.6356102	0.3077053	0.2507807	0.4051926	0.3910791	0.0026776	0.8444899	0.0282140	0.0460561	0.0170883	0.4538230	0.3223858	0.2000583	0.3833219	0.5658337	0.6492950	0.2159936	0.2713445	0.3136433	0.2654968	0.3756291	0.3487902	0.0070213	0.1123817	0.0943947	0.4329573	0.4224140	0.1981715	0.6964983	0.5448964	0.2039343	0.3020943	0.1714494	0.4592316	0.4498011	0.6499327	0.6804660	0.5702524	0.0015087	0.2197570	0.3759935	0.3223604	0.5076668	0.3671017	0.5883850	0.5351449	0.6393508	0.1522801	0.2265924	0.0230435	0.1536113	0.5127680	0.0235562	0.0366050	0.2569981	0.2319923	0.5033024	0.3640604	0.0103149	0.1291453	0.4377779	0.4703166	0.1088906	0.8076013	0.1401374	0.3166083	0.1800741	0.4839487	0.5470739	0.8318287	0.6697952	0.5143749	0.2550431	0.5052509	0.1828838	0.1663983	0.6866083	0.1761038	0.0701658	0.3538461	0.2544103	0.2689370	0.2663340	0.6272512	0.2972560	0.7129883
50	0.3136029	0.4909137	0.5884169	0.3227750	0.1583974	0.2651119	0.0040784	0.1891615	0.2779908	0.6201761	0.7821643	0.3569814	0.1313554	0.0374177	0.6313861	0.3542103	0.3686774	0.5608358	0.3383502	0.0031944	0.7676718	0.0809284	0.2262679	0.0061251	0.2430589	0.2285550	0.2014412	0.2887848	0.5257311	0.6290078	0.2416253	0.2306458	0.2344611	0.1976329	0.3634919	0.5101509	0.2283319	0.0607251	0.0950369	0.4787438	0.4020862	0.1932678	0.7033456	0.4722536	0.2277393	0.2868039	0.0923334	0.5042475	0.4936238	0.5914194	0.6305618	0.5786088	0.0061206	0.2563244	0.4327862	0.3007926	0.6683891	0.3355769	0.5125557	0.5190776	0.6085734	0.1427736	0.2482426	0.0312830	0.2326652	0.5139299	0.0671776	0.1036379	0.3310081	0.3668380	0.5216775	0.4683617	0.0182004	0.1425728	0.3947089	0.3766893	0.0695319	0.7249689	0.2442138	0.4139592	0.2388986	0.3519991	0.4807044	0.4449297	0.6534596	0.5452550	0.3335488	0.5454104	0.3044641	0.1045600	0.6514516	0.1501440	0.0773758	0.2278941	0.1762651	0.1407535	0.2684613	0.5780892	0.3563698	0.3498764
100	0.2087280	0.3917774	0.6748920	0.3945477	0.1529566	0.1669748	0.0037301	0.2053417	0.2883607	0.6443300	0.7340723	0.4517778	0.1407164	0.0419160	0.6008631	0.3299687	0.4343608	0.6751602	0.3333295	0.0000000	0.6476717	0.0499350	0.2930922	0.0031022	0.1584610	0.2400971	0.1818971	0.3767903	0.5254111	0.5660575	0.2147811	0.2288580	0.2807981	0.2584825	0.4854620	0.2688050	0.3612741	0.0123817	0.0962633	0.2983314	0.3795623	0.1786626	0.6905831	0.2175458	0.3428145	0.3013115	0.0488400	0.5540483	0.3560998	0.5957665	0.5041630	0.6435345	0.0043358	0.1744351	0.3262346	0.2560643	0.6025083	0.3747294	0.5795785	0.3364648	0.6537649	0.1275319	0.3051300	0.0536678	0.1881402	0.4708544	0.0621859	0.1652299	0.4222420	0.3673940	0.5096066	0.3924028	0.0052288	0.1909624	0.4469091	0.5297126	0.0305322	0.6245298	0.2261407	0.5246638	0.2619461	0.3369078	0.5336078	0.3057953	0.5891255	0.6481679	0.2622457	0.4421370	0.4269389	0.0740238	0.5907208	0.1695224	0.0276336	0.2100052	0.1998360	0.0736269	0.2669668	0.4602445	0.4908266	0.1926374
150	0.1755026	0.3109528	0.7412839	0.3616476	0.1563395	0.0821323	0.0279650	0.1501896	0.3240387	0.5574173	0.5938712	0.2813516	0.1213011	0.0272780	0.6084848	0.3092652	0.5061484	0.6758246	0.4139803	0.0034242	0.6185512	0.1278135	0.4824932	0.0135750	0.1330563	0.2670699	0.2562995	0.3648490	0.5992679	0.6490255	0.3263400	0.2502824	0.4618495	0.2212781	0.3930686	0.1272566	0.7311651	0.0235013	0.0665694	0.2997857	0.3712580	0.2396662	0.5369579	0.2311656	0.4691574	0.3348664	0.0296894	0.4908573	0.3189372	0.4523648	0.5190624	0.6233582	0.0177843	0.1714201	0.3548272	0.1081884	0.6843735	0.4307200	0.6051566	0.2737994	0.6004342	0.1205803	0.4009638	0.0142224	0.1148313	0.5271524	0.0430896	0.1651723	0.5618074	0.2398110	0.6253405	0.3632767	0.0097949	0.2860759	0.3581639	0.5123298	0.0267442	0.6690446	0.1921583	0.6228290	0.2315445	0.3329296	0.5598098	0.1980554	0.6544539	0.4805222	0.2964172	0.4836621	0.2933490	0.0603609	0.6961199	0.2047272	0.0176657	0.2787766	0.0714875	0.0509787	0.1934594	0.5011930	0.3599050	0.0950607
200	0.2234555	0.3360339	0.6581785	0.3700611	0.1898484	0.1105716	0.0176918	0.0909164	0.3729231	0.7143738	0.5656658	0.2676760	0.1372727	0.0487290	0.5314227	0.3926014	0.3632463	0.6364396	0.4713689	0.0077518	0.5709681	0.1529538	0.4023383	0.0507235	0.1246909	0.3978221	0.2198857	0.3242493	0.5845996	0.6515772	0.3084183	0.1980279	0.2549459	0.2802442	0.2472011	0.0498048	0.6417297	0.0227786	0.1380899	0.3811917	0.4176297	0.2214070	0.4220461	0.1127244	0.6365492	0.2142189	0.0278882	0.5742601	0.3063944	0.4302552	0.3259700	0.7515702	0.0106308	0.2007144	0.3631089	0.1270683	0.5570449	0.4640076	0.6606424	0.2926275	0.7270467	0.1474132	0.3851175	0.0334075	0.1905109	0.5009825	0.0982460	0.1667719	0.6206545	0.2179864	0.5839786	0.4732426	0.0219073	0.2469526	0.4834646	0.6040393	0.0052232	0.6157711	0.2254900	0.5771275	0.1086624	0.2877824	0.5773376	0.4063203	0.5578618	0.4781531	0.2773778	0.3318079	0.3425560	0.0408562	0.6942958	0.2128518	0.0310585	0.1971030	0.1127018	0.0190365	0.2330329	0.5033461	0.3505495	0.1146393
250	0.2356941	0.3967424	0.5996680	0.4069552	0.1479656	0.0917659	0.0348765	0.1047253	0.5090495	0.5977713	0.6081243	0.3205425	0.1991481	0.0840336	0.5937200	0.4837708	0.3453568	0.7922122	0.5229239	0.0122594	0.6323014	0.2742633	0.5321582	0.1575384	0.0652224	0.4134007	0.2360434	0.3633541	0.5517341	0.6655175	0.3502499	0.2044243	0.2800962	0.3592198	0.1419110	0.0308412	0.6584834	0.0029528	0.2016020	0.3384659	0.4900318	0.1978916	0.2750833	0.0739354	0.5086922	0.2165306	0.0068810	0.7089852	0.2536770	0.3903240	0.3031849	0.7011924	0.0355405	0.2335148	0.3712611	0.0462683	0.6615027	0.4600960	0.6346029	0.2103188	0.5527985	0.1509877	0.2819889	0.0280695	0.2345290	0.4614131	0.1042422	0.1526740	0.6017064	0.3248988	0.5250748	0.3106235	0.0028696	0.2364744	0.6161821	0.4961764	0.0131034	0.5982788	0.1804417	0.7369622	0.1155059	0.3010347	0.5390360	0.6002113	0.5334153	0.4472205	0.3799350	0.3328868	0.3100937	0.0263467	0.7297749	0.3382618	0.0241535	0.1470872	0.0792738	0.0025472	0.1852731	0.4105562	0.2647850	0.1144954
300	0.1358020	0.3285509	0.6158472	0.2678520	0.1797432	0.0778557	0.0474641	0.1175100	0.5452243	0.5587932	0.5978184	0.3707902	0.1623432	0.0797202	0.7101811	0.4799733	0.3366083	0.7298241	0.5182927	0.0311118	0.6905308	0.2524762	0.4813143	0.2507786	0.0556360	0.4070926	0.2677044	0.3485145	0.5776664	0.7804030	0.4300771	0.2382573	0.2963051	0.2746501	0.0944378	0.0130616	0.5576458	0.0008019	0.3645104	0.3396735	0.3846288	0.1713131	0.1774864	0.0431129	0.4866531	0.2003662	0.0025090	0.7234027	0.3116008	0.3386971	0.2913912	0.7304650	0.0353439	0.2370954	0.3480057	0.1051364	0.8453222	0.3566779	0.7497863	0.1664876	0.5718855	0.2059622	0.3150238	0.0383678	0.3241193	0.4913371	0.1154248	0.1988181	0.6354506	0.3640005	0.4510265	0.3206145	0.0035163	0.2985549	0.5679629	0.5954941	0.0022463	0.7719696	0.2925788	0.6024120	0.0861993	0.3191031	0.6486626	0.7137911	0.5244235	0.4522972	0.4061267	0.2795121	0.3685984	0.0197941	0.6661068	0.3225510	0.0173362	0.1069220	0.0702621	0.0131728	0.3376345	0.3387281	0.3077779	0.1318431
350	0.1482840	0.3716479	0.6863639	0.4250819	0.2157825	0.1057728	0.0449118	0.1817875	0.5428557	0.5790459	0.5192296	0.3585141	0.1542457	0.0680551	0.6231067	0.4315989	0.3283641	0.6604452	0.6311988	0.0230959	0.6734343	0.2393879	0.6001272	0.1202666	0.0949331	0.3175997	0.2255273	0.3590567	0.6796010	0.5626243	0.3537340	0.2143847	0.3994063	0.2360423	0.0307707	0.0181588	0.6017151	0.0018671	0.4830255	0.3343507	0.4409796	0.1952090	0.1346658	0.0208535	0.6864864	0.2388452	0.0020949	0.7909785	0.1891729	0.3774897	0.1479025	0.7208687	0.0323168	0.2309739	0.3528997	0.1364747	0.6901226	0.4416834	0.7581482	0.2216302	0.7279173	0.1846885	0.4090560	0.0215289	0.2264070	0.5606614	0.0995098	0.2570638	0.5410700	0.4877520	0.5403144	0.3309250	0.0067714	0.2276533	0.6339116	0.4900838	0.0037254	0.7336318	0.2224268	0.8020050	0.0907884	0.2659369	0.6458550	0.6657279	0.5901125	0.2901046	0.3518079	0.2343305	0.5510639	0.0133765	0.7445304	0.2389415	0.0578687	0.0721810	0.0719734	0.0034972	0.2308430	0.3250483	0.4380508	0.1555068
400	0.1676378	0.4227659	0.6208476	0.2939043	0.1455387	0.0705844	0.0067268	0.1351019	0.4298032	0.4935107	0.5585043	0.4630139	0.2836717	0.0255050	0.6168592	0.4992654	0.4657868	0.8722079	0.4922676	0.0175387	0.6478315	0.3684828	0.5159712	0.1024951	0.1255001	0.3775965	0.1495945	0.2932614	0.6421867	0.7325501	0.4444366	0.3207563	0.2522376	0.2685205	0.0148226	0.0131809	0.6885753	0.0006581	0.6524633	0.3792713	0.4315074	0.2073209	0.0633470	0.0419978	0.6501917	0.2886542	0.0173181	0.5763756	0.2433574	0.4064441	0.1224826	0.6121770	0.0209048	0.3391668	0.4108065	0.2869916	0.6503601	0.2941818	0.7553547	0.1838915	0.7920410	0.2170737	0.3325209	0.0182726	0.3330815	0.5194203	0.1320142	0.2286521	0.5835709	0.3825804	0.6234927	0.3217985	0.0034916	0.2066652	0.6164779	0.6241181	0.0036623	0.6003246	0.3027155	0.7145524	0.1042783	0.4301767	0.5655594	0.7507800	0.6017611	0.3769937	0.4742986	0.1687488	0.5365353	0.0094375	0.7279456	0.1623437	0.0424527	0.0648477	0.0493994	0.0054205	0.2905691	0.3725356	0.3981544	0.1104934
