G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3081405	0.4717872	0.7025908	0.4195780	0.0984844	0.3614895	0.0138076	0.3538602	0.2939653	0.6456048	0.7633244	0.3371428	0.1610969	0.0383596	0.4849503	0.3033288	0.3070460	0.4373705	0.1639208	0.0147324	0.6465705	0.0350689	0.0216986	0.0334158	0.4107907	0.1737264	0.2061832	0.2965092	0.5609486	0.6355201	0.2130588	0.1698925	0.2647884	0.2093218	0.4823325	0.4216333	0.0243098	0.1286109	0.0510587	0.5085588	0.4115936	0.2484059	0.6586821	0.6122934	0.0757967	0.3955631	0.1925076	0.5136864	0.5124249	0.6248019	0.6081356	0.5825671	0.0042735	0.1865570	0.3438909	0.3431559	0.6667059	0.5447740	0.5225246	0.6340062	0.6957636	0.2363360	0.1084479	0.0198285	0.0980355	0.4953340	0.0350280	0.0427603	0.1959880	0.3441242	0.4633652	0.3689391	0.0256836	0.1695526	0.3707120	0.5037534	0.1097938	0.7286671	0.1803892	0.3158446	0.2068229	0.5880871	0.6514029	0.7562189	0.7203536	0.4658030	0.2395109	0.3268331	0.2675383	0.1130956	0.5936525	0.2080848	0.0244575	0.2444282	0.3759198	0.3352606	0.3097096	0.4790481	0.2816755	0.6038193
0.7620020	0.2051109	0.7610379	0.4495827	0.1273857	0.3911490	0.0340971	0.4618730	0.4937082	0.7903533	0.7353441	0.3411762	0.1616823	0.2131268	0.6229358	0.4028990	0.2554350	0.4345716	0.3214258	0.0052899	0.7223049	0.0194633	0.0327254	0.0134074	0.3847512	0.3306852	0.2645965	0.5517130	0.5797282	0.6893398	0.1446561	0.2063908	0.3299469	0.3593563	0.5320642	0.3994163	0.0018809	0.1612136	0.0612917	0.5381271	0.5235168	0.2832993	0.7479160	0.5536979	0.1094745	0.3531160	0.2325228	0.3125863	0.5088365	0.7066088	0.6606401	0.5766876	0.0021869	0.3253245	0.4339488	0.3255742	0.5794235	0.3826281	0.5092737	0.7165703	0.7225273	0.1287856	0.1384282	0.0264864	0.1074475	0.4274586	0.0476497	0.0161031	0.1589577	0.3992591	0.7070914	0.3576612	0.0163950	0.1647824	0.3834858	0.5128092	0.0818725	0.7229209	0.2012241	0.3728236	0.1809057	0.3771557	0.5863086	0.6460537	0.6942957	0.4996667	0.2876764	0.4432924	0.1611192	0.1559834	0.6286297	0.1196282	0.0137677	0.3573199	0.2959509	0.3202318	0.2746030	0.6736798	0.4198060	0.6941034
0.5127949	0.3014783	0.3286599	0.3519581	0.1962477	0.4370239	0.0134609	0.3915661	0.2793391	0.7120130	0.6441161	0.4630863	0.1169560	0.0458578	0.5920625	0.2291767	0.2886196	0.5131502	0.3203066	0.0059828	0.5896749	0.0289979	0.0475672	0.0095146	0.5140906	0.2550359	0.2292097	0.3909228	0.7315143	0.6109107	0.2081581	0.1849613	0.2439019	0.1907047	0.3956664	0.4141475	0.0076127	0.1389386	0.0772088	0.4949094	0.4376584	0.2392192	0.5983844	0.4635630	0.2049409	0.3804312	0.2445656	0.4189815	0.4964314	0.6259492	0.6933710	0.7196973	0.0239972	0.3695700	0.4178717	0.0731056	0.6258946	0.4248527	0.6446431	0.6594477	0.5783265	0.2419075	0.2777734	0.0703071	0.0987480	0.4605601	0.0267845	0.1119022	0.2592161	0.3333346	0.7828214	0.3592465	0.0675538	0.1295140	0.5393000	0.3788858	0.0680852	0.7722328	0.0787594	0.2981282	0.2847843	0.2950076	0.5295623	0.5540274	0.5407173	0.6179444	0.2143094	0.5358583	0.1972050	0.1586857	0.6296593	0.1550062	0.0644768	0.4886538	0.4099237	0.2507893	0.2685766	0.6097027	0.4037073	0.6402427
0.5867556	0.4805675	0.7490561	0.0990639	0.1380623	0.3084296	0.0122097	0.3747545	0.3807454	0.8104442	0.7196977	0.4102091	0.1233693	0.0492847	0.5718957	0.2829187	0.1994386	0.3880312	0.2714646	0.0055308	0.6528558	0.0440891	0.0164378	0.0106384	0.4617509	0.1964943	0.1624189	0.3668071	0.6829698	0.7449549	0.1850930	0.2061054	0.1859999	0.1757025	0.4236202	0.3460182	0.0081642	0.1050675	0.0973387	0.5267532	0.4982071	0.2566748	0.6747299	0.5724951	0.2793660	0.3248737	0.3004836	0.3528371	0.5378292	0.6684929	0.5559248	0.7592238	0.0150262	0.3119455	0.4379370	0.2703143	0.7248014	0.3009625	0.5018314	0.6684847	0.5915781	0.1026314	0.3219645	0.0755368	0.1953792	0.5713831	0.0353702	0.0744233	0.2366704	0.3787414	0.5864577	0.3146298	0.0157535	0.1664176	0.3308282	0.4739683	0.0619623	0.5725871	0.3338134	0.3835217	0.3110175	0.5452118	0.6085043	0.6424590	0.6253760	0.5524422	0.2480079	0.4386378	0.1800739	0.1311719	0.6036591	0.2412074	0.0313005	0.2541419	0.3175986	0.1708357	0.1491441	0.7084442	0.2997387	0.6630064
0.4491627	0.4048376	0.6768421	0.3666577	0.0435387	0.4213571	0.0155993	0.3011582	0.3448417	0.7309169	0.7251947	0.2579393	0.1343594	0.0905573	0.4321073	0.3926910	0.3207362	0.4194933	0.3021259	0.0073527	0.5127957	0.0391794	0.0350574	0.0022057	0.3994191	0.2858654	0.2777827	0.3856227	0.5136441	0.6934835	0.2075891	0.2457107	0.1960198	0.3098912	0.4597544	0.5037405	0.0047098	0.1188206	0.0507096	0.4794008	0.4182396	0.3064647	0.6867845	0.6948183	0.2470308	0.3793404	0.1379956	0.4280145	0.4301167	0.7351300	0.6904264	0.7606360	0.0043707	0.2814217	0.4382949	0.3801077	0.5585857	0.3693946	0.6570032	0.7554789	0.6253962	0.2817201	0.2266545	0.0254608	0.2128386	0.5015476	0.0440760	0.0399983	0.2396345	0.2805755	0.6036956	0.3417664	0.0098160	0.1765507	0.3601118	0.3411452	0.0604653	0.7148800	0.1439363	0.3854213	0.2351766	0.4106413	0.5624280	0.5689324	0.6065088	0.5697068	0.2240036	0.4814028	0.2657995	0.1266547	0.7870660	0.1491223	0.0201824	0.3061105	0.3512227	0.3396995	0.1665249	0.6007408	0.3263775	0.6229879
0.4925986	0.3695076	0.7785292	0.3980890	0.1170553	0.1909770	0.0116878	0.4017750	0.2612136	0.7431618	0.5108083	0.3351752	0.1016804	0.1073578	0.7599296	0.3796726	0.2855775	0.4311500	0.3891741	0.0097387	0.7729270	0.0593585	0.0374991	0.0207195	0.4739302	0.2953250	0.1916135	0.3840547	0.5137862	0.7042124	0.1402537	0.1885961	0.2596188	0.2221346	0.4376584	0.4515430	0.0052879	0.1387515	0.0683935	0.3694140	0.4629193	0.3128437	0.6721082	0.6567063	0.0811743	0.4703768	0.1756930	0.5145030	0.5315345	0.8433342	0.7845453	0.7138226	0.0017417	0.1529511	0.3516290	0.3184123	0.5423299	0.3595163	0.5593098	0.7564153	0.6906370	0.1912333	0.1518556	0.0517380	0.1722614	0.5364944	0.0088571	0.0241210	0.2157399	0.3263950	0.5490662	0.3758047	0.0104514	0.1736214	0.4168977	0.3297173	0.0664913	0.6961437	0.1295105	0.3630143	0.2796934	0.3880470	0.7562508	0.6403528	0.5394152	0.6381342	0.2219358	0.3981933	0.3189531	0.1234777	0.6685188	0.2513247	0.0482575	0.2355711	0.4611276	0.3276185	0.2666941	0.5736225	0.2876507	0.5609339
0.5722673	0.4490751	0.8041798	0.2205414	0.1769215	0.5064281	0.0190886	0.3732136	0.3426882	0.5161665	0.5306851	0.3905592	0.1030205	0.0443342	0.5127477	0.2768659	0.2908436	0.4224985	0.2939980	0.0008250	0.6991335	0.0216391	0.0224995	0.0132506	0.4276636	0.2775657	0.2744217	0.3927635	0.5452768	0.6508957	0.2214762	0.2465717	0.2522872	0.2612753	0.5522049	0.4492263	0.0209405	0.1068044	0.0471783	0.3783417	0.4743576	0.2002374	0.6584534	0.5902680	0.0386890	0.3304379	0.1913371	0.5810816	0.5113261	0.6053731	0.6059674	0.7992318	0.0093011	0.2632118	0.4387496	0.3496760	0.6260991	0.3794948	0.6469107	0.7699353	0.6688741	0.1072842	0.1385132	0.0493323	0.1770028	0.4863636	0.0475847	0.0342046	0.2194215	0.3333475	0.5270904	0.3970835	0.0247721	0.1722565	0.3666607	0.3557557	0.0825010	0.6225276	0.1431018	0.3594055	0.3011765	0.3380168	0.6740785	0.8251086	0.6977621	0.6331814	0.2640863	0.5225608	0.2417904	0.1575262	0.6576407	0.2041251	0.0213576	0.3957508	0.3141938	0.2661722	0.2026379	0.6821323	0.3342156	0.6949808
0.4484657	0.5307604	0.6005102	0.3512237	0.1954502	0.3107634	0.0133557	0.1560862	0.2535226	0.7226188	0.6590197	0.3583446	0.1649246	0.0245360	0.4444590	0.2558582	0.3046252	0.4365490	0.2845773	0.0124305	0.6972332	0.0345914	0.0370441	0.0020463	0.4216971	0.2997572	0.2076845	0.3790041	0.7880803	0.5710137	0.2024473	0.1721765	0.3199512	0.2146756	0.4652424	0.4721212	0.0028293	0.1121196	0.0644803	0.5262538	0.3924681	0.1794515	0.7221508	0.5455886	0.1234679	0.4187042	0.1997810	0.3984758	0.5451308	0.6030104	0.6034750	0.7450980	0.0046141	0.2439642	0.4892160	0.4142123	0.5952047	0.3940743	0.5082361	0.7105181	0.7271515	0.1892366	0.1415112	0.0307215	0.2015143	0.6571956	0.0525308	0.0404605	0.2956642	0.3257707	0.5701929	0.3169639	0.0464835	0.1806966	0.5567204	0.6390171	0.1018778	0.7290681	0.1852785	0.4879854	0.2596788	0.3531670	0.5612865	0.6580958	0.6826570	0.6100414	0.3516350	0.4920896	0.1938500	0.1588370	0.7618059	0.2131327	0.0234865	0.3964868	0.3181327	0.3340221	0.3270169	0.6477125	0.2951187	0.8096121
0.5245460	0.4556461	0.6372316	0.2814678	0.1538204	0.3028280	0.0061247	0.3085808	0.2008944	0.6025854	0.6937247	0.3286268	0.1047768	0.0817807	0.6357548	0.2449986	0.2609497	0.4366803	0.3045873	0.0116972	0.7440957	0.0494537	0.0407533	0.0088686	0.3934925	0.1922134	0.1812126	0.4211969	0.5551056	0.6931019	0.1771003	0.1958537	0.2321970	0.2289622	0.4533716	0.5240555	0.0085948	0.2032873	0.0464155	0.4147420	0.4911490	0.1794752	0.6604680	0.5627902	0.2767462	0.3278378	0.1961337	0.4513627	0.5052561	0.7666446	0.5440885	0.8548812	0.0033486	0.2150077	0.4195296	0.3565210	0.6857596	0.3427590	0.6779274	0.7125435	0.8513556	0.0883476	0.1731920	0.0270759	0.0960665	0.5170631	0.0415691	0.0298574	0.2597542	0.3402628	0.4738349	0.4491425	0.0160038	0.1220414	0.3778928	0.4939923	0.1027868	0.7545794	0.1719622	0.4206652	0.1933843	0.4557955	0.6039633	0.7238483	0.6776080	0.5249559	0.3171762	0.3919941	0.2525478	0.1605062	0.7504953	0.1956091	0.0572855	0.4067061	0.3477983	0.2437980	0.2541372	0.6501226	0.2757394	0.7186356
0.5518773	0.4220324	0.7459612	0.2816958	0.1896305	0.3992886	0.0192129	0.3575636	0.4996082	0.3160891	0.7258041	0.3219807	0.0895705	0.0636993	0.6307325	0.3679067	0.3608214	0.4734401	0.2418391	0.0088462	0.5275439	0.0536744	0.0217775	0.0148423	0.4472049	0.2704692	0.2060944	0.4359514	0.6454371	0.8470553	0.2245463	0.2783583	0.1729273	0.1091173	0.4240858	0.4129456	0.0078594	0.1628506	0.0788164	0.4531024	0.6092324	0.2669967	0.7166004	0.5101179	0.1241752	0.4348764	0.2644671	0.3539157	0.4580660	0.6498347	0.7710301	0.6495283	0.0004646	0.1479750	0.5245787	0.3732993	0.8207241	0.3493125	0.5761370	0.7328589	0.6751274	0.1401667	0.0873298	0.0316683	0.0710658	0.6197628	0.0377453	0.0296414	0.3014608	0.4068914	0.6392233	0.4103150	0.0102034	0.1538021	0.2830080	0.4600757	0.0473213	0.7233166	0.2497917	0.4047114	0.1868381	0.4323299	0.5315141	0.5512355	0.7625569	0.5403016	0.1919382	0.4335019	0.2265187	0.0981169	0.6532920	0.1802984	0.0191284	0.3999966	0.2460818	0.2791714	0.2738881	0.5706170	0.3362060	0.5715559
