Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0774981	0.4421654	0.2882468	0.7174243	0.9773964	0.9986078	0.4432736	0.0303102	0.2166974	0.6736892	0.4360052	0.7014581	0.4966002	0.3450964	0.5551055	0.0111723	0.6645578	0.2443235	0.4482157	0.9242772	0.7905294	0.6579861	0.4567951	0.3578689	0.9999994	0.8649095	0.3981045	0.9962757	0.0592024	0.9643286	0.1132171	0.7849783	0.4712320	0.7951986	0.8927333	0.7884267	0.9984113	0.1525149	0.5348305	0.9072760	0.8300375	0.4090268	0.0894633	0.1970370	0.0283055	0.1285167	0.9999985	0.5758156	0.3149024	1.0000000	0.1523619	0.2090609	0.2107102	0.0000596	0.0781402	0.1176118	0.1385623	0.5878905	0.4091036	0.8698824	0.5672232	0.2621157	0.9458657	0.8283254	0.5191435	0.2957426	0.9491158	0.9240112	0.8870459	0.4059866	0.3595794	0.5935211	0.8891341	0.3784860	0.9401471	0.3106459	0.5693013	0.2734468	0.9919643	0.9996802	0.9843663	0.1168595	0.1423161	0.8341147	0.5447561	0.7293653	0.0150619	0.1064329	0.1354155	0.9856333	0.0496488	0.9556019	0.3014942	0.5104500	0.8579440	0.4244318	0.5223549	0.6848306	0.9354060	0.0380328
50	0.5063648	0.2242672	0.2870475	0.7161568	0.9746823	0.9973162	0.4357472	0.1177288	0.3409027	0.6671821	0.4365610	0.7556087	0.0682919	0.3356736	0.5335001	0.0111666	0.6626372	0.2454439	0.4087650	0.9233627	0.8875565	0.6580407	0.4575800	0.3749258	0.5325156	0.8656002	0.4486407	0.6862626	0.0591801	0.9646706	0.0663510	0.7853703	0.4612620	0.8357428	0.9432363	0.7884521	0.9984112	0.1525268	0.5542598	0.9074658	0.8299521	0.4104096	0.0911467	0.2801003	0.2222728	0.1268914	0.9999996	0.5748989	0.2925127	1.0000000	0.1612311	0.2089947	0.2139827	0.0434206	0.0724036	0.2111926	0.2766346	0.5592527	0.6510674	0.9582376	0.5771744	0.2577631	0.9532332	0.8253979	0.2131505	0.2849514	0.9498787	0.8614881	0.8870213	0.4053869	0.3580024	0.5453323	0.8906837	0.0741614	0.9307461	0.2525394	0.5692942	0.2720729	0.9919627	0.7921810	0.9653392	0.1165493	0.1425831	0.4997909	0.5259202	0.4501193	0.0096069	0.2271483	0.0606841	0.9856217	0.0502127	0.9554517	0.3018893	0.5296490	0.8702105	0.3279215	0.5298588	0.3647815	0.8678724	0.0382374
100	0.6225810	0.1236862	0.2703719	0.7021604	0.9417780	0.9118828	0.3506579	0.3300765	0.5056944	0.6208112	0.4389516	0.8347174	0.0597390	0.3218132	0.4668886	0.0110824	0.6010686	0.2941183	0.2787036	0.9094302	0.9118130	0.6596382	0.4620998	0.4372605	0.3736872	0.8874490	0.6288995	0.5624954	0.0601022	0.9634870	0.0329234	0.7876811	0.4136108	0.8516764	0.9527932	0.7895142	0.9984106	0.1526217	0.5521340	0.9098639	0.8327744	0.4485277	0.1002846	0.3523228	0.2899139	0.1183890	0.9999998	0.5724593	0.2521065	1.0000000	0.1645164	0.2079229	0.2502626	0.1057987	0.0571497	0.3633187	0.3268852	0.4943996	0.7155079	0.9856210	0.6118042	0.2687845	0.9374201	0.8248035	0.1004829	0.2736644	0.9511159	0.7629188	0.8893862	0.4036510	0.3594251	0.4226281	0.9010101	0.0253825	0.9022528	0.1384368	0.5669500	0.2439300	0.9920323	0.7220928	0.8789193	0.1123263	0.1470500	0.3206366	0.4599824	0.4507700	0.0082862	0.3409794	0.0314126	0.9851164	0.0583086	0.9528660	0.3049896	0.7932782	0.8967889	0.3054426	0.5780265	0.3462912	0.8294474	0.0373559
150	0.6544230	0.0826748	0.2330919	0.6672490	0.8628544	0.7980265	0.2469829	0.3386576	0.5886237	0.5479146	0.4416164	0.8634819	0.0586116	0.3231134	0.3988945	0.0106308	0.5019926	0.3878138	0.1660385	0.8598837	0.9265706	0.6647719	0.4680345	0.5175940	0.3197249	0.9173642	0.7635301	0.5130192	0.0656152	0.9583602	0.0235924	0.7886988	0.3758761	0.8687393	0.9547104	0.7955360	0.9984083	0.1527316	0.5226976	0.9167920	0.8455398	0.4773972	0.1187038	0.3922009	0.3127325	0.1073066	0.9999998	0.5727686	0.2646823	1.0000000	0.1710262	0.1979494	0.3372123	0.1720560	0.0509731	0.4180908	0.2318251	0.4524760	0.7487206	0.9935410	0.6591015	0.2813232	0.8469432	0.8341970	0.0607948	0.2550286	0.9459720	0.7317251	0.8996673	0.4009310	0.3559701	0.3396088	0.9182169	0.0155391	0.8798917	0.0988997	0.5521890	0.2068804	0.9923521	0.7002576	0.8023129	0.1031030	0.1648609	0.2218011	0.3797397	0.4401345	0.0044635	0.3333189	0.0187769	0.9830507	0.0843433	0.9447827	0.3110504	0.9307788	0.9172791	0.3069415	0.6556860	0.3930702	0.7892576	0.0380467
200	0.6632020	0.0597943	0.2021287	0.6249561	0.7740762	0.7826453	0.2009923	0.2523101	0.6221216	0.4971927	0.4408062	0.8715671	0.0585732	0.3350670	0.3558800	0.0097735	0.4314495	0.4600077	0.1109216	0.7672752	0.9390477	0.6751298	0.4858799	0.5858332	0.3013910	0.9366190	0.8302435	0.4929869	0.0764390	0.9543377	0.0211464	0.7863311	0.3651069	0.8889169	0.9554923	0.8068171	0.9984063	0.1525119	0.4821700	0.9270768	0.8545849	0.4326108	0.1400426	0.4124677	0.3191858	0.1015862	0.9999998	0.5734489	0.3036461	1.0000000	0.1760857	0.1786695	0.4549589	0.2151482	0.0604231	0.4397938	0.1914520	0.4302321	0.7806282	0.9957998	0.7018308	0.2934662	0.7054026	0.8426914	0.0502869	0.2323796	0.9357844	0.7442832	0.9157034	0.3974976	0.3379232	0.2882454	0.9300666	0.0129089	0.8689308	0.0820646	0.5160409	0.2120643	0.9927977	0.6968780	0.7665935	0.0942804	0.1939509	0.1471339	0.3207327	0.4192233	0.0029167	0.3934428	0.0138769	0.9814729	0.1287936	0.9366918	0.3257620	0.9618337	0.9241567	0.3136313	0.6996580	0.4361341	0.7581257	0.0433604
250	0.6656255	0.0455750	0.1868899	0.5933958	0.7081107	0.8067607	0.2027754	0.1910204	0.6325952	0.4732924	0.4364380	0.8732838	0.0591913	0.3485877	0.3343211	0.0089878	0.3947431	0.4993276	0.0910204	0.6573916	0.9480003	0.6988824	0.5198278	0.6314658	0.2951620	0.9466908	0.8593187	0.4843669	0.0889698	0.9533789	0.0205144	0.7822425	0.3641361	0.9068537	0.9563669	0.8168406	0.9984116	0.1517760	0.4524479	0.9363485	0.8436068	0.3659334	0.1583745	0.4283809	0.3182612	0.1017070	0.9999998	0.5722256	0.3357971	1.0000000	0.1727036	0.1619157	0.5459359	0.2442970	0.0759504	0.4559145	0.2221655	0.4131204	0.8066186	0.9964551	0.7268556	0.3041815	0.6334346	0.8466459	0.0485891	0.2133395	0.9318694	0.7677003	0.9308223	0.3937876	0.3202233	0.2680089	0.9356174	0.0126353	0.8638086	0.0721900	0.4665215	0.2487420	0.9931719	0.6973876	0.7532584	0.0875294	0.2188985	0.0920700	0.2905705	0.3929061	0.0022928	0.5134776	0.0115633	0.9812263	0.1795765	0.9347860	0.3476004	0.9542728	0.9232261	0.3188163	0.7234173	0.4583837	0.7344125	0.0506301
300	0.6662947	0.0377213	0.1814084	0.5761319	0.6696124	0.8478820	0.2275847	0.1610648	0.6348592	0.4623660	0.4353828	0.8729618	0.0599042	0.3587712	0.3243120	0.0084949	0.3779655	0.5179551	0.0858764	0.5627333	0.9535379	0.7380999	0.5584262	0.6577684	0.2930458	0.9519476	0.8715752	0.4799876	0.0994851	0.9542241	0.0203564	0.7780663	0.3661074	0.9197385	0.9572642	0.8217840	0.9984294	0.1508115	0.4361185	0.9412001	0.8152532	0.3184836	0.1736356	0.4460248	0.3139791	0.1047038	0.9999998	0.5707185	0.3555550	1.0000000	0.1596724	0.1513793	0.5981483	0.2602278	0.0890423	0.4678248	0.2855909	0.3977469	0.8220471	0.9966535	0.7349674	0.3126615	0.6118236	0.8484157	0.0483375	0.2009792	0.9369267	0.7862963	0.9419172	0.3904398	0.3074332	0.2731485	0.9383143	0.0131642	0.8616599	0.0674240	0.4249921	0.2818263	0.9934213	0.6977597	0.7494346	0.0809184	0.2328706	0.0602435	0.2785459	0.3681033	0.0020113	0.6041770	0.0099331	0.9822841	0.2222885	0.9376634	0.3669975	0.9335139	0.9130650	0.3212338	0.7424662	0.4657006	0.7074085	0.0565570
350	0.6664795	0.0339719	0.1805112	0.5679831	0.6504413	0.8865962	0.2550999	0.1486061	0.6348453	0.4561813	0.4393159	0.8726694	0.0604308	0.3650109	0.3193995	0.0082471	0.3706889	0.5261795	0.0850839	0.4961216	0.9566642	0.7820409	0.5901042	0.6715445	0.2923268	0.9548458	0.8768738	0.4771943	0.1067766	0.9555733	0.0203212	0.7736600	0.3685991	0.9278307	0.9579320	0.8228291	0.9984557	0.1500487	0.4280439	0.9408557	0.7832610	0.2914460	0.1880077	0.4635987	0.3095050	0.1082719	0.9999998	0.5697040	0.3664076	1.0000000	0.1386922	0.1454235	0.6248788	0.2658007	0.0976677	0.4741384	0.3501743	0.3845475	0.8296300	0.9967133	0.7342216	0.3187652	0.6070496	0.8493209	0.0484743	0.1940891	0.9463240	0.7976624	0.9490385	0.3879448	0.2991276	0.2868467	0.9399068	0.0137213	0.8625418	0.0675828	0.4016661	0.3004636	0.9935717	0.6974186	0.7491777	0.0734783	0.2395515	0.0448354	0.2741773	0.3493409	0.0018996	0.6429698	0.0086760	0.9842632	0.2513388	0.9413197	0.3796054	0.9112487	0.8920969	0.3213251	0.7594712	0.4653712	0.6713615	0.0603291
400	0.6665305	0.0324872	0.1814601	0.5636541	0.6419896	0.9120771	0.2756361	0.1440564	0.6346085	0.4519821	0.4441031	0.8731079	0.0607434	0.3683925	0.3165764	0.0081507	0.3675447	0.5296651	0.0848711	0.4547676	0.9583276	0.8193392	0.6111994	0.6783094	0.2920826	0.9564907	0.8793795	0.4751559	0.1114328	0.9567961	0.0203163	0.7687626	0.3707156	0.9325750	0.9582981	0.8220419	0.9984808	0.1497432	0.4240192	0.9365143	0.7573412	0.2774657	0.2021815	0.4778638	0.3062504	0.1114497	0.9999998	0.5690713	0.3722580	1.0000000	0.1155518	0.1420820	0.6376521	0.2655520	0.1026337	0.4761036	0.3980266	0.3742688	0.8330701	0.9967235	0.7311646	0.3228382	0.6068343	0.8498153	0.0492021	0.1904414	0.9550648	0.8039268	0.9532788	0.3863723	0.2941159	0.2982550	0.9409522	0.0140897	0.8654128	0.0714588	0.3934750	0.3078014	0.9936590	0.6965105	0.7499292	0.0659723	0.2430815	0.0385474	0.2721755	0.3369874	0.0018754	0.6528886	0.0077776	0.9863839	0.2686817	0.9439067	0.3863670	0.8929622	0.8684211	0.3201258	0.7729872	0.4621955	0.6312113	0.0625130
