G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G68A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000039	0.9278802	0.8350583	0.0173380	0.8968014	0.5939369	0.4563534	0.9947080	0.5451435	0.1751949	0.2131919	0.8762271	0.0544081	0.5134627	0.0154508	0.2987582	0.4587518	0.0443683	0.3075724	0.1620205	0.5391218	0.0212647	0.9542433	0.9877674	0.0098221	0.0525503	0.0285731	0.7747147	0.5823011	0.2106373	0.3695893	0.0034265	0.0227384	0.7546400	0.1815916	0.9904651	0.9908027	0.7429156	0.5929155	0.7588267	0.0356616	0.7978558	0.9062434	0.3566197	0.8173318	0.3179080	0.5839694	0.0973979	1.0000000	0.0546213	0.5371967	0.3076571	0.5070331	0.7507361	0.7822288	0.0318440	0.5151740	0.9588605	0.5353204	0.9759596	0.3440982	0.9241204	0.4219727	0.4857498	0.6043204	0.0581961	0.9147716	0.3577727	0.2010102	0.8315917	0.0004587	0.7315447	0.9932877	0.6669548	0.5424250	0.9585348	0.2334654	0.7370293	0.5230701	0.9501234	0.4300276	0.8926206	0.9096077	0.2982846	0.3765820	0.1916913	0.9864198	0.2541648	0.0586082	0.9693389	0.8962937	0.5152167	0.9525149	0.8776024	0.5684984	0.8352302	0.1562898	0.5316340	1.0000000	0.2364930
0.9330691	0.0000000	0.8379304	0.0056897	0.7620742	0.5935047	0.4620850	0.9947283	0.5423631	0.1760985	0.2130067	0.8765426	0.0529604	0.7127969	0.0056971	0.2270706	0.4613391	0.0008657	0.0174654	0.2684125	0.5564382	0.0212646	0.9542915	0.9877674	0.0098220	0.0402052	0.3185058	1.0000000	0.8362962	0.2106499	0.3681660	0.0034265	0.0225039	0.5552130	0.2602505	0.9901646	0.9854741	0.5449605	0.6907339	0.5570381	0.0355766	0.7925741	0.8962980	0.3725179	0.8984311	0.7155651	0.5849640	0.4737818	1.0000000	0.0546213	0.5276676	0.3212377	0.4981704	0.7717979	0.8349067	0.0359788	0.5059933	0.4880244	0.9973826	0.9714538	0.3431554	0.9386370	0.2477130	0.6020458	0.5618313	0.0721291	0.6473118	0.3552732	0.1960463	0.9777009	0.0001286	0.7635080	0.9382550	0.6671049	0.5447649	0.9564668	0.2178981	0.6619349	0.5214134	0.9982634	0.4274549	0.9059517	0.9136752	0.3378169	0.3126274	0.1974907	0.9726711	0.2262055	0.6164708	0.8561041	0.8083681	0.1184350	0.7656903	0.8816117	0.8336830	0.8343783	0.0817825	0.7821157	0.9999999	0.2352469
0.8466661	0.9278801	0.0000029	0.0173378	0.8968006	0.5939369	0.4563533	0.9947080	0.5451438	0.1751948	0.2131919	0.8762271	0.0544080	0.5134642	0.0154508	0.2987583	0.4783467	0.0474848	0.3075722	0.1620212	0.5391218	0.0212647	0.9542433	0.9877674	0.0098221	0.0525503	0.0285732	0.7747144	0.5823008	0.2106373	0.3695895	0.0034265	0.0227384	0.7546409	0.1815922	0.9904651	0.9908040	0.7429939	0.5928586	0.7589479	0.0356616	0.7978559	0.9062441	0.3566180	0.8173210	0.3179080	0.5839694	0.0973980	1.0000000	0.0546213	0.5371968	0.3076571	0.5070335	0.7507362	0.7822288	0.0310813	0.5151739	0.7764426	0.5353205	0.9759596	0.3440984	0.9241205	0.4219726	0.4857723	0.8270975	0.0581921	0.9147715	0.3577723	0.2010095	0.8315930	0.0004587	0.7315439	0.9932878	0.6669548	0.5424250	0.9585348	0.2334653	0.7370471	0.5230699	0.9501230	0.4598970	0.8926207	0.9096077	0.2982734	0.3765817	0.1916913	0.9864246	0.2483502	0.0586083	0.9693317	0.8962939	0.5152167	0.9525150	0.8776024	0.5684984	0.8352302	0.1562897	0.5316346	1.0000000	0.2364933
0.8466654	0.9278813	0.8385721	0.0000028	0.8968006	0.5939368	0.4563533	0.9947080	0.5451413	0.1751952	0.2131921	0.8762269	0.0544085	0.5134561	0.0154513	0.2987588	0.4587513	0.0443688	0.3075736	0.1620169	0.5391218	0.0212647	0.9542433	0.9877674	0.0098221	0.0525500	0.0285731	0.7747158	0.5823025	0.2106373	0.3695878	0.0034265	0.0227384	0.7546228	0.1815916	0.9904651	0.9908027	0.7429118	0.5929167	0.7588225	0.0356617	0.7978555	0.9062437	0.3566192	0.8173303	0.3179074	0.5839694	0.0973977	1.0000000	0.0546213	0.5371943	0.3076578	0.5070331	0.7507376	0.7822288	0.0318513	0.5151739	0.9589035	0.5353202	0.9759598	0.3440982	0.9241198	0.4219724	0.4857721	0.6038392	0.0581959	0.9147719	0.3577727	0.2010101	0.9915700	0.0000027	0.7315435	0.9932877	0.6669548	0.5424250	0.9585347	0.2334655	0.7370333	0.5230712	0.9501233	0.4299977	0.8926205	0.9096079	0.2982835	0.3765846	0.1916913	0.9864198	0.2542605	0.0586080	0.9694440	0.8962931	0.5152160	0.9525149	0.8776014	0.5684986	0.8352300	0.1562902	0.5316323	1.0000000	0.2364903
0.8466658	0.9278820	0.8350539	0.0173386	0.0000004	0.5939328	0.4563548	0.9947082	0.5451451	0.1751942	0.2131907	0.8762294	0.0544079	0.5134563	0.0154514	0.2987617	0.4587514	0.0466637	0.3175348	0.1620132	0.5391218	0.0212647	0.9542438	0.9877674	0.0098221	0.0525497	0.0285736	0.7747080	0.5822940	0.2106373	0.3695901	0.0034265	0.0227929	0.7546443	0.1815901	0.9904673	0.9908028	0.7429202	0.5929125	0.7588331	0.0356568	0.7978558	0.9062436	0.3566193	0.8173304	0.3179065	0.5839792	0.0964850	1.0000000	0.0546213	0.4025246	0.3076578	0.5070392	0.7507362	0.7818472	0.0318419	0.5151995	0.9614054	0.5323020	0.9753013	0.3440502	0.9235628	0.4223841	0.4814444	0.8271270	0.0581962	0.9207174	0.3577727	0.2010167	0.4890986	0.0249847	0.7891812	0.9937827	0.6669571	0.5357403	0.8320733	0.2334634	0.5476038	0.5230737	0.9463149	0.4263067	0.8926149	0.9096074	0.5104737	0.4869194	0.1916913	0.9864200	0.2550621	0.0586085	0.9693394	0.9395693	0.5152166	0.9526700	0.8462935	0.5704814	0.8352301	0.1563511	0.5157124	1.0000000	0.2364983
0.7583395	0.9252613	0.8362057	0.0160569	0.6193509	0.0000000	0.2853202	0.8606333	0.2473955	0.3469005	0.4630941	0.6005577	0.1789833	0.5247449	0.0145819	0.2939987	0.4706641	0.2372482	0.3059967	0.1683707	0.5416807	0.0213342	0.9174540	0.9877674	0.0098221	0.0535465	0.0280121	0.7843661	0.5931379	0.2802485	0.1656934	0.0034265	0.0226194	0.7487297	0.1840132	0.9887673	0.9384171	0.2010343	0.7517500	0.4028198	0.1533394	0.7880884	0.8881535	0.3850408	0.8300818	0.2973862	0.5827663	0.1487184	1.0000000	0.0546213	0.4763676	0.3600380	0.5596460	0.7909550	0.7871096	0.0919861	0.5137395	0.9725749	0.9732635	0.9971864	0.3334411	0.9807138	0.3986746	0.6028888	0.4264676	0.0837505	0.7612055	0.3769665	0.2032102	0.8276779	0.0037285	0.6613247	0.9942352	0.6728979	0.5815408	0.9410918	0.0551484	0.9007035	0.5479332	0.9071116	0.4343184	0.6047808	0.9081611	0.1836927	0.3679390	0.1924344	0.9443884	0.5579207	0.0197047	0.9778050	0.9731548	0.5087342	0.9827207	0.8024852	0.5451090	0.8173577	0.0083434	0.5307040	1.0000000	0.5714114
0.8466660	0.9278802	0.8350583	0.0173380	0.8968014	0.5939369	0.0000019	0.9947080	0.5451435	0.1751949	0.2131919	0.8762271	0.0544081	0.5134627	0.0154508	0.2987582	0.4587518	0.0443683	0.3075724	0.1620205	0.5391218	0.0212647	0.9542433	0.9877674	0.0098221	0.0525503	0.0285731	0.7747147	0.5823011	0.2106373	0.3695893	0.0034265	0.0227384	0.7546400	0.1815916	0.9904651	0.9908027	0.7429156	0.5929155	0.7588267	0.0356616	0.7978558	0.9062434	0.3566197	0.8173318	0.3179080	0.5839694	0.0973979	1.0000000	0.0546213	0.5360954	0.4685425	0.7284760	0.7507361	0.7822288	0.0318440	0.5151740	0.9588605	0.5353204	0.9759596	0.3440982	0.9552424	0.4219727	0.4857722	0.6043204	0.0581961	0.9147716	0.3577727	0.2010102	0.8315917	0.0004587	0.7315447	0.9932877	0.6669548	0.5424250	0.9585348	0.2334654	0.7370293	0.5230712	0.9501234	0.4300276	0.8926206	0.9098837	0.2982846	0.3765820	0.1916913	0.9864198	0.2541648	0.0586082	0.9693389	0.8962937	0.5152167	0.9525149	0.8776024	0.5684984	0.8352302	0.1562898	0.5316340	1.0000000	0.2364930
0.8466657	0.9278807	0.8350587	0.0173383	0.8968020	0.5939368	0.4563533	0.0000013	0.5451424	0.1751951	0.2131920	0.8762270	0.0544084	0.5134582	0.0154511	0.2987583	0.4587516	0.0443686	0.3075731	0.1620182	0.5391218	0.0212647	0.9542433	0.9877674	0.0098221	0.0525502	0.0285731	0.7747155	0.5823020	0.2106373	0.3695886	0.0034265	0.0227384	0.7546316	0.1815910	0.9904651	0.9908027	0.7429127	0.5929168	0.7588237	0.0356616	0.7978557	0.9062436	0.3566194	0.8173311	0.3179078	0.5839694	0.0973977	1.0000000	0.0546213	0.5371956	0.3076574	0.5070332	0.7507368	0.7822288	0.0318440	0.5151741	0.9588612	0.5353202	0.9759597	0.3440982	0.9241201	0.4219726	0.4857720	0.6043213	0.0581960	0.9147718	0.3577727	0.2010102	0.8316052	0.0004587	0.7315438	0.9932877	0.6669548	0.5424250	0.9585348	0.2334655	0.7370313	0.5230706	0.9501241	0.4300275	0.6511408	0.9096078	0.2982841	0.3765834	0.1916913	0.9864198	0.2541652	0.0586081	0.9693389	0.8962937	0.5152163	0.9525149	0.8776021	0.5684986	0.8352301	0.1562901	0.5316327	1.0000000	0.2364916
0.8466661	0.9278801	0.8350584	0.0173376	0.8967999	0.5939369	0.4563535	0.9947080	0.0000000	0.1751948	0.2131919	0.8762271	0.0544080	0.5134651	0.0154507	0.2987584	0.4587517	0.0443680	0.3075722	0.1620215	0.5391218	0.0212647	0.9542433	0.9877674	0.0098221	0.0525502	0.0285732	0.7747142	0.5823007	0.2106373	0.3695897	0.0034265	0.0227384	0.7546406	0.1815927	0.9904651	0.9908028	0.7429179	0.5929143	0.7588283	0.0356616	0.7978557	0.9062433	0.3566197	0.8173317	0.3179079	0.5839694	0.0973980	1.0000000	0.0546213	0.5157924	0.3076592	0.5070330	0.7505256	0.7822288	0.0318440	0.5151738	0.9588600	0.5353206	0.9759596	0.3440982	0.8399950	0.4219727	0.4857724	0.6286663	0.0581960	0.9147714	0.3577727	0.2010101	0.8317203	0.0249868	0.6409638	0.9932878	0.6669548	0.5424250	0.9585348	0.2334653	0.7526691	0.5489028	0.9501220	0.4300276	0.8926208	0.9122718	0.1476651	0.3765817	0.1916913	0.9864200	0.2541647	0.0586083	0.9693389	0.9660617	0.5152167	0.9525149	0.7755883	0.5684983	0.8352302	0.1562896	0.5316349	1.0000000	0.0942077
0.8468706	0.9278905	0.8350569	0.0173412	0.9974449	0.5940443	0.4567744	0.9947412	0.9999994	0.0000038	0.2128848	0.8767549	0.0034327	0.5134273	0.0154542	0.2987783	0.4587805	0.0004849	0.3075581	0.1620006	0.5391192	0.0212646	0.9542893	0.9877674	0.0098221	0.0525465	0.0285756	0.7746754	0.5822590	0.2101724	0.5358178	0.0034390	0.0227368	0.7531869	0.1821458	0.9904905	0.9923188	0.8387830	0.5905304	0.7636851	0.0355701	0.7978997	0.9063351	0.3564674	0.8167921	0.3179447	0.5839701	0.0973349	1.0000000	0.0546213	0.5706959	0.3075989	0.5070099	0.7509805	0.7822243	0.0310977	0.5151763	0.9738150	0.5355984	0.9759139	0.3441070	0.9559651	0.4219950	0.4857318	0.6713352	0.0579962	0.9123411	0.3572199	0.2009336	0.8344606	0.0004563	0.8832517	0.9932863	0.6668246	0.5424498	0.9595698	0.2334607	0.5641998	0.2787720	0.9502280	0.4285118	0.8924455	0.9082213	0.3718925	0.3748743	0.1916905	0.9866269	0.2483655	0.0898314	0.9657298	0.6919528	0.5787489	0.9524185	0.9269864	0.5685352	0.8352050	0.0058775	0.5316722	1.0000000	0.3319237
