G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G68A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.8181531	0.8008828	0.0109589	0.4059598	0.9259815	0.3671885	0.0763226	0.7568489	0.0356597	0.5575441	0.5434278	0.5405801	0.4052735	0.1925377	0.2078020	0.1182814	0.5313868	0.5412995	0.2063873	0.2307854	0.4288036	0.0217152	0.7854900	1.0000000	0.0000000	0.3768178	0.0394876	0.7203821	0.6914455	0.3193817	0.1380778	0.0000000	0.0000090	0.9256177	0.0880476	0.9761542	0.9338654	0.3857910	0.3138945	0.7021257	0.0039209	0.7319756	0.7100932	0.2971942	0.3103073	0.5055413	0.7978664	0.2786250	0.9426371	0.0546301	0.7427169	0.7739955	0.8881720	0.4328426	0.6967642	0.0583927	0.7695920	0.5089429	0.7087142	0.9966248	0.2940912	0.9999799	0.7166126	0.6850345	0.6209972	0.0891125	0.9415055	0.3593927	0.1130441	0.6711812	0.0382675	0.4518966	0.7400407	0.9472079	0.1197966	0.9493467	0.6674092	0.9611721	0.6680945	0.8545816	0.8075353	0.8790166	0.6686181	0.0729738	0.0837791	0.1402333	0.8522789	0.4691389	0.1822309	0.9165774	0.9958482	0.1097740	0.9959353	0.7160444	0.6399862	0.9999922	0.4102720	0.8994767	1.0000000	0.3626127
0.8821560	0.9878830	0.6375431	0.0475630	0.7850264	0.5429401	0.3104806	0.9475845	0.5889900	0.0858722	0.1320495	0.9217627	0.1089922	0.3895266	0.0313917	0.3639104	0.5573360	0.2297409	0.3340053	0.8701038	0.8209259	0.0211970	0.9970500	0.5842696	0.4065721	0.2473875	0.0276825	0.7054648	0.5173319	0.0001917	0.4177851	0.0954040	0.0000000	0.8559066	0.0739098	0.9994301	0.9644477	0.2819118	0.7192168	0.3386758	0.0087231	0.8586952	0.9817291	0.1851201	0.9131415	0.3606488	0.9999999	0.0919130	0.9120207	0.0000000	0.8551366	0.6577393	0.8707131	0.8351769	0.9633464	0.2770491	0.9730309	0.9910269	0.8984333	0.9142628	0.0416444	0.9020753	0.1681774	0.2070020	0.1929750	0.2114299	0.5733875	0.4172938	0.1136516	0.7478652	0.0000276	0.7596188	0.9829864	0.8832974	0.5619822	0.5522034	0.0198883	0.5909866	0.8356650	0.6651942	0.5398355	0.8281289	0.9229425	0.1551696	0.3395598	0.3382087	0.9877489	0.5760195	0.2460015	0.8920778	0.9895094	0.3530983	0.9519669	0.8758623	0.6469019	0.8432108	0.2599153	0.2367694	1.0000000	0.2813133
0.6774710	0.5988767	0.7373794	0.0039184	0.4542718	0.3373204	0.0398200	0.5352137	0.2257813	0.3767652	0.4828173	0.4885515	0.0967572	0.8097714	0.0012105	0.1503020	0.4157027	0.3904098	0.0973061	0.5030397	0.7188666	0.0011441	0.6789442	0.7578002	0.2287186	0.1260023	0.0971605	0.4351913	0.3418765	0.0001676	0.4247140	0.1023335	0.0000000	0.6610818	0.2173317	0.7769913	0.9800213	0.3450989	0.6702430	0.3833162	0.2038405	0.8083453	0.9644007	0.2400895	0.6432503	0.2012111	0.8266993	0.6055434	1.0000000	0.0546214	0.6754244	0.6070410	0.8418974	0.5428472	0.8049551	0.1896234	0.3110042	0.9103498	0.8666941	0.5600796	0.2308603	0.5236408	0.1038764	0.7714505	0.7364093	0.1578258	0.5127332	0.0455420	0.3704684	0.7278861	0.5080530	0.5976711	0.6841097	1.0000000	0.2065469	0.7282915	0.0562218	0.3808962	0.7669162	0.7061880	0.5293167	0.8952593	0.9048230	0.4464090	0.8222039	0.2344923	0.9541382	0.4408381	0.2303947	0.9867978	0.9999446	0.2137353	0.9976955	0.7314735	0.9860806	0.9535433	0.0832487	0.9821911	0.9970807	0.3438628
0.8399214	0.9997562	0.0547957	0.2021007	0.9240966	0.3610953	0.2846379	0.2904414	0.0233101	0.7022084	0.7093184	0.4277200	0.2129824	0.2563263	0.1184485	0.5333771	0.5686438	0.7894148	0.3381873	0.4732157	0.2710951	0.0213114	0.9288287	0.3093170	0.1648212	0.1810611	0.0349306	0.6775317	0.5970637	0.2114260	0.3184906	0.2864850	0.3510986	0.6349022	0.0534777	0.9776008	0.9908018	0.7253585	0.0702450	0.6007660	0.0050819	0.6409528	0.7107268	0.6199236	0.2164255	0.4219048	0.8261022	0.0841445	1.0000000	0.0546807	0.3341949	0.7745213	0.2613047	0.2737100	0.9234819	0.0243351	0.5004604	0.8207978	0.5131086	0.9860791	0.1589585	0.3454581	0.3339344	0.2705561	0.8840405	0.2387195	0.9310567	0.2437112	0.5167672	0.6903500	0.1706240	0.6167142	0.9968301	0.3720423	0.4587928	0.9448903	0.1505389	0.9473936	0.5036316	0.9596380	0.7843895	0.8566018	0.7450590	0.0133456	0.1054155	0.0908398	0.9860372	0.3173645	0.0393470	0.8603287	0.9629512	0.0473573	0.7894977	0.4716846	0.7246222	0.9426742	0.3201816	0.4557540	1.0000000	0.4258677
0.0328181	0.9437205	0.2845781	0.2921055	0.7623374	0.3877075	0.4275301	0.9221302	0.1554460	0.3517334	0.3988974	0.6381881	0.1199770	0.2193556	0.3066491	0.7350245	0.3571080	0.1629600	0.3018459	0.2933725	0.6714199	0.0001942	0.9542167	0.4047846	0.4045862	0.0452942	0.0330349	0.7130588	0.9542761	0.2111271	0.3317118	0.0622073	0.0000420	0.6146725	0.1107928	0.6852879	0.9805475	0.4231574	0.4560089	0.4893472	0.0162927	0.6137224	0.6825923	0.5202766	0.0000298	0.0172278	0.8117565	0.0954496	0.9359905	1.0000000	0.7675172	0.2156786	0.5957352	0.5212591	0.6575115	0.0599454	0.5614630	0.9990923	0.9093293	0.9815447	0.5531626	0.8822746	0.1889576	0.4961023	0.9266273	0.4398003	0.8352549	0.0537080	0.1065903	0.4146008	0.0243229	0.9077307	0.6189269	0.9695240	0.3283754	0.8515025	0.2244937	0.8289322	0.3657132	0.2385409	0.4966216	0.9791480	0.9547702	0.2173086	0.7280286	0.2211413	0.7716053	0.3710331	0.0469924	0.9683772	0.8194347	0.5513621	0.9829290	0.7054493	0.7456408	0.9999892	0.0092454	0.7769861	0.9999996	0.0287825
0.4929047	0.7431691	0.2624668	0.9999858	0.9999980	0.5134166	0.4108191	0.9986033	0.8894457	0.0770999	0.1576999	0.9475163	0.1581000	0.0105197	0.6386694	0.8713247	0.4157198	0.2155060	0.3478633	0.2444394	0.3507737	0.0025388	0.5673096	0.5408322	0.2044344	0.2114623	0.0382552	0.7924241	0.9356800	0.0048356	0.2525623	0.0084477	0.0000000	0.9987361	0.0220707	0.9999688	0.9900155	0.4765625	0.1955522	0.5480639	0.0117231	0.8102562	0.9687692	0.2280172	0.1135674	0.3641068	0.7504197	0.1586458	0.7281050	0.0563929	0.3787807	0.4524410	0.8406868	0.4028266	0.8460544	0.2974430	0.7754401	0.9986653	0.5808659	0.5464830	0.5473120	0.7567907	0.5112891	0.6464321	0.7747069	0.6148625	0.7768163	0.3493854	0.3172032	0.3660834	0.0018894	0.4956427	0.5981528	0.6476762	0.6827857	0.6903996	0.4441490	0.7984993	0.1013890	0.5357042	0.7328380	0.7515181	0.8087826	0.5423306	0.9450009	0.4690463	0.9674266	0.3544975	0.1306834	0.7745163	0.9329962	0.2701160	0.5566295	0.9573290	0.2148068	0.8047210	0.0117082	0.6313514	0.9999993	0.3873104
0.2033088	0.5544053	0.1133225	0.2378558	0.9573435	0.3365561	0.3889505	0.9907232	0.4205050	0.1355761	0.2422742	0.7992203	0.0492759	0.2429791	0.1533744	0.3676503	0.5108694	0.2592170	0.2937813	0.0789104	0.8133426	0.0217833	0.7691912	0.8157075	0.0000113	0.2096471	0.0438533	0.7013284	0.7283534	0.0000729	0.4825978	0.0000234	0.5475299	0.7383417	0.1876851	0.7035030	0.9473497	0.6714749	0.3582351	0.3974131	0.0091276	0.8181316	0.9873807	0.1605884	0.4254369	0.0009056	0.9778784	0.0665974	1.0000000	0.0121038	0.5339675	0.3264215	0.3346772	0.8061666	0.8249135	0.0244589	0.8487816	0.9934779	0.6633257	0.7408646	0.8826945	0.8976470	0.5893746	0.8556542	0.8274802	0.1999298	0.8833293	0.5706237	0.4376986	0.7758442	0.0006922	0.8162369	0.9963395	0.7574905	0.2525541	0.8625374	0.2139906	0.7122313	0.5266104	0.9925240	0.8278460	0.6659124	0.8476177	0.1783969	0.9576238	0.2738350	0.9530126	0.6136703	0.0360766	0.9023945	0.9973397	0.4091107	0.7312692	0.5538601	0.4471019	0.8370317	0.1455060	0.4539458	1.0000000	0.2596640
0.9429083	0.6365567	0.0923907	0.9993151	0.9877152	0.3509890	0.5010172	0.9987746	0.8986026	0.0740246	0.1530956	0.9999987	0.0087939	0.0282274	0.2574894	0.5913030	0.1904632	0.0001588	0.1067795	0.2883516	0.4617059	0.0004210	0.9889491	0.5902017	0.0274164	0.4546192	0.0440981	0.9235246	0.8770727	0.0964124	0.7503260	0.4534828	0.1492961	0.8110991	0.1302237	0.9999542	0.8980685	0.2050587	0.8982733	0.0359489	0.0077933	0.8856359	0.9984394	0.0726922	0.1966221	0.4607169	0.9982471	0.2270930	0.7977372	0.0547191	0.4532578	0.3502417	0.8221562	0.3700577	0.9410114	0.0028649	0.7150051	0.9831046	0.9801001	0.7266187	0.1695019	0.9866597	0.5339786	0.3917453	0.7483140	0.5523906	0.9243343	0.3694345	0.0989343	0.3904106	0.0001633	0.2338415	0.9920905	0.4139483	0.2395126	0.8900579	0.2349946	0.4901792	0.4652020	0.8577657	0.2855136	0.7446011	0.4696272	0.2925896	0.1660561	0.1523771	0.6945400	0.4777561	0.5614486	0.2575321	0.9983118	0.5651537	0.9645067	0.9487376	0.5253758	0.8814956	0.3932540	0.7511447	0.9963203	0.1718297
0.8056310	0.9620748	0.9082134	0.0138875	0.6525485	0.6264498	0.2247788	0.9878555	0.1741392	0.4947090	0.2575963	0.8082959	0.1695728	0.5121003	0.0155836	0.3001828	0.2376124	0.3382714	0.4119996	0.4099483	0.8168765	0.0212553	0.9597214	0.9436071	0.0076107	0.1968337	0.0408151	0.6400789	0.4816854	0.9983648	0.0424904	0.0000004	0.6926594	0.4842620	0.1815910	0.8688470	0.9076392	0.1595079	0.6271969	0.3963917	0.1697382	0.7554987	0.8219918	0.3918414	0.8325877	0.2693857	0.3760681	0.3978175	1.0000000	0.0000000	0.7245164	0.8564373	0.2074054	0.5499904	0.2984713	0.0420361	0.9708692	0.8248575	0.9354528	0.9754395	0.7969513	0.7859370	0.3100542	0.2757094	0.3103764	0.3308077	0.4692929	0.6837580	0.1181506	0.9005576	0.0001921	0.7323121	0.9916620	0.1834879	0.5857270	0.9833201	0.2965437	0.9805125	0.6986453	0.7920450	0.3977737	0.9243179	0.8408891	0.1932477	0.3851526	0.5605086	0.8727952	0.9305142	0.0850496	0.9520295	0.9160248	0.5423974	0.9928615	0.8805885	0.2252416	0.8043605	0.0394052	0.3638184	1.0000000	0.0169235
0.4044751	0.5481549	0.2578302	0.1849707	0.9798316	0.6656991	0.4231534	0.9840221	0.4118828	0.1700794	0.2675258	0.7948432	0.1634413	0.1861851	0.1554939	0.0583846	0.3069615	0.0063956	0.1519118	0.0401469	0.6798091	0.0003482	0.9684952	0.9394822	0.0484389	0.2899409	0.0207402	0.8357122	0.6565356	0.2102058	0.4931822	0.2175484	0.2461928	0.8245532	0.0741196	0.9991375	0.9435446	0.5461778	0.7825819	0.4876753	0.0150627	0.7732333	0.8151886	0.4862484	0.2486605	0.1368041	0.9998254	0.1491341	1.0000000	0.0546499	0.6575074	0.4098264	0.5173069	1.0000000	0.9399626	0.0222450	0.3506721	0.6960219	0.6664852	0.9011477	0.0744597	0.3604549	0.4172588	0.5236900	0.6856753	0.6839144	0.9330779	0.1684657	0.3187688	0.4403913	0.3074094	0.9830232	0.6421512	0.7656226	0.5997819	0.9377450	0.0759516	0.4595283	0.7708508	0.7255918	0.9239684	0.9303335	0.9386819	0.4212012	0.1593364	0.5682621	0.9999699	0.3992282	0.3555064	0.9611751	0.9481308	0.2359461	0.8167628	0.8193272	0.4568595	0.8082146	0.5150323	0.9300038	1.0000000	0.3214202
