Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G93A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5697964	0.2778532	0.0978065	0.0918550	0.4977783	0.2386880	0.6053130	0.7218698	0.3959277	0.5399817	0.9308345	0.9959142	0.8876609	0.6539847	0.8718728	1.0226916	0.0087255	0.0050259	0.9694841	0.0195784	0.5949543	0.9589293	0.5709912	0.9604708	0.0325846	0.9302514	0.2276725	0.7773188	0.0855975	0.9835764	0.0746419	0.4803199	0.3746290	0.7002378	0.7389921	0.9397439	0.0068475	0.0585431	0.9601688	0.1200974	1.0624456	0.6298472	0.2162468	0.7923179	0.2390308	0.6136129	0.8803468	0.3880312	0.6779180	1.0114872	0.7840062	0.4346647	0.2758103	0.0146933	0.7461905	0.0046608	0.7363416	0.0012304	0.8808769	0.8059980	0.6346503	1.1011613	0.7683671	0.7450195	1.0848441	0.8921548	0.5264415	0.6462327	0.6272527	0.3602463	0.0039516	0.9356259	0.2803425	1.0187214	0.7196265	0.7959327	0.8522966	0.5625558	0.4111942	0.3910375	0.2763775	1.0969115	1.0043153	0.3987414	0.1849210	0.3980695	0.7788245	0.0599112	0.0116096	0.2742598	0.1858628	0.3989088	0.9217859	0.0547140	0.0198763	0.9159905	0.0318908	0.8738683	0.1657121	0.6451273
50	0.5952364	0.3122646	0.1026885	0.1441632	0.3670082	0.2094843	0.5290724	0.7801367	0.3974045	0.5834882	0.9006910	0.9093241	0.8325218	0.6041030	0.8125954	0.9518311	0.1728808	0.0031979	0.9713659	0.1496537	0.6517592	1.0113894	0.6113896	0.8871895	0.0396595	0.9315319	0.2869578	0.7702010	0.0886455	0.9223719	0.1063249	0.4371911	0.3416627	0.7467320	0.6779380	0.8501070	0.1814372	0.2204590	0.9634264	0.1210034	0.9732981	0.6290615	0.2349137	0.8128816	0.1907790	0.5293400	0.8433385	0.4774469	0.3607727	0.9498619	0.8112936	0.4846928	0.3361187	0.0042050	0.6692719	0.0022897	0.8107202	0.0031762	0.8064651	0.6315680	0.5137762	0.9200769	0.7297265	0.6687271	1.0521397	0.8004376	0.5223830	0.5448127	0.5862653	0.5118659	0.0025485	0.9993526	0.1838696	0.9671816	0.5977101	0.8826488	0.8881921	0.4738667	0.3551412	0.3798178	0.3146296	0.9969329	0.6042059	0.4271551	0.1130631	0.3799283	0.7578485	0.1905010	0.0051961	0.2345363	0.1292815	0.4069585	0.9664393	0.0345610	0.0152469	0.8584385	0.0337794	0.7471267	0.1401492	0.5292677
100	0.6337751	0.3087889	0.1592593	0.0934612	0.3085846	0.2142709	0.5955447	0.7610919	0.3567774	0.5974163	0.8193631	0.9275768	0.8706944	0.5755856	0.7451912	0.9845439	0.2388293	0.0028127	1.0092558	0.2730397	0.5785045	0.9730070	0.6749671	0.6025643	0.0311924	0.9914679	0.4567792	0.7252656	0.0771253	0.8055733	0.0833794	0.4155269	0.2988276	0.7482311	0.6127199	0.8917205	0.5364681	0.3075535	0.9507897	0.1579268	1.0098486	0.5554075	0.2058755	0.8077496	0.1727481	0.5598799	0.9330928	0.4398950	0.1967576	0.9233801	0.8570218	0.5109022	0.3436409	0.0053651	0.7330241	0.0019135	0.8540707	0.0060570	0.7588955	0.7195546	0.5672065	0.8974763	0.6846468	0.7608570	1.1096990	0.8029000	0.5335999	0.5656678	0.5062743	0.7855436	0.0018898	0.8802215	0.1715239	0.9920059	0.4429382	0.8074560	0.8954997	0.4981976	0.3543486	0.4324510	0.3281455	1.0356877	0.3124223	0.4319941	0.1893397	0.4014646	0.8238265	0.2534398	0.0028156	0.1334264	0.1581916	0.3288944	0.9499831	0.0437525	0.0175800	0.8034015	0.0324149	0.6869731	0.1216258	0.5481729
150	0.5890146	0.4954111	0.2323019	0.0566943	0.4059095	0.1879973	0.5884049	0.8101355	0.3693510	0.6499256	0.8521750	0.8807175	0.9441861	0.6147574	0.8312919	0.9922686	0.2489420	0.0004625	0.9541665	0.3122984	0.5831969	1.0172007	0.8078089	0.5324788	0.0140527	0.8086724	0.4834040	0.8265021	0.0903083	0.7952897	0.0997549	0.3741222	0.3574303	0.7777069	0.6450830	0.8120861	0.7506222	0.4538661	0.9875939	0.2174385	0.9798242	0.5800758	0.1867668	0.8164898	0.1999121	0.6015319	0.8813459	0.4871994	0.0827653	0.9112511	0.8558181	0.5787532	0.3986762	0.0086616	0.6692951	0.0014428	0.8310263	0.0147836	0.7459272	0.7127836	0.5544146	0.7575612	0.7749285	0.7438344	1.0623493	0.8884954	0.5440289	0.6162288	0.5273420	0.8178804	0.0010615	0.7387366	0.2267031	1.0394935	0.4068223	0.6886165	0.8168725	0.6578923	0.3487210	0.5361161	0.3096760	1.0311003	0.1864756	0.3532301	0.3046071	0.4676460	0.7653499	0.3081136	0.0078601	0.1216669	0.1700958	0.3419788	0.9715147	0.0334524	0.0198374	0.7356586	0.0398158	0.5843386	0.0954772	0.5284595
200	0.5575797	0.6689352	0.3551015	0.0959431	0.5519837	0.1982928	0.4985373	0.7951839	0.3491404	0.5816337	0.9173391	1.0603279	0.8834041	0.5897354	0.7430358	1.0765850	0.2942092	0.0033153	0.9642179	0.3715898	0.5767728	1.0404845	0.8277041	0.4211805	0.0330215	0.5803135	0.4623776	0.7167120	0.1057518	0.7880505	0.1211287	0.3788331	0.3264786	0.7128862	0.6345061	0.7437411	0.8482786	0.5052397	0.9810666	0.2779174	0.9427494	0.5590126	0.2683601	0.9363626	0.1267106	0.5820494	1.0049021	0.6684915	0.0399998	0.9955297	0.8807114	0.6600562	0.3377861	0.0241127	0.7425005	0.0025159	0.7376781	0.0164958	0.7063555	0.8625634	0.4331442	0.7540749	0.8284471	0.7802740	1.0090641	0.9023083	0.6641232	0.5460827	0.5832514	0.8703026	0.0040877	0.7481044	0.1991365	1.0948017	0.4615384	0.6797250	0.9130611	0.7008466	0.3117400	0.4924490	0.3817604	1.0077411	0.1383860	0.3542862	0.3257605	0.3793566	0.8065477	0.4004509	0.0242048	0.1034967	0.1850288	0.4326904	0.8367177	0.0255626	0.0141828	0.6097298	0.0265657	0.5866308	0.1332618	0.4441181
250	0.5634218	0.7807073	0.3060942	0.1391795	0.6122290	0.1775195	0.4674570	0.7941805	0.2997164	0.5183222	1.0414323	1.1353036	0.8517173	0.5342089	0.7220162	1.0273337	0.3481519	0.0052869	1.0131867	0.3946442	0.5155340	0.9712784	0.8028946	0.4064317	0.0287935	0.4155728	0.4831123	0.6784821	0.0619814	0.7928638	0.0958600	0.4050697	0.3683682	0.7919722	0.6494002	0.6317936	0.8824756	0.5489384	0.9872629	0.3365669	0.9556714	0.6789392	0.2027943	0.8990246	0.0713978	0.6493934	0.8882763	0.6727229	0.0150513	0.9519059	0.8393350	0.6289417	0.3767932	0.0195875	0.7318406	0.0042589	0.7396032	0.0142827	0.5620423	0.8171479	0.5366408	0.7975395	0.7932635	0.8731408	1.0218626	0.8853583	0.5189852	0.4788736	0.5584563	0.9594189	0.0016959	0.7067892	0.2332450	1.0391191	0.3822386	0.7121632	0.7944132	0.6588196	0.2942509	0.5301663	0.3700946	1.0909057	0.1308303	0.3202117	0.2781409	0.4119140	0.8267226	0.4265182	0.0326538	0.1051513	0.1538560	0.4873677	0.9295491	0.0142304	0.0401946	0.6214679	0.0080446	0.5139785	0.1893196	0.3921995
300	0.4228994	0.8855027	0.3247312	0.1423278	0.6068632	0.1515610	0.4906044	0.8732106	0.2311948	0.5764598	1.0144386	1.0435034	0.9304214	0.5136496	0.5327310	0.9994281	0.3309801	0.0020528	1.0816857	0.3967791	0.5157317	0.9580665	0.7626390	0.4414039	0.0329188	0.3022329	0.5605011	0.7024140	0.0791028	0.7511070	0.0914479	0.3920969	0.3515006	0.8320233	0.6421999	0.7936736	0.9591484	0.5026578	0.9886968	0.2497916	0.9473779	0.6976547	0.2512705	0.8959098	0.0526320	0.5716345	0.8391522	0.6953812	0.0171577	0.9126010	0.8979695	0.5961894	0.3150191	0.0220797	0.7240020	0.0013370	0.5804030	0.0279208	0.4855239	0.8395526	0.5435048	0.7744421	0.7691814	0.6847273	1.0043571	0.9360352	0.5650415	0.4850867	0.5900057	0.8578042	0.0001367	0.6721271	0.2172487	1.0180875	0.3525054	0.8359078	0.8788025	0.6426942	0.2693451	0.3958038	0.3775267	1.1378510	0.1547506	0.3217814	0.2783138	0.3823501	0.7453210	0.4253156	0.0419058	0.1021022	0.1557849	0.3854000	0.9489695	0.0140984	0.0214377	0.5893781	0.0061858	0.4775679	0.2032579	0.3996298
350	0.3541734	0.8909587	0.2908745	0.2247145	0.5941094	0.1401729	0.5009962	0.8340162	0.2354075	0.5493838	0.8298824	1.0822141	0.9680238	0.4571227	0.4866996	0.9904650	0.3517642	0.0000000	0.9448173	0.4228081	0.5210061	0.9387442	0.8003803	0.4816488	0.0220169	0.2176765	0.5262298	0.7693746	0.1042438	0.8741526	0.1135140	0.3342561	0.3267579	0.7842331	0.6347486	0.6989769	0.9388239	0.5064031	1.0949575	0.2875032	0.9682380	0.5832896	0.3167429	1.0202558	0.0641446	0.5169861	0.7412866	0.7025246	0.0156593	0.9406873	0.8570460	0.5982090	0.2656390	0.0276882	0.7831010	0.0024547	0.6464848	0.0113649	0.5162826	0.7841849	0.5188384	0.7026744	0.8451131	0.7879541	1.0433917	0.8890281	0.5783413	0.5051954	0.5580798	0.9176539	0.0027721	0.6518948	0.2356927	0.8857263	0.3417049	0.8623995	0.8249515	0.5802674	0.2613089	0.4108683	0.3776812	1.0283177	0.1158556	0.2535901	0.2892579	0.3476946	0.6987904	0.4046378	0.0452324	0.1048178	0.1975733	0.4208203	0.9559977	0.0106223	0.0305192	0.5344398	0.0050943	0.5195360	0.1475380	0.3942784
400	0.4000881	0.9070792	0.3431542	0.2060388	0.6317925	0.1251509	0.4940464	0.7851454	0.2346913	0.5975254	0.9709029	1.0227952	1.0101843	0.3884272	0.5244377	0.9846947	0.3659459	0.0022532	0.9468424	0.4346515	0.5653080	1.0441674	0.8326189	0.4872038	0.0243522	0.1959499	0.4946117	0.7559848	0.0774339	0.8254281	0.1086865	0.3819672	0.3936140	0.7397708	0.6090820	0.6857069	0.9174818	0.5238331	0.9854448	0.2693870	1.0365672	0.5247203	0.4058408	1.0394545	0.0690010	0.4266815	0.6894997	0.7721802	0.0115433	0.9466726	0.9022298	0.6257582	0.2582062	0.0345394	0.6312282	0.0011640	0.5919087	0.0101089	0.5425313	0.6792031	0.5116055	0.7209813	0.9000009	0.6539615	1.0050148	0.9119742	0.5800474	0.5668553	0.6221969	0.8688679	0.0009795	0.5507247	0.2215135	0.9027081	0.3501037	0.8095404	0.9017085	0.5839136	0.2896880	0.4013281	0.4416080	1.0234023	0.1090573	0.2760604	0.3348102	0.3203905	0.7051904	0.3613952	0.0660041	0.1115781	0.1986541	0.3332023	0.8834279	0.0135443	0.0655053	0.4877624	0.0041480	0.5442157	0.1073923	0.3258227
