"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G93A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3774434	0.2277771	0.0717474	0.0510750	0.3305984	0.1773205	0.5399618	0.4813800	0.2869868	0.4651451	0.6413959	0.6977210	0.6024313	0.4695662	0.5559612	0.6919143	0.0049380	0.0077863	0.6187864	0.0077729	0.4014731	0.6456410	0.3133995	0.6050317	0.0389509	0.5780137	0.1656206	0.4589037	0.0588261	0.5953667	0.0523095	0.3207494	0.2342895	0.4910447	0.5008820	0.5805224	0.0023530	0.0333811	0.6917416	0.0856562	0.7563007	0.4625672	0.1196689	0.5537681	0.1572599	0.3983659	0.5998184	0.2611723	0.4472434	0.7114009	0.5580495	0.2573652	0.1942896	0.0065291	0.4565263	0.0036276	0.4658429	0.0000843	0.5473110	0.5979774	0.3658186	0.6603244	0.4222552	0.5140236	0.7617983	0.5699194	0.2784395	0.4662231	0.4126131	0.2215278	0.0031305	0.5654934	0.2421614	0.5940269	0.4555500	0.4634988	0.5754101	0.3352660	0.2858961	0.2752210	0.2289614	0.7072068	0.7696953	0.2185513	0.1435238	0.2519036	0.5314143	0.0383860	0.0241104	0.1884605	0.1215062	0.2992990	0.6654973	0.0428200	0.0180894	0.5863032	0.0157100	0.6600258	0.0940178	0.4365454
50	0.3787257	0.2533869	0.0521952	0.0711616	0.2083980	0.1258597	0.3562748	0.5669681	0.3175494	0.3945155	0.5963775	0.5747137	0.5175210	0.4305583	0.5249074	0.5766525	0.1002341	0.0034391	0.7016529	0.1169159	0.3875041	0.6587788	0.4275404	0.5392010	0.0310676	0.6123141	0.1847814	0.5656292	0.0559426	0.7680233	0.0648319	0.3263055	0.2125483	0.6053097	0.4550208	0.5790621	0.1334520	0.1223745	0.6868821	0.0964746	0.6454672	0.4222438	0.1414440	0.5941686	0.1377741	0.4501975	0.6098123	0.2394350	0.1712790	0.6744384	0.5708804	0.2530667	0.2027261	0.0041677	0.4831723	0.0009584	0.5254416	0.0008181	0.6531884	0.4162810	0.3089357	0.7078605	0.4401887	0.4246704	0.6758952	0.4667421	0.3387282	0.2918760	0.3992424	0.3714346	0.0026264	0.7146068	0.1517002	0.5874293	0.3829345	0.5979878	0.4952796	0.3049960	0.2710695	0.2558777	0.2387311	0.7091463	0.4039077	0.3064403	0.0960464	0.2337577	0.4886570	0.1448278	0.0080988	0.1452090	0.1161778	0.2784639	0.7139388	0.0312828	0.0199582	0.5890881	0.0207784	0.5253386	0.0938205	0.3696495
100	0.4473024	0.2643454	0.1221565	0.0488782	0.2128307	0.1222731	0.4267465	0.5780812	0.2203033	0.3536629	0.5035931	0.6397062	0.5329348	0.3131392	0.5229634	0.6623402	0.1612615	0.0008028	0.6831489	0.1963350	0.4411916	0.6020823	0.4347171	0.3944971	0.0105191	0.5850574	0.2695280	0.4168230	0.0535997	0.6157828	0.0592156	0.2905480	0.1547220	0.6253286	0.4401820	0.5989574	0.4029919	0.1959907	0.6273436	0.0839915	0.5672457	0.4068973	0.1214555	0.5710673	0.1098015	0.3314340	0.6609374	0.2948415	0.1452422	0.6474082	0.5193625	0.3389296	0.2005157	0.0040583	0.5771024	0.0018678	0.6364821	0.0044385	0.4832058	0.3803466	0.3715611	0.5173323	0.4835256	0.4686645	0.7016362	0.5933311	0.4207339	0.3473330	0.2691754	0.4018118	0.0014707	0.5450518	0.1297267	0.7037388	0.2570345	0.4863981	0.6187365	0.3847259	0.2352267	0.3397841	0.2817844	0.7120150	0.2303350	0.3226960	0.1138235	0.2634582	0.5491775	0.1771378	0.0030482	0.0779933	0.0899919	0.2382554	0.5832322	0.0229724	0.0292490	0.4730905	0.0325824	0.4988709	0.0717679	0.4366054
150	0.3633280	0.3104686	0.1619919	0.0466546	0.2687589	0.1403164	0.3879196	0.6766815	0.2320522	0.4352869	0.5334540	0.6265090	0.5737509	0.4073422	0.5244372	0.6875414	0.1491888	0.0002925	0.6971253	0.2006246	0.4159644	0.6220359	0.6368046	0.4731069	0.0095881	0.5818908	0.2681218	0.5844129	0.0474871	0.5285384	0.0407582	0.2073325	0.2343649	0.4783616	0.4820353	0.4920800	0.5732944	0.3241343	0.5815932	0.1425245	0.6382381	0.3707320	0.1533564	0.4953407	0.1507958	0.3559545	0.6586737	0.3385467	0.0597129	0.5946116	0.6526866	0.3797101	0.2672193	0.0036636	0.4945347	0.0012654	0.5725711	0.0158083	0.4364726	0.4715355	0.4000627	0.5010631	0.5098369	0.5307458	0.6902654	0.5239922	0.3808176	0.3522464	0.3743770	0.5138494	0.0006904	0.5109067	0.2086206	0.8055396	0.2451320	0.4703124	0.5428981	0.4788465	0.2312004	0.3227894	0.2275437	0.7408591	0.1205752	0.2436792	0.1962101	0.2859678	0.4960528	0.1964467	0.0105129	0.0858766	0.1781857	0.2659137	0.7779334	0.0257268	0.0132187	0.4095942	0.0620725	0.4252118	0.0807485	0.3208675
200	0.3233691	0.4400222	0.2366435	0.0608576	0.3798428	0.1632317	0.2566443	0.4402469	0.1825205	0.3696112	0.6335780	0.6463831	0.6223271	0.3502207	0.4435671	0.7459875	0.1601700	0.0015152	0.6046196	0.2067010	0.4166122	0.7277015	0.6163968	0.2821856	0.0205859	0.4284882	0.3048005	0.4718576	0.0431447	0.4040103	0.0698825	0.2764069	0.2284228	0.4287680	0.4117436	0.4840580	0.6070004	0.4142848	0.6126507	0.1826514	0.6428651	0.3890448	0.1688802	0.5899230	0.0762376	0.3924553	0.6504943	0.4270079	0.0465190	0.6663880	0.6248474	0.3370821	0.2252073	0.0276006	0.5032543	0.0024982	0.5414896	0.0194888	0.4194904	0.5446052	0.3088296	0.5006167	0.5791274	0.5223659	0.6376014	0.5955550	0.4736810	0.3692411	0.3914718	0.6482273	0.0007613	0.4712545	0.1696910	0.6699473	0.2417059	0.4319617	0.5880887	0.5219069	0.1697212	0.3428013	0.2078438	0.6637815	0.0566169	0.3163890	0.1978745	0.2513869	0.4868885	0.2780306	0.0078857	0.0434658	0.1202875	0.3797821	0.5309806	0.0206839	0.0152034	0.3506852	0.0454916	0.3204224	0.0690825	0.2902186
250	0.4206041	0.5355988	0.1460642	0.1068920	0.3780794	0.1110154	0.3640163	0.5463279	0.2480153	0.3414338	0.7339342	0.7961800	0.5223756	0.3722070	0.5309116	0.7337145	0.2440035	0.0013104	0.7866314	0.1884261	0.3592258	0.6247736	0.5761547	0.1863657	0.0317563	0.2913132	0.3236946	0.4784485	0.0422244	0.5324098	0.0952808	0.2996391	0.2500473	0.5048974	0.4359834	0.3159232	0.5954756	0.3452637	0.7925372	0.2090179	0.6641176	0.4711984	0.1270631	0.5838487	0.0502786	0.3920664	0.5787453	0.4722567	0.0105904	0.6729600	0.6331273	0.4181101	0.2475397	0.0087857	0.5134821	0.0028451	0.4589779	0.0148024	0.4354598	0.5557870	0.3339184	0.5368530	0.5460817	0.6686377	0.7581898	0.6500605	0.3721174	0.3353486	0.3202322	0.5653093	0.0029085	0.4323598	0.1727408	0.6969675	0.2955373	0.5622606	0.4718569	0.3730410	0.2220388	0.3920547	0.2754884	0.7560991	0.1084793	0.2255826	0.1598826	0.2162988	0.5892645	0.3061762	0.0176645	0.0602334	0.1140638	0.3106177	0.5630532	0.0130642	0.0334334	0.3720896	0.0141524	0.3551912	0.1362214	0.2323758
300	0.3404552	0.6412158	0.2083761	0.0837401	0.5332740	0.1169243	0.3641800	0.5827808	0.1263937	0.3822242	0.6369296	0.6749346	0.5103799	0.3525145	0.3163224	0.6568045	0.2016434	0.0021425	0.6825617	0.3009326	0.3024414	0.5308611	0.5531962	0.2788341	0.0401186	0.2780043	0.3713233	0.4336734	0.0443228	0.5222602	0.0372016	0.2852596	0.2152940	0.5184615	0.3785407	0.6004189	0.7105957	0.3549900	0.6556002	0.1899864	0.6648181	0.4085915	0.2148611	0.6094154	0.0357708	0.3204193	0.6111662	0.5011082	0.0126059	0.7665319	0.6824030	0.4414311	0.1891361	0.0144119	0.4850465	0.0009230	0.3445389	0.0249215	0.3634131	0.6059864	0.4570030	0.6359818	0.4816335	0.4243471	0.7088449	0.7172953	0.3486610	0.2922687	0.4059304	0.5692820	0.0000871	0.4184099	0.1378314	0.6654462	0.2422746	0.4475721	0.6029355	0.4566981	0.2201351	0.2262418	0.2290683	0.6880110	0.1329931	0.1693288	0.1574169	0.2638488	0.5181864	0.2820119	0.0252426	0.0841106	0.0921521	0.2835404	0.5976777	0.0102709	0.0138586	0.3683212	0.0204959	0.2205698	0.1551918	0.2809652
350	0.2490150	0.5917808	0.1829340	0.1426021	0.3882585	0.0800514	0.3259252	0.5126857	0.1146769	0.3165827	0.6623223	0.6803621	0.5509918	0.3037811	0.3159551	0.7407496	0.2210465	0.0000000	0.5744186	0.3057890	0.3208090	0.6850938	0.5524640	0.3145373	0.0178360	0.1549929	0.3018740	0.5224407	0.0389043	0.6077717	0.0925369	0.2366152	0.1906759	0.5122445	0.4629001	0.4257267	0.6065752	0.3228511	0.8298376	0.2185502	0.6245222	0.3983889	0.1879411	0.7022874	0.0429142	0.3529861	0.4206459	0.4630357	0.0128814	0.5642536	0.5665208	0.3657751	0.2601497	0.0191410	0.5301935	0.0027260	0.4676387	0.0118236	0.3106940	0.4734220	0.2787671	0.4973371	0.5710394	0.4606354	0.6810152	0.5492467	0.3502573	0.4747855	0.3107046	0.5806828	0.0025600	0.4209708	0.2000071	0.6272584	0.2136663	0.5789189	0.6964297	0.4356434	0.1426635	0.2354688	0.2647112	0.7711880	0.0659361	0.1409333	0.1720316	0.2917277	0.4668771	0.2287548	0.0188157	0.0983504	0.1150273	0.2187495	0.6770524	0.0042406	0.0113023	0.3086399	0.0020967	0.3458370	0.0943877	0.2480520
400	0.2694959	0.6320396	0.2339433	0.1124082	0.3679509	0.1408565	0.2883441	0.5280267	0.2151883	0.3676066	0.6527464	0.6505821	0.7329004	0.2912953	0.3333210	0.6460182	0.2367012	0.0038087	0.6940115	0.3318525	0.3314011	0.7630697	0.5336777	0.3186165	0.0118683	0.1497192	0.2949217	0.5073023	0.0332704	0.4392978	0.0468309	0.2361708	0.2535723	0.5276831	0.4085822	0.3646554	0.6415787	0.3744271	0.7039146	0.2089465	0.6890163	0.3886815	0.3140584	0.6055269	0.0491480	0.2917104	0.3879760	0.5064698	0.0037665	0.5714194	0.6414606	0.3950388	0.2723210	0.0109198	0.3540963	0.0013715	0.3720597	0.0081956	0.3373301	0.5252562	0.3614303	0.4272111	0.5764233	0.5082216	0.7069462	0.6559062	0.3763070	0.3480358	0.3474508	0.5652239	0.0008541	0.4499189	0.1780339	0.5506394	0.3358828	0.4868018	0.5269892	0.4422553	0.1883406	0.3069915	0.3126593	0.6753198	0.0625735	0.1819789	0.2256240	0.1826188	0.4725863	0.2061000	0.0345691	0.1001359	0.1305549	0.2399930	0.6045979	0.0064660	0.0407600	0.3353667	0.0098534	0.3654165	0.0616469	0.1825615
