G4	G1	+
G3	G2	+
G22	G3	+
G4	G3	-
G5	G4	+
G40	G5	-
G6	G5	+
G3	G6	-
G7	G6	-
G8	G7	+
G9	G8	-
G21	G9	+
G6	G10	-
G23	G10	-
G48	G10	-
G11	G10	-
G3	G10	-
G7	G10	-
G9	G10	-
G50	G11	+
G10	G11	+
G12	G11	-
G3	G11	+
G48	G12	-
G13	G12	+
G14	G13	+
G26	G13	+
G40	G13	-
G18	G13	+
G8	G13	+
G50	G13	+
G39	G14	+
G12	G14	+
G4	G14	+
G15	G14	+
G16	G15	+
G17	G16	-
G40	G16	-
G13	G16	+
G5	G16	+
G41	G16	+
G18	G17	-
G50	G18	+
G26	G18	+
G25	G18	+
G20	G18	-
G11	G18	+
G20	G19	-
G15	G19	-
G47	G19	-
G21	G20	+
G22	G21	-
G6	G22	+
G4	G22	+
G23	G22	-
G9	G22	+
G7	G22	-
G24	G23	-
G48	G23	+
G3	G24	-
G25	G24	-
G3	G25	-
G18	G25	-
G26	G25	+
G11	G26	+
G12	G26	-
G23	G26	-
G5	G26	-
G29	G26	-
G28	G27	+
G19	G28	+
G7	G28	+
G29	G28	-
G21	G28	+
G5	G28	+
G6	G28	-
G40	G29	-
G13	G29	-
G12	G29	-
G5	G29	+
G30	G29	-
G6	G29	-
G7	G29	-
G31	G30	+
G24	G31	+
G32	G31	-
G17	G31	+
G33	G31	-
G33	G32	+
G17	G32	+
G39	G33	+
G3	G33	-
G25	G33	+
G10	G33	+
G27	G33	-
G34	G33	+
G12	G34	-
G29	G34	-
G5	G34	-
G13	G34	+
G35	G34	+
G40	G34	+
G36	G34	+
G36	G35	-
G37	G36	+
G6	G37	+
G7	G37	+
G38	G37	-
G13	G37	-
G5	G37	-
G39	G38	-
G8	G38	-
G32	G38	+
G38	G39	-
G5	G39	-
G40	G39	-
G22	G39	-
G20	G39	-
G9	G39	+
G13	G40	+
G29	G40	+
G18	G40	-
G41	G40	-
G21	G41	+
G48	G41	+
G42	G41	-
G12	G41	-
G5	G41	+
G46	G42	-
G38	G43	+
G45	G43	-
G45	G44	-
G8	G44	+
G2	G44	-
G34	G44	-
G23	G44	-
G43	G45	-
G38	G45	+
G4	G45	-
G46	G45	+
G39	G46	+
G23	G46	+
G43	G46	+
G47	G46	-
G20	G46	+
G38	G46	+
G2	G46	-
G21	G47	+
G48	G47	+
G24	G47	+
G1	G47	+
G35	G47	-
G36	G47	-
G21	G48	+
G5	G48	+
G44	G48	+
G8	G48	+
G49	G48	-
G48	G49	-
G8	G49	-
G50	G49	+
G6	G50	-
G32	G51	+
G2	G51	+
G34	G51	+
G50	G51	+
G16	G51	+
G15	G51	-
G86	G51	+
G4	G51	+
G25	G51	+
G29	G51	+
G94	G51	+
G13	G51	+
G37	G51	-
G8	G51	-
G40	G51	-
G26	G51	-
G49	G51	+
G17	G51	+
G45	G51	+
G43	G51	+
G50	G52	-
G94	G52	-
G45	G52	-
G43	G52	-
G2	G52	-
G40	G52	-
G86	G52	-
G25	G52	-
G34	G52	-
G13	G52	-
G16	G52	+
G29	G52	+
G37	G52	-
G28	G52	+
G23	G52	-
G4	G52	-
G15	G52	-
G94	G53	-
G26	G53	-
G45	G53	-
G2	G53	-
G40	G53	+
G23	G53	+
G50	G53	-
G34	G53	-
G16	G53	-
G29	G53	-
G4	G53	+
G17	G53	-
G13	G53	-
G22	G53	-
G43	G53	-
G15	G53	+
G43	G54	-
G86	G54	-
G22	G54	-
G23	G54	-
G47	G54	+
G45	G54	+
G13	G54	+
G26	G54	+
G34	G54	+
G94	G54	+
G40	G54	+
G29	G54	+
G2	G54	+
G17	G54	+
G4	G54	-
G15	G54	-
G16	G54	+
G50	G54	+
G94	G55	-
G4	G55	-
G28	G55	-
G37	G55	+
G16	G55	-
G13	G55	-
G50	G55	-
G34	G55	+
G25	G55	+
G29	G55	+
G15	G55	-
G23	G55	-
G40	G55	-
G43	G55	-
G86	G55	-
G2	G55	+
G45	G55	+
G26	G55	+
G9	G56	-
G40	G56	-
G13	G56	-
G29	G56	-
G5	G56	+
G12	G56	-
G7	G56	-
G39	G56	+
G11	G56	+
G14	G56	+
G49	G56	+
G48	G56	-
G6	G56	-
G9	G57	+
G11	G57	+
G13	G57	-
G29	G57	+
G39	G57	+
G7	G57	+
G48	G57	+
G6	G57	-
G14	G57	-
G40	G57	-
G49	G57	+
G5	G57	-
G12	G57	-
G16	G58	-
G94	G58	-
G43	G58	-
G32	G58	-
G15	G58	-
G86	G58	-
G2	G58	+
G47	G58	-
G40	G58	-
G50	G58	-
G13	G58	+
G4	G58	-
G45	G58	-
G34	G58	-
G5	G59	+
G40	G59	-
G36	G59	-
G25	G59	+
G14	G59	-
G35	G59	-
G41	G59	+
G29	G59	-
G33	G59	+
G13	G59	+
G17	G59	-
G29	G60	-
G15	G60	+
G40	G60	+
G6	G60	+
G41	G60	-
