G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G71A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.7956954	0.8983235	0.1630392	0.4223177	0.3523899	0.4773607	0.2248697	0.4200470	0.0730977	0.3117477	0.9947656	0.0528859	0.7210990	0.8944031	0.1994721	0.9233108	0.1320554	0.1151161	0.8953688	0.5225305	0.9667748	0.0060727	0.1785687	0.8151159	0.7140873	0.0609295	0.0387846	0.5519638	0.4178915	0.7475963	0.7784073	0.6750859	0.5211562	0.2981971	0.5290818	0.5688093	0.6898434	0.2519475	0.4898821	0.1310797	0.9886393	0.1641161	0.8858837	0.5050926	0.1394559	0.3995404	0.0711573	0.5349803	0.2669373	0.9902483	0.6769120	0.7747328	0.9680596	0.9574337	0.6273493	0.3198185	0.0213040	0.6955833	0.4216617	0.0876297	0.3090777	0.4894052	0.4744434	0.4481350	0.0788485	0.4206811	0.0635941	0.0319590	0.7305508	0.9896594	0.7443733	0.2128390	0.0025483	0.9763381	0.9836256	0.8484913	0.6435487	0.1873419	0.9809589	0.5789737	0.2832262	0.5520188	0.4030731	0.2800836	0.6538134	0.0129667	0.1159980	0.4486235	0.8679146	0.3315759	0.1726351	0.4880812	1.0000000	0.9229101	0.8089585	0.4316328	0.5691928	0.3801043	0.0007989
0.2251388	0.0000000	0.8983772	0.1640019	0.4233881	0.3518242	0.4780351	0.2252891	0.4197814	0.0729426	0.3118052	0.9947687	0.0531226	0.7221833	0.9032703	0.2051275	0.9232798	0.1321347	0.1134729	0.8952489	0.5222388	0.9670701	0.0060737	0.1785571	0.8149798	0.7137603	0.0609295	0.0387805	0.5523807	0.4178957	0.7476054	0.7783343	0.6749988	0.5190358	0.2983418	0.5287835	0.5686274	0.6897943	0.2519550	0.4877666	0.1495993	0.7424197	0.1639498	0.8713288	0.6098765	0.4547319	0.3995285	0.0711574	0.5350186	0.2675972	0.9876429	0.6898468	0.9046071	0.7459836	0.9574306	0.6275600	0.3199970	0.0072042	0.6968628	0.4162864	0.0879449	0.3014028	0.4656323	0.4742193	0.3267310	0.1096175	0.3964741	0.0652591	0.0295261	0.7305606	0.9896468	0.7453703	0.4777131	0.0025449	0.9758793	0.9834841	0.7091609	0.6433617	0.1881952	0.9809424	0.5797594	0.2829661	0.5696533	0.4212345	0.2520328	0.6538201	0.0006335	0.1155029	0.5270047	0.8681929	0.7946498	0.1722070	0.1073616	1.0000000	0.8068138	0.6008045	0.4302991	0.5691895	0.3949666	0.0008001
0.5251649	0.0766080	0.0000000	0.3079502	0.5718770	0.5345704	0.5800254	0.2838276	0.3911706	0.0448375	0.0409360	0.9938906	0.0432929	0.7289985	0.9151981	0.2136525	0.9982933	0.0345199	0.1122025	0.8815718	0.4938687	0.9970108	0.0007326	0.5011578	0.3994103	0.0903593	0.0609295	0.0386736	0.3847105	0.4242337	0.7607029	0.8077568	0.6392239	0.2709383	0.3182126	0.4939523	0.5497355	0.6997878	0.2513505	0.4802249	0.1815571	0.7597920	0.1652565	0.8932336	0.5319428	0.4401299	0.3972282	0.0749296	0.5292133	0.0850137	0.9999195	0.6664645	0.9423138	0.8037710	0.6008660	0.5112766	0.0704469	0.1047274	0.7230347	0.4260392	0.0809509	0.2927218	0.3195997	0.5736917	0.3788958	0.1715392	0.3603594	0.0611829	0.0245723	0.7299283	0.6671670	0.7303395	0.3292279	0.0025978	0.9775855	0.9788940	0.6847557	0.6430515	0.3874339	0.9884736	0.5319970	0.2962455	0.3636495	0.2583317	0.2941564	0.4950028	0.0014599	0.1099505	0.5247268	0.8662885	0.2793933	0.1690942	0.1131846	1.0000000	0.5445569	0.3924915	0.3984436	0.5679576	0.6889674	0.0002680
0.0233329	0.7096300	0.7056057	0.0000000	0.6136509	0.6374228	0.1078092	0.0532806	0.6437688	0.3066056	0.2052051	0.9960715	0.0539138	0.7270400	0.9168550	0.2150400	0.9975152	0.0395522	0.1154443	0.9608007	0.8143491	0.6305808	0.0012561	0.2459231	0.8126643	0.7055913	0.0609295	0.0383871	0.3801610	0.4166200	0.7449709	0.8455967	0.7030054	0.2829139	0.3991968	0.3845212	0.4899194	0.7247021	0.2554867	0.4810723	0.1827096	0.9829217	0.1683588	0.8331865	0.5335634	0.1608365	0.3890020	0.0651484	0.5292906	0.0571168	0.9897291	0.6774162	0.8017683	0.9772452	0.8800820	0.6601484	0.3739980	0.1309155	0.7721773	0.4261042	0.0584601	0.1779555	0.3650198	0.5862711	0.4299668	0.1732932	0.3899291	0.0570802	0.0333123	0.0137154	0.9894781	0.7744487	0.0677636	0.0072343	0.9782383	0.9840026	0.7611027	0.6428332	0.1506948	0.9870040	0.5446103	0.5773499	0.5389958	0.2563954	0.2902802	0.5496688	0.0009358	0.1119267	0.4628048	0.8687266	0.0397464	0.1693744	0.4576322	1.0000000	0.9403149	0.7914194	0.4046106	0.5743129	0.3905057	0.0000037
0.0233943	0.7126205	0.7109317	0.0026920	0.0000000	0.6370440	0.1089015	0.0541350	0.6401185	0.3072716	0.2080339	0.9961009	0.0531029	0.6162702	0.0080933	0.0000627	0.9943786	0.0531839	0.1955080	0.9601116	0.8081942	0.6382841	0.0013174	0.2427944	0.8885203	0.9651223	0.0609295	0.0382543	0.3824260	0.4102393	0.7319754	0.8985149	0.8368007	0.6789981	0.2929666	0.5402338	0.5759670	0.7079369	0.9999660	0.4886336	0.1267131	0.9833381	0.1663006	0.8334933	0.5334142	0.1594887	0.4002562	0.0649616	0.5292912	0.0571898	0.9784590	0.9072376	0.3954378	0.9704341	0.9410762	0.6902165	0.5538745	0.0144405	0.4977841	0.7707466	0.2484249	0.3588388	0.6493376	0.5862045	0.3787106	0.0721426	0.3961235	0.0420034	0.0348224	0.0646091	0.9946278	0.7589944	0.0673982	0.0069354	0.9688133	0.9825773	0.6733485	0.6460900	0.0118972	0.7951978	0.5270933	0.6216216	0.5682047	0.7363629	0.2827037	0.5533893	0.0022999	0.1648370	0.4393118	0.8710485	0.0403192	0.1699609	0.4843256	1.0000000	0.9474441	0.8008227	0.4367990	0.5743025	0.3780413	0.0000038
0.0327073	0.7057034	0.6986435	0.0313315	0.1865492	0.0000000	0.1078094	0.0532831	0.6437602	0.7044484	0.6178896	0.9960852	0.0535068	0.7177047	0.7467986	0.1449670	0.5257147	0.3395465	0.1409869	0.9607992	0.8143449	0.6305774	0.0011940	0.2491804	0.7844764	0.6570588	0.0609365	0.0585378	0.9988776	0.4050162	0.7214518	0.5301924	0.9479507	0.5420464	0.2937993	0.5385659	0.5750009	0.6160942	0.2732506	0.4941848	0.1268039	0.9841320	0.1523094	0.8333863	0.5325998	0.1567110	0.4001526	0.0650605	0.8229112	1.0000000	0.9870812	0.7947197	0.6701980	0.9705237	0.9944019	0.9409092	0.7138557	0.0076243	0.8020721	0.4438733	0.2364926	0.1697683	0.4761152	0.2869678	0.4240541	0.0736464	0.5669441	0.1127889	0.0406781	0.7271623	0.9863418	0.5426098	0.1311794	0.0038265	0.9749322	0.9812299	0.7564278	0.6423991	0.3541062	0.9485311	0.6830709	0.8557203	0.6031188	0.5969378	0.2894912	0.5274906	0.1325488	0.1181212	0.5098037	0.8653917	0.2834657	0.1725158	0.4863914	1.0000000	0.8167582	0.6198446	0.4508971	0.5743152	0.3321621	0.0243897
0.5784081	0.7957091	0.8982295	0.3430163	0.6113028	0.6316356	0.0000000	0.2866241	0.3899791	0.3805521	0.3017837	0.9939277	0.0538640	0.7323109	0.9165742	0.2148046	0.9956632	0.0484093	0.1156766	0.8809621	0.4926444	0.9985674	0.0061615	0.1784764	0.8222161	0.7301144	0.0609295	0.0383166	0.3835026	0.4126824	0.7369196	0.8784816	0.7776726	0.2840296	0.3983682	0.3854240	0.4904110	0.7212426	0.2512431	0.4816500	0.1795079	0.9886051	0.1682930	0.9112667	0.4127198	0.1395290	0.3890767	0.0751772	0.5291763	0.0582244	0.9885760	0.6320090	0.8482586	0.9140707	0.8869235	0.7197184	0.2557928	0.1363511	0.7727919	0.4242701	0.0569435	0.0498658	0.3988907	0.5857210	0.4489999	0.1660731	0.3911333	0.0571515	0.0334468	0.7281648	0.9902164	0.7606980	0.0591018	0.0030010	0.9794927	0.9840227	0.7530739	0.6428486	0.1343438	0.9924917	0.5557293	0.3373093	0.4121844	0.2588015	0.3197469	0.6596271	0.0006248	0.1101273	0.4283130	0.8700902	0.3123823	0.1695998	0.4709963	1.0000000	0.9403562	0.8107885	0.4048095	0.5755146	0.3850006	0.0000016
0.5778099	0.7957180	0.8982543	0.3426033	0.6108358	0.6311176	0.0768222	0.0000000	0.3899847	0.3783582	0.3016600	0.9961052	0.0538124	0.7339268	0.9163490	0.2146157	0.9956634	0.0484081	0.1156674	0.8809649	0.4926495	0.9985612	0.0058999	0.1784688	0.8222141	0.7301084	0.0609295	0.0383171	0.3835954	0.4127986	0.7371516	0.8775326	0.7752637	0.2834965	0.3972425	0.3866581	0.4910842	0.7351514	0.2512165	0.4820864	0.1768808	0.9885157	0.1699184	0.8496687	0.4129381	0.1399125	0.3891682	0.0649616	0.5294245	0.0583256	0.9885773	0.6347757	0.8484356	0.9142158	0.8869710	0.6844516	0.2554160	0.1364165	0.7725899	0.4239953	0.0590314	0.1307534	0.3986617	0.5856709	0.4489297	0.1624070	0.3925639	0.0568260	0.0334221	0.7282058	0.9902163	0.6208072	0.0591563	0.0020720	0.9790103	0.9840243	0.7545847	0.6428580	0.1347324	0.9892125	0.5556219	0.6641363	0.5041529	0.2586306	0.3196762	0.6600598	0.0005993	0.1096032	0.4268710	0.8700459	0.3121614	0.1696929	0.4709836	1.0000000	0.9403397	0.8108178	0.4047686	0.5747338	0.3885814	0.0000023
0.0321104	0.6451302	0.6041507	0.0303562	0.1838300	0.0757388	0.9493128	1.0000000	0.0000000	0.3988319	0.5580937	0.9746630	0.1321398	0.4195174	0.8052818	0.1604198	0.5899359	0.3075764	0.1308547	0.9700910	0.9157855	0.4818108	0.0039537	0.2882795	0.8516769	0.8329908	0.0609333	0.0528196	0.6825868	0.4100328	0.7315582	0.5508343	0.8360757	0.6258961	0.2993933	0.5276254	0.5686980	0.6251976	0.0402109	0.5141185	0.1353183	0.9794082	0.1539334	0.9591674	0.5342850	0.1718047	0.3994207	0.1268618	0.8127323	0.9802987	0.9803311	0.7569862	0.7410259	0.9733009	0.9829119	0.7709510	0.2079974	0.0044836	0.7824659	0.6141395	0.3376280	0.2567816	0.5514500	0.2902813	0.3958070	0.0902778	0.5029692	0.1018326	0.4883671	0.7110438	0.9917978	0.5825246	0.0012976	0.0359000	0.9339835	0.9925848	0.7106024	0.6413976	0.3193953	0.9877009	0.6707390	0.5849755	0.6191408	0.6029029	0.2996218	0.5095266	0.1199098	0.3510989	0.5427217	0.8650054	0.3702127	0.1840513	0.4817510	1.0000000	0.8309847	0.5745764	0.6828180	0.5542871	0.3398391	0.0868804
0.2231043	0.7956954	0.8983235	0.1630394	0.4223181	0.3523900	0.4773606	0.2248697	0.4200469	0.0000000	0.2989016	0.9947656	0.0528842	0.7210938	0.8943682	0.1994500	0.9271720	0.1293991	0.1151218	0.8953688	0.5225304	0.9667748	0.0060713	0.1785769	0.8145054	0.7125972	0.0609295	0.0387847	0.5519611	0.4178944	0.7476027	0.7812639	0.6750618	0.5211559	0.2981978	0.5290801	0.5688081	0.6906718	0.2519448	0.4898817	0.1310799	0.9886353	0.1642068	0.8858833	0.5050953	0.1394786	0.3995405	0.0711573	0.5349803	0.2669372	0.9903547	0.6769166	0.7747344	0.9682400	0.9572307	0.6270913	0.2987417	0.0212944	0.6948645	0.4215124	0.0877772	0.3021486	0.4895047	0.4744437	0.4482907	0.0788486	0.4204518	0.0632668	0.0319080	0.7305507	0.9896117	0.7489917	0.2138202	0.0025483	0.9763617	0.9836246	0.8486029	0.6435500	0.1840210	0.9809495	0.5767149	0.2838557	0.5514321	0.4030733	0.2800668	0.6540171	0.0128434	0.1159993	0.4480995	0.8679289	0.3314399	0.1726341	0.4880771	1.0000000	0.9228456	0.8088961	0.4316331	0.5691926	0.3811126	0.0067810
