G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G65A	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1708331	0.6652889	0.9048797	0.1773438	0.4426426	0.4736356	0.8202337	0.1402881	0.7117592	0.1911845	1.0337890	0.8437423	0.7855557	0.2544917	0.1271666	0.0660418	0.8482545	0.2927807	0.0668801	0.1802143	0.4253443	0.7419837	0.2335732	0.7168247	0.6054757	0.1607891	0.2936515	0.1443405	0.7704931	0.2288429	0.3247248	0.2562029	0.9585280	0.3157802	0.1971793	0.9734195	0.6991438	0.4504378	1.0359644	0.3171302	0.6644472	0.9943859	0.0761005	0.0421532	0.7584751	0.9774557	0.9204287	0.0645800	0.1732097	1.0416315	0.8840410	0.0567511	0.9073047	0.8985448	0.9380049	0.8259180	1.0020486	0.0323650	0.3183019	0.1719373	0.9710979	0.3900099	0.0038853	0.0306625	0.5391446	0.8648454	0.6731505	0.0004436	0.9104055	0.2128282	0.2055073	0.5703391	0.5938208	0.0623345	0.0187833	0.8284112	1.0180282	0.0289267	0.1414856	0.1349663	0.7604836	0.9045606	0.7164589	0.1320055	0.0477727	0.2573842	1.0231646	0.4301942	0.9106395	0.1894996	0.2239564	0.1190464	0.5464191	1.0211536	0.0104896	0.1039340	0.9741863	0.7968891	0.8020759	0.8378455
0.2564602	0.2690075	0.9089586	0.2063861	0.5152588	0.3860267	0.7223493	0.1907239	0.5320439	0.1609697	1.0176976	0.8376964	0.9261667	0.3505746	0.1122907	0.1046634	0.8129506	0.2488888	0.0588616	0.1434761	0.4456579	0.7102556	0.4130842	0.9018359	0.5702561	0.0954347	0.2990453	0.1181034	0.7261385	0.0875610	0.2043874	0.2821141	1.0581650	0.2767225	0.1259555	0.9983860	0.8369150	0.4958188	0.9457946	0.2253167	0.6846405	1.0434063	0.0547200	0.0205304	0.7587911	1.0131616	1.0012356	0.0433165	0.2219878	0.9989946	0.8272911	0.0269470	0.8536007	0.9555514	1.0206989	0.8234392	1.0402940	0.0231601	0.3421511	0.2041217	0.9961077	0.5676460	0.0050285	0.0180080	0.5354609	0.8653345	0.6770183	0.0128509	1.0030778	0.2076827	0.1979472	0.5374516	0.5507230	0.0978099	0.0093242	0.8819157	1.0817285	0.0096527	0.1810897	0.1061291	0.6218207	0.7403597	0.8707556	0.1498022	0.0568381	0.1485823	0.9303425	0.4515068	0.8467352	0.2295214	0.2953716	0.1533749	0.5798479	0.9337001	0.0009982	0.1078840	0.9644167	0.6168238	0.8295762	0.7492026
0.4484970	0.8214736	0.5042368	0.1715734	0.4255246	0.4484529	0.7976618	0.1624564	0.7994980	0.1855647	1.0122235	0.8355204	0.9674214	0.2351016	0.1374888	0.0953700	0.8406985	0.2644320	0.0989374	0.1820825	0.4051849	0.7805733	0.0531272	0.7530397	0.6365584	0.1601327	0.3307655	0.1260381	0.6990666	0.0642817	0.2870770	0.3182964	1.0633564	0.3435813	0.2205243	1.0931613	0.7545531	0.4013252	1.0044853	0.3481941	0.7437449	1.0125539	0.0683669	0.0110307	0.7401259	0.9986802	0.9336300	0.0354626	0.2188096	1.0484530	0.8870497	0.0117498	0.8060133	0.9058426	1.0501721	0.8550611	0.9905717	0.0242873	0.3109170	0.2187873	0.7306583	0.4581590	0.0111947	0.0157546	0.6050252	0.9285366	0.6934887	0.0118060	0.9691187	0.2179395	0.1913716	0.5215417	0.6389665	0.1040883	0.0202422	0.8386016	0.9922614	0.0156951	0.1587024	0.1109885	0.6287936	0.8377347	0.7074693	0.3331605	0.0523970	0.2021201	0.8998718	0.4702193	0.9146196	0.1558149	0.2443861	0.0803255	0.4780230	0.9247869	0.0124569	0.0599456	0.9683027	0.5214315	0.9640149	0.6755243
0.3399635	0.6289558	0.9312255	0.0891976	0.4972571	0.4068656	0.7696304	0.2054533	0.5636335	0.2119224	1.0517600	0.9572248	0.8351256	0.3165583	0.1068231	0.0834581	0.8018763	0.2577808	0.0885063	0.2451143	0.4849313	0.7341741	0.2551968	0.7908148	0.5819717	0.1551376	0.3311385	0.1052251	0.7887210	0.1309160	0.2536646	0.2726110	0.9100974	0.3420219	0.1694777	1.0188651	0.6645000	0.4224810	0.9757349	0.4539576	0.6792648	1.0642275	0.0847041	0.0244480	0.7094839	0.9379549	0.9589836	0.0517520	0.1635574	1.0304002	0.7825484	0.0134345	0.8198597	0.9592706	1.0743123	0.8169293	0.9551375	0.0279944	0.2904696	0.1265133	0.8043771	0.4172205	0.0129449	0.0295846	0.5987147	0.9505786	0.7116078	0.0024159	0.9429581	0.2938048	0.2356844	0.4989949	0.5357779	0.1070702	0.0044515	0.8476153	0.9514188	0.0049165	0.1790337	0.0829738	0.7739749	0.8423880	0.7870589	0.1164407	0.0462080	0.2358021	1.0284366	0.4097233	0.7691002	0.1751681	0.3184360	0.1065823	0.5186370	0.9919470	0.0518850	0.1090378	1.0058306	0.5700319	0.8825961	0.6940819
0.2709095	0.5841965	1.0325391	0.1508907	0.2056062	0.4230539	0.8648202	0.1894122	0.5225927	0.2172521	1.0091653	0.9035424	0.9068151	0.2681706	0.1219419	0.0594355	0.7546500	0.3203645	0.0925897	0.2195990	0.3706895	0.6703287	0.3071005	0.8147040	0.6608571	0.1134726	0.3061438	0.1028472	0.7009147	0.1078391	0.2053519	0.2629938	0.9002375	0.3122994	0.2023346	0.9682381	0.7637051	0.4686832	0.9814297	0.4948169	0.6758152	1.0765141	0.0679797	0.0293514	0.7282314	1.0793784	0.9607924	0.0696496	0.2325172	1.0646504	0.9122689	0.0156657	0.7941704	1.0103997	1.0533456	0.7878124	1.1184101	0.0283161	0.2636144	0.2521222	0.7648806	0.3824973	0.0102388	0.0273749	0.5839414	0.9901483	0.6699999	0.0102060	0.8957775	0.2131775	0.1843788	0.5534803	0.5954359	0.0785815	0.0030482	0.9146035	0.9922082	0.0053521	0.1496883	0.2197773	0.6302087	0.8068857	0.6928083	0.1475817	0.0437420	0.2754211	1.1211099	0.4103177	0.9639961	0.1892987	0.3233681	0.1527065	0.5193429	1.0561177	0.0181909	0.0792724	0.9375242	0.7426685	0.8521347	0.7655948
0.2906430	0.6665784	0.9179031	0.2303378	0.5357635	0.2345448	0.8020885	0.2049542	0.6111102	0.2485213	1.0215986	0.8923257	0.9288791	0.2427655	0.1430504	0.2664493	0.7642571	0.3223825	0.1315710	0.1818184	0.3569458	0.6465616	0.3381931	0.8776854	0.5885096	0.0607206	0.2018608	0.4480624	0.5218194	0.0469843	0.1490827	0.4088276	0.9670543	0.2995878	0.1815529	1.1120650	0.7592190	0.4461621	1.0047304	0.5524605	0.7110427	0.9536467	0.0584041	0.0200534	0.7436843	0.9275126	0.8927740	0.0493239	0.2083739	0.9482444	0.8333679	0.0560578	0.9330545	0.9763770	0.9657558	0.8796578	0.9925236	0.0220898	0.3354358	0.1136255	0.8814331	0.5985229	0.0114589	0.0135100	0.6749152	0.7123549	0.6320225	0.0105655	1.0367572	0.2865899	0.2801468	0.5247160	0.6622712	0.1333369	0.0109292	0.8627153	0.9908591	0.0232284	0.1409015	0.2068840	0.4089428	0.9146599	0.8534121	0.1248365	0.0586283	0.0543394	1.1799187	0.4230786	0.8663484	0.2010202	0.2577432	0.2443295	0.4941288	1.1039875	0.0063858	0.0605640	0.9063112	0.6732025	0.9077290	0.8165611
0.4120092	0.5798740	0.9250177	0.1549199	0.3803336	0.4415155	0.4019927	0.1429197	0.3131399	0.4163781	1.0574318	0.8922653	0.8356272	0.3510253	0.1363479	0.0428631	0.7551676	0.2557309	0.1173897	0.2350112	0.4571523	0.6684927	0.3158688	0.7591827	0.5976658	0.1638293	0.1278090	0.1612514	0.7120418	0.1098566	0.2825918	0.2590030	0.9309050	0.3852201	0.2307441	0.8825670	0.7751406	0.4350016	0.9813796	0.2833945	0.7325567	1.1075166	0.0603003	0.0292133	0.6854004	0.9544449	0.9386791	0.0738242	0.1881843	1.0458015	0.8546112	0.0135913	0.7488809	0.9743669	0.9808849	0.8018582	1.0216492	0.0349658	0.2729789	0.2228668	0.7423807	0.4063977	0.0129769	0.0094613	0.5394190	0.9061939	0.6701218	0.0025255	0.8555056	0.2898097	0.1818644	0.6175139	0.5780220	0.0649141	0.0092681	0.9215096	1.0414505	0.0089535	0.1528519	0.1457503	0.6876131	0.8350883	0.7169974	0.1426812	0.0558947	0.2009072	1.0127147	0.4767661	0.9079041	0.1873723	0.3326412	0.0621080	0.4909546	1.0069269	0.0153240	0.0880556	0.9989945	0.7214542	0.8600435	0.6794067
0.3863138	0.6796654	0.9314676	0.1795045	0.4891761	0.4135860	0.7349841	0.1034908	0.6759200	0.2063213	1.0212374	0.9578536	0.7049909	0.1897421	0.1416769	0.0680066	0.5489259	0.2723311	0.0886840	0.2209723	0.4225259	0.6677714	0.1640957	0.8100027	0.5696407	0.1367878	0.3629106	0.1349986	0.7192267	0.0831759	0.2250326	0.2368475	0.9593181	0.2681578	0.2336199	0.9496861	0.7059432	0.4059678	0.9850853	0.5731619	0.6248411	0.9986639	0.0801481	0.0327725	0.8183129	0.9625767	0.9857019	0.0764583	0.2037415	1.0268645	0.9116562	0.0155667	0.7768914	1.0509652	1.0635840	0.8825834	0.9109855	0.0120318	0.3118881	0.1429049	0.8073918	0.3701213	0.0250390	0.0279920	0.7009142	0.8672661	0.7627709	0.0150515	0.9394599	0.2030939	0.1322060	0.5701524	0.5919237	0.1043512	0.0021130	0.7760898	1.0153266	0.0040260	0.1448822	0.1968753	0.6158757	0.8272802	0.8044124	0.1517024	0.0716234	0.1826542	0.9983019	0.3946293	0.8663912	0.1580120	0.2462649	0.1151789	0.5057632	1.0015308	0.0025072	0.0879874	1.0398522	0.4861523	0.8131821	0.7940262
0.2682849	0.4772625	0.9822249	0.1813163	0.4735622	0.4289899	0.8176937	0.1673472	0.3215169	0.1439241	0.9595087	0.9053436	0.9447664	0.1440691	0.1053575	0.0850396	0.6691664	0.2695201	0.1032516	0.1647171	0.3764345	0.6918874	0.5717448	0.8310877	0.6372489	0.1242416	0.4490616	0.1082278	0.7256628	0.0987368	0.2902796	0.2202130	0.9314518	0.3240336	0.1802023	0.9575264	0.8001272	0.4277202	1.0026508	0.5314924	0.6081676	0.9836860	0.0663641	0.0326937	0.7706982	0.9514496	0.9090017	0.0361016	0.1422421	1.0455225	0.8066614	0.0251540	0.7745194	0.9375697	0.9646516	0.8364073	1.0937856	0.0210035	0.3318188	0.1376538	0.8829757	0.7159738	0.0046478	0.0157736	0.5712778	0.9986035	0.7179721	0.0139091	0.9217170	0.1966574	0.1804857	0.6098635	0.6373201	0.0928192	0.0095117	0.8515144	0.9743160	0.0078638	0.2059026	0.1029811	0.6586647	0.8542646	0.8299117	0.1201417	0.0353022	0.2210304	1.0557277	0.4695019	0.8602374	0.2169930	0.2514907	0.1438164	0.5255906	1.0660431	0.0191248	0.0693015	0.9681879	0.4873411	0.8345353	0.8227284
0.4746421	0.8252309	1.0127719	0.1240863	0.3998506	0.4188162	0.8615876	0.1909313	0.8858208	0.1159575	0.9731272	0.9067893	0.9174959	0.3267881	0.1568138	0.0383535	0.7726464	0.2337797	0.0925409	0.2258074	0.4445100	0.7594378	0.0743631	0.7306688	0.5973266	0.1563310	0.3857122	0.0943844	0.6967936	0.1024382	0.2783349	0.2479957	0.9917176	0.4162015	0.2542636	0.9201425	0.6967540	0.4311292	0.9176841	0.5431043	0.5474519	1.0329760	0.0654049	0.0218826	0.6977766	0.9956243	0.9475340	0.0568930	0.2508232	0.9417558	0.9030683	0.0110237	0.8721501	0.9789627	0.9900045	0.8085541	1.0376291	0.0356960	0.2537823	0.1238038	0.7194580	0.5123588	0.0052501	0.0209834	0.5340033	0.9920519	0.5974099	0.0078550	0.8826110	0.2327156	0.1745303	0.5488332	0.5735220	0.0982911	0.0070099	0.8560503	1.0264560	0.0170891	0.1670424	0.1106961	0.6895755	0.7770390	0.8297476	0.1458052	0.0760337	0.2177957	1.1443507	0.4342614	0.8275925	0.2195899	0.2352971	0.0736166	0.4954780	1.0787717	0.0221457	0.0718858	0.8948596	0.6328411	0.8468362	0.6201906
