"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0115320	0.6945245	0.0455216	0.8741816	0.3689741	0.5090882	0.0375150	0.5162158	0.9935064	0.0398194	0.4408198	0.7250156	0.0172566	0.8602324	0.0254756	0.6995503	1.0088867	0.1580746	0.1204859	0.4843140	0.0010102	0.0394255	0.1347521	0.4818624	1.0513538	0.3020031	0.6622734	0.5837381	0.8980183	0.6794275	0.6522280	0.1812610	1.0181981	0.0894057	0.7541092	0.1930830	1.0017070	0.4763231	0.1478021	0.8868338	0.2571850	0.6524597	1.0025730	0.2948221	0.6120230	0.3838206	0.5783509	1.0475010	0.6510426	0.2014354	0.5132024	0.0244802	0.7380889	0.9749660	0.5439702	0.1236175	0.0734758	0.4466059	0.4702405	0.2506212	0.2748513	0.4176125	0.0822392	0.1926360	0.1866842	0.5899508	0.9497040	0.8596301	0.9968186	0.5923701	0.7709711	0.1780022	0.2319926	0.3206558	0.6111748	0.5110902	0.5092132	0.5328638	0.9139993	0.8882640	0.5261986	0.5256311	0.3293719	0.5285980	0.3231117	0.1834658	0.6647477	0.9022781	0.6875195	0.4155494	0.7173478	0.3203779	0.1863839	0.9962307	0.8152556	0.5912939	0.6049505	0.0020268	0.5232891	0.4443516
50	0.0000513	0.6347022	0.0545595	0.8177600	0.4097379	0.7768927	0.0265820	0.5129994	0.9033353	0.0410315	0.6339192	0.8862820	0.0499445	0.4307362	0.0238010	0.6871320	0.7018132	0.1922386	0.8331899	0.5071006	0.0021779	0.0608135	0.1076741	0.2875660	0.9731276	0.0802713	0.6534462	0.4482142	0.9902297	0.7416166	0.7853544	0.2773865	1.0394631	0.0849804	0.8423495	0.1520343	0.7925995	0.4866143	0.1942852	0.7720337	0.5002623	0.5921222	0.8159304	0.2775014	0.5802259	0.4617292	0.5498150	0.9225968	0.5331033	0.4262673	0.5775445	0.0400745	0.9013545	0.9446513	0.4755253	0.1546577	0.0317836	0.4428055	0.2914775	0.3953696	0.2253569	0.2702222	0.0296415	0.1421273	0.3286559	0.4622183	1.0120196	0.7692839	0.6030549	0.6554334	0.7011425	0.0950751	0.4790290	0.4151481	0.6438627	0.4988531	0.5610160	0.2900251	0.7793253	0.8866780	0.5634314	0.4741636	0.7416530	0.5236316	0.3456528	0.2670964	0.7804056	0.5265832	0.6197759	0.3609570	0.5861437	0.3096981	0.2513414	1.0024341	0.8628882	0.5993728	0.5801296	0.0014325	0.6321194	0.7071643
100	0.0071037	0.6151519	0.0697614	0.8364480	0.5715610	0.9771861	0.0293910	0.4696141	0.9664981	0.0524743	0.5743541	0.8621877	0.2151376	0.3365279	0.0254895	0.6759605	0.6425015	0.1973950	0.8672414	0.5487807	0.0102196	0.1091185	0.3022152	0.1434661	0.9960846	0.0122736	0.6455983	0.5445934	1.0504289	0.6762836	0.8180356	0.2347258	0.9885692	0.1156662	0.9298676	0.1739273	0.7582864	0.4957983	0.1438854	0.8148157	0.4704069	0.4358040	0.6230975	0.2740197	0.6115121	0.5792675	0.5952650	0.9668764	0.6298001	0.5191496	0.4484656	0.0477943	0.9748835	0.9352466	0.4171220	0.1292224	0.0494317	0.4666838	0.1578304	0.5106710	0.1954392	0.2845107	0.0779135	0.0736608	0.4000642	0.4859115	1.0117983	0.8071580	0.3957111	0.7869337	0.6742777	0.0340821	0.5171229	0.3879584	0.6858407	0.6052648	0.4847455	0.2503094	0.7796441	0.8966616	0.5197504	0.5727575	0.8326129	0.5698286	0.3744279	0.1521155	0.7554970	0.4184359	0.7230220	0.3719119	0.7582705	0.3533072	0.1953108	0.9382476	0.8360793	0.6430612	0.6030648	0.0036242	0.7382352	0.7767237
150	0.0082492	0.5491636	0.1231684	0.6609935	0.5173001	0.9730302	0.0257056	0.5418679	1.0031187	0.0489716	0.5819822	0.5974349	0.4312166	0.3147546	0.0284184	0.6098378	0.6427033	0.2107854	0.8560361	0.5751730	0.0255723	0.1094544	0.7371880	0.0774997	0.9959331	0.0061091	0.6106207	0.4533147	1.0814490	0.7924597	0.8463191	0.2071038	0.9195895	0.1002949	0.8969843	0.2204255	0.7237834	0.4678667	0.1518497	0.8514419	0.4073678	0.3467281	0.5189421	0.3231365	0.6623650	0.5274805	0.6021024	0.9997029	0.5837874	0.5824998	0.6007262	0.0366117	0.9452643	0.9883257	0.4288539	0.1241570	0.0689669	0.4427858	0.0819483	0.6628179	0.2448552	0.2792581	0.0814704	0.0228843	0.3603057	0.5164964	1.0429797	0.8743007	0.3218429	0.7210446	0.7265246	0.0116820	0.5455722	0.4167212	0.6142513	0.6625387	0.4544734	0.2169273	0.7836219	0.8766354	0.5317658	0.6291017	0.8600985	0.5389399	0.4328611	0.0724986	0.7590058	0.2839815	0.6391238	0.3511959	0.7176046	0.3079399	0.1709477	0.8527809	0.8289889	0.8287083	0.6758222	0.0000000	0.7896493	0.8655021
200	0.0077090	0.2794185	0.2217949	0.5391084	0.4823741	0.9784482	0.0417715	0.5325391	0.9063718	0.0461613	0.6857231	0.5460963	0.5914729	0.3270617	0.0737117	0.6119929	0.6862268	0.2487003	0.8118066	0.5730322	0.0446036	0.1001145	0.9552207	0.0888320	0.9657689	0.0114245	0.6838630	0.4250509	1.1023168	0.7691694	0.8548182	0.2188163	1.0221894	0.1017854	0.8695535	0.1960917	0.7193873	0.3942655	0.1448217	0.8439276	0.3975890	0.1925467	0.2919036	0.2694830	0.6301990	0.5055899	0.5284002	0.9977198	0.6248700	0.5832817	0.5838313	0.0424265	0.8657859	1.0615742	0.4640891	0.1614590	0.0613290	0.4017917	0.0626652	0.6802121	0.2561670	0.2928403	0.1035787	0.0114317	0.3618231	0.5658106	1.0115321	0.7995774	0.2737621	0.7173131	0.6929691	0.0033455	0.5330484	0.4980162	0.5155992	0.6057498	0.5161678	0.2077776	0.8820925	0.9003463	0.4999125	0.6667760	0.8185473	0.5103056	0.4202224	0.0461879	0.7305227	0.2239271	0.6676073	0.3789743	0.7391198	0.3606117	0.1941520	0.8521709	0.8873019	0.7549103	0.7105892	0.0017648	0.7959914	0.9600893
250	0.0096910	0.2143480	0.3360887	0.5155605	0.4948001	0.9082865	0.0248971	0.4977417	0.9810364	0.0350034	0.6527721	0.5358978	0.6982991	0.3419300	0.1809696	0.7686117	0.6730164	0.2949898	0.9291560	0.6849390	0.0451349	0.0950374	0.8762491	0.0930170	0.9475307	0.0023742	0.7443561	0.4587267	1.0699259	0.7611602	0.8482385	0.2367968	1.0020254	0.1316203	0.9411695	0.2766189	0.5920054	0.2877869	0.1672840	0.8444351	0.3880097	0.0747450	0.1742830	0.2189659	0.6237946	0.4758459	0.6414219	1.0215697	0.6049308	0.6273708	0.6140085	0.0247667	0.9108806	1.0740797	0.5440458	0.1775995	0.0444633	0.4528361	0.1019286	0.6915321	0.2813825	0.3508552	0.1183224	0.0117939	0.3000090	0.5099149	0.8952003	0.8363324	0.3056706	0.6230866	0.5989825	0.0010785	0.5432038	0.4246501	0.4176022	0.6891080	0.5670519	0.1389973	0.7653746	0.9519975	0.4868363	0.7023645	0.7774464	0.5576471	0.3619240	0.0173493	0.8646768	0.1690581	0.7080711	0.3667564	0.8119522	0.4064716	0.1757069	0.8372559	0.7709498	0.7786659	0.7191602	0.0033251	0.7770776	1.0459578
300	0.0173519	0.1949546	0.3841705	0.5205676	0.6243276	0.8682575	0.0280491	0.5212042	1.0393830	0.0316778	0.6792275	0.5762489	0.6067375	0.2925655	0.3658499	0.9077270	0.6763422	0.3280625	0.9035639	0.8149460	0.0275512	0.0574367	0.8556375	0.0770915	0.9350060	0.0015348	0.6938637	0.4622259	1.0000166	0.7583528	0.8674343	0.1945149	0.9359909	0.1153403	0.9662375	0.3192758	0.4178592	0.2635818	0.1982427	0.9379402	0.3175037	0.0242690	0.1417274	0.1812656	0.6708236	0.4879716	0.6739639	0.9559476	0.6763645	0.6001445	0.5169129	0.0220501	0.9539174	0.9982794	0.4540241	0.1448337	0.0510878	0.4523604	0.2399311	0.7260986	0.2015961	0.4621044	0.1554723	0.0026666	0.3222018	0.5676526	0.8978823	0.8780209	0.2879171	0.5389359	0.6878142	0.0023040	0.5114199	0.4340355	0.3878813	0.6724655	0.5541362	0.2105311	0.7247987	0.9453317	0.4611048	0.6716429	0.7219693	0.5368086	0.2396569	0.0534205	0.9077417	0.1546675	0.7503065	0.3601035	0.8259602	0.4029663	0.1292231	0.7390931	0.8347913	0.7252474	0.7011274	0.0006749	0.7542071	1.0673703
350	0.0219680	0.1929889	0.4328855	0.5119018	0.6435172	0.9195427	0.0265972	0.4902478	1.0420639	0.0279756	0.5798937	0.5787012	0.6802450	0.2957368	0.5965605	0.9023728	0.6683808	0.2915694	0.8929664	0.9514177	0.0170604	0.0922531	0.9082504	0.0583660	0.9734781	0.0027814	0.6202560	0.4497205	1.0269725	0.7477866	0.9616180	0.1408160	1.0055919	0.1368817	0.9902643	0.3966811	0.4373719	0.2582812	0.1864048	0.9001863	0.3602047	0.0071318	0.1050244	0.2088575	0.6983219	0.3762203	0.5559976	1.0047122	0.6767627	0.6253338	0.5803326	0.0141025	0.9279181	1.0053527	0.5292221	0.1244052	0.0422341	0.4938318	0.3631188	0.7006440	0.2374160	0.3700727	0.1434503	0.0070409	0.2973500	0.5147093	0.8289212	0.9346350	0.2911113	0.5556418	0.6442871	0.0020087	0.5506202	0.4487948	0.4674418	0.7600362	0.5544132	0.1893015	0.6888883	0.9446745	0.3885806	0.6746514	0.6256560	0.5572367	0.2373371	0.0575786	0.9322368	0.1702354	0.7967574	0.3429389	0.8048493	0.4721258	0.1284672	0.7925321	0.7437881	0.6824048	0.7809925	0.0022976	0.8072009	0.9499650
400	0.0759016	0.2099002	0.4541436	0.5404853	0.6406543	0.8701140	0.0298371	0.5267083	0.9947979	0.0436743	0.6836638	0.6528935	0.7313074	0.2620122	0.7359734	0.9054879	0.6455082	0.2872950	0.9296683	0.9387349	0.0269340	0.0604558	0.9369750	0.0764243	0.9638675	0.0034600	0.7067541	0.4370141	1.0482493	0.8138056	0.9549743	0.1329143	1.0383590	0.1029212	0.9738059	0.4527312	0.3469677	0.2432906	0.1787541	0.9722303	0.3587749	0.0102055	0.1115489	0.1899099	0.7086993	0.4101240	0.5491324	0.9218263	0.6311370	0.6161339	0.5952072	0.0205494	1.0459417	0.9981221	0.5934354	0.1171926	0.0427817	0.5786133	0.4158215	0.7651113	0.2697793	0.3387692	0.1358819	0.0025938	0.3005301	0.4858800	0.9191620	0.9803720	0.3484182	0.5473055	0.7156357	0.0017622	0.5155564	0.4804208	0.3695114	0.6842768	0.4956654	0.1461052	0.7462755	0.9563777	0.3864348	0.6605880	0.5515824	0.6461307	0.3206577	0.0626498	0.9508407	0.1485061	0.7882061	0.3634526	0.7858445	0.4378393	0.1423821	0.7540318	0.6716148	0.6174834	0.7419889	0.0018061	0.7376174	1.0203882
