G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0015508	1.0458123	0.0375551	0.8992656	0.3442628	0.4627126	0.0282230	0.4883847	1.0734673	0.0531223	0.3226389	0.7962472	0.0177333	1.0303337	0.0326136	0.5712721	0.9391503	0.1922740	0.0000000	0.5506766	0.0024119	0.0456415	0.1697125	0.4736326	1.0632293	0.3236668	0.7361224	0.5984241	0.9497134	0.6566091	0.6806858	0.2261009	1.0762722	0.0744772	0.7560087	0.1890030	0.9657219	0.4619468	0.1265678	1.0116727	0.1797251	0.5668533	1.0763791	0.2980457	0.7101951	0.0000000	0.5989391	1.1103028	0.6795823	0.1838090	0.6200650	0.6449171	0.8053620	0.6420534	0.7436508	0.1984154	0.0949390	0.5465484	0.5027707	0.0625513	0.3307141	0.4488901	0.0163722	0.1725136	0.1348818	0.3673104	0.9629393	0.4242111	0.9898521	0.5873912	0.7672721	0.0046673	0.8773595	0.5065321	0.6501571	0.1282268	0.4921939	0.6991504	0.8286715	0.8345126	0.4402472	0.4933443	0.3700399	0.5474938	0.3785413	0.2226928	0.5854740	0.8666881	0.7412097	0.4474072	0.6243012	0.0421391	0.3068388	0.9925242	0.6995166	0.6146556	0.6200421	0.0013282	0.6259274	0.3999999
0.0047752	1.1199904	0.0477320	0.7876260	0.3892168	0.5089525	0.0363062	0.5915785	1.0297802	0.0583401	0.3890909	0.8161957	0.0098802	1.1643631	0.0321682	0.5534788	0.8595482	0.2365631	0.2169304	0.5102752	0.0050011	0.0839526	0.1466084	0.4115782	1.1149175	0.2565345	0.6347287	0.5522981	0.9918677	0.6219372	0.6747488	0.4058018	0.7224105	0.6475320	0.0000000	0.1687735	1.0261642	0.4870694	0.1229251	1.0096563	0.3400473	0.6435913	0.9734512	0.2970157	0.6318886	0.0000000	0.6496198	0.9470966	0.5521842	0.1881574	0.5811966	0.1707191	0.6113075	1.0321674	0.1655879	0.0218560	0.0791321	0.4782456	0.5262393	0.4745922	0.3259988	0.4446860	0.0189364	0.2059497	0.0228296	0.3769179	1.0438750	0.1366902	1.0250866	0.6655968	0.7178509	0.2878753	0.7459699	0.4534181	0.4208662	0.0974489	0.9832394	0.6207030	0.7664706	0.9245647	0.4794589	0.4891504	0.3121682	0.6053537	0.5661812	0.6370008	0.1622412	0.4575552	0.7040470	0.5758236	0.7039231	0.0359676	0.9003221	0.7921198	0.4952409	0.8181289	0.5388865	0.4443270	0.6741226	0.0730752
0.0073231	0.7605738	0.0365935	0.7089218	0.3419085	0.5663065	0.0372750	0.5393896	1.1351364	0.0697976	0.4375211	0.8258876	0.0405435	0.9721174	0.0300375	0.6900336	0.8115915	0.2154282	0.0000000	0.5479529	0.0048267	0.0447697	0.1584384	0.3450350	0.8895213	0.3037582	0.7718750	0.6049500	1.0805761	0.6900317	0.6527976	0.3973859	0.7430064	0.6794535	0.0000000	0.2016993	1.0212969	0.3971652	0.1550538	1.1078744	0.3002618	0.5550681	1.0260397	0.2591078	0.6272104	0.4540482	0.6601128	1.1140646	0.6161672	0.1725626	0.5452166	0.7477159	0.4262891	0.9329672	0.7768168	0.0380590	0.0308324	0.5288797	0.4605380	0.0828842	0.2984676	0.5533213	0.0508677	0.1972534	0.0445575	0.4752684	1.0459402	0.5681333	0.9266785	0.6721335	0.6423366	0.4501709	0.4153450	0.4657846	0.4528888	0.5052305	0.9106128	0.5245374	0.8160521	0.8064904	0.5372488	0.4893944	0.3065917	0.6318154	0.5767461	0.6891697	0.2003224	0.4421114	0.7225726	0.4557030	0.7126166	0.3947855	0.8372571	1.0043360	0.5645161	0.4484255	0.5605439	0.4820377	0.5867002	0.0876409
0.0069969	1.0509397	0.0416012	0.8645343	0.0000000	0.5249468	0.0215050	0.5261397	1.0741206	0.0320478	0.3890452	0.7260658	0.0144695	1.0993062	0.0101739	0.6402264	0.9824170	0.1885990	0.0584636	0.5881514	0.0082939	0.0563613	0.1194995	0.4977351	1.0042111	0.2824937	0.6645608	0.5902252	0.9200609	0.6937677	0.5848319	0.2278527	0.8875553	0.0574630	0.6643819	0.2021596	0.9956864	0.5411035	0.1822507	0.6967222	0.2720388	0.7031920	0.9680342	0.2689508	0.6225859	0.0000000	0.5787474	0.9674489	0.5820904	0.1870495	0.5123139	0.0595697	0.7876023	0.9524702	0.8448583	0.1568440	0.0887843	0.4293594	0.5039705	0.0498078	0.2993119	0.3807626	0.0221797	0.1917571	0.2096367	0.3558753	0.8674600	0.3282402	0.9440697	0.6285322	0.7246371	0.0077211	0.8357673	0.5101130	0.5991971	0.1649091	0.4563085	0.6123275	0.8985291	0.8178357	0.5311639	0.0615962	0.2951496	0.5682939	0.3629545	0.2393752	0.5643287	0.9878538	0.7636977	0.4307233	0.5383846	0.0657870	0.0020005	1.0597833	0.8068846	0.5904713	0.6952753	0.0010613	0.4912194	0.3943247
0.0030923	0.9679462	0.0361600	0.8789393	0.4381939	0.5672466	0.0223563	0.4744906	1.0725686	0.0400450	0.3849118	0.8384633	0.0243467	1.0440088	0.0416707	0.4732715	0.9680528	0.2110871	0.1743132	0.4907037	0.0081094	0.0000000	0.1226080	0.5138545	1.0538836	0.3413004	0.6012962	0.5079215	1.0363245	0.6846886	0.7503641	0.2457550	1.0284938	0.0947681	0.5998011	0.1700865	0.9419941	0.5080391	0.1707528	0.9657672	0.3555059	0.6813465	1.0468811	0.3362922	0.5803176	0.0000000	0.6242440	0.9682782	0.6350159	0.2230218	0.5444509	0.0553067	0.6943066	0.9810459	0.4185514	0.1649309	0.1071091	0.4047829	0.5277772	0.3741015	0.2914684	0.4123008	0.0296889	0.0214050	0.1619714	0.3554615	0.8909591	0.3865376	0.9937704	0.4866772	0.6918772	0.0005903	0.7966732	0.1863831	0.6770223	0.1524572	0.4429589	0.6990197	0.8551671	0.8731647	0.5946962	0.4977997	0.3173153	0.5528975	0.3468517	0.2695253	0.5491950	0.8793454	0.7048126	0.4797440	0.7475476	0.0617656	0.3495909	0.9044442	0.8626050	0.7630369	0.6543965	0.0010969	0.1840295	0.3613580
0.0080829	0.9592094	0.0330866	0.7993791	0.0106420	0.8419644	0.8405736	0.9086460	0.4827991	1.0117805	0.0000000	0.6791449	0.0223537	0.9725828	0.0298383	0.5615525	0.9857377	0.1800858	0.1545542	0.8388459	0.0167505	0.0561979	0.1317059	0.4021635	1.0922135	0.2643242	0.7816681	0.7354230	0.9872817	0.6687093	0.5516265	0.4864413	1.0671416	0.0052771	1.0383281	0.2197428	0.9153296	0.4585374	0.0492485	0.6390628	0.2389415	0.5329133	1.0411171	0.3426797	0.6028991	0.0000000	0.7246705	0.9680576	0.6043643	0.2402341	0.5070763	0.0304879	0.6014333	0.8329713	0.9268222	0.2725673	0.0326256	0.4641658	0.4954070	0.0636640	0.5591576	0.2604387	0.0550282	0.1394062	0.0016262	0.3991772	0.9622844	0.0615199	1.0140090	0.8184866	0.5347603	0.3305778	0.8958200	0.0381447	0.5132819	0.0143961	0.0546475	0.5302802	0.9329081	0.8286973	0.4139626	0.0462868	0.2760325	0.8697255	0.3462105	0.1800617	1.0519054	0.8973629	0.5774008	0.5441202	0.4029951	0.0378117	0.0031180	0.9117388	0.5955684	0.4766100	0.9145539	0.0000748	0.6779235	0.3800409
0.0066839	1.1345837	0.0314054	0.7888807	0.3479453	0.4007845	0.0306727	0.4963081	0.9469388	0.0629373	0.3932934	0.8141907	0.0287107	0.9573580	0.0305565	0.5765480	0.9813226	0.1849984	0.1050852	0.0000000	0.0006464	0.0331152	0.1229230	0.5385051	0.9263395	0.3028924	0.6668356	0.6002456	1.0414495	0.7074782	0.7178697	0.2924890	0.9620573	0.0714890	0.7409785	0.2244421	0.9159181	0.5090306	0.1775467	0.8882638	0.2767947	0.5786415	1.0682236	0.3050093	0.6800370	0.0000000	0.5944425	1.0247268	0.5170715	0.1380030	0.5667657	0.0511656	0.6771262	1.0326321	0.3862277	0.2275171	0.1588726	0.4160555	0.5137627	0.0549580	0.3278176	0.3550659	0.0065821	0.4750521	0.5953960	0.4128963	0.9759955	0.2357970	1.0243860	0.7303823	0.7101375	0.3743628	0.8084322	0.4467054	0.7388936	0.1749742	0.4640391	0.5529505	0.8177885	0.9222075	0.5550056	0.5182470	0.2726832	0.5560102	0.3228100	0.1918261	0.5027428	0.9294641	0.5832846	0.4539217	0.6156841	0.0798851	0.3101048	0.9965692	0.9049653	0.5137005	0.6252476	0.0007810	0.2920140	0.2696049
0.0135336	0.4791724	0.0513263	0.0000000	0.4265108	0.4244446	0.0436138	0.5200896	1.0444549	0.0207196	0.7782182	0.8292788	0.0141709	0.9500105	0.0147727	0.6022644	0.7232475	0.5643232	0.0818735	0.5229589	0.0081485	0.0670558	0.2884771	0.3184182	1.0704960	0.2644549	0.6624236	0.4514731	0.9878358	0.6585418	0.6916546	0.3910401	0.6520176	0.8194398	0.0000000	0.1981329	1.0098912	0.4790191	0.1559782	1.0561187	0.2526008	0.6331830	0.8900552	0.3194039	0.6534475	0.7703552	0.5474205	0.9432101	0.5709624	0.2246124	0.5458591	0.0038322	0.5365362	0.9947662	0.1166973	0.0109199	0.0457116	0.7282493	0.4330994	0.3627840	0.2306204	0.4381532	0.0018003	0.3098545	0.0102951	0.3711282	1.0959606	0.6723828	0.9636303	0.7106104	0.4610349	0.0743361	0.0765327	0.5738660	0.4193541	0.6833916	0.9676839	0.3356861	0.8144573	0.6976221	0.2994008	0.5366954	0.4195989	0.6100280	0.5649421	0.5039320	0.0041364	0.9368774	0.6646416	0.4566867	0.8846619	0.4427467	0.2575980	0.8897150	0.6432990	0.6146630	0.5266487	0.4528216	0.4479273	0.0499273
0.0108246	0.8995721	0.0480638	0.9033190	0.0000000	0.4947358	0.0376965	0.5375109	0.9903532	0.0681043	0.4033953	0.8932567	0.0185653	1.0806266	0.0282469	0.6751172	0.9977159	0.1749968	0.1178979	0.5315942	0.0073470	0.0436778	0.0813893	0.5683478	1.0361217	0.2779856	0.6916860	0.5423077	1.0589769	0.7190237	0.7087110	0.3735937	0.8460879	0.6873532	0.0000000	0.1995924	1.0193014	0.5372765	0.1357385	0.6682767	0.3113599	0.5882865	0.9696337	0.3177911	0.6342010	0.3355066	0.6755136	1.0373773	0.6227693	0.2066597	0.5301793	0.2547363	0.4713776	0.9779062	0.6886311	0.0235430	0.1098973	0.4022910	0.4439576	0.0418351	0.2590074	0.4817836	0.0948050	0.1423161	0.0289014	0.5263657	0.9631859	0.0998615	1.0268739	0.4403528	0.8044341	0.9606258	0.7601308	0.4149591	0.5661380	0.1218704	0.8021561	0.5041439	0.9079534	1.0104693	0.5399986	0.0374927	0.2776205	0.6020609	0.5433000	0.6596453	0.1834116	0.4318258	0.6478343	0.4411893	0.6259628	0.2478982	0.4816567	0.9074948	0.5310021	0.5800742	0.5607316	0.4017521	0.5459893	0.0800813
0.0071301	0.9115495	0.0406114	0.8099661	0.0019510	0.8049952	0.8247778	0.8589830	0.5090633	0.9643292	0.0000000	0.6585555	0.0201410	0.9642861	0.0163491	0.5550275	0.9574843	0.2518611	0.3003910	0.8025546	0.0352096	0.0701550	0.3696989	0.3817579	0.9918555	0.2862411	0.6364381	0.6565371	1.0445714	0.6473800	0.5953012	0.9313753	0.9216033	0.3841062	0.0000000	0.2067809	0.9076346	0.4743729	0.0634960	0.6132119	0.2063741	0.5436723	0.9575537	0.2793293	0.6564675	0.3238553	0.6847320	0.9614374	0.6485946	0.2767921	0.5427735	0.0783740	0.5192299	0.9537326	0.9061318	0.0180526	0.0346778	0.4930462	0.3439939	0.0584467	0.5845098	0.5548992	0.0006164	0.1073099	0.0082435	0.4702179	0.9503342	0.0016374	1.0184619	0.5905247	0.2947598	0.7880793	0.8520781	0.4231272	0.5445759	0.3957855	0.6704694	0.4657742	0.9411183	0.9166118	0.4671047	0.0773949	0.3316818	0.7737178	0.5880922	0.3114289	0.3035790	0.4166269	0.5337443	0.5895746	0.5028662	0.0531581	0.5384961	0.8900674	0.4101462	0.5245467	0.6596511	0.4301423	0.6581118	0.7545196
