G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0025792	0.3908268	0.0526375	0.4923580	0.1657425	0.4450116	0.0294681	0.3441837	0.6897372	0.0519124	0.2429829	0.5652424	0.0400826	0.7872682	0.0214683	0.3890534	0.6399689	0.0781424	0.0761997	0.2344089	0.0034475	0.0324695	0.1083885	0.3907324	0.6242800	0.2338868	0.4111539	0.4051752	0.6431686	0.4527396	0.4053797	0.1344935	0.6284670	0.0483546	0.3666111	0.1021828	0.6252587	0.3574646	0.1377649	0.5757564	0.1696265	0.3274916	0.6170084	0.1267350	0.3267302	0.2740093	0.3398456	0.6419199	0.3033204	0.0996909	0.2895686	0.0111269	0.5351144	0.6946330	0.2940749	0.1022353	0.0284868	0.3196353	0.3373735	0.1600218	0.2593917	0.2190176	0.0357809	0.1346533	0.0573557	0.3331521	0.7030101	0.5670681	0.6125865	0.3386996	0.4122894	0.0960835	0.1294288	0.2140552	0.3777206	0.3306918	0.3425264	0.3214866	0.5868909	0.6264975	0.4445435	0.3260544	0.1960698	0.2967053	0.2577645	0.1166553	0.3846778	0.3754133	0.3575007	0.2787921	0.3815438	0.2170423	0.1440868	0.7324592	0.5343272	0.3365225	0.4757673	0.0007131	0.4009073	0.2922002
0.0040379	0.2361965	0.0320019	0.6385798	0.1795823	0.3276027	0.0079486	0.3281427	0.6119826	0.0298130	0.2781647	0.4192050	0.0055577	0.6597387	0.0094821	0.5660520	0.6550035	0.1341431	0.0686228	0.3209452	0.0080611	0.0499066	0.0608256	0.3377683	0.5947758	0.1911668	0.5238166	0.3826938	0.6875964	0.4754738	0.4135903	0.1394088	0.7724249	0.0446685	0.5697779	0.1588135	0.5473757	0.3603769	0.0786266	0.6207253	0.2038257	0.4556335	0.6607444	0.2088872	0.4150846	0.2587943	0.4311080	0.6402039	0.3570734	0.1164457	0.3681302	0.0219118	0.5727189	0.7158980	0.3878475	0.0886313	0.0285759	0.3692684	0.3211493	0.1301299	0.2544576	0.3113206	0.0875642	0.0984112	0.1529090	0.4087318	0.6462270	0.5547251	0.6309881	0.3139356	0.4947781	0.0863885	0.1861012	0.0991874	0.4131260	0.2844504	0.3873855	0.3732262	0.6494136	0.5553162	0.3404770	0.2450135	0.2432402	0.3691909	0.2385213	0.2359593	0.3292285	0.5705586	0.5163078	0.2400216	0.5079638	0.3672709	0.1496816	0.8041129	0.5907163	0.3896492	0.3569718	0.0039783	0.4279597	0.2326736
0.0063046	0.5534624	0.0046826	0.5513658	0.1829340	0.2895665	0.0090139	0.2579144	0.6390339	0.0187095	0.2485747	0.5140130	0.0277156	0.6435140	0.0078023	0.3558645	0.5892350	0.1267322	0.0860622	0.2830862	0.0033503	0.0642156	0.0502090	0.3679419	0.6497335	0.1550848	0.4635885	0.3381095	0.5336698	0.4034828	0.4016982	0.1996784	0.7406387	0.0465358	0.4639309	0.0821213	0.6825820	0.2544763	0.1000501	0.4939576	0.1485363	0.3870227	0.6506754	0.1978500	0.5092486	0.2631938	0.4066978	0.6434241	0.3308261	0.1065583	0.4230986	0.0247071	0.5424457	0.5892127	0.2773555	0.1921013	0.0302213	0.3357096	0.3552818	0.1145130	0.2332302	0.2826866	0.0432826	0.1016416	0.0720033	0.3589627	0.6972902	0.5060832	0.5701908	0.4871279	0.4595377	0.1174653	0.2692797	0.1538024	0.5154126	0.3668120	0.3059090	0.2817773	0.5797969	0.6665541	0.4188345	0.3513130	0.3159558	0.3872574	0.2518657	0.1517456	0.3486801	0.5723250	0.4102308	0.2895194	0.5026603	0.2994601	0.1740022	0.7181737	0.7090214	0.3743242	0.4291561	0.0011905	0.3909444	0.2052264
0.0009931	0.3979712	0.0324926	0.2316944	0.2350175	0.3122477	0.0160684	0.3340528	0.6794837	0.0462235	0.3930127	0.4928242	0.0132648	0.6079511	0.0139967	0.3479851	0.5368538	0.3356583	0.0877812	0.3925197	0.0049861	0.0613865	0.0972604	0.2424887	0.7743689	0.2623882	0.5305307	0.3140479	0.6777488	0.4776563	0.4644715	0.1246287	0.8046957	0.0839839	0.4538701	0.1192389	0.6727231	0.3802167	0.1178956	0.6072299	0.1902562	0.3750111	0.6303516	0.2124829	0.4000346	0.4209881	0.3790403	0.5722947	0.2757114	0.1540322	0.4443287	0.0110235	0.5136277	0.6757467	0.1575054	0.0835139	0.0108696	0.4603213	0.2683445	0.2546642	0.1724023	0.3202167	0.0092161	0.2210560	0.2392613	0.3959347	0.6384621	0.5380589	0.6894627	0.5440320	0.4328317	0.0430494	0.0789883	0.3234518	0.3158968	0.3739060	0.3870336	0.2749210	0.5142514	0.5108502	0.1969898	0.3119608	0.3269520	0.4602844	0.2625712	0.0884724	0.3389136	0.7051184	0.5733840	0.2518014	0.5458530	0.3084093	0.0913153	0.5362261	0.5354480	0.4026610	0.3219247	0.0005977	0.3761207	0.4955562
0.0040216	0.5777107	0.0320931	0.6471330	0.1238888	0.3841420	0.0129213	0.3446569	0.6419335	0.0253404	0.3894063	0.5457580	0.0218835	0.6960361	0.0111188	0.4752928	0.4969408	0.1459837	0.0553232	0.3032672	0.0028838	0.0545476	0.0815319	0.3404134	0.6895292	0.2435449	0.5220768	0.4072213	0.7177003	0.4035812	0.4323160	0.1279997	0.6456351	0.0424509	0.5853403	0.1065725	0.6857060	0.3164753	0.0954162	0.5823324	0.2617126	0.4269418	0.7165911	0.2241732	0.5005100	0.1671828	0.4787514	0.6925597	0.3381156	0.1779658	0.3624690	0.0505901	0.4899531	0.5623698	0.4948936	0.1451202	0.0477328	0.2650698	0.4359766	0.0828580	0.2174482	0.3358964	0.0551473	0.1187697	0.1438657	0.3027121	0.6804321	0.5575563	0.5962352	0.4228835	0.4353706	0.1566156	0.4247545	0.1544438	0.4492644	0.4766272	0.2753847	0.3320759	0.5191316	0.5751097	0.4324905	0.2462412	0.3010181	0.3870702	0.2625061	0.1819711	0.4574092	0.5709853	0.5184997	0.3732498	0.3496024	0.1960172	0.0568061	0.5743957	0.4453224	0.3830007	0.4908816	0.0020065	0.3807434	0.2350391
0.0144104	0.5491129	0.0417490	0.5564232	0.2535954	0.1331131	0.0150902	0.3124962	0.8324825	0.0172051	0.2741885	0.5031330	0.0163221	0.6851947	0.0388896	0.3713014	0.5794069	0.1296021	0.0511446	0.3843423	0.0104843	0.0192458	0.0747367	0.3640744	0.6869180	0.2122325	0.4018225	0.4202623	0.6752636	0.3762624	0.4052198	0.2532224	0.7423084	0.0529286	0.3177522	0.1111526	0.6399143	0.3360920	0.1306439	0.4783621	0.1322149	0.4389411	0.6621693	0.1430954	0.3765782	0.4027300	0.4399043	0.7737080	0.4144946	0.1344350	0.3180482	0.0406866	0.5286727	0.6140045	0.2189261	0.0400184	0.0323616	0.3540735	0.2601113	0.2268258	0.1550786	0.2846793	0.0184707	0.1820582	0.1474425	0.3311651	0.7116037	0.6072151	0.7461196	0.4690640	0.5252998	0.0993678	0.1474940	0.2254612	0.4292912	0.3600129	0.5370534	0.3381926	0.5145990	0.5228751	0.3759559	0.2913514	0.2107499	0.3396469	0.2074582	0.1751089	0.3095186	0.5729004	0.3591459	0.2927309	0.4772757	0.2118796	0.1589934	0.6746409	0.4527542	0.3417984	0.3439158	0.0086163	0.4529508	0.2287455
0.0131483	0.4559623	0.0658370	0.3802550	0.2616731	0.2859300	0.0110524	0.3882006	0.6634781	0.0375538	0.2898773	0.5904842	0.0166631	0.6976355	0.0133112	0.4077624	0.6258959	0.1252600	0.0688309	0.3204519	0.0020283	0.0275681	0.0754121	0.2650446	0.6217842	0.1963786	0.3241390	0.3953726	0.5891287	0.3713468	0.4742887	0.2303749	0.5992634	0.0391191	0.5020194	0.1598230	0.6043092	0.3850784	0.1103503	0.6191039	0.1858861	0.3704962	0.6515275	0.2122095	0.4242503	0.2877609	0.4393068	0.7488656	0.3551792	0.1997143	0.3270542	0.0571943	0.4248903	0.8193260	0.2690801	0.0571847	0.0771510	0.3416324	0.3806388	0.2316340	0.1526158	0.4701010	0.0147796	0.1200988	0.0738961	0.3914372	0.7151127	0.4711946	0.7422020	0.3719563	0.6144284	0.1054671	0.2295221	0.1908239	0.4827339	0.3027819	0.4093544	0.4103568	0.5855224	0.5508819	0.3334001	0.3437390	0.1750346	0.3719529	0.2045048	0.1275992	0.3791519	0.5855020	0.3787656	0.2190501	0.3340598	0.2059390	0.1917932	0.7408449	0.5245451	0.3425376	0.4322192	0.0122212	0.3831039	0.2736181
0.0054520	0.6057648	0.0186810	0.6158729	0.1801544	0.2948442	0.0589562	0.1307386	0.7343145	0.0350134	0.2367537	0.5436800	0.0152814	0.7233107	0.0114427	0.3202631	0.5849529	0.1531753	0.0886747	0.4030094	0.0034768	0.0098507	0.0748957	0.3321033	0.6472175	0.2063065	0.4335660	0.3335722	0.5601619	0.3496316	0.4221068	0.1518249	0.5899866	0.0598001	0.4466238	0.1007620	0.6320855	0.3329996	0.0631234	0.5054463	0.1709118	0.3781621	0.5869593	0.1890795	0.4848142	0.2323509	0.5746070	0.8132086	0.3841941	0.1038023	0.3762511	0.0379993	0.5698323	0.6667730	0.2693412	0.0626260	0.0206428	0.2684775	0.3192418	0.1964197	0.1336431	0.2993566	0.0287290	0.0724568	0.0952129	0.2777592	0.6624748	0.5617644	0.6158986	0.4684199	0.4616446	0.0761197	0.2515836	0.2742884	0.5128853	0.3513988	0.3956753	0.3139112	0.5150448	0.6323880	0.3163975	0.2776200	0.2224389	0.3585251	0.2840629	0.1778381	0.3734987	0.4628209	0.3710340	0.4078932	0.4285541	0.1780112	0.2790711	0.5881871	0.5061354	0.4555997	0.3719064	0.0101365	0.3469086	0.2872741
0.0118757	0.5120767	0.0522183	0.5424368	0.2638785	0.2574767	0.0123116	0.5449692	0.3646491	0.0316436	0.2383228	0.5013652	0.0038645	0.6871468	0.0324619	0.3087141	0.5848439	0.1489999	0.0743366	0.3517754	0.0011628	0.0356226	0.1326192	0.4767219	0.6290754	0.1429973	0.3858754	0.2753159	0.7763205	0.4100241	0.2823855	0.1280931	0.5543582	0.0696236	0.4937901	0.0958456	0.5559956	0.2882290	0.0502082	0.5219083	0.1896103	0.4704001	0.6640273	0.2871374	0.4273499	0.2353195	0.4171886	0.5394005	0.3878828	0.1466690	0.3804148	0.0468443	0.4946837	0.5716622	0.3328745	0.1040084	0.0759446	0.3219148	0.3604037	0.1788429	0.2183753	0.2564844	0.0109508	0.0750013	0.1329814	0.5051045	0.7102371	0.6245571	0.6415214	0.4278854	0.5000216	0.0844489	0.2590573	0.1549850	0.2754906	0.3199426	0.3190536	0.2969585	0.7299480	0.5316515	0.4289177	0.2883034	0.2806785	0.3792271	0.2100327	0.1931471	0.3050117	0.5596815	0.5219852	0.3748101	0.2378416	0.0468409	0.1319092	0.7868556	0.5427699	0.3472282	0.5221857	0.0004466	0.4725070	0.2757781
0.0028619	0.4364543	0.0230161	0.5102551	0.1768797	0.2258448	0.0204570	0.2619632	0.6907586	0.0110481	0.2694303	0.4991996	0.0165990	0.6583520	0.0331577	0.4515564	0.6096958	0.0999262	0.1141104	0.4576440	0.0022769	0.0407923	0.0793732	0.3170323	0.7688351	0.1874276	0.4364101	0.2990361	0.5700122	0.5360505	0.4145641	0.2233612	0.6748415	0.0609335	0.3986416	0.1014955	0.6063815	0.3113042	0.0907618	0.5391284	0.1953456	0.3841432	0.8006571	0.1458845	0.3900938	0.3420370	0.4380847	0.5752811	0.3991943	0.1296982	0.3734906	0.0240434	0.5543059	0.6658649	0.3772317	0.1123153	0.0284016	0.3568874	0.3027500	0.2232941	0.2079261	0.3460969	0.1064183	0.1273006	0.0851948	0.5097412	0.7290673	0.5097714	0.7221976	0.3722323	0.5507703	0.0979804	0.1620497	0.2200684	0.4089585	0.3228965	0.4349324	0.3038352	0.5330327	0.5521653	0.3201912	0.3148125	0.1757456	0.3470530	0.2129756	0.2233024	0.4181222	0.7029198	0.3873854	0.2592166	0.4427581	0.1861666	0.2769397	0.6897412	0.5636232	0.3728104	0.4333782	0.0049890	0.3127120	0.2724970
