G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5137112	0.9100841	0.1606300	0.8962986	0.5221499	0.0000000	0.1686636	0.8510682	0.2444530	0.8437673	0.9924174	1.0153107	1.0014508	0.3669225	0.6776358	0.9628611	0.4766253	0.6528757	0.5451819	0.0426932	0.1502178	0.5277169	0.9809743	0.9285663	0.4888933	0.5248236	0.2415502	0.9630595	0.3665210	0.0661817	1.0056706	0.0825975	0.0000000	0.6517169	0.6871021	0.8748543	0.3996042	0.5841176	0.7870883	0.3694582	0.2938474	0.8818098	0.8723605	1.1399040	0.2726334	1.1238762	1.0372295	0.9844342	1.0883350	0.6892046	0.4793438	0.4846507	0.0004479	0.4393965	0.2318408	0.0032565	0.0366057	0.8975952	0.3146439	0.0099961	0.6865853	0.5056264	0.7214470	0.0566128	0.7873954	1.0065952	0.7898415	0.2859621	1.0106115	0.0277683	0.3497125	0.4264307	0.6009895	1.0739561	0.5804728	0.3436820	0.8939978	0.0022100	0.3137473	0.9706561	0.7453278	0.6398770	0.4259898	0.3372364	0.7239086	1.0247172	0.5299449	0.6836876	0.1058155	0.3490057	0.1394041	0.0080707	0.5817688	0.5329373	0.6159871	0.1124576	0.8010844	0.7583121	0.0472445	0.0799810
0.5956608	0.9035465	0.1980597	0.9769375	0.4789352	0.0000000	0.2324596	0.8209723	0.2226520	0.8751560	1.0401485	1.0710821	1.0371221	0.3350413	0.8081661	1.0235986	0.5687414	0.7347413	0.1399362	0.0394204	0.0020088	0.0000000	1.0217003	0.8358578	0.4531754	0.4769912	0.3219849	0.9347707	0.4329523	0.0500642	1.0540411	0.1641334	0.5789127	0.6719919	0.7443195	0.7979110	0.3783317	0.6019818	0.6112965	0.3428847	0.2433388	0.9126328	0.8910981	1.0328791	0.2807839	0.5703119	1.0308302	1.0932675	0.6361670	0.7012040	0.1334742	0.6428268	0.0088509	0.4736950	0.1283181	0.0055770	0.0775518	0.8513212	0.2902148	0.7259308	0.8912819	0.4498819	0.1261692	0.0254448	0.9618560	0.4146165	0.9682173	0.1900852	1.0433482	0.0807548	0.3479088	0.3868437	0.4921363	1.0357092	0.6252120	0.5612058	0.9878258	0.0007155	0.2028942	0.5355187	0.7116906	0.6155572	0.2539031	0.2640305	0.5127277	0.9766027	0.3563711	0.8482960	0.0809327	0.4485215	0.1366058	0.0142422	0.4220715	0.5251739	0.6307145	0.2247569	0.5847926	0.7478945	0.2621882	0.0958950
0.4973166	0.9850080	0.1740446	0.8810693	0.8093568	0.4740557	0.1982067	0.9765068	0.0000000	0.8772945	1.0224822	0.8762248	0.9975586	0.3968321	0.7168608	0.9607969	0.4796766	0.6468852	0.5836764	0.1144572	0.2656149	0.7779619	1.0515244	0.8381817	0.4975922	0.5106544	0.1356155	0.4498091	0.9842253	0.5560996	0.9761396	0.0764559	0.0000000	0.7508794	0.5535722	0.9079854	0.2045538	0.4884902	0.7876707	0.3293569	0.2232569	0.8834049	0.8216293	0.9410049	0.2581054	1.0197471	1.0105821	0.9327785	0.9740984	0.6077205	0.9688736	0.5258819	0.0034262	0.4575709	0.0288764	0.0016267	0.0573631	0.9095995	0.7949243	0.0018095	0.7770704	0.4386440	0.7111546	0.0163063	0.8536151	0.7835133	0.6513261	0.0698433	0.9612409	0.1300747	0.3523373	0.5582301	0.7007195	1.0137570	0.4713737	0.3554683	0.7198095	0.0026229	0.9160349	1.0936962	0.6507549	0.7467888	0.3841613	0.2695729	0.2710600	0.9746966	0.2677161	0.6948373	0.1066708	0.3853891	0.6989223	0.0099721	0.6451469	0.5004464	0.6930643	0.2636367	0.9496006	0.7637862	0.0219979	0.1970302
0.6037699	0.9857540	0.1919423	0.8565387	0.8025989	0.8901499	0.1333599	0.6396967	0.5381143	0.8566711	1.0011766	0.9635725	0.9253168	0.3094301	0.7240899	1.0047292	0.6255954	0.7195518	0.1488416	0.0358746	0.0099490	0.0000000	0.9091973	0.8063521	0.5013405	0.4617629	0.0489660	0.4391175	1.0840138	0.6184670	1.0365706	0.0587540	0.0000000	0.7185475	0.5228565	0.8918351	0.0771314	0.4819019	0.9146275	0.3046004	0.1336776	0.9225980	0.8563366	1.0169917	0.2892622	1.0844651	1.0570770	1.0197808	1.0622743	0.6168703	0.0016187	0.5597449	0.3421726	0.0586541	0.2337099	0.0099620	0.0814424	0.9313292	0.5502630	0.2800033	0.8866899	0.4437942	0.1886597	0.0034682	0.7836988	0.8294629	0.7249406	0.0647795	1.1101483	0.0070379	0.2568000	0.1334943	0.3691360	0.9938182	0.1533835	0.6532685	0.9027837	0.0001817	0.9708361	0.3282571	0.7484635	0.7677234	0.2847539	0.2253015	0.9008301	0.9777998	0.5843095	0.5367115	0.4633607	0.4586910	0.7303294	0.0048928	0.4377962	0.4923829	0.6570931	0.0479764	0.6258083	0.7650482	0.5803569	0.4272171
0.5430840	0.9378580	0.2330686	0.9164724	0.7691280	0.5073476	0.0000000	0.6376738	0.5054538	0.8518540	1.0585097	0.8883164	1.0432698	0.3476292	0.8470820	0.9535051	0.5113860	0.6474166	0.6264868	0.0703908	0.2330339	0.7603276	1.0070813	0.8714628	0.4868681	0.4432846	0.1417915	0.4439544	1.1382772	0.6005884	1.0729499	0.0640603	0.0000000	0.6237534	0.5887224	0.8981232	0.1767517	0.5487864	0.7455446	0.3022206	0.2507640	0.9036172	0.8766095	1.0044273	0.3335906	1.0801454	0.9630089	0.9838441	1.0074534	0.6486191	0.7124928	0.5125494	0.0024246	0.2945983	0.1314343	0.0158460	0.0453917	1.1012861	0.3790761	0.1686812	0.7797931	0.1038304	0.7378778	0.0002315	0.9106231	0.6980069	0.7595748	0.0396481	0.9832438	0.0887543	0.3343917	0.2345046	0.4961907	0.8421900	0.4006603	0.5580762	1.0139869	0.0036090	0.9465384	0.9782468	0.6767850	0.7618702	0.2948267	0.2904245	0.8211120	1.0076105	0.5695955	0.5766766	0.4459702	0.4029678	0.6597060	0.0094043	0.6809575	0.5194199	0.5083656	0.1877500	0.9119056	0.7695914	0.0166308	0.1341385
0.5165753	0.9670296	0.1920615	0.9588076	0.5396854	0.0000000	0.2991681	0.9886145	0.0000000	0.7252431	0.9109482	0.9297563	0.9936099	0.3237248	0.7371792	1.0153896	0.6258768	0.6703217	0.3834699	0.0472293	0.0504411	0.3260239	1.0935191	0.9027689	0.4962204	0.4837960	0.3182370	0.8865501	0.2945615	0.0664698	0.9909804	0.1728203	0.5655642	0.5936613	0.8410466	0.8278229	0.3887142	0.7334547	0.5180272	0.3177634	0.2057437	0.9559634	0.8601380	1.0877410	0.3078108	0.6475595	0.9710822	1.0107106	0.7383626	0.6657717	0.6731874	0.5907048	0.0037084	0.4987321	0.0761664	0.0066954	0.0645204	0.4641204	0.2189123	0.2256490	0.7804622	0.5039543	0.6001317	0.0387469	0.8359303	0.3313824	0.9700413	0.3225507	0.8275966	0.0556019	0.2306063	0.5389107	0.6305554	0.9792457	0.5753773	0.5615904	0.8422417	0.0078233	0.2459196	1.0834097	0.7115610	0.6519927	0.3053092	0.2103516	0.2061212	1.0515288	0.1267394	0.7518361	0.1146398	0.4084329	0.1386987	0.0119563	0.6138010	0.5010669	0.5998865	0.1701809	0.7827798	0.7851360	0.0318179	0.0738724
0.5991128	0.9371590	0.1559061	0.8210548	0.9050054	0.7115683	0.1373518	0.5406283	0.5331244	0.8855851	1.0360406	1.0351579	1.0047886	0.3791797	0.7204278	1.0166448	0.5705258	0.7728502	0.0000000	0.1114672	0.2866981	0.8521044	0.9513635	0.9064823	0.4821789	0.4090341	0.0591744	0.4837143	0.9973363	0.6341396	1.0397745	0.0666633	0.0000000	0.7035196	0.5516250	0.8953736	0.0741555	0.5147044	0.8601541	0.3268517	0.1903522	0.8980833	0.8855528	1.1418784	0.3199090	1.0508266	1.0024683	1.0140665	1.0770809	0.5774350	0.4829894	0.6789417	0.0066556	0.2288389	0.2608422	0.1876422	0.0550680	0.8953182	0.4272914	0.0022135	0.7874871	0.3034878	0.7336493	0.0067573	0.7797806	0.9124897	0.6815744	0.0516090	0.9765563	0.0859585	0.3108605	0.1955515	0.3612947	0.9830607	0.1142354	0.6549856	0.9685100	0.0004988	0.9894393	0.7040295	0.7897376	0.8147706	0.3016641	0.2395913	0.9910868	0.9887066	0.2867588	0.8262780	0.5216832	0.3849034	0.7785052	0.0038895	0.6858272	0.5350354	0.6320180	0.0478357	0.9062625	0.7246691	0.5420933	0.1968615
0.5355073	1.0073995	0.1774669	1.0420301	0.0000000	0.5742574	0.5172083	0.6615789	0.5209362	0.8481493	1.0201856	0.9288298	1.0547993	0.3071094	0.7942593	1.0538859	0.5258146	0.7045548	0.4274043	0.1092369	0.2805370	0.9315433	1.0208120	0.7837272	0.5101534	0.5863585	0.3802143	0.4685372	1.0370309	0.6060647	0.9742684	0.0748643	0.0000000	0.0233431	0.5838886	0.9149768	0.4754325	0.5147993	0.8429342	0.2875685	0.2125670	0.9629816	0.9021958	0.9868902	0.2870613	1.0010025	1.0040279	1.0101390	1.0107047	0.6944579	0.7580305	0.6203748	0.0001420	0.3431261	0.0531929	0.0413791	0.0625200	1.0516706	0.0070934	0.3760941	0.8043246	0.5918111	0.7294626	0.2509688	0.9659722	1.0115768	0.6805102	0.8001447	1.1456501	0.5613446	0.2073418	0.5140031	0.5369474	0.9644764	0.2583596	0.3842745	0.7725737	0.0002413	0.3178268	1.0206378	0.7638701	0.8189030	0.2903174	0.2117862	0.7726679	0.9223747	0.5682698	0.7317804	0.3545715	0.4058612	0.6885280	0.0241711	0.4186905	0.5184267	0.5288747	0.0700109	0.9887108	0.8093228	0.0524029	0.1713126
0.5727920	1.0141342	0.1971058	0.8945588	0.8287546	0.4714716	0.2222248	0.7121607	0.4878740	0.8422988	1.0385146	0.9606425	1.0152435	0.3493663	0.7204024	1.0220822	0.5930831	0.6259659	0.5484366	0.0353449	0.1268443	0.5469464	0.9996923	0.8764792	0.4615330	0.5087532	0.0000000	0.4597471	1.0384697	0.5515589	1.1197082	0.1413614	0.4192679	0.6160482	0.8170028	0.9880991	0.0859944	0.0000000	0.6565193	0.3489503	0.1939425	0.8418701	0.8990806	1.0993850	0.2907301	0.6701872	1.0674621	1.0091982	0.6974494	0.6492448	0.8889069	0.2282444	0.0436048	0.2504738	0.0843798	0.0240125	0.0563002	0.9322190	0.3452309	0.2025067	0.7226307	0.5466214	0.7253929	0.0000660	0.9461473	0.5480270	0.9684244	0.1419979	0.9338723	0.0408419	0.3226338	0.2381458	0.5431010	1.0382405	0.6583599	0.5623696	0.8952661	0.0007688	0.7459156	1.0124965	0.9882134	0.8534721	0.3870906	0.2195414	0.9537894	0.9632526	1.0555737	0.2868286	0.0935590	0.4277773	0.6893606	0.0126488	0.6607126	0.5484006	1.0503702	0.2610127	0.8210044	0.6684322	0.0415915	0.1281747
0.5865387	0.9547151	0.1794819	0.8808496	0.6889461	0.5709659	0.1794114	0.6281551	0.4715290	0.8410902	0.9117432	0.9804270	1.0394362	0.3205768	0.7686856	1.0336659	0.4369084	0.5605120	0.5935824	0.0522313	0.1696916	0.6711911	1.1010049	0.8119209	0.5090995	0.5001486	0.1874400	0.4815459	0.9469040	0.6263421	1.0410995	0.0936789	0.0000000	0.6733119	0.5345175	1.0081786	0.0759929	0.0000000	0.9400790	0.3254745	0.1805355	0.8172078	0.8491019	0.9986885	0.3243344	0.9918568	0.9499354	1.0705801	1.0020267	0.5963141	1.0580968	0.2441801	0.0004998	0.2664249	0.0494115	0.0013117	0.0457751	0.9988436	0.3552909	0.0026580	0.7828262	0.5249639	0.7217440	0.0109683	0.9152280	0.9337635	0.6587121	0.1120267	0.9894732	0.0652020	0.2937442	0.2415577	0.5853105	1.0288122	0.6059303	0.5294422	0.9605889	0.0004358	0.8129678	1.0142630	0.5288941	0.7973635	0.3818830	0.3028820	0.7831343	1.0215103	0.9699915	0.1696500	0.1159418	0.3831085	0.6244295	0.0058927	0.6069579	0.5019398	0.5916108	0.2656022	0.8854615	0.7918435	0.0248341	0.1806309
