G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5260177	0.7101948	0.1197370	1.0849237	0.1812196	0.4250792	0.7404542	0.6850402	0.4118939	0.8645478	0.9097639	0.8775102	0.9762697	0.4039045	0.7485555	1.1377619	0.5112510	0.4828372	0.0501228	0.0003049	0.0569046	0.3476272	1.0629380	0.5746113	0.4442446	0.4220946	0.4185794	0.3958464	1.0634743	0.5146123	0.5300557	0.4352605	0.4128538	0.5831050	0.9463268	0.8711817	0.3865119	0.7412051	0.2064368	0.1436774	0.1760930	0.9275031	0.7591094	0.9954430	0.4313720	0.9015537	0.5642746	1.0614715	0.8485186	0.5954014	0.6851937	0.5219796	0.0609790	0.3291310	0.0366078	0.2039370	0.2565303	0.7068442	0.1845009	0.8215392	0.4677037	0.4993820	0.6371805	0.3072580	1.0091934	0.7876911	1.0000959	0.5486133	1.0136969	0.6691654	0.2078471	0.6024976	0.2294846	0.8347226	0.0984600	0.4405986	0.8763941	0.3585658	0.4832841	0.7073564	1.0218148	0.6737106	0.1272729	0.5042879	0.3801184	0.9991423	0.3278225	0.8354349	0.5014462	0.4104268	0.3719335	0.5671250	0.7347196	0.2738054	0.9069597	0.2415885	0.8437451	0.9517335	0.3887972	0.2733699
0.3050141	0.6457779	0.2292281	0.7192228	0.5820760	0.2491473	0.3476296	0.5756174	0.6542967	0.8025469	1.0620998	0.7663435	0.9679375	0.3385380	0.8532322	1.0480495	0.0456486	0.0802160	0.8743457	0.6108725	0.1803453	0.6723447	0.9417955	0.6432450	0.5623872	0.7410202	0.5805699	0.4230858	1.0113959	0.3418686	0.8114415	0.2561425	0.6965318	0.3958532	1.0401531	0.3105572	0.6226418	0.8562251	0.0551346	0.3881506	0.7527491	0.7713154	0.7909604	0.7522310	0.4904969	0.8259200	0.9149118	0.7135195	0.5831437	0.8673502	0.6463238	0.9203227	0.2796473	0.5529418	0.4118957	0.1682971	0.0339645	1.0784430	0.5500901	0.2342685	0.4310453	0.3831130	0.7439601	0.2196846	0.9561619	0.2724824	0.9982748	0.4725708	0.5158725	0.0437196	0.1208694	0.5467043	0.7087295	1.0096282	0.5829577	0.3189889	0.5173368	0.0759776	0.0059358	0.9600034	0.9666536	0.7043553	0.0802930	0.5953545	0.9334423	0.7438509	0.0737858	0.8289851	0.2818511	0.0029111	0.4029533	0.5724374	0.6804579	0.6192806	0.9786400	0.3485676	0.9463259	0.7574939	0.6941463	0.3007426
0.4017796	0.6401413	0.3587265	0.5047935	0.2777743	0.2391507	0.4944087	0.4430411	0.6147004	0.8600093	1.0090419	0.4848194	1.0496476	0.6882661	0.4999639	0.9569598	0.3628479	0.5885589	0.4868432	0.0031887	0.0622869	0.0984902	0.8639129	0.5308698	0.5098721	0.7229614	0.3608308	0.5262141	0.9078302	0.2107371	0.6726364	0.1086714	0.5012799	0.5488046	0.5219189	0.6860179	0.4859551	0.5156574	0.5919122	0.4633057	0.0646228	0.5705755	0.8379510	0.9525521	0.4538934	0.4109029	0.7658611	0.9206198	0.8148286	0.6972724	0.4615924	0.4050559	0.0054985	0.1547469	0.0582568	0.2840269	0.0412740	0.9000938	0.3263873	0.8162423	0.4838418	0.6371947	0.1898363	0.1735587	0.6962826	0.5721826	0.8286705	0.2593812	0.8385831	0.1277915	0.2527781	0.4384863	0.5874365	0.9121820	0.8184447	0.3307140	0.9854363	0.4062036	0.3502215	0.8253633	0.5652785	0.4749568	0.2887790	0.4679796	0.6111400	0.9278696	0.5153563	0.1524284	0.7404776	0.6930391	0.2010570	0.0413579	0.2948265	0.4941066	0.9213485	0.8777961	0.5108872	0.9667016	0.0438072	0.3694215
0.4874039	0.8323430	0.1763900	0.9068464	0.6757463	0.7284547	0.4758763	0.5658273	0.5780920	0.2893862	0.6671216	0.8886513	0.9501970	0.0994526	0.8061951	0.8646387	0.2139821	0.3189689	0.3529450	0.5072115	0.2564394	0.5913579	0.8555145	0.2291222	0.9983667	0.8953519	0.4813424	0.4894851	0.9193610	0.6003101	0.5296343	0.2547674	0.3209241	0.7014555	0.9712012	0.8272402	0.2294755	0.7279796	0.4596692	0.2703333	0.1155699	0.4397354	0.8732204	1.0185276	0.2467860	0.7605875	1.0548294	1.0133938	0.7994170	0.6456371	0.7810726	0.7564929	0.2786838	0.2126412	0.3878927	0.0542597	0.2669700	0.9547958	0.2377038	0.0535681	0.3337594	0.8577532	0.6626903	0.0101572	0.9658954	0.7811123	0.8606672	0.8700090	1.2445453	0.0984070	0.1177847	0.1254761	0.4325250	1.0450580	0.1874493	0.8273738	0.7627161	0.0117829	0.3041588	0.8907644	0.9108780	0.7426307	0.4597710	0.5924898	1.0013273	0.9413134	0.6769449	0.7588318	0.9152200	0.6365436	0.7662713	0.0705019	0.8387844	0.7222727	0.9346015	0.0991550	0.9430981	0.6354719	0.0631693	0.1587415
0.3551140	0.6630288	0.0759970	0.5880329	0.8821341	0.8668509	0.7324819	0.7281185	0.4792094	0.9207063	1.0040862	0.4741192	0.9684867	0.6312717	0.5254255	0.9785724	0.4895848	0.7036652	0.4003583	0.0048591	0.1524652	0.5996202	0.9992299	0.6946320	0.4503652	0.4605048	0.3646753	0.4935390	1.0398843	0.6350747	0.6914531	0.1207412	0.1438903	0.7543442	0.7272448	0.6797928	0.5447127	0.9401118	0.4468541	0.3664431	0.2342406	0.8572147	1.0236203	0.9670234	0.1802169	0.7319222	0.7798846	0.9284763	0.8239415	0.7116773	0.4672677	0.4979150	0.0002784	0.0887750	0.0979020	0.0414579	0.0143982	1.0036233	0.7677226	0.0166541	0.7768852	0.6076557	0.9445923	0.0052902	0.7368436	0.9232101	1.0552239	0.2776883	0.9102786	0.0097410	0.0920020	0.9035833	0.7180993	0.4671897	0.1686024	0.5694339	0.8153789	0.1382861	0.4078478	0.9495698	0.8639501	0.8395034	0.5734843	0.3048525	0.3297766	1.0287878	0.2305513	0.6503205	0.2875983	0.8915305	0.6285836	0.5284973	0.4277966	0.3245696	0.9725601	0.2331627	0.7797516	0.5767964	0.0377532	0.4869305
0.4254441	0.8301798	0.1638853	0.6596121	0.2569151	0.2626604	0.7288271	0.5290713	0.6579623	0.7859223	1.0027769	0.6404040	1.1723889	0.1680770	0.6313039	1.0304479	0.5521884	0.6046272	0.2925717	0.0347941	0.0072926	0.4450390	0.9667453	0.5900519	0.4610557	0.8218649	0.3714212	0.4997511	1.1805122	0.3461930	0.7110355	0.2317318	0.8572510	0.6340039	0.8216636	0.8453884	0.6269364	0.7898188	0.2500242	0.1507041	0.4334160	0.9926453	0.7587189	0.8581295	0.3346678	0.4593874	1.0073490	0.9618950	0.4147288	0.5386251	0.6414069	0.6397752	0.0165133	0.0607876	0.4609525	0.3405013	0.2503084	0.9517694	0.0398190	0.4558288	0.4614684	0.7018296	0.6507649	0.0059207	0.9823413	0.2539139	0.9326117	0.5602006	0.8316580	0.3030202	0.2431494	0.5436219	0.7910568	0.5854893	0.6745815	0.5021654	0.5870695	0.0015307	0.4537243	0.9179696	0.9345301	0.9752474	0.7787934	0.7002691	0.4860805	0.9967785	0.3894502	0.7598094	0.3415559	0.1571679	0.4686809	0.4698933	0.4022583	0.6221880	0.6936539	0.0680710	0.6483299	0.6887987	0.0278689	0.0364052
0.7157594	0.9380513	0.7316016	0.6487393	0.5314322	0.2560433	0.7724129	0.7052197	0.3343588	0.7382033	0.9568116	0.5079670	0.4851318	0.2004719	0.7393547	0.9012850	0.4201149	0.4602237	0.6008193	0.1781212	0.0839236	0.5093264	0.8829718	0.6414026	0.7186203	0.9403996	0.8812094	0.9402313	0.4980646	0.0737322	0.1813836	0.5922142	0.4555966	0.6309330	0.5809265	1.0755355	0.5927833	0.6279797	0.4119486	0.3091101	0.2221832	0.4909398	0.8863780	0.9401012	0.3507320	0.7432784	0.6762544	1.0083493	0.7344282	0.7691719	0.8313521	0.3698256	0.0010863	0.9840046	0.0090759	0.0139845	0.1369223	0.9170341	0.1374966	0.1671818	0.5837565	0.8697232	0.7009801	0.0037615	0.9864337	0.1834392	0.9093015	0.8105418	0.6636127	0.0706127	0.2170196	0.5857970	0.6298210	0.9902719	0.4658415	0.4277507	0.3912770	0.0605953	0.4610744	0.8450479	1.0232281	0.0507618	0.2557571	0.4252898	0.7614650	1.1048706	0.3136681	0.7927285	0.8452054	0.8856484	0.5743765	0.2601865	0.4279311	0.3613603	0.6416738	0.3897096	1.0291232	1.0232489	0.3083996	0.0522933
0.4332797	0.8278160	0.1062410	0.8667056	0.6461895	0.1155710	0.0295603	0.4529652	0.2021339	0.8593159	0.8708878	0.5813985	0.9471171	0.0948620	0.9478355	0.9627376	0.6111206	0.9173040	0.4435888	0.0038912	0.0595867	0.2196207	0.9784875	0.6955706	0.4831858	0.4463826	0.1140896	0.7060329	0.6844866	0.0980616	0.9851814	0.0411202	0.6519567	0.7140454	0.5129160	0.7774164	0.5769413	0.8392132	0.8883453	0.2762894	0.4162021	0.9598898	0.9527918	0.8991513	0.2113234	0.9138147	0.8385578	1.0343586	0.6852634	0.7360432	0.0174655	0.8444000	0.0149548	0.5231054	0.2519710	0.0018455	0.2405435	0.9821659	0.5907046	0.2015097	0.6751831	0.3745592	0.5533299	0.1897837	0.9777666	0.1663780	0.9970038	0.1781540	0.9276042	0.0954696	0.2438705	0.2687948	0.5702169	0.9229335	0.4704226	0.6858919	1.0848231	0.0066961	0.5102694	0.8736391	1.0263722	0.6343819	0.0033414	0.2675820	0.7489436	1.0351191	0.1301129	0.3025742	0.1018082	0.5987765	0.3025483	0.0701991	0.7026454	0.9638897	0.8547248	0.1408653	1.0502490	0.5425990	0.0090092	0.0149693
0.5154104	0.7195464	0.0826738	1.0390007	0.7420234	0.4234190	0.1255468	0.4576445	0.7968610	0.3533169	0.7333126	0.9174048	0.9726311	0.5923050	0.6378962	1.0358940	0.2112981	0.2836065	0.4187906	0.0051824	0.0934245	0.4950505	0.9300944	0.8508343	1.0662030	0.4250846	0.2152724	0.4648867	1.0503932	0.6538955	0.9479785	0.1129939	0.5822608	0.4016025	0.6808681	0.8417255	0.2811073	0.4993619	0.6321331	0.2228607	0.2706674	0.8838383	0.8475587	0.9236077	0.4313945	0.8495327	0.9137124	0.6580591	0.6442532	0.5666758	0.8943087	0.8171792	0.0054585	0.1507666	0.0266031	0.0227787	0.0221198	1.0157306	0.5732685	0.2644342	1.0052904	0.3686776	0.8940901	0.2138467	1.0468127	0.5145167	1.0314678	0.3469600	0.8149850	0.2879473	0.3089998	0.1942975	0.4483937	1.0482248	0.1154704	0.6939719	0.9590131	0.0864952	0.4500090	0.9744980	0.7767183	0.9756441	0.2193778	0.3874101	0.9006803	0.7698021	0.8634313	0.3050508	0.3661140	0.5774930	0.5144651	0.0030283	0.7826293	0.1169812	0.9597737	0.7345542	0.8673490	0.7762597	0.0941924	0.2362028
0.4937808	0.9181889	0.0311846	0.9683142	0.7195193	0.2789169	0.4229660	0.7370576	0.3924227	0.8488171	1.0547096	0.9190058	1.0799846	0.6173046	0.6393017	1.0022184	0.4271265	0.6218202	0.5185107	0.2904320	0.0247863	0.3660251	1.0017082	0.7579108	0.4339816	0.3371674	0.3653977	0.4163903	1.0000123	0.1989002	0.6200895	0.3748439	0.5996515	0.6499203	0.5295218	0.9177112	0.7764301	0.8859595	0.0581532	0.2404874	0.0974639	0.4168696	0.6913701	0.7030019	0.3430079	0.9350138	0.9978877	0.5918760	0.6339354	0.7996888	0.5050813	0.6780435	0.1457549	0.8941834	0.0055358	0.1290213	0.0106847	0.6875329	0.2888780	0.1684231	0.3770697	0.7194058	0.9683222	0.2732458	1.0189397	0.3236701	0.9997846	0.3258415	0.9215797	0.3434902	0.1877813	0.5553330	0.4467525	0.9417375	0.3379674	0.4084167	0.4036389	0.0023393	0.4815663	0.9668976	1.0562411	0.7146480	0.1555396	0.0349840	0.4372180	0.8570558	0.1134827	0.4680532	0.5904836	0.0011574	0.6689648	0.0454625	0.4670147	0.8892652	0.7841619	0.3370573	0.7688764	0.1128706	0.6086416	0.1912420
