G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4991750	0.7275580	0.1191716	0.9933819	0.1730689	0.3521640	0.6373216	0.7444483	0.3386321	0.6779667	0.8230284	0.8819505	0.9228899	0.3313808	0.7122134	0.9999997	0.4844057	0.4970577	0.0237418	0.0000011	0.0301035	0.3029493	0.9758961	0.5950707	0.5600870	0.3906584	0.3549675	0.3854658	0.9975397	0.4901094	0.4769052	0.4253447	0.4517087	0.6489667	0.8823481	0.8867819	0.3428259	0.6566021	0.2062705	0.1520093	0.1990072	0.8602111	0.8060752	0.9127336	0.3367436	0.9366307	0.4808691	1.0000000	0.7332239	0.6123089	0.7076073	0.5573375	0.0909857	0.3698799	0.0246755	0.1925804	0.2683377	0.7109207	0.1962073	0.8788518	0.4552055	0.4913816	0.6441661	0.2734277	0.9850145	0.7012616	0.9707723	0.5525903	0.9996949	0.6921279	0.2275391	0.5096000	0.2536548	0.8593603	0.1165065	0.4910806	0.8399912	0.4100051	0.5757370	0.7846181	0.9978763	0.7125212	0.1267038	0.6020805	0.3683830	1.0000000	0.3685852	0.8264285	0.4530477	0.3898933	0.3838330	0.5851573	0.7682323	0.3113528	0.9313344	0.2891852	0.8854553	0.8723473	0.3736491	0.2375297
0.3564305	0.6689440	0.2413757	0.6736039	0.6240835	0.3092641	0.2984388	0.5651709	0.6323813	0.8100716	0.9995333	0.7455229	0.9870413	0.3169076	0.8883116	0.9999957	0.0792090	0.1146530	0.8222440	0.6286326	0.1709980	0.7327125	0.9825502	0.7204148	0.5722469	0.7584238	0.5851132	0.4778053	0.9670265	0.3750463	0.8563209	0.2686361	0.6391033	0.4733803	0.9999768	0.3583101	0.5818199	0.9275286	0.0439780	0.3518094	0.8098136	0.7368132	0.8001543	0.7310426	0.3896542	0.7099542	1.0000000	0.7877017	0.6371991	0.8028939	0.6388620	0.8534230	0.2580646	0.6058182	0.4187695	0.1412530	0.0146613	0.9954116	0.5899401	0.1793092	0.4388021	0.3186210	0.7454341	0.2265679	0.9553302	0.2434001	0.9668703	0.4724200	0.5919686	0.0314930	0.1514227	0.4744132	0.8022634	0.9999931	0.5709307	0.3853421	0.5198370	0.0867021	0.0061176	0.9263105	0.9677290	0.6915237	0.0420005	0.6184286	0.9638666	0.7326012	0.0656962	0.8059186	0.2646479	0.0000008	0.4156620	0.5421247	0.6697645	0.4986785	0.9987482	0.3274693	0.9855402	0.7717426	0.6281047	0.2890206
0.3647790	0.6002391	0.3702578	0.4862295	0.2681295	0.2038841	0.5256427	0.3674228	0.6278766	0.7964952	0.9855060	0.4738844	0.9690483	0.6609984	0.4846538	0.8801405	0.3842236	0.5253017	0.5757762	0.0000163	0.0512908	0.1088889	0.9430717	0.5200034	0.5399451	0.6407562	0.3671249	0.4709113	0.9791314	0.2626647	0.7008526	0.1442625	0.4508558	0.5861910	0.5240257	0.6805175	0.4717426	0.6854293	0.4463634	0.4680956	0.0330543	0.4178998	0.8051163	0.9098653	0.4534559	0.4100323	0.7924246	0.9761157	0.7336961	0.6052340	0.5673848	0.3469116	0.0006584	0.1389434	0.0394991	0.2591418	0.0295414	0.8667148	0.3029080	0.8683837	0.4940546	0.6720393	0.1806129	0.1670037	0.6377505	0.7041525	0.8265231	0.2499806	0.8422890	0.1113845	0.2984419	0.5080269	0.5730552	0.9999988	0.7419615	0.2691706	0.8585352	0.3496358	0.3293000	0.8415951	0.5260109	0.4638147	0.2925345	0.4551223	0.6647671	1.0000000	0.4661871	0.1479722	0.7843935	0.6874461	0.2118458	0.0464866	0.3302902	0.5440186	0.9984794	0.8565998	0.4807978	0.8745034	0.0667168	0.4240561
0.5131572	0.8517039	0.1869908	0.8756517	0.6793663	0.7366051	0.5084478	0.5481406	0.6676174	0.3040158	0.7053438	0.7360951	0.8477916	0.0896522	0.7828657	0.9692759	0.1842561	0.2964432	0.3381803	0.5005122	0.2490491	0.6209380	0.8332437	0.2387691	0.9597290	0.9415042	0.3730483	0.4740330	0.9736137	0.6801856	0.6221598	0.2441570	0.2623090	0.7182562	0.9560979	0.8089597	0.2686283	0.7867986	0.3841991	0.2625706	0.0867689	0.4076213	0.8274516	0.9836867	0.2977146	0.7869974	0.9337923	1.0000000	0.7965965	0.5721751	0.6655185	0.7903186	0.2786766	0.1400231	0.3935872	0.0433739	0.2930953	0.9882926	0.2415542	0.0328881	0.3223379	0.8154689	0.6374662	0.0139293	0.9154256	0.7962210	0.8982804	0.8323868	0.9999981	0.0772852	0.0874815	0.1877813	0.3371336	0.9999991	0.1749810	0.8477554	0.8115059	0.0068242	0.4360630	0.9667456	0.8804395	0.8572280	0.3807606	0.6099980	0.9970021	1.0000000	0.6618176	0.7222782	0.8671275	0.6120974	0.7189708	0.0626413	0.8092707	0.6843339	0.8170366	0.0784688	0.9158024	0.6332919	0.0271314	0.1426291
0.3737560	0.6966815	0.0779622	0.5835972	0.9402797	0.8159841	0.6511490	0.6468853	0.4845358	0.9233503	0.9807929	0.5217108	0.9992651	0.6061412	0.6200091	0.9974993	0.5245205	0.7253046	0.4611784	0.0025566	0.1393794	0.5290283	0.9823025	0.7261695	0.4285916	0.4777727	0.3205427	0.4598282	0.9989102	0.6043461	0.6501232	0.1092290	0.1689775	0.8522071	0.7322773	0.7025264	0.5219915	0.9314126	0.4511568	0.3234745	0.2004575	0.8793172	0.9128314	0.9714298	0.1864463	0.7410248	0.8465887	1.0000000	0.8923561	0.6542913	0.6200341	0.4743746	0.0000326	0.1035307	0.0825505	0.0490928	0.0066639	0.9931503	0.7631537	0.0126708	0.7636835	0.5333800	0.9155433	0.0190414	0.7269434	0.8964815	0.9916406	0.2372858	0.9998920	0.0113822	0.0857901	0.9258777	0.7113995	0.4895588	0.1689716	0.5514502	0.8321344	0.1134553	0.4403309	0.9602289	0.8446331	0.9484055	0.6263967	0.2221832	0.3060979	1.0000000	0.2786985	0.6340765	0.3236735	0.9366729	0.6566182	0.6159793	0.4458942	0.3120250	0.9780526	0.2029742	0.8593814	0.4708426	0.0236498	0.5159511
0.4103579	0.7586656	0.1640450	0.6277923	0.2339101	0.3005845	0.6922508	0.5047734	0.6337538	0.8021173	0.9911837	0.6048951	0.9962468	0.2414418	0.6124351	1.0000000	0.5888260	0.5833736	0.2649067	0.0325174	0.0011485	0.4024140	0.9367708	0.4956735	0.4440164	0.8519006	0.3667863	0.4868001	0.9521277	0.2716298	0.5964396	0.3059026	0.8024114	0.5912698	0.8319657	0.8141823	0.6625675	0.7103193	0.2681382	0.1207276	0.4095263	0.9822719	0.7751330	0.8289390	0.3067640	0.4462251	1.0000000	0.9533274	0.4743690	0.5733360	0.5869032	0.5650018	0.0100619	0.0817045	0.4000614	0.2973942	0.2341418	0.9881033	0.0235796	0.4371466	0.4194090	0.6557905	0.6721824	0.0040152	0.9869689	0.2324504	0.9594933	0.5705477	0.8092289	0.3459883	0.1639437	0.5461462	0.7002409	0.6204235	0.7575302	0.4175804	0.5518372	0.0030248	0.3944161	0.9920872	0.9338840	0.9998413	0.6909063	0.6271331	0.4472341	0.9178047	0.4178078	0.8254025	0.3094817	0.1300626	0.4132875	0.5033425	0.4439954	0.6883869	0.6706120	0.0838811	0.6467518	0.6433915	0.0274147	0.0479562
0.7391242	0.9953918	0.6797504	0.6119071	0.4963506	0.2630534	0.6996245	0.7297580	0.3589655	0.7827021	0.9722727	0.4155100	0.4815898	0.1593723	0.6962250	0.9974987	0.4085292	0.4886945	0.5479590	0.1564333	0.1336856	0.4781738	0.9503359	0.5937697	0.6280955	0.9085656	0.8549337	0.9581464	0.3389006	0.0658684	0.2020638	0.5481641	0.4591279	0.5460429	0.6076637	0.9939196	0.5833836	0.5638240	0.3927943	0.3429304	0.2119985	0.5179628	0.8407865	0.8244017	0.3366585	0.7172349	0.6869951	1.0000000	0.7290712	0.6817429	0.7240635	0.4394164	0.0004949	0.9252362	0.0057599	0.0072249	0.1689532	0.9099750	0.1097699	0.1249341	0.5555888	0.7830884	0.6849111	0.0000000	0.9969264	0.1678525	0.9295265	0.8674010	0.5871490	0.0666818	0.2295079	0.5453963	0.6206947	0.9999999	0.5668285	0.4691160	0.3988951	0.0579424	0.3890417	0.8343445	0.9855675	0.0337613	0.3134798	0.4196856	0.7515102	1.0000000	0.2980342	0.8706668	0.8116240	0.9028933	0.4907880	0.2176682	0.4390787	0.3345298	0.5828355	0.3757899	0.9986769	0.9331576	0.3087106	0.0662037
0.4292448	0.7919840	0.1087063	0.9781358	0.5991549	0.0924793	0.0250513	0.4832606	0.1741965	0.8345228	0.8743248	0.6039501	0.9999101	0.0768108	0.8536185	1.0000000	0.6058115	0.8767675	0.3922203	0.0000233	0.0550715	0.2151596	0.9587322	0.6912498	0.4795513	0.5155739	0.1278789	0.8240716	0.5451036	0.0965461	0.9989323	0.0376362	0.6256639	0.7440415	0.5948345	0.7714393	0.5230679	0.9181948	0.8361289	0.2227378	0.4212957	0.9835731	0.9325704	0.9999548	0.2139601	0.9291304	0.8173356	1.0000000	0.6382991	0.7846533	0.0155733	0.7728910	0.0070424	0.4859958	0.2275077	0.0039342	0.2094051	0.9433753	0.6342798	0.2216269	0.6884191	0.4570452	0.4897529	0.2186645	0.9797938	0.1595089	0.9676948	0.1645052	0.8486976	0.0793328	0.2111517	0.2685207	0.4990112	0.9304215	0.3969833	0.7498458	0.9796121	0.0033408	0.4521322	0.8877213	0.9581866	0.5748846	0.0019460	0.2817093	0.6673882	1.0000000	0.1012185	0.3253673	0.0971919	0.5324170	0.3137759	0.0722164	0.6638758	0.9999981	0.8469732	0.0775438	0.9238284	0.6378565	0.0161227	0.0270809
0.4831825	0.6817759	0.0982464	0.9701886	0.6736137	0.4825063	0.0887635	0.5100598	0.7524623	0.3786067	0.7408956	0.9522102	0.9802574	0.5094219	0.6394003	0.9973285	0.1663339	0.2765914	0.4401279	0.0022734	0.1361981	0.5674595	0.9671924	0.8574594	0.9066134	0.4479140	0.2068221	0.4381333	0.9988865	0.6328985	0.9113693	0.1052977	0.5252962	0.4472612	0.6451672	0.8903006	0.2678539	0.5379540	0.7854740	0.2337196	0.2201055	0.9016971	0.8820629	0.9988358	0.4109750	0.7920188	0.9085460	0.6978984	0.6932118	0.5563291	0.8039704	0.7293955	0.0027712	0.1544771	0.0207919	0.0191892	0.0169882	0.9950332	0.5629460	0.1878313	0.9201219	0.3587144	0.9089792	0.2011979	0.9895322	0.4866927	0.9620451	0.2911752	0.7898299	0.2666630	0.2545424	0.1461515	0.4113592	0.9989141	0.0792960	0.6329375	0.9927073	0.0951076	0.4065470	0.9501993	0.8558121	0.9384241	0.1615750	0.3889981	0.9986258	0.7715203	0.7525338	0.3604575	0.3171509	0.5824344	0.5355441	0.0038064	0.7531113	0.1113869	0.9879749	0.6659327	0.9304399	0.7874889	0.1207444	0.2609673
0.5431830	0.8582789	0.0247639	0.9989093	0.6142862	0.3040929	0.4061652	0.6763080	0.4376688	0.8066782	0.9959219	0.8716306	0.9934887	0.6662483	0.6242737	0.9971722	0.4236597	0.5761676	0.4967921	0.2408265	0.0424119	0.4259240	0.9806743	0.7753415	0.3163034	0.3136391	0.4899978	0.4405576	0.9582337	0.2987742	0.6551902	0.3448194	0.6280650	0.6457397	0.4006635	0.8743218	0.7459791	0.9152077	0.0501660	0.2056259	0.0793649	0.3016916	0.7316591	0.7362399	0.3113294	0.8580884	1.0000000	0.6536978	0.6118390	0.7753277	0.6434420	0.7055823	0.1222872	0.9048809	0.0012320	0.1451931	0.0106909	0.6356832	0.2807038	0.1202113	0.3350635	0.6689732	0.8782073	0.2421460	0.9964529	0.3241156	0.9707880	0.3326759	0.9326635	0.3136658	0.1887218	0.5826177	0.3947989	0.9200425	0.3234981	0.3082305	0.4726537	0.0000793	0.2809805	0.9637225	0.9984014	0.5995945	0.1185746	0.0254773	0.4565485	0.8468162	0.1177369	0.4622130	0.6824391	0.0000008	0.5691979	0.0223463	0.4246267	0.8431008	0.7769416	0.2979758	0.8339904	0.0596018	0.5564629	0.2031614
