G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2611153	0.4660783	1.0706856	0.4051330	0.5344281	0.1652412	0.3078821	0.4775542	0.7477803	0.5076648	1.0219720	0.2438754	0.8575496	0.0560031	0.1201109	1.0185780	0.1062169	0.0432101	0.1490861	0.0259947	0.1511717	0.9903477	0.4471727	0.8923957	0.1289339	0.1272406	0.2050707	0.0146553	0.0662615	0.0855566	0.0670656	0.0114866	0.8433948	0.1883623	0.5862385	0.9744858	1.0418444	0.0522407	0.0750794	0.3188575	0.8512385	0.5758181	0.3987556	0.9643595	0.0060665	0.1208155	0.9381953	0.6371963	0.6657818	0.4578104	1.0843613	0.3385275	0.8339246	0.5230579	0.0037620	0.3191112	0.0030029	0.0902561	0.8126338	0.2224328	0.0354128	0.3544841	0.1751367	0.0181648	0.4029429	0.4064955	0.9455433	0.1971136	0.8021914	0.4856930	0.0022547	0.1116307	0.5048904	0.3246963	0.2805852	0.8270866	0.3719850	0.5468853	0.7235618	0.0020419	0.5097829	0.7125470	0.7088943	0.9381852	0.9783655	0.2923506	0.8985673	0.6080017	0.8251355	0.9425296	0.6932034	0.0806555	1.0715988	0.0053088	0.6644502	0.8224833	0.9585659	0.5220445	0.8488847	0.4016221
0.7590966	0.2788785	0.8154131	0.4091626	0.5902010	0.2116708	0.2013132	0.3681444	0.8219715	0.5471189	0.9790814	0.2211278	0.8921206	0.0882316	0.0911213	1.0260343	0.1494596	0.0520298	0.1279189	0.0317970	0.1563530	0.9862821	0.4853788	0.9389576	0.1219404	0.0996315	0.2170134	0.0259588	0.0605406	0.0709281	0.0614131	0.0085941	0.8406766	0.1770236	0.6152751	1.0667129	0.9787589	0.1044927	0.1279510	0.3448408	0.8268506	0.5438750	0.3661138	0.8744803	0.0288088	0.1387581	0.9665747	0.7169974	0.6417537	0.5062387	0.9989290	0.4279234	0.8789682	0.4590683	0.0007506	0.2713048	0.0074732	0.1511943	0.8580149	0.2456308	0.0377560	0.4342945	0.0666104	0.0193648	0.4589325	0.4088404	0.8265071	0.1731510	0.8051552	0.1141195	0.0035788	0.1245906	0.4402725	0.3116106	0.3297346	0.4745642	0.6628138	0.5767272	0.7525041	0.0103672	0.5280636	0.7640238	0.8137321	0.7537576	1.0433944	0.1259935	0.9764446	0.6062889	0.8651151	0.7100459	0.6877350	0.0694472	0.9701603	0.0168250	0.7012374	0.8297149	0.9495037	0.5201551	0.9095791	0.2653917
0.5844835	0.8104366	0.5204701	0.3830368	0.5839131	0.1789985	0.3169734	0.4985812	0.6790753	0.5835658	1.0392295	0.2594050	0.8810204	0.0519125	0.1122890	0.9658415	0.0952013	0.0622160	0.1607119	0.0257432	0.1699842	1.0390485	0.4613068	0.8739849	0.1255075	0.1001370	0.2363730	0.0182818	0.0596374	0.0699053	0.0688553	0.0217092	0.9802702	0.5726290	0.6170681	0.9661387	0.9181292	0.0544253	0.0884520	0.4723585	0.8103732	0.7029428	0.3307497	0.9102508	0.0197350	0.1353528	0.9302330	0.7591244	0.6714088	0.4643303	0.9574066	0.4784306	0.9331819	0.5695112	0.0005628	0.2610262	0.0015160	0.0834110	0.7843136	0.2563937	0.0896676	0.3943432	0.1481016	0.0327171	0.4928458	0.4389097	0.7022711	0.2271439	1.0111899	0.5553451	0.0031842	0.0963446	0.5004040	0.3770537	0.1670276	0.5038569	0.5596380	0.5950700	0.6988154	0.0054575	0.5153643	0.8371614	0.6991758	0.7722048	0.9710731	0.3947099	0.8427268	0.6500588	0.8133950	0.7874986	0.5966082	0.0669363	0.9931269	0.0435304	0.6639441	0.8585560	0.9657729	0.5284515	0.9415957	0.2690347
0.5090578	0.5135257	0.8768051	0.1681756	0.4702364	0.2067833	0.2378193	0.4903390	0.7940122	0.5040929	1.0996344	0.3861935	0.8342799	0.0431389	0.0685526	0.9662833	0.0489680	0.0532684	0.1383579	0.0226730	0.1324754	0.9330984	0.4079747	0.9245835	0.1139019	0.0828398	0.2018782	0.0207821	0.0780758	0.0502600	0.0719040	0.0166538	0.8641679	0.0350200	0.5815598	0.9431702	0.9408754	0.0832678	0.1038015	0.3069898	0.9211022	0.6618829	0.3931115	0.9015283	0.0106088	0.1208991	1.0110561	0.5800207	0.6025528	0.3175074	0.9297827	0.5176940	0.8634661	0.5949363	0.0006024	0.3409403	0.0008017	0.0728002	0.7467434	0.3059428	0.0264800	0.1104601	0.0180135	0.0249001	0.3807306	0.2934125	0.9930198	0.1142663	0.8875236	0.8277961	0.0016985	0.1404562	0.4396377	0.3308475	0.3078089	0.5606103	0.3945726	0.6320198	0.6559858	0.0031071	0.4816160	0.7577605	0.7412313	0.8366293	0.8887124	0.2332584	0.9473749	0.4918645	0.8981971	0.7484273	0.5919328	0.0508760	1.0044442	0.0059580	0.6256849	0.8220890	0.9445924	0.5853826	0.9019727	0.2095306
0.5548400	0.4513131	0.9625948	0.3828217	0.2318972	0.1951094	0.2288144	0.4604212	0.7676399	0.5191406	0.9739355	0.2191291	0.8600974	0.0552976	0.0673810	0.9852512	0.1171716	0.0349670	0.1316820	0.0328172	0.1339947	0.9341851	0.4881416	0.9041612	0.1033082	0.0996691	0.2044808	0.0126298	0.0727463	0.0772881	0.0787058	0.0102472	0.8876125	0.1788403	0.6319558	0.9447010	0.9034476	0.0646335	0.1044704	0.3061081	0.7014284	0.6293822	0.4071508	0.9370979	0.0105762	0.0856116	0.8822625	0.5751723	0.5528337	0.4109025	1.0435062	0.3926563	0.8818488	0.5645075	0.0037136	0.3269757	0.0044929	0.1168371	0.7462784	0.3015027	0.0257357	0.5313653	0.0436965	0.0177342	0.4558614	0.3284934	1.0340539	0.0582323	0.7865944	0.2455062	0.0021418	0.1377875	0.4821217	0.3260607	0.3811212	0.5187638	0.4650880	0.6112249	0.7269905	0.0050532	0.4863263	0.8220893	0.7782561	0.7996772	0.9419262	0.1901786	0.9909053	0.5925012	0.8488846	0.7154684	0.6726282	0.0527464	1.0247854	0.0096222	0.6825990	0.7620307	0.9215855	0.4962598	0.9060125	0.2242701
0.7549493	0.4750910	0.9554947	0.4172296	0.5601984	0.1071949	0.2965973	0.5563566	0.6676402	0.4993809	1.0114465	0.2657541	0.8121259	0.0794259	0.0903624	0.9671874	0.0662991	0.0561744	0.1818208	0.0325865	0.1570819	1.1140142	0.4449498	0.8713118	0.0840530	0.1057226	0.2474786	0.0155196	0.0601203	0.1041035	0.0486206	0.0068919	0.9409217	0.4967634	0.5449715	0.8868909	1.0702165	0.0754992	0.1332965	0.2849123	0.7411360	0.6500888	0.4166469	0.9444807	0.0143886	0.1111809	0.8763127	0.6332743	0.6109782	0.4284875	1.0305786	0.4132581	0.8231519	0.5608674	0.0003154	0.2862782	0.0010719	0.1453311	0.7211186	0.2282139	0.0387410	0.3748171	0.1196917	0.0103940	0.4919634	0.4025842	0.7215987	0.2234488	0.8110836	0.2959988	0.0072747	0.1123961	0.4444065	0.3214355	0.2469914	0.5432834	0.6038374	0.5527798	0.7612272	0.0036601	0.4867917	0.7610829	0.8554226	0.6790567	0.8426787	0.2588900	0.9832428	0.6286753	0.7924452	0.8207985	0.6851424	0.0625241	0.9757198	0.0326308	0.6392472	0.9102026	0.9768888	0.5412899	0.8635989	0.1692823
0.5617130	0.7273895	1.0696952	0.3988380	0.5469232	0.2015732	0.0983543	0.4197133	0.8728312	0.4941325	0.9799178	0.2503109	0.8669888	0.0541309	0.0778079	0.9628372	0.0759010	0.0396026	0.1252321	0.0337054	0.1555216	1.0780169	0.6090759	0.9027572	0.1291879	0.0828089	0.2177185	0.0161858	0.0506731	0.0513644	0.0726449	0.0084038	0.9734177	0.2401802	0.6095073	0.8461165	0.9223664	0.0618178	0.0953594	0.3597295	0.8132849	0.6717645	0.3881471	0.9269379	0.0323300	0.1524577	0.9609663	0.6486224	0.6210784	0.4229983	1.0319444	0.3599032	0.8965994	0.5882747	0.0018324	0.1664183	0.0003577	0.1228804	0.7889594	0.2863909	0.0581840	0.3330358	0.1333566	0.0153758	0.5474023	0.2891089	0.7215351	0.1652200	0.9950719	0.3168167	0.0040393	0.1244119	0.4454258	0.3021928	0.2466669	0.4523014	0.7385402	0.5930130	0.7939306	0.0060161	0.5169412	0.6776752	0.7018503	0.5934879	0.9204904	0.3759032	0.8926744	0.4811972	0.8641675	0.8341997	0.6703069	0.0598551	0.9412645	0.0210674	0.6121480	0.8700879	1.0476138	0.4905345	0.8444136	0.2668163
0.6625147	0.3393112	0.9826985	0.3890307	0.4908718	0.2080444	0.2378418	0.2004053	0.8068704	0.5659565	1.1030249	0.2559387	0.9650112	0.0591346	0.0704742	0.9842123	0.1371538	0.0620116	0.1930808	0.0223497	0.1350961	1.0601427	0.4807419	0.8558081	0.1518845	0.1063902	0.2405563	0.0263208	0.0755892	0.0484130	0.0460765	0.0179436	0.8791449	0.3057731	0.5685315	0.9697033	0.9911110	0.0858937	0.1329639	0.3867097	0.8654306	0.5959390	0.4224427	0.8432362	0.0178533	0.1747245	0.9595550	0.5647490	0.6114499	0.4597285	1.0262376	0.4030986	0.9095204	0.5152493	0.0015794	0.2685738	0.0065327	0.1079298	0.8342998	0.2731996	0.0556042	0.3581605	0.0388467	0.0134938	0.5093931	0.3667959	0.7724377	0.2060005	0.7806385	0.1279026	0.0049275	0.1378179	0.4498760	0.3134601	0.3465046	0.4982490	0.5782120	0.5601893	0.6714571	0.0015554	0.5211472	0.7952428	0.7123847	0.7420005	0.9277357	0.2150383	0.9352951	0.5236074	0.8504093	0.7296066	0.7165103	0.0562056	0.9645679	0.0271834	0.6527604	0.8436259	1.0124016	0.5924376	0.8898151	0.2818328
0.6658273	0.5397878	0.9359630	0.3290499	0.5663312	0.1876991	0.2732682	0.8442785	0.3597330	0.5208334	1.0628980	0.2449321	0.8987906	0.0463085	0.0658016	0.9274257	0.1132908	0.0406401	0.1262400	0.0151416	0.1453999	1.0458466	0.4929440	0.8196973	0.0867110	0.0811912	0.1881984	0.0063531	0.0836706	0.0851769	0.0865011	0.0233530	0.9389854	0.1299487	0.5239367	0.8342709	1.0193662	0.0692053	0.1117625	0.3320228	0.8334563	0.5933143	0.4216011	1.0209001	0.0193983	0.1244008	0.9602918	0.6367982	0.5829920	0.4734868	1.0395085	0.3207603	0.8947250	0.5725387	0.0005943	0.3506172	0.0003964	0.1191983	0.7514688	0.2800389	0.0350368	0.4376825	0.0829663	0.0238056	0.4877836	0.4230142	0.7512404	0.1583452	0.9243102	0.3364950	0.0005361	0.0903454	0.4544151	0.3604386	0.2868890	0.4541503	0.7284797	0.5728005	0.7660438	0.0061363	0.5365236	0.8206037	0.7248517	0.7451375	0.9597261	0.2324155	0.8891611	0.5502966	0.7677977	0.7121188	0.7542746	0.0721486	0.9895603	0.0147799	0.7372706	0.7390111	1.0422437	0.5261789	0.8606666	0.2722174
0.5104976	0.6070466	0.9021456	0.3831156	0.4664229	0.1987796	0.2298912	0.4577406	0.8097400	0.2203180	0.9600092	0.3692972	0.8845447	0.0788208	0.1033828	0.9985010	0.1335557	0.0589948	0.1453928	0.0250110	0.1329269	0.9648397	0.4499561	1.0053426	0.1425724	0.1121853	0.2209234	0.0238494	0.0681259	0.0853458	0.0690297	0.0313394	0.9240006	0.0621609	0.5839919	0.9108080	0.8503304	0.0774705	0.0984148	0.3073816	0.7612619	0.6662037	0.3597924	0.9043663	0.0119104	0.1463884	0.9093898	0.6029761	0.6503003	0.4566429	0.9714007	0.3920294	0.9134818	0.5309377	0.0052301	0.2485252	0.0008429	0.0991617	0.8052426	0.2569282	0.0362118	0.4640563	0.0283494	0.0115748	0.4945615	0.3801801	0.9376699	0.1453936	0.8238318	0.1475408	0.0020353	0.1727212	0.4617117	0.3202666	0.2506348	0.5679124	0.4184073	0.6324281	0.6449549	0.0010060	0.5690166	0.7527838	0.7790893	0.8596710	1.0102230	0.3876091	0.9135499	0.5887297	0.8267843	0.7890941	0.7106887	0.0608535	0.9674837	0.0028052	0.6102541	0.8065783	0.8988725	0.5179423	0.9052571	0.2743451
