G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2983466	1.0338570	1.1080873	0.1649359	0.6234812	0.1902468	0.1627244	0.3752524	0.7853006	0.4442027	0.8392300	0.0104139	0.7410818	0.1823392	0.0012783	0.5277917	0.0065261	0.8066081	0.3561221	0.1049405	0.2965782	0.8109113	0.6186754	0.6411304	0.3899129	0.0024495	0.0330945	0.3112965	0.0124005	0.3503107	0.0520721	0.3206909	0.9206116	0.5086688	0.3894588	0.8831657	0.9118845	0.8108456	0.6436438	0.3280628	1.0224511	0.2910072	0.7868757	0.9177344	0.0249275	0.2152001	0.7591054	0.9492613	1.0621743	0.0410425	0.9556861	0.4477091	1.0389100	0.4057341	0.3631052	0.1529181	0.1275722	0.2114799	0.5517259	0.2740503	0.0929340	0.0176088	0.3301149	0.0210962	0.6855454	0.4738347	0.9435866	0.5644897	0.7608771	0.6113497	0.3568887	0.0295181	0.6999556	0.4877315	0.0004236	0.9087516	0.3021495	0.4427186	0.5719749	0.0242208	0.4448380	0.7936240	0.4499351	0.9298656	0.8728075	0.3426129	0.6662833	0.7490543	0.9671190	0.7940067	0.7661821	0.3942392	1.0624490	0.1986699	0.0674589	0.7829459	0.7672954	0.3578576	0.3497135	0.9710505
0.6236473	0.2815497	0.8731368	0.3328012	0.4551418	0.2003903	0.4842622	0.5431104	0.8553884	0.4847962	1.0406448	0.2499342	0.8007850	0.1849715	0.1717527	0.7095625	0.4075227	0.0050600	0.0068206	0.0024137	0.3225442	0.6568642	0.8423678	0.2825446	0.2886069	0.0052310	0.0319841	0.0005178	0.0962729	0.0431403	0.0944800	0.0013303	0.1947522	0.3458647	0.3653844	0.8928427	0.9333265	0.0310670	0.0711826	0.3935558	0.8614107	0.5755355	0.9895885	0.8868311	0.2481309	0.2634426	0.9451936	0.6897199	0.7848779	0.6258290	1.0084214	0.5136739	0.4122236	0.2833087	0.0000783	0.6505563	0.0789581	0.2043542	0.3477922	0.7929271	0.0451559	0.5924807	0.1940255	0.0143981	0.6921920	0.6059205	0.5259153	0.2886810	0.4975495	0.3868587	0.2360462	0.3483278	0.5683513	0.5396843	0.3516947	0.8866152	1.0528603	1.0076058	0.6225715	0.0147448	0.6181425	0.7502665	0.5878872	0.5600126	0.8955742	0.0508540	0.8466003	0.1541563	0.9698033	0.5468211	0.7572842	0.3904174	0.8989824	0.1034915	0.7864027	0.7595540	0.6879346	0.4169552	0.8662876	0.8541439
0.5076956	0.4560713	0.7273233	0.5850026	0.2308027	0.0029812	0.1974558	0.1369910	0.7083189	0.2983705	0.6497689	0.7389962	0.7090913	0.1324163	0.2749799	0.9758642	0.2639804	0.0013379	0.4310593	0.7496039	0.3961682	0.4597861	0.3294129	0.8585800	0.7049558	0.6885735	0.4338272	0.0029361	0.0804374	0.1222149	0.4257832	0.4320107	0.9874902	0.7039783	0.4526698	0.3008211	0.4666879	0.2180525	0.2223073	0.5458761	0.6720910	0.5911256	0.4293207	0.7829402	0.0147434	0.0905098	0.7372418	0.7415146	0.8758590	0.8074584	1.0764445	0.5629466	0.9381647	0.5966046	0.0701544	0.4956083	0.1899085	0.1041384	0.6549314	0.0274882	0.0298991	0.2336192	0.3338124	0.4991086	0.7350902	0.0471911	0.6006034	0.6467892	0.4101341	0.6801311	0.1446516	0.0821364	0.2199866	0.2804890	0.0796298	0.3147732	0.2359213	0.5586131	0.7112270	0.0016048	0.2221085	0.7261630	0.8879430	0.7292598	1.0353941	0.6374694	0.3017008	0.5320241	0.3430802	0.7150870	0.5802527	0.2331788	0.9457033	0.4729521	0.1771090	1.0904721	0.6781325	0.2430373	0.5428657	0.7852914
0.1698654	0.2451824	0.7118186	0.0056506	0.4649232	0.1995016	0.2635559	0.3408210	0.8193018	0.4889106	0.9229227	0.6359519	0.6048359	0.2616789	0.0391390	0.9013879	0.0014324	0.0003414	0.0301027	0.0021361	0.3219053	0.7782991	0.8323038	0.3658438	0.5032699	0.0004851	0.0468778	0.0034133	0.4051582	0.0019368	0.7536661	0.0775601	0.3326781	0.0098429	0.6862332	0.9830525	0.9403801	0.6084752	0.1803530	0.2742172	0.8129722	0.7872259	1.0339575	0.3971648	0.4616519	0.1299225	0.9437552	0.0474531	0.1160934	0.0722328	0.9121555	0.9917089	0.8936687	0.9582834	0.0015412	0.2559491	0.1247194	0.3353328	0.8038365	0.2234229	0.5841183	0.6140241	0.5183772	0.0018912	0.4514780	0.5295958	0.8895846	0.1573758	0.6879024	0.8449378	0.3473959	0.2222528	0.5296479	0.6269903	0.5174042	0.6415377	0.5690701	1.0239006	0.4659596	0.0020468	0.5558759	0.6230506	0.8898385	0.6009877	1.0195479	0.0474742	0.7892797	0.4558331	1.0238753	0.9320678	0.7460678	0.6307046	0.9822142	0.0159162	0.2200446	0.5699848	0.5133794	0.8085378	0.7307186	0.8509117
0.8561693	0.2417601	0.7382621	0.6945910	0.2447413	0.2291535	0.1044601	0.2297354	1.0090731	0.5127395	1.0202496	0.2133753	0.8810932	0.2062814	0.3925707	0.8286264	0.2275079	0.9278766	0.5985675	0.4158035	0.4419738	0.2045051	0.4321911	0.9654846	0.7948501	0.7855121	0.5937091	0.6778135	0.2958461	0.4225439	0.1759236	0.2314746	0.9768279	0.4999555	0.1211735	0.8654175	0.6807720	0.7596836	0.4655313	0.3736981	0.8228111	0.7434445	0.3088001	0.9768828	0.4115693	0.8281947	0.7070042	0.0689352	0.1478137	0.7058568	0.8794800	0.4517551	0.8527030	0.0656753	0.1445327	0.0175758	0.2022264	0.5523032	0.8554249	0.1294914	0.1309515	0.7005474	0.9495931	0.0096582	0.6721365	0.2207862	0.4469176	0.8095830	0.8873689	0.6415054	0.0389173	0.2065490	0.4444344	0.6146376	0.2940905	0.0870895	0.6627902	0.3225526	0.8038152	0.0006177	0.3933557	0.9332924	0.2358222	0.5718712	0.6986516	0.1208555	0.6167659	0.6869935	0.5993534	0.4320514	0.8652908	0.6957789	0.9500891	0.4589077	0.0613546	0.8271844	0.3811967	0.4517388	0.7666917	0.4641719
0.5354635	0.4837759	1.1214752	0.4861593	0.4315984	0.0211015	0.3719510	0.3887077	0.5620208	0.5347211	0.9589171	0.3444669	0.7799461	0.0004815	0.0083480	0.9177580	0.1395089	0.0988774	0.2370956	0.0971935	0.4716169	0.1170723	0.4128727	0.5429473	0.7232986	0.1962015	0.0008209	0.0007805	0.0282176	0.0787084	0.2406834	0.0020231	0.9883881	0.4792854	0.8084054	0.8893992	0.8758757	0.8262767	0.4500074	0.2690125	0.8278720	0.7084390	1.0254877	0.8180292	0.4918023	0.5862894	0.4176580	0.7562579	0.9430762	0.5868921	0.5713534	0.1972404	0.7035156	0.0328778	0.0021033	0.4672700	0.4195326	0.6308161	0.5942833	0.2467048	0.0075842	0.4482513	0.2766552	0.3498348	0.2589025	0.3581614	0.4856684	0.5488622	0.7141427	0.2410017	0.1230534	0.2085768	0.8370862	0.2732517	0.1593280	0.4411547	0.4263386	0.7573448	0.4732909	0.0086220	0.8183406	0.3706829	0.5971451	0.3197316	0.9828299	0.2566848	1.0360976	0.7449630	0.6155598	0.8092427	0.9227090	0.0190110	1.0117325	0.4377945	0.8884567	0.6375469	0.9505406	0.3557126	0.7522581	0.4965261
0.5375726	0.8045899	0.2698727	0.0645817	0.5538088	0.1902955	0.2458641	0.5090932	0.8322328	0.3468743	0.9717083	0.3888223	0.5170209	0.3294200	0.6320699	0.8689916	0.0004782	0.7243323	0.0553868	0.0413314	0.5377927	0.4954049	0.5721434	0.6891045	0.5787157	0.3803164	0.0293109	0.2757061	0.1800340	0.4015038	0.0641060	0.6096235	0.3210684	0.2374725	0.4171581	0.9193276	0.8255548	1.0240538	0.8336229	0.3512191	0.7905740	0.7316858	0.5407955	0.5409152	0.0371240	0.2901620	0.7927658	0.9454271	1.0172087	0.4265686	0.7821544	0.4227576	0.6107805	0.7834523	0.0010324	0.3052769	0.1711079	0.5380098	0.4829865	0.2065225	0.4112584	0.0542906	0.0003515	0.0889541	0.2872543	0.1881116	0.3890288	0.5615144	0.7469417	0.6383826	0.0147678	0.1681278	0.7101092	0.4280816	0.0055346	0.4772816	0.2797303	1.0230781	0.5482215	0.0018859	0.3665901	0.4141457	0.8770163	0.8783277	0.9411579	0.6910682	0.6901564	0.1624821	1.1035361	0.7744388	0.1914674	0.1482494	0.9329362	0.0434192	0.2078809	0.7740123	0.7091748	1.0140026	1.0589538	0.3285710
0.8523398	1.0125136	0.7993916	0.1944876	0.4060527	0.2027264	0.5056098	0.5029350	0.6871962	0.5270114	1.0136394	0.4484402	0.6946478	0.0534611	0.0958233	0.9935091	0.1471067	0.0387830	0.1031426	0.0801848	0.1323452	0.9550079	0.4330172	0.8606548	0.1803577	0.0682893	0.2281138	0.0003800	0.0078271	0.1832594	0.0069503	0.0614335	0.8190671	0.5467399	0.7592134	0.4607828	0.5358770	0.0092397	0.0638648	0.4468158	0.7846511	0.6561862	0.3669036	0.7513664	0.0192646	0.1100330	0.5986460	0.6580823	0.5245001	0.3232550	0.9811993	0.1628657	0.8482290	0.3861535	0.1365163	0.1689386	0.0003211	0.1089748	0.4578873	0.4337369	0.9108393	0.0520740	0.0243931	0.2182641	0.4082247	0.1567801	0.6813761	0.1301902	0.9958453	0.9299732	0.0401774	0.2539534	0.1958974	0.3031363	0.2515524	0.5547289	0.6920294	0.1578048	0.3508187	0.0092447	0.1797110	0.8938694	0.9723469	0.7708667	0.9848870	0.2949290	0.5369601	0.2299259	0.8096134	0.6865410	0.6974670	0.0527647	0.9748454	0.1006741	0.7980910	0.8718732	0.8250598	0.5199082	0.8995971	0.3184615
0.8033646	0.1741689	0.8401538	0.8112120	0.5720839	0.1906376	0.1475852	0.0795421	0.8152904	0.5470088	1.0709829	0.2190786	0.6911090	0.3809713	0.6829987	0.0507520	0.2991365	0.9888415	0.6643436	0.4665904	0.3945688	0.2134320	0.5027414	0.8875029	0.9008944	0.6854582	0.5382510	0.7427111	0.9148084	0.9439569	0.2033623	0.4749695	0.7268315	0.8141059	0.3875017	0.8527552	0.7216879	0.9343085	0.9068688	0.5906685	0.3467037	0.2594200	0.6423201	0.8587810	0.0579404	0.5836735	0.6292838	0.2046590	0.2796107	0.3281079	0.7470832	0.8672887	1.0702169	0.1488652	0.1471595	0.0327448	0.3046242	0.7163992	0.6475160	0.1109195	0.6969875	0.3329559	0.3999102	0.0271432	0.4694160	0.5121592	0.3520744	0.6485597	0.9280925	0.6968846	0.2626814	0.0113032	0.8592381	0.3790798	0.0231325	0.2796644	0.4322760	0.8700317	0.7472023	0.1534197	0.1845783	1.0252298	0.6402852	0.6088070	0.8066216	0.0767158	0.3771457	0.6519658	0.5901308	0.4794384	0.6993801	0.3212413	0.8391639	0.2251338	0.1783008	0.7252487	0.2249989	0.5153805	0.2768662	0.3593656
0.5557902	0.2699530	0.6772270	0.8173124	0.2050468	0.1710591	0.1889048	0.2817845	0.8614360	0.4160292	0.8442471	0.6081631	0.4795583	0.2343895	0.5991776	0.9668451	0.4358566	0.0008516	0.7408193	0.5148422	0.5581641	0.1120561	0.3115396	0.7417476	0.7211524	0.8445721	0.6586835	0.0007397	0.3262209	0.1508533	0.0001051	0.0002329	1.0286929	0.2743083	0.0988382	0.2711077	0.4336597	0.3265647	0.2369724	0.7049371	0.9805753	0.7332838	0.6799150	0.8144555	0.3736808	0.2303085	0.7331535	0.7545302	0.7855970	0.7608976	0.9107522	0.5896288	0.7836821	0.4641646	0.1739027	0.1801473	0.0004998	0.3028414	0.6255232	0.1857585	0.1585388	0.3418416	0.1949200	0.2848509	0.5016411	0.0389090	0.5971750	1.0118592	0.6769553	0.3394756	0.3041739	0.0028776	0.7867189	0.0737346	0.0679459	0.7413342	0.2028321	1.0602406	0.8523392	0.0036626	0.7838639	0.5515332	0.8166429	0.7061387	0.6640525	0.1605805	0.4884655	0.7112660	0.5937091	0.5205703	0.6915914	0.3187456	0.5737287	0.0870365	0.3897129	1.0041707	0.9394595	0.7241975	0.2802473	0.5934390
0.3527697	0.7261166	0.9649698	0.1261299	0.4450788	0.2097992	0.2228046	0.3794403	0.7613259	0.5789830	0.7609005	0.2596438	0.5860360	0.2644189	0.3508999	0.9641536	0.0034417	0.0447755	0.0250347	0.0362814	0.2051866	0.5845531	0.5957172	0.4414087	0.0018911	0.0004032	0.0531916	0.0011783	0.0055529	0.1730390	0.5098986	0.1138314	0.5705061	0.2432699	0.6712626	0.8498415	0.8198290	0.9781425	0.5943396	0.3202451	0.7629020	0.7210045	0.8499008	0.9922181	0.2096471	0.4934928	0.7820263	0.6365797	0.5939537	0.2794579	0.8546134	0.6447163	0.8908379	0.1100685	0.0030221	0.2820561	0.2249732	0.0623687	0.5270534	0.2765997	0.3589769	0.1352448	0.0169501	0.0027295	0.3908692	0.2408368	0.8683438	0.3539100	0.5403939	0.1377208	0.0664279	0.0944927	0.3985021	0.3134298	0.3818533	1.0387170	0.5400449	0.4836926	0.6128143	0.0023158	0.7847564	0.5181940	0.6709464	0.9134556	0.8907831	0.7045355	0.6680839	0.6519841	0.8991369	0.8378675	0.6502533	0.0000976	1.0694808	0.3229488	0.5675693	0.7640494	0.6982169	0.2538424	0.9908816	0.0008210
