G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G77A	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0558756	0.8669140	0.9952888	0.0336556	0.2997691	0.7143217	0.8425954	0.0968476	0.1584287	1.0920004	0.8240475	0.5270846	0.9569086	1.0199546	0.4413365	0.3699112	0.2535973	1.0032019	0.5320213	0.4617580	0.1176126	0.5582017	0.1076324	0.2877444	0.7493450	1.0568976	0.6461479	0.5753335	0.5103784	1.0472651	0.5817006	0.1367263	0.8713102	0.8947104	0.3107909	0.3375494	0.9117168	0.8183038	0.6238428	1.1558575	0.9584709	0.9699324	0.1727308	0.9514069	1.0298545	0.2233037	0.9870890	0.7298275	1.0159276	0.7065638	0.4704566	0.2334338	0.2477987	1.0509457	0.9406796	0.1087684	0.2150533	0.0041640	0.0380589	0.8240761	0.4510757	0.0062500	0.5704764	1.0391215	0.4139392	0.7300574	0.5854503	0.7836466	0.4384794	0.2077656	0.4869011	0.4683806	0.7233078	0.1491751	0.8783806	0.0119022	0.0794478	0.0029632	0.4850579	0.0533326	0.6372361	0.5907959	0.4418691	0.0480159	0.5386048	0.0658374	0.5330254	0.9314282	0.5178307	0.0236939	0.1506474	0.8176317	0.4523675	0.1006167	0.8555608	0.0239904	0.6384042	0.2223297	0.2780625
1.0730108	0.0030832	0.9048022	0.9951077	0.1267478	0.4978270	1.0479253	0.8319204	0.1380115	0.2002416	1.0923364	0.8869521	0.5112650	0.9734658	1.0745353	0.2060632	0.3436187	0.2642397	0.9773036	0.4552401	0.4478530	0.1518687	0.6460051	0.0931044	0.2000027	0.9884703	0.9136761	0.6456126	0.6604816	0.5026442	0.9241705	0.6187202	0.2544692	0.7649764	0.6308386	0.2609700	0.3784755	0.9281326	0.8911654	0.7373975	1.0094681	0.9537086	0.9822931	0.2004533	0.9754045	0.9842046	0.3309742	1.0059767	0.7082731	0.9656813	0.7272249	0.5509604	0.1300458	0.2614936	0.9499859	1.0292330	0.1421940	0.2320377	0.0161265	0.0677746	0.8369515	0.3506098	0.0143716	0.5773333	1.0992255	0.4016459	0.9090515	0.4833360	0.8422536	0.3948393	0.2607275	0.5100058	0.5008137	0.8138277	0.1598533	0.9236459	0.0061215	0.0746742	0.0036975	0.6168817	0.0868001	0.5959152	0.5610920	0.4449051	0.0466577	0.5419029	0.0182052	0.5500268	0.8349753	0.5291874	0.0428417	0.1752140	0.9600146	0.4497004	0.0993049	0.9757820	0.0210420	0.6678666	0.1998873	0.2802701
1.0063136	0.2382454	0.0000000	0.9899652	0.0358635	0.3286542	1.0202142	0.6603655	0.1752091	0.2224200	0.9269001	0.7984179	0.4853399	0.9433666	0.9615765	0.3174363	0.3093914	0.3359578	0.9154443	0.5682187	0.3969941	0.1265835	0.5309414	0.1039684	0.3259399	0.8678835	1.0836759	0.6391253	0.6663757	0.5385288	1.1469009	0.5472514	0.2287952	0.9072681	0.8513698	0.3015627	0.3946953	0.9238556	0.8307656	0.6841252	1.0069251	0.8310886	0.8915144	0.2170773	0.9697788	1.0586234	0.3156012	1.0161818	0.6290932	0.9707458	0.6255207	0.2861454	0.1268288	0.0932274	1.0845558	0.9561456	0.0639621	0.1482129	0.0039360	0.4877235	0.8340409	0.4231170	0.1645425	0.5347464	1.1056338	0.4052669	0.8241830	0.4259454	0.9239757	0.2220157	0.1947004	0.3843909	0.7784593	0.9743647	0.1593307	0.8437898	0.0139478	0.0919141	0.0094748	0.5803568	0.1564634	0.7903228	0.3697411	1.0169412	0.1269486	0.5365657	0.0406243	0.4106762	0.8625910	0.9509397	0.0734640	0.1110592	0.8465090	0.1559791	0.2424318	1.0556964	0.0527887	0.5962381	0.2786741	0.0884917
0.9643877	0.0364846	1.0053816	0.0000000	0.0784022	0.3565203	0.9574593	0.9848514	0.1983486	0.2680889	1.0567561	0.8066120	0.5815377	0.9545285	0.9693008	0.2688797	0.3214128	0.1993962	1.0355052	0.4364060	0.5188495	0.0890065	0.6534373	0.0678799	0.2563359	0.7070580	0.9144668	0.6476942	0.5291315	0.5415715	1.1660219	0.6116327	0.1216796	1.0208953	0.9041199	0.3275005	0.2743834	0.7733206	0.8084441	0.7353144	0.9543291	0.7214873	0.8325027	0.2091295	1.0017585	0.9713164	0.3477853	1.0516417	0.8513034	1.0262676	0.6376383	0.4591700	0.1819503	0.2470721	1.0263869	1.0379211	0.1696927	0.2357754	0.0005815	0.0232448	0.8729191	0.3633376	0.1824752	0.6469538	1.0233755	0.1318456	0.7951481	0.5829951	0.8788489	0.3914994	0.2057287	0.4258744	0.6236077	0.7816244	0.3366694	0.8337117	0.2832160	0.0901746	0.0015079	0.3962702	0.0774614	0.6621763	0.6992008	0.3193779	0.0691618	0.5209788	0.0559883	0.4796321	0.6486055	0.5028180	0.0145971	0.1764197	1.0356518	0.5379605	0.0730131	0.9239792	0.0585796	0.7067959	0.1664445	0.2364796
0.9806080	0.0233532	0.9916947	1.0105979	0.0000000	0.3861271	0.9677349	0.8425550	0.1163204	0.1977328	0.9945358	0.8511863	0.5068948	1.1378166	1.0218615	0.3317098	0.3345564	0.1962545	0.8483019	0.5713697	0.4268159	0.1299098	0.6429223	0.0463795	0.2518964	0.7608206	0.9828386	0.7351003	0.6744198	0.4838782	1.0846265	0.6627140	0.1258155	0.8538660	0.7182130	0.2476224	0.3384957	0.9095753	0.8429175	0.5040889	1.0800563	0.8963992	1.0029684	0.1924116	0.9758118	1.0478691	0.4034425	1.0329753	0.7951319	1.1271032	0.6984948	0.3947578	0.1388793	0.2333817	0.9520058	0.9941715	0.1569141	0.2398610	0.0027611	0.0018832	0.8760447	0.3662161	0.0016494	0.5759453	1.0800160	0.3474201	0.8018130	0.4860851	0.7862682	0.3248402	0.2213160	0.4641424	0.6100757	0.8065917	0.1499695	0.8509588	0.0112240	0.0586751	0.0037813	0.5034916	0.1295559	0.6853975	0.5565253	0.3933530	0.0642086	0.5223053	0.0307426	0.4308616	0.7880121	0.4509454	0.0354662	0.1175966	1.0435269	0.5544745	0.0817409	0.8672683	0.0209917	0.6066312	0.1757786	0.2180403
1.0525507	0.0138686	0.9093246	1.0833389	0.0015031	0.0000000	0.9428229	0.9328046	0.2090833	0.1806070	1.0814638	0.6928990	0.3987458	0.9572007	0.9939263	0.2966184	0.3320015	0.3092488	0.9309804	0.4960380	0.5554625	0.0947686	0.5575955	0.0481771	0.2497636	0.7729276	1.0261847	0.6561145	0.5352122	0.6131857	1.0654231	0.6777180	0.1726592	0.9202277	0.9088485	0.3309545	0.3856713	0.8126153	0.8039104	0.7576441	1.1139125	1.0194332	0.8993136	0.2263200	0.9599813	0.9707916	0.3306036	0.9841930	0.8348017	0.8786770	0.6417327	0.4554962	0.1170819	0.2853590	1.0658657	0.9270009	0.1917831	0.2853788	0.0034071	0.0411588	0.9097606	0.4342322	0.0114260	0.6413196	0.9273447	0.3600205	0.7192376	0.6524759	0.7622214	0.2311584	0.2460637	0.4602303	0.7044928	0.7148585	0.1687869	0.8761148	0.0179953	0.0921317	0.0005025	0.3294809	0.1097597	0.5310339	0.6811949	0.4377354	0.1282594	0.5598773	0.0876061	0.4980571	0.7624645	0.5153734	0.0170095	0.1342267	0.6651451	0.4688484	0.0801648	0.8831688	0.0304814	0.5859981	0.2433298	0.2045609
0.9545904	0.0430900	0.9211934	0.4703108	0.4466220	0.2121192	0.0000000	0.9047725	0.1066262	0.2047281	0.9632092	0.7429961	0.5016331	1.0896223	0.9636133	0.2251746	0.3527143	0.2666738	0.9464972	0.4671380	0.5488657	0.1136638	0.5990888	0.0888241	0.2929434	0.7365664	1.0152400	0.5888267	0.6787561	0.4566472	0.9590377	0.6012409	0.1508845	0.9200954	0.9372774	0.4190970	0.3366378	0.8975519	0.9094072	0.6148321	1.0320732	0.9163492	0.9510449	0.2106355	0.9675844	1.0188741	0.4063161	0.9759293	0.8097598	1.0799723	0.5643720	0.3921701	0.0874288	0.2366166	1.0047254	0.9828669	0.0952996	0.2421989	0.0104349	0.0455117	0.9234956	0.3668866	0.0658652	0.5836943	0.9738609	0.4275761	0.5721528	0.6067656	0.7502559	0.2923687	0.2491469	0.4213527	0.5247554	0.7046537	0.2465926	0.8750177	0.0372077	0.1246471	0.0054177	0.4189784	0.1004997	0.6594181	0.6776986	0.4269375	0.0734496	0.5379841	0.0361349	0.4893400	0.9355936	0.5135683	0.3261533	0.1064559	0.8252730	0.4881195	0.0514239	0.8746674	0.0321159	0.6995916	0.1659506	0.2951068
0.9751963	0.0272489	0.9681853	1.0254715	0.0469951	0.3759116	0.8637131	0.0000000	0.2101195	0.2804582	0.9339777	0.7630399	0.4851056	0.9901847	0.8977783	0.2949823	0.2824257	0.6015271	0.9637153	0.5499317	0.3237059	0.3685395	0.5190380	0.0940163	0.2361814	0.7846444	1.0816292	0.6968679	0.5088740	0.4940392	0.9806384	0.7188448	0.1211085	0.9854970	0.6829585	0.2876033	0.3571074	0.9645727	0.8972215	0.5757678	1.0114932	0.9512205	0.9712699	0.2363887	0.9418470	1.0907211	0.3113152	0.9960099	0.7011627	0.9193939	0.7306862	0.4443137	0.0046018	0.2984548	1.0095228	1.0399116	0.1074054	0.2805074	0.0005241	0.0143970	0.8611206	0.3324406	0.2123241	0.5384375	1.1029517	0.3993728	0.8462170	0.5408772	0.8328809	0.2898966	0.2700860	0.5026310	0.7821343	0.6324683	0.1219094	0.9313852	0.0201958	0.1030540	0.0087669	0.7792263	0.1559114	0.6580253	0.5886363	0.4625096	0.1268029	0.5075547	0.0475896	0.4811397	0.7173570	0.0271723	0.0404819	0.1319347	0.9234430	0.4813247	0.0744396	1.0116737	0.0397626	0.6556800	0.1765615	0.2923196
1.0515668	0.0229527	0.8896204	0.9358174	0.0390925	0.3990550	0.9431435	0.8234586	0.0045053	0.2076495	0.9811762	0.8276810	0.4599382	1.0120182	0.9967252	0.2895991	0.3734743	0.2249447	0.8485056	0.4662450	0.3510351	0.0985021	0.6217652	0.0927686	0.2465107	0.8829820	1.1306710	0.6012801	0.6234250	0.4671554	0.9928602	0.5446438	0.1541551	0.9192694	0.8322015	0.3080064	0.3557483	0.8275657	0.8903582	0.8609253	1.0369641	0.9439767	0.9425453	0.2457743	1.0047462	0.9764748	0.2958423	0.8627041	0.7392709	1.0369514	0.7290897	0.4747874	0.1308855	0.2468743	1.0329604	0.9988496	0.1164178	0.2126124	0.0025235	0.0047457	0.8759109	0.4132692	0.0055007	0.5770129	1.0524941	0.3999453	0.9349630	0.4836695	0.8313893	0.4244112	0.2308143	0.3313122	0.4250207	0.7002159	0.0992027	0.9524088	0.0179582	0.0744010	0.0034375	0.4563038	0.0853219	0.6254708	0.5309206	0.4668542	0.0170564	0.5309442	0.0339356	0.5181979	0.8263338	0.5281603	0.0178776	0.1292219	0.9026256	0.5289480	0.1072409	0.9295274	0.0587969	0.6656362	0.2476253	0.1919179
1.0476422	0.0378603	0.8554784	0.9626467	0.0249632	0.3373278	1.0063712	0.9216347	0.0380341	0.0000000	1.0130636	0.8768073	0.4981691	1.0426155	0.8454830	0.2183513	0.2841770	0.2353120	0.9210898	0.4055392	0.3600807	0.1288360	0.6144880	0.0202493	0.2382327	0.8362803	0.9066446	0.6414671	0.4977563	0.5162279	1.0042482	0.6011754	0.1060479	0.9838406	0.9844626	0.3574961	0.2640143	0.8448112	0.7704354	0.7304232	1.0208004	0.9133782	0.9832080	0.2423447	0.9191584	1.0446293	0.3554512	0.9702187	0.8620212	1.1055644	0.5498627	0.3809087	0.1340172	0.2058681	1.0910805	0.9822224	0.2044078	0.2398987	0.0012060	0.0032899	0.8986170	0.3648144	0.0081559	0.6650500	0.9547715	0.3835933	0.8217985	0.5291449	0.8656798	0.3472117	0.2166261	0.4617604	0.5871920	0.8000038	0.1352233	0.9138064	0.0238042	0.9410051	0.0025722	0.3467807	0.0759411	0.6564417	0.5564796	0.4423345	0.0163904	0.5383354	0.0675649	0.5367718	0.7770092	0.4469754	0.0196146	0.2314431	0.7884206	0.4840957	0.0908507	0.8358106	0.0451008	0.4960273	0.2222429	0.2430693
