G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G66A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2516272	0.3527156	0.3882997	0.0210324	0.2509637	0.0195924	0.8049635	0.3338712	0.4505872	0.2813078	0.3862007	0.5476290	0.1984329	0.0003046	0.0078544	0.0231655	0.0708911	0.6802711	0.0430433	0.4233987	0.1365254	0.2194244	0.5388707	0.1655001	0.5910212	0.6573707	0.1641194	0.1376807	0.4123508	0.6758760	0.0198436	0.0382102	0.5946605	0.0521441	0.5992129	0.3552598	0.2679169	0.7305506	0.1874187	0.6446753	0.4708978	0.4513287	0.5111689	0.1739536	0.4736940	0.6540640	0.1425018	0.3157418	0.6972757	0.5678853	0.2980342	0.0157499	0.6455750	0.4087974	0.4603256	0.0715774	0.3150460	0.2971937	0.5705425	0.3614766	0.5813501	0.2906023	0.0183200	0.3951419	0.3213334	0.1210234	0.0501619	0.1299072	0.7088358	0.3597416	0.0143441	0.6548556	0.0005146	0.6196936	0.5931007	0.2769041	0.0518963	0.1077981	0.1210944	0.2725354	0.2973822	0.5588259	0.2261770	0.0424412	0.5585133	0.2418790	0.7046674	0.5021129	0.5285414	0.5995123	0.3522427	0.3144961	0.5354990	0.0388940	0.0144619	0.2701315	0.4369010	0.6224518	0.3354874	0.1461138
0.5107629	0.2189637	0.3221598	0.0286636	0.2370024	0.0316163	0.6930976	0.3207539	0.4249450	0.3410353	0.4689212	0.5122365	0.3965601	0.0021138	0.0115682	0.0265255	0.0560357	0.6815587	0.0751590	0.2791610	0.1742508	0.1918713	0.6539018	0.0808830	0.4517231	0.7358338	0.1631481	0.1488860	0.3791559	0.6172795	0.0159158	0.0394337	0.5314320	0.0491298	0.6393686	0.3683757	0.3085883	0.6480317	0.2007126	0.6625186	0.3962327	0.5796681	0.4694142	0.1683002	0.4157417	0.7127047	0.2525819	0.4187302	0.5869854	0.6905810	0.2657045	0.0355792	0.4804184	0.4381570	0.4523591	0.1023856	0.3041411	0.2888638	0.4747675	0.2432444	0.6333543	0.2468342	0.0103344	0.4054976	0.3545734	0.0817223	0.0525224	0.1440538	0.6617008	0.3013167	0.0416552	0.6760893	0.0000047	0.4780526	0.6085868	0.2257920	0.0396065	0.0808522	0.1361166	0.2610855	0.2455112	0.5889632	0.2814225	0.0165889	0.4733728	0.2705566	0.5194938	0.5812908	0.7000784	0.6632395	0.2925617	0.2706415	0.5013083	0.0427794	0.0053614	0.2598978	0.4023530	0.5573805	0.3041663	0.1367684
0.5942419	0.5059469	0.2010182	0.0668224	0.3229739	0.0172789	0.6496640	0.3676433	0.6056366	0.3380694	0.4605943	0.6020133	0.1218345	0.0006183	0.0013683	0.0526472	0.0652762	0.6847615	0.0579892	0.4768431	0.1198094	0.1891877	0.5621394	0.0819563	0.6391595	0.7844209	0.1961557	0.1202717	0.4203002	0.5750992	0.0253617	0.0357020	0.8086202	0.0793542	0.6980327	0.1936436	0.2470153	0.6601620	0.1583229	0.7085582	0.3735074	0.4062763	0.5138227	0.1361190	0.4092867	0.5876252	0.1922313	0.4090508	0.5886620	0.5793432	0.2721583	0.0123908	0.4839041	0.3300503	0.4946455	0.1370559	0.2792753	0.2508781	0.6175137	0.2776094	0.6595852	0.1406133	0.0261259	0.2773192	0.1204281	0.2518883	0.0743027	0.1226387	0.4983069	0.2387893	0.0568201	0.7602385	0.0000034	0.6252550	0.6426645	0.1742715	0.0134978	0.1446074	0.1069061	0.2914907	0.2675652	0.6483854	0.2291415	0.0103053	0.6111559	0.2802982	0.6383803	0.5272725	0.7011829	0.5830581	0.3471518	0.2594727	0.4681005	0.0253052	0.0098103	0.2191229	0.4652438	0.5930979	0.2138517	0.1473674
0.5911217	0.2652814	0.4256295	0.0138525	0.2851250	0.0132825	0.7163399	0.2303167	0.5312501	0.3908704	0.3889085	0.4364844	0.2679317	0.0027928	0.0039531	0.0378400	0.0170357	0.6284545	0.0792522	0.3725953	0.1675487	0.1680002	0.6100557	0.1791096	0.5310264	0.6824023	0.1982164	0.1076195	0.3350721	0.6459669	0.0151994	0.0268338	0.6523262	0.0410669	0.6284676	0.3013079	0.2639255	0.7398256	0.1893428	0.6068360	0.3526194	0.4163805	0.3807867	0.2238460	0.4820420	0.5378091	0.1317310	0.3857791	0.6171381	0.6751385	0.3198541	0.0159225	0.5962844	0.3616649	0.4383916	0.1365160	0.2542552	0.1630635	0.5841813	0.2736556	0.5902750	0.2190014	0.0199324	0.3821624	0.2887127	0.1216163	0.0620498	0.1807928	0.6216962	0.3447790	0.0443503	0.6936143	0.0000193	0.6334436	0.5717602	0.2398446	0.0265474	0.1198606	0.0950879	0.2631953	0.1987043	0.5964331	0.2413094	0.0199192	0.5717257	0.1761045	0.5665281	0.5489821	0.5865281	0.6192549	0.3530035	0.2784168	0.5404120	0.0153355	0.0164789	0.2400583	0.4535919	0.5199258	0.4624752	0.1291402
0.6637590	0.3893136	0.5088621	0.0251308	0.1148230	0.0344504	0.6689713	0.2459064	0.4707386	0.3579646	0.4620589	0.4686831	0.1880534	0.0001483	0.0078713	0.0443919	0.0478009	0.5665000	0.0390555	0.4040658	0.1841385	0.2027471	0.6451896	0.0768277	0.6093380	0.7194529	0.1013178	0.0957050	0.3914819	0.7016151	0.0310575	0.0708248	0.5693568	0.0577546	0.5971748	0.3405275	0.1964784	0.8079592	0.1708916	0.6531068	0.3533230	0.4363646	0.4481886	0.1669194	0.3420943	0.6253156	0.1661279	0.3952276	0.5584520	0.5569138	0.4007033	0.0413117	0.5681262	0.2915565	0.4251528	0.1200968	0.2320844	0.1974138	0.6486092	0.2566346	0.7209300	0.2518665	0.0151501	0.2075624	0.3118267	0.1453268	0.0644170	0.1436405	0.7567681	0.3492367	0.0439450	0.6880319	0.0000030	0.5279869	0.5352550	0.2296756	0.0545302	0.1578818	0.1374388	0.3347730	0.3441057	0.5601640	0.2542329	0.0103323	0.5278198	0.1553890	0.6828129	0.5587870	0.5926994	0.5308868	0.3115362	0.2779894	0.5476720	0.0393651	0.0031672	0.2958314	0.5938824	0.6542292	0.3525638	0.1773385
0.6740473	0.3313558	0.4870873	0.0310429	0.3898733	0.0050326	0.6013212	0.3289070	0.4411698	0.3382435	0.4495645	0.5211855	0.2335730	0.0001049	0.0064929	0.0316417	0.0500656	0.6590393	0.0788964	0.3900661	0.1452110	0.2865793	0.6801540	0.1660818	0.4970767	0.6804757	0.1878574	0.0858819	0.3687337	0.6641426	0.0316007	0.0498924	0.6052091	0.0746101	0.6175147	0.2841878	0.2904691	0.5739778	0.2032531	0.6144625	0.4220656	0.4494454	0.4415165	0.1700019	0.3432271	0.6178853	0.1487920	0.3031914	0.6604485	0.6403215	0.3596838	0.0281814	0.6395691	0.3706030	0.3212065	0.1472598	0.2715660	0.2471120	0.5619451	0.3593556	0.7446264	0.1321563	0.0210422	0.2956053	0.4492263	0.1183694	0.0819633	0.2425624	0.6345639	0.4331920	0.0397578	0.5685009	0.0000030	0.7034082	0.6779406	0.1834557	0.0332606	0.0688687	0.0912533	0.1651974	0.1067447	0.6333292	0.2216671	0.0400901	0.5701592	0.2105805	0.5036281	0.6048912	0.7023576	0.6411969	0.2881426	0.2510864	0.5712677	0.0160379	0.0081066	0.2617853	0.4405247	0.5553357	0.2758395	0.1440074
0.6738776	0.3787309	0.3220599	0.0129727	0.2102470	0.0304470	0.3831328	0.3016770	0.4601093	0.3844489	0.4988126	0.5149026	0.2132972	0.0000372	0.0010819	0.0554601	0.0597093	0.5849053	0.0475506	0.5136975	0.1150890	0.1793825	0.7912064	0.1038794	0.4972883	0.6209274	0.1307510	0.1488324	0.3863746	0.6827334	0.0273427	0.0233704	0.7194483	0.0465821	0.6590222	0.2569430	0.2467681	0.6765517	0.2615018	0.6486617	0.3502977	0.4725505	0.6069178	0.1658979	0.3242743	0.5842761	0.1484571	0.3477180	0.6584709	0.6205425	0.3479370	0.0108983	0.4771962	0.3360106	0.4966112	0.0613512	0.2565260	0.2201948	0.5617179	0.3057977	0.6484408	0.1219275	0.0147276	0.3350521	0.2991045	0.0814253	0.0882904	0.1641020	0.6003691	0.3884968	0.0506167	0.5164869	0.0000092	0.6629492	0.6744812	0.3024827	0.0739067	0.1119454	0.0910477	0.2218886	0.3702805	0.4067867	0.2394573	0.0160188	0.5835895	0.1879328	0.6495537	0.5094767	0.7015965	0.7157549	0.2809738	0.2934256	0.5498501	0.0171327	0.0164355	0.2628025	0.4436016	0.7096987	0.3151057	0.1271546
0.5218625	0.3129196	0.3386324	0.0325257	0.2907308	0.0308786	0.6963362	0.0877837	0.4587782	0.2918422	0.4868313	0.4367911	0.3082506	0.0001671	0.0028844	0.0294681	0.0442717	0.7042983	0.0613948	0.4398353	0.1225871	0.1706190	0.5989251	0.1291691	0.5590640	0.6298750	0.2955251	0.1242559	0.3531970	0.6763597	0.0183329	0.0345522	0.6103414	0.0589893	0.6646085	0.4799911	0.4186478	0.6646420	0.1990602	0.7559291	0.4120393	0.4455685	0.4312249	0.1718350	0.4054538	0.5909709	0.2179237	0.4155728	0.5259642	0.6080726	0.4112315	0.0119291	0.4650512	0.4059253	0.3204036	0.0606622	0.2857747	0.2092010	0.5086064	0.2514932	0.7011263	0.2660318	0.0052699	0.3609306	0.3055969	0.0999651	0.0675765	0.1525458	0.6259730	0.4128368	0.0547109	0.8178728	0.0000206	0.5209539	0.5890131	0.3263624	0.0645191	0.0506720	0.0923135	0.2516307	0.2703011	0.4851733	0.2192021	0.0300854	0.3749840	0.2005420	0.6898967	0.5927379	0.5941245	0.7036955	0.2469574	0.2181390	0.5031402	0.0304120	0.0079689	0.2109392	0.4225210	0.6059872	0.3884020	0.1941103
0.7236824	0.3549729	0.4238973	0.0491498	0.2539056	0.0140754	0.7075553	0.1562149	0.1985278	0.3190379	0.4309328	0.3469930	0.2994013	0.0001877	0.0059451	0.0435365	0.0804252	0.6663212	0.1053057	0.4537032	0.1329355	0.2426032	0.6332804	0.2554226	0.6397020	0.5346123	0.1971104	0.1272679	0.3873155	0.6729983	0.0176704	0.0414099	0.6759823	0.0767867	0.6563757	0.2781236	0.3275881	0.6886180	0.1954922	0.5704096	0.4480699	0.4828496	0.4590281	0.2679637	0.3487960	0.7891312	0.1286331	0.3331850	0.6286283	0.6950299	0.3297975	0.0338798	0.6181957	0.4412441	0.4339713	0.1194957	0.3375177	0.2135918	0.6259796	0.2981072	0.5731168	0.2117506	0.0264839	0.3794111	0.3007366	0.1837420	0.0728543	0.1221080	0.6336680	0.3755667	0.0597849	0.7442825	0.0000060	0.6075323	0.5124154	0.2976074	0.0426388	0.0706414	0.1567614	0.2744747	0.3067981	0.5219491	0.2522713	0.0335544	0.4761974	0.1840083	0.6333963	0.5902404	0.5272319	0.6419789	0.2813943	0.2883903	0.5976583	0.0237718	0.0115337	0.2209720	0.4664813	0.6615805	0.3293640	0.1824422
0.5273720	0.2379169	0.2615232	0.0190418	0.3386880	0.0230606	0.6744262	0.2447489	0.3919481	0.1941899	0.4363921	0.4886789	0.3114084	0.0013048	0.0011629	0.0334401	0.0650121	0.5664954	0.0952660	0.5054195	0.1070612	0.1854156	0.6153515	0.2312635	0.5898068	0.6226595	0.2845748	0.1636122	0.3841113	0.7022409	0.0070086	0.0489164	0.6725275	0.0826029	0.5987095	0.3402394	0.2390448	0.6816878	0.1602601	0.6702575	0.3084149	0.5305449	0.4951246	0.1943970	0.3966753	0.7673134	0.1235356	0.3968283	0.6095621	0.7809973	0.3504615	0.0037015	0.6579330	0.5043738	0.4807601	0.0871489	0.2098084	0.2063324	0.6274878	0.2936816	0.7183435	0.1544263	0.0166277	0.3450696	0.3030235	0.0456347	0.0791549	0.1353532	0.5037394	0.3654312	0.0422398	0.6358993	0.0000090	0.5844147	0.6154217	0.2096023	0.0571635	0.0459126	0.1226519	0.2245742	0.2162094	0.6206828	0.2257356	0.0167551	0.4572825	0.2294212	0.6906053	0.5312808	0.5809724	0.6536725	0.2458861	0.3122468	0.6318108	0.0135199	0.0236788	0.1884362	0.4174293	0.7070579	0.3713995	0.2177546
