G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G66A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.3672685	0.3439825	0.0160146	0.1685348	0.0394221	0.5321654	0.2824682	0.4721114	0.4491952	0.4191177	0.3808454	0.3239736	0.0001849	0.0026375	0.0479834	0.0456437	0.6685205	0.0540410	0.4527935	0.0852532	0.1949701	0.5296141	0.1318940	0.6365552	0.6551452	0.1701630	0.1750220	0.4182060	0.5928068	0.0134096	0.0385265	0.6496443	0.0621499	0.8207278	0.3322438	0.2123287	0.8079476	0.1693986	0.7589543	0.4610611	0.4982596	0.4273869	0.1813560	0.5480951	0.5514711	0.2001263	0.4228066	0.6396142	0.6232546	0.4017116	0.0166586	0.5544547	0.4941549	0.4489668	0.1198024	0.2718176	0.2359521	0.5176736	0.2844066	0.6238928	0.3589416	0.0029694	0.2831076	0.2752244	0.0855909	0.0353175	0.1484799	0.4454382	0.3444361	0.0347671	0.6318578	0.0000859	0.5839200	0.5528182	0.2603224	0.0333418	0.0628091	0.1061704	0.3683177	0.2819860	0.5262534	0.2742732	0.0164293	0.5842899	0.1841247	0.5803206	0.5599937	0.6433330	0.5128809	0.3971894	0.3232723	0.5225576	0.0116496	0.0109317	0.2996931	0.3806313	0.6689488	0.3533807	0.0899985
0.0115776	0.0000000	0.4087110	0.0257448	0.2220661	0.0402013	0.5903039	0.2693124	0.3888018	0.2992499	0.4766783	0.3776711	0.4666817	0.0000665	0.0007473	0.0346850	0.0868542	0.7812522	0.0878064	0.4171468	0.1776311	0.2957056	0.6276313	0.0998293	0.6363340	0.6356315	0.1844234	0.1499532	0.3103672	0.5834576	0.0218053	0.0189031	0.6043305	0.0848737	0.4985286	0.3717432	0.2448341	0.6019886	0.1344628	0.5996698	0.3860406	0.4826536	0.5477942	0.1594989	0.4613959	0.6070963	0.1391215	0.3879922	0.4797967	0.6529627	0.3375355	0.0179417	0.5936122	0.4274818	0.4232462	0.0775152	0.2638815	0.2761891	0.6297090	0.3424994	0.6705462	0.3958464	0.0025638	0.3178539	0.1752043	0.0700039	0.0563538	0.1148622	0.6545229	0.4044490	0.0604996	0.6536164	0.0007811	0.5184551	0.5096643	0.2295907	0.0256816	0.0319587	0.1052069	0.2672191	0.3804705	0.5359449	0.2593759	0.0286743	0.4784142	0.2137853	0.4667358	0.5361881	0.6353116	0.6707333	0.2646129	0.2706636	0.5514521	0.0244452	0.0072837	0.2218534	0.4463645	0.6896947	0.3015025	0.1267636
0.7087551	0.7515995	0.0000000	0.0107582	0.3547373	0.0220809	0.5272677	0.2711515	0.5336492	0.3516792	0.4107378	0.5135735	0.1382024	0.0001460	0.0039921	0.0288933	0.1219279	0.5814272	0.0774784	0.4253440	0.1198063	0.2584422	0.6782800	0.1155147	0.4371411	0.6841992	0.1859074	0.1159616	0.5527526	0.7586851	0.0236992	0.0422972	0.6096696	0.0542349	0.5962992	0.3028188	0.3337402	0.6639095	0.1703168	0.6559755	0.4312608	0.3274968	0.5376709	0.1396369	0.4774281	0.7645829	0.1464593	0.2985957	0.5759954	0.7274955	0.4193110	0.0047013	0.6018205	0.3323223	0.5608518	0.0734625	0.2480966	0.2432455	0.5754561	0.3420249	0.6446662	0.1717766	0.0159314	0.3056011	0.3468066	0.2579983	0.0381558	0.1020812	0.6552055	0.3594719	0.1001276	0.7780864	0.0000574	0.6430631	0.6516094	0.3473143	0.0531638	0.1383633	0.1086064	0.2660921	0.2549984	0.4797616	0.1728306	0.0492411	0.6898338	0.1937037	0.5210163	0.5414525	0.5614887	0.5418011	0.3572739	0.3028078	0.4237311	0.0148794	0.0072575	0.2186231	0.4906789	0.5334687	0.3041541	0.1061842
0.5230289	0.4152418	0.4099333	0.0000000	0.2829084	0.0331996	0.6362865	0.2293450	0.3126622	0.4138856	0.5095553	0.3877642	0.3071372	0.0002036	0.0088378	0.0362928	0.0667780	0.8397298	0.1209287	0.4475494	0.0825406	0.2601182	0.6698839	0.1502949	0.6028548	0.6484361	0.1332851	0.1218863	0.4487307	0.6046930	0.0326017	0.0575623	0.5951179	0.0647823	0.7977245	0.3462078	0.2727890	0.6559243	0.1229482	0.6698456	0.3796052	0.4810564	0.5183542	0.2796368	0.4352474	0.6706930	0.1790561	0.3796421	0.5303205	0.6664778	0.3635654	0.0232590	0.6052225	0.3607143	0.4483067	0.1244499	0.2324466	0.2240251	0.6509528	0.3042605	0.6068004	0.2142998	0.0299889	0.2956188	0.3216287	0.1233276	0.0991723	0.1341732	0.6835315	0.4088901	0.0596294	0.7061327	0.0013343	0.5928744	0.6779413	0.2189559	0.0508779	0.1944603	0.1012532	0.2521186	0.2405081	0.6410845	0.1871516	0.0324064	0.4827852	0.3167262	0.5860769	0.5189930	0.5480859	0.5944272	0.3093428	0.3039388	0.4759422	0.0139173	0.0207292	0.2667261	0.4858149	0.6020791	0.3436603	0.1284963
0.5778877	0.4639971	0.2263977	0.6086357	0.0000000	0.0269933	0.5446467	0.3794623	0.5046846	0.3067654	0.4928370	0.4408023	0.1561154	0.0007824	0.0106243	0.0698354	0.0316699	0.6432919	0.0597131	0.6016428	0.1470817	0.2559104	0.6788771	0.0939306	0.5471977	0.7125088	0.1878563	0.1306659	0.3986609	0.6811370	0.0166535	0.0680431	0.5814882	0.0579244	0.6629847	0.3212624	0.1349823	0.7147869	0.1434167	0.6390077	0.3665564	0.5284497	0.4178159	0.1643066	0.3642120	0.7467417	0.1735706	0.3815273	0.6324897	0.6249356	0.4093997	0.0249767	0.6113814	0.0597743	0.3815104	0.1272980	0.2529131	0.3066016	0.6181820	0.2280035	0.6264519	0.2253924	0.0077941	0.3399401	0.3009697	0.1790343	0.0808288	0.1578013	0.6507768	0.3469844	0.0638985	0.7193071	0.0000479	0.5556272	0.3325230	0.6004442	0.0358771	0.1340037	0.1126876	0.3292481	0.5391167	0.5232072	0.2315303	0.0474726	0.5942138	0.1159532	0.6416029	0.4627925	0.5384372	0.5570654	0.3563171	0.2725118	0.4230385	0.0276207	0.0103323	0.2882001	0.3901555	0.7710348	0.2633141	0.2893369
0.6183800	0.2820977	0.3321107	0.0223985	0.3059568	0.0000000	0.5780215	0.2697739	0.4346718	0.3688583	0.4950332	0.4863342	0.3209662	0.0005589	0.0056625	0.0389811	0.0508560	0.6383521	0.0543950	0.3314712	0.1835370	0.2141187	0.7127526	0.1151615	0.5325040	0.6538769	0.1428636	0.0912646	0.4658498	0.6730307	0.0176107	0.0339309	0.7023706	0.0452396	0.6823711	0.4086377	0.1770397	0.6809707	0.1310610	0.6473690	0.3944216	0.5004369	0.5243859	0.1989310	0.3901379	0.6426336	0.1504587	0.3442782	0.5134718	0.6658991	0.3731368	0.0117588	0.5464143	0.3343094	0.4301578	0.0949617	0.2909332	0.2424035	0.5981090	0.3146359	0.7179996	0.2240567	0.0460382	0.3293137	0.2839445	0.1642602	0.0572196	0.1735821	0.6018440	0.3587458	0.0228051	0.6076497	0.0000233	0.2193232	0.5700832	0.1926676	0.0717854	0.1000722	0.1196204	0.3130178	0.1820521	0.6106849	0.3084064	0.0649248	0.5982390	0.2149764	0.5135530	0.4484482	0.6563223	0.5070612	0.3253232	0.2978436	0.4561205	0.0134141	0.0158118	0.2951779	0.5058177	0.6518092	0.3754679	0.1492993
0.6026886	0.3741571	0.3647622	0.0143367	0.2916859	0.1132187	0.0000000	0.2873891	0.4740891	0.4503355	0.5252140	0.4308636	0.2371190	0.0001462	0.0064584	0.0631734	0.1138200	0.7477469	0.1952413	0.4248420	0.1266985	0.2169570	0.5585957	0.6093618	0.5196934	0.5866517	0.4472164	0.3470666	0.3633509	0.6193791	0.0211062	0.0534868	0.6104229	0.0879547	0.6761159	0.1528165	0.2465222	0.4764822	0.3859394	0.7013814	0.3601993	0.4662988	0.4414946	0.1926121	0.5036345	0.8150212	0.1216959	0.3790829	0.5391004	0.5756961	0.3681421	0.0124260	0.6970255	0.4753293	0.4021386	0.0834606	0.2865586	0.3488963	0.5910370	0.2445903	0.6021706	0.2010841	0.0398620	0.4038078	0.0219549	0.2303587	0.2427696	0.1484592	0.1615259	0.2497329	0.0277523	0.6718408	0.0009741	0.6651611	0.5754412	0.3313766	0.1280036	0.0743721	0.2456376	0.4803382	0.3410117	0.6939589	0.1955841	0.0019913	0.4837115	0.1919380	0.6591072	0.5675421	0.6296968	0.5258207	0.2458170	0.2408803	0.6154385	0.0508043	0.0323686	0.3417638	0.4251073	0.6323388	0.4080701	0.1655310
0.6495347	0.2678744	0.3893066	0.0418215	0.2258300	0.0231857	0.6575494	0.0000000	0.4468961	0.3407631	0.4407597	0.4042195	0.2626782	0.0004578	0.0035508	0.0222317	0.0317592	0.7339499	0.0964249	0.4047065	0.1004648	0.2115921	0.5529356	0.0877644	0.4555096	0.6247254	0.1809745	0.1284371	0.4500661	0.6172082	0.0079963	0.0392640	0.5962612	0.0464888	0.7772155	0.4017193	0.2462377	0.6984147	0.1761288	0.6757905	0.3375787	0.3598498	0.5069108	0.2084520	0.4162868	0.6830877	0.1755440	0.3492978	0.5968762	0.6521034	0.4182215	0.0131408	0.6018814	0.4818785	0.4099467	0.1173768	0.2750959	0.2143542	0.7694049	0.3983178	0.5984902	0.1900678	0.0039965	0.3542518	0.2668374	0.0813562	0.0607083	0.1501574	0.6714374	0.2768320	0.0167874	0.6162885	0.0013165	0.5130131	0.6139280	0.2124139	0.0471896	0.0392292	0.0998222	0.2153268	0.3667329	0.6082294	0.2579363	0.0737284	0.3899271	0.1879264	0.5767199	0.6569607	0.6006185	0.6320210	0.3285880	0.3411326	0.4969226	0.0052470	0.0095726	0.2741178	0.3616561	0.6590924	0.3265208	0.1721746
0.5776617	0.3542491	0.3888867	0.0118150	0.3003306	0.0261991	0.5855204	0.0603016	0.0000000	0.3976278	0.3807753	0.2101521	0.2187640	0.0002635	0.0128590	0.0272219	0.0642340	0.6696693	0.0539290	0.5160319	0.1114091	0.2216174	0.6835721	0.1952044	0.5935559	0.7528421	0.1957698	0.1338817	0.3212190	0.5747400	0.0185436	0.0258378	0.6379956	0.0540187	0.6830890	0.2607410	0.2266233	0.6285540	0.1629483	0.6096875	0.3439300	0.4795082	0.4869455	0.2043654	0.5094995	0.7046940	0.2297346	0.3963752	0.5600236	0.7256869	0.3498359	0.0282298	0.4548936	0.4273990	0.4362545	0.1775451	0.2317936	0.1764726	0.7143863	0.2620693	0.7234100	0.2350775	0.0357040	0.3773502	0.3305500	0.1248265	0.0837439	0.1295684	0.5530185	0.3181764	0.0294721	0.6793511	0.0000250	0.6476529	0.4823918	0.2197095	0.0484217	0.0854144	0.1476432	0.2795994	0.2575781	0.6169703	0.3061889	0.0208734	0.5074181	0.2152878	0.5944554	0.5775030	0.5481195	0.6848058	0.2485844	0.2731104	0.5514362	0.0108707	0.0143407	0.2324674	0.4008212	0.7266332	0.3716271	0.1455025
0.6050397	0.4076046	0.3449763	0.0256847	0.2071294	0.0162427	0.7259273	0.2525775	0.5376457	0.0000000	0.4363365	0.4870660	0.2329015	0.0003184	0.0041986	0.0239314	0.0513068	0.6192676	0.0772198	0.4632645	0.1290220	0.2095285	0.7068028	0.1893730	0.5872221	0.6705167	0.1901834	0.0962958	0.3310337	0.6394919	0.0297635	0.0421864	0.6094525	0.0725414	0.6139184	0.3438192	0.2540337	0.6438410	0.1736409	0.6106129	0.4761903	0.3565716	0.5631166	0.1920392	0.4149175	0.5670945	0.1421658	0.3184268	0.6017452	0.6295548	0.3421884	0.0216452	0.7329919	0.3023908	0.4072301	0.0967432	0.2318200	0.2629598	0.5291447	0.2089337	0.7627917	0.1676319	0.0138983	0.3062288	0.1517461	0.1689851	0.0498513	0.1537631	0.4798004	0.2933006	0.0468672	0.6055031	0.0016513	0.6591005	0.7586875	0.3527301	0.0362806	0.1257620	0.1058803	0.3584274	0.3832997	0.6533584	0.2822042	0.0116663	0.5402116	0.1557865	0.6524687	0.6121144	0.6640136	0.6263836	0.3118870	0.3127960	0.4765321	0.0153462	0.0120566	0.2283219	0.4919219	0.6297678	0.3709451	0.1271746
