name,__glayCluster,Unnamed: 2,Unnamed: 3
arca,0,,
beti,0,,
lldr,0,,
puur,0,,
iclr,0,,
trer,0,,
acea,0,,
aceb,0,,
acef,0,,
acek,0,,
acka,0,,
acnb,0,,
beta,0,,
betb,0,,
bett,0,,
citf,0,,
citg,0,,
citx,0,,
cyda,0,,
cydb,0,,
cydc,0,,
dcuc,0,,
fuma,0,,
gata,0,,
gatb,0,,
gatc,0,,
gatd,0,,
gaty,0,,
gatz,0,,
glta,0,,
hema,0,,
icd,0,,
lldd,0,,
lldp,0,,
lpd,0,,
mdh,0,,
nuoc,0,,
nuol,0,,
prfa,0,,
puua,0,,
puub,0,,
puuc,0,,
puud,0,,
puue,0,,
puup,0,,
rplb,0,,
rpld,0,,
rplv,0,,
rpmc,0,,
rpsj,0,,
rpss,0,,
sdha,0,,
treb,0,,
trec,0,,
ydea,0,,
argp,1,,
dnaa,1,,
alda,1,,
argo,1,,
dapb,1,,
dapd,1,,
dnan,1,,
gdha,1,,
lysa,1,,
lysc,1,,
lysp,1,,
nrda,1,,
nrdb,1,,
recf,1,,
yfae,1,,
guaa,1,,
guab,1,,
pola,1,,
lysr,1,,
ascg,99,,
prpr,99,,
ascb,99,,
ascf,99,,
htpg,99,,
ybit,99,,
prpb,99,,
prpc,99,,
prpd,99,,
prpe,99,,
crp,3,,
fucr,3,,
gutm,3,,
laci,3,,
lsrr,3,,
mali,3,,
melr,3,,
srlr,3,,
aaea,3,,
aaeb,3,,
aaer,3,,
aaex,3,,
aer,3,,
agp,3,,
ampd,3,,
ampe,3,,
aspa,3,,
cira,3,,
cpdb,3,,
csie,3,,
cspd,3,,
cspe,3,,
csta,3,,
cyaa,3,,
dksa,3,,
dsda,3,,
dsdx,3,,
ebga,3,,
ebgc,3,,
enta,3,,
envz,3,,
epd,3,,
fbaa,3,,
fecb,3,,
fecd,3,,
fece,3,,
fuca,3,,
fuci,3,,
fuck,3,,
fuco,3,,
fucp,3,,
fucu,3,,
gapa,3,,
gcd,3,,
glgs,3,,
glpe,3,,
glpg,3,,
gpsa,3,,
grpe,3,,
gutq,3,,
hflc,3,,
hflk,3,,
hflx,3,,
hfq,3,,
hofb,3,,
hofc,3,,
hpt,3,,
ilvb,3,,
ilvn,3,,
ivbl,3,,
laca,3,,
lacy,3,,
lacz,3,,
lsra,3,,
lsrb,3,,
lsrc,3,,
lsrd,3,,
lsrf,3,,
lsrg,3,,
lsrk,3,,
malx,3,,
maly,3,,
mana,3,,
mela,3,,
melb,3,,
mpl,3,,
murp,3,,
nadc,3,,
narq,3,,
nlpe,3,,
ompa,3,,
pck,3,,
pgk,3,,
ppdd,3,,
prib,3,,
rmf,3,,
rof,3,,
rpli,3,,
rpsf,3,,
rpsr,3,,
secb,3,,
sfsa,3,,
sodb,3,,
sohb,3,,
spec,3,,
spf,3,,
srla,3,,
srlb,3,,
srld,3,,
srle,3,,
tam,3,,
trxa,3,,
ubig,3,,
xsea,3,,
yaep,3,,
yaeq,3,,
ychh,3,,
yeip,3,,
yeiw,3,,
yhfa,3,,
yjiy,3,,
ynfk,3,,
dsdc,3,,
ebgr,3,,
yeht,3,,
caif,99,,
caia,99,,
caib,99,,
caic,99,,
caid,99,,
caie,99,,
cait,99,,
fixa,99,,
fixb,99,,
fixc,99,,
fixx,99,,
cytr,99,,
cdd,99,,
deoa,99,,
deob,99,,
deoc,99,,
deod,99,,
nupc,99,,
nupg,99,,
ppia,99,,
