name,__glayCluster,,
YDR520C,50,,
YHR128W,50,,
YBR137W,50,,
YER036C,50,,
YER037W,50,,
YBL005W,49,,
YBL006C,49,,
YML051W,48,,
YBR019C,48,,
YBR020W,48,,
YLR176C,47,,
YKR099W,47,,
YAL044C,47,,
YMR243C,47,,
YKR079C,47,,
YGR061C,47,,
YDR408C,47,,
YGR204W,47,,
YDR410C,47,,
YLR286C,47,,
YMR244W,47,,
YDR409W,47,,
YMR120C,47,,
YKL218C,47,,
YCL030C,47,,
YDL229W,47,,
YMR300C,47,,
YMR186W,47,,
YLR060W,47,,
YKR080W,47,,
YOR267C,47,,
YGL234W,47,,
YGL236C,47,,
YLR057W,47,,
YLR359W,47,,
YOR269W,47,,
YIL066C,47,,
YOR128C,47,,
YMR177W,47,,
YMR189W,47,,
YKL217W,47,,
YMR188C,47,,
YAL060W,47,,
YLR059C,47,,
YLR058C,47,,
YGR180C,47,,
YGL186C,47,,
YOR028C,46,,
YLL054C,46,,
YER028C,46,,
YPR022C,46,,
YOL116W,46,,
YJR102C,46,,
YOR178C,46,,
YGL035C,46,,
YGR171C,46,,
YJR061W,46,,
YMR083W,46,,
YGR251W,46,,
YEL053C,46,,
YDR441C,46,,
YML116W,46,,
YAL037W,46,,
YIL045W,46,,
YGR250C,46,,
YMR244C-A,46,,
YKL026C,46,,
YDR301W,46,,
YBR053C,46,,
YJR103W,46,,
YPL165C,46,,
YGR009C,46,,
YLR001C,46,,
YMR081C,46,,
YMR246W,46,,
YMR089C,46,,
YMR090W,46,,
YAL037C-A,46,,
YOL060C,46,,
YOL059W,46,,
YKR038C,46,,
YGR010W,46,,
YGL253W,46,,
YPR184W,46,,
YKR039W,46,,
YDR338C,46,,
YEL052W,46,,
YDR300C,46,,
YGL131C,45,,
YDR011W,45,,
YHR178W,45,,
YMR315W,45,,
YJL093C,45,,
YDR294C,45,,
YIL159W,45,,
YDR248C,45,,
YIL160C,45,,
YHR183W,45,,
YJL092W,45,,
YNL181W,45,,
YNL273W,45,,
YPR158W,45,,
YBL075C,45,,
YHR163W,45,,
YBR143C,45,,
YCR091W,45,,
YDR231C,45,,
YPL061W,45,,
YPR120C,45,,
YNL274C,45,,
YBR138C,45,,
YNL182C,45,,
YBR139W,45,,
YCR090C,45,,
YBR145W,45,,
YDR232W,45,,
YHR138C,45,,
YLR354C,45,,
YPR121W,45,,
YEL041W,45,,
YLR177W,45,,
YMR019W,44,,
YBR046C,44,,
YBR222C,44,,
YBR047W,44,,
YPR129W,44,,
YIL166C,44,,
YEL020C,44,,
YPR128C,44,,
YNL103W,43,,
YJR137C,43,,
YDR253C,43,,
YPL038W,43,,
YAL012W,43,,
YHR194W,43,,
YJR138W,43,,
YJL192C,43,,
YLR179C,43,,
YNL277W,43,,
YGL184C,43,,
YLR092W,43,,
YHR193C,43,,
YJL212C,43,,
YPR167C,43,,
YPR168W,43,,
YFR030W,43,,
YER092W,43,,
YLR180W,43,,
YJL191W,43,,
YGR055W,43,,
YER091C,43,,
YNL277W-A,43,,
YJL210W,43,,
YBL074C,43,,
YEL009C,42,,
YML076C,42,,
YLR451W,42,,
YGR161C,42,,
YGR267C,42,,
YJL072C,42,,
YER052C,42,,
YOR202W,42,,
YBR250W,42,,
YKL211C,42,,
YDR354W,42,,
YPL250C,42,,
YBR257W,42,,
YHR024C,42,,
YJR112W,42,,
YBR248C,42,,
YIL162W,42,,
YBR068C,42,,
YHR018C,42,,
YJR016C,42,,
YKL210W,42,,
YLR355C,42,,
YBL102W,42,,
YLR356W,42,,
YER086W,42,,
YHR025W,42,,
YBR115C,42,,
YGL009C,42,,
YOR222W,42,,
YOR201C,42,,
YDR035W,42,,
YOR221C,42,,
YHR122W,42,,
YKL033W-A,42,,
YMR062C,42,,
YER039C,42,,
YIR034C,42,,
YOR272W,42,,
YMR063W,42,,
YBR256C,42,,
YBR147W,42,,
YMR096W,42,,
YBR249C,42,,
YER085C,42,,
YPL264C,42,,
YDL198C,42,,
YOR271C,42,,
YMR095C,42,,
YKL120W,42,,
YCR053W,42,,
YGL180W,42,,
YJL071W,42,,
YJL130C,42,,
YMR108W,42,,
YGL125W,42,,
YPL273W,42,,
YER039C-A,42,,
YBL076C,42,,
YNL311C,42,,
YGR094W,42,,
YIL164C,42,,
YNL104C,42,,
YJR111C,42,,
YNL199C,41,,
YGR044C,41,,
YOR230W,41,,
YPL075W,41,,
YLR121C,41,,
YLR066W,41,,
YGR060W,41,,
YMR205C,41,,
YER177W,41,,
YJL196C,41,,
YNL288W,41,,
YJL194W,41,,
YMR206W,41,,
YAL039C,41,,
YJR010W,41,,
YBR086C,41,,
YLR044C,41,,
YOL086C,41,,
YLR125W,41,,
YOL084W,41,,
YKL152C,41,,
YGR192C,41,,
YLR065C,41,,
YBR087W,41,,
YHR174W,41,,
YGR240C,41,,
YGR240C-A,41,,
YNL066W,41,,
YHL034C,41,,
YKL060C,41,,
YAL038W,41,,
YGL237C,40,,
YBL021C,40,,
YOR358W,40,,
YHR006W,40,,
YDR077W,40,,
YIL013C,40,,
YHR050W-A,40,,
YFL027C,40,,
YDR210W,40,,
YLR220W,40,,
YFL026W,40,,
YGR121C,40,,
YFR033C,40,,
YDR529C,40,,
YIL011W,40,,
YGR121W-A,40,,
YDR384C,40,,
YDL171C,40,,
YER174C,40,,
YHR051W,40,,
YBL099W,40,,
YLL015W,40,,
YNL009W,40,,
YPL207W,40,,
YPL019C,40,,
YML119W,40,,
YCR028C,40,,
YOL077W-A,40,,
YPR145W,40,,
YDR385W,40,,
YPL018W,40,,
YDR377W,40,,
YGR122W,40,,
YHR005C-A,40,,
YPR144C,40,,
YBR039W,40,,
YLL018C,40,,
YIR030C,40,,
YGL187C,40,,
YML120C,40,,
YLL027W,40,,
YER040W,39,,
YDL170W,39,,
YIR027C,39,,
YHL015W-A,39,,
YHL016C,39,,
YDR031W,39,,
YDR030C,39,,
YNR018W,39,,
YPR035W,39,,
YOL109W,39,,
YJR151W-A,39,,
YJR151C,39,,
YIR028W,39,,
YOL117W,39,,
YNL241C,39,,
YJL173C,39,,
YGL008C,39,,
YHL015W,39,,
YDL215C,39,,
YJR152W,39,,
YNL141W,39,,
YJL172W,39,,
YIR031C,39,,
YDR207C,38,,
YOR290C,38,,
YMR039C,38,,
YMR280C,38,,
YHR124W,38,,
YKL015W,38,,
YLL046C,38,,
YOR338W,38,,
YMR101C,38,,
YPL200W,38,,
YOR291W,38,,
YDR285W,38,,
YML043C,38,,
YLL029W,38,,
YOL131W,38,,
YNL149C,38,,
YGR270W,38,,
YDR092W,38,,
YGL250W,38,,
YBL064C,38,,
YPR163C,38,,
YBR283C,38,,
YLR314C,38,,
YDL210W,38,,
YHL031C,38,,
YPL201C,38,,
YPL160W,38,,
YMR040W,38,,
YOL124C,38,,
YLR262C-A,38,,
YDL193W,38,,
YOL123W,38,,
YER179W,38,,
YOR306C,38,,
YKL078W,38,,
YGR281W,38,,
YPL161C,38,,
YGR266W,38,,
YHL030W,38,,
YOR101W,38,,
YKR009C,38,,
YGR264C,38,,
YLR263W,38,,
YGR268C,38,,
YOL092W,38,,
YBL063W,38,,
YBR284W,38,,
YGL251C,38,,
YGR280C,38,,
YBR184W,38,,
YPR164W,38,,
YML042W,38,,
YMR281W,38,,
YOR100C,38,,
YER044C-A,38,,
YLL031C,38,,
YHR037W,38,,
YDR091C,38,,
YBL015W,38,,
YDR284C,38,,
YJR060W,37,,
YIR017C,37,,
YPL254W,37,,
YOR344C,37,,
YHR041C,37,,
YHR112C,37,,
YJL109C,37,,
YER071C,37,,
YIL126W,37,,
YOR327C,37,,
YOL101C,37,,
YOR054C,37,,
YNL094W,37,,
YDR141C,37,,
YJR088C,37,,
YDL051W,37,,
YOL100W,37,,
YMR301C,37,,
YAL054C,37,,
YGR224W,37,,
YGL207W,37,,
YIL031W,37,,
YOR099W,37,,
YPL235W,37,,
YNR051C,37,,
YJL133W,37,,
YGL256W,37,,
YJL133C-A,37,,
YMR216C,37,,
YIR006C,37,,
YFR049W,37,,
YER100W,37,,
YBL017C,37,,
YBL016W,37,,
YBR255C-A,37,,
YMR196W,37,,
YIL074C,37,,
YNL221C,37,,
YDL006W,37,,
YER072W,37,,
YNL095C,37,,
YNL063W,37,,
YIL088C,37,,
YKL192C,37,,
YAL026C,37,,
YIL033C,37,,
YNL064C,37,,
YIR007W,37,,
YER099C,37,,
YHR113W,37,,
YLL010C,37,,
YGR200C,37,,
YIL127C,37,,
YFL018C,37,,
YOL064C,37,,
YCR088W,37,,
YOR328W,37,,
YEL043W,37,,
YNL232W,37,,
YPL236C,37,,
YHR042W,37,,
YML018C,37,,
YHR089C,37,,
YJR089W,37,,
YJL166W,37,,
YGR223C,37,,
YDL052C,37,,
YJL209W,37,,
YGL257C,37,,
YBR135W,37,,
YER114C,37,,
YPL206C,37,,
YML017W,37,,
YMR217W,37,,
YFL017W-A,37,,
YNL220W,37,,
YCR087C-A,37,,
YBR133C,37,,
YPL204W,37,,
YOR098C,37,,
YAL053W,37,,
YKL191W,37,,
YIL122W,36,,
YPL089C,36,,
YML081W,36,,
YER161C,36,,
YJL106W,36,,
YBR158W,36,,
YGL158W,36,,
YDR525W-A,36,,
YPL252C,36,,
YJL107C,36,,
YDR524W-A,36,,
YLR332W,36,,
YNL139C,36,,
YHR175W,36,,
YOL087C,36,,
YJL148W,36,,
YDR309C,36,,
YEL050C,36,,
YBR159W,36,,
YKR103W,36,,
YOL086W-A,36,,
YDR524C-B,36,,
YNR050C,36,,
YBR157C,36,,
YHR206W,35,,
YPR009W,35,,
YKL038W,35,,
YPL041C,35,,
YBR054W,35,,
YLR257W,35,,
YHR004C,35,,
YER010C,35,,
YER011W,35,,
YKR075C,35,,
YOL039W,35,,
YNR013C,35,,
YJL115W,35,,
YNL234W,35,,
YJL116C,35,,
YER154W,35,,
YLL019C,35,,
YGL038C,35,,
YKR076W,35,,
YOR273C,35,,
YNL014W,35,,
YER153C,35,,
