,clusterid,lag_percent,n_edges,# of lagged_edges
0,27.0,0.0784313725490196,102.0,8.0
1,14.0,0.07547169811320754,106.0,8.0
2,15.0,0.07894736842105263,76.0,6.0
3,21.0,0.08374384236453201,203.0,17.0
4,22.0,0.08333333333333333,36.0,3.0
5,25.0,0.4444444444444444,18.0,8.0
6,28.0,0.10638297872340426,141.0,15.0
7,1.0,0.25461254612546125,542.0,138.0
8,45.0,0.12254901960784313,204.0,25.0
9,51.0,0.06666666666666667,45.0,3.0
10,59.0,0.16666666666666666,114.0,19.0
11,34.0,0.21875,32.0,7.0
12,6.0,0.2909698996655518,299.0,87.0
13,57.0,0.058823529411764705,34.0,2.0
14,48.0,0.11976047904191617,167.0,20.0
15,2.0,0.07253886010362694,193.0,14.0
16,49.0,0.14893617021276595,94.0,14.0
17,11.0,0.23387096774193547,124.0,29.0
18,32.0,0.03333333333333333,30.0,1.0
19,62.0,0.27586206896551724,29.0,8.0
20,30.0,0.08333333333333333,36.0,3.0
21,8.0,0.08333333333333333,132.0,11.0
22,0.0,0.064,125.0,8.0
23,64.0,0.034482758620689655,29.0,1.0
24,37.0,0.11627906976744186,86.0,10.0
25,58.0,0.12177121771217712,271.0,33.0
26,3.0,0.21238938053097345,113.0,24.0
27,9.0,0.12307692307692308,65.0,8.0
28,10.0,0.028169014084507043,71.0,2.0
29,4.0,0.3076923076923077,13.0,4.0
30,43.0,0.4444444444444444,27.0,12.0
31,23.0,0.03571428571428571,56.0,2.0
32,52.0,0.06976744186046512,43.0,3.0
33,7.0,0.09090909090909091,55.0,5.0
34,70.0,0.0,23.0,0.0
