Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	7	0	(0, 7)	2.3333333333333335	0.0	4.041451884327381	('kdgr', 'gntk')	False												kdgr	gntk	11	3	1	2	19	0.4392908401887698	0.3900928792569659
2	2	4	(2, 4)	2.6666666666666665	2.0	1.1547005383792515	('kdgr', 'idnt')	False												kdgr	idnt	11	3	1	2	19	0.4392908401887698	0.3900928792569659
5	5	5	(5, 5)	5.0	5.0	0.0	('kdgr', 'idnr')	False												kdgr	idnr	11	3	1	2	19	0.4392908401887698	0.3900928792569659
10	4	7	(4, 10)	7.0	7.0	3.0	('idnr', 'idnk')	True	1880.0	('idnr', 'idnk')		[(0, 0.095344556913733683, 0.2805626672145709), (10, 0.047883457582415009, 0.71637343600702619), (20, 0.22139411568654901, 0.09791091226379324), (30, 0.14730874683266465, 0.22023091834315309), (60, 0.34974245215891181, 0.046025289394630339), (90, 0.091583640560575025, 0.73586946686247456)]	['+']	idnr	idnk	idnr	62.0	idnk	62.0	idnr	idnk	11	3	1	2	19	0.4392908401887698	0.3900928792569659
1	13	8	(1, 13)	7.333333333333333	8.0	6.027713773341708	('idnr', 'idnt')	True	1882.0	('idnr', 'idnt')	0.0	[(0, 0.37462251519601492, 1.1277996030004121e-05), (10, 0.047014383977413636, 0.7213100552909304), (20, 0.063931149743672061, 0.63659844328476733), (30, 0.21282381690362406, 0.074760697922536215), (60, 0.51730220275201655, 0.0020503085348958306), (90, 0.51963703858176891, 0.039111262844066887)]	['+']	idnr	idnt	idnr	62.0	idnt	62.0	idnr	idnt	11	3	1	2	19	0.4392908401887698	0.3900928792569659
14	1	12	(1, 14)	9.0	12.0	7.0	('idnr', 'eda')	False												idnr	eda	11	3	1	2	19	0.4392908401887698	0.3900928792569659
4	6	18	(4, 18)	9.333333333333334	6.0	7.571877794400365	('idnr', 'gntk')	True	1877.0	('idnr', 'gntk')		[(0, 0.17705042867208795, 0.043890210503357036), (10, 0.065337615109545791, 0.61990348947783003), (20, -0.038842137223093876, 0.77421715634872079), (30, -0.0011799730251483478, 0.99220786517985282), (60, 0.11081764897072566, 0.53924940730123416), (90, 0.02009834836175305, 0.94110682680074564)]	['-']	idnr	gntk	idnr	62.0	gntk	62.0	idnr	gntk	11	3	1	2	19	0.4392908401887698	0.3900928792569659
6	15	9	(6, 15)	10.0	9.0	4.58257569495584	('gntr', 'gntu')	True	1842.0	('gntr', 'gntu')	10.0	[(0, 0.21899803841588344, 0.012303731791487549), (10, 0.58528134360362138, 9.0359174576179659e-07), (20, 0.47677259186692833, 0.00017727484643620276), (30, 0.18849139600678935, 0.11543842402598699), (60, -0.24184826096911616, 0.17510792012493739), (90, -0.70512550608441671, 0.0022815341407513767)]	['-']	gntr	gntu	gntr	62.0	gntu	62.0	gntr	gntu	11	3	1	2	19	0.4392908401887698	0.3900928792569659
8	9	16	(8, 16)	11.0	9.0	4.358898943540674	('kdgr', 'gntt')	False												kdgr	gntt	11	3	1	2	19	0.4392908401887698	0.3900928792569659
11	20	2	(2, 20)	11.0	11.0	9.0	('kdgr', 'gntx')	False												kdgr	gntx	11	3	1	2	19	0.4392908401887698	0.3900928792569659
12	23	10	(10, 23)	15.0	12.0	7.0	('kdgr', 'gntr')	False												kdgr	gntr	11	3	1	2	19	0.4392908401887698	0.3900928792569659
27	17	3	(3, 27)	15.666666666666666	17.0	12.055427546683415	('idnr', 'gntr')	False												idnr	gntr	11	3	1	2	19	0.4392908401887698	0.3900928792569659
20	14	13	(13, 20)	15.666666666666666	14.0	3.7859388972001824	('kdgr', 'eda')	True	1911.0	('kdgr', 'eda')		[(0, 0.34938051689491273, 4.6166014996399425e-05), (10, 0.19422699921987169, 0.13700709393835409), (20, 0.076771499244633334, 0.5702999506246389), (30, 0.10044136224971489, 0.40460675361311493), (60, -0.18460377586744542, 0.30373772575689117), (90, -0.31157878898426566, 0.24009537171355003)]	['-']	kdgr	eda	kdgr	62.0	eda	62.0	kdgr	eda	11	3	1	2	19	0.4392908401887698	0.3900928792569659
