Dionesus-rank	RandomForest-rank	Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
11	6	4	(4, 11)	7.0	6.0	3.605551275463989	('torr', 'eda')	False												torr	eda	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
13	4	20	(4, 20)	12.333333333333334	13.0	8.020806277010642	('csgd', 'csge')	True	1006.0	('csgd', 'csge')	0.0	[(0, 0.82907500223475394, 4.0715580138450015e-34), (10, 0.74998751622193416, 5.330138124536433e-12), (20, 0.61111354134651463, 4.4440251921069438e-07), (30, 0.54218586074951503, 1.0414604417178664e-06), (60, 0.089496830119876775, 0.62039372779467772), (90, 0.041095213643067507, 0.87988950125576704)]	['+']	csgd	csge	csgd	28.0	csge	28.0	csgd	csge	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
22	13	8	(8, 22)	14.333333333333334	13.0	7.094598884597588	('gntr', 'gada')	False												gntr	gada	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
19	30	7	(7, 30)	18.666666666666668	19.0	11.50362261782493	('torr', 'edd')	False												torr	edd	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
9	25	23	(9, 25)	19.0	23.0	8.717797887081348	('gntr', 'hdeb')	False												gntr	hdeb	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
12	2	51	(2, 51)	21.666666666666668	12.0	25.890796305508513	('csgd', 'csgf')	True	1007.0	('csgd', 'csgf')	0.0	[(0, 0.86280377907062455, 9.7955278829379099e-40), (10, 0.80455172793326712, 9.6288175980995684e-15), (20, 0.69436136841407814, 2.0953167377636305e-09), (30, 0.60994245933019842, 1.6396887739448005e-08), (60, 0.25381911462000384, 0.1540638780336091), (90, -0.19035701494017768, 0.48008791616591595)]	['+']	csgd	csgf	csgd	28.0	csgf	28.0	csgd	csgf	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
37	23	6	(6, 37)	22.0	23.0	15.524174696260024	('gntr', 'yhid')	False												gntr	yhid	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
3	24	42	(3, 42)	23.0	24.0	19.519221295943137	('torr', 'tora')	True	2767.0	('torr', 'tora')	10.0	[(0, 0.44806593571601944, 9.01483380560248e-08), (10, 0.73147962471571326, 3.1806231993285692e-11), (20, 0.54292609746458687, 1.2808175121592434e-05), (30, 0.25637402851934005, 0.030919163191101766), (60, 0.10491422804299678, 0.56120330161571463), (90, 0.186072511036245, 0.49020766798257986)]	['+']	torr	tora	torr	11.0	tora	11.0	torr	tora	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
20	43	9	(9, 43)	24.0	20.0	17.349351572897472	('gntr', 'gntk')	True	1840.0	('gntr', 'gntk')	0.0	[(0, 0.44072466581726155, 1.5404081546438051e-07), (10, 0.49469100365462243, 5.8761158548401074e-05), (20, 0.32609619200809387, 0.013304710194753922), (30, -0.097641765167647776, 0.41789493346621254), (60, -0.16315880529460733, 0.36428177141809326), (90, -0.1503665908228721, 0.57831108839224499)]	['-']	gntr	gntk	gntr	62.0	gntk	62.0	gntr	gntk	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
32	9	34	(9, 34)	25.0	32.0	13.892443989449804	('torr', 'csga')	False												torr	csga	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
