Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
4	16	6	(4, 16)	8.666666666666666	6.0	6.429100507328637	('fnr', 'inaa')	False												fnr	inaa	0	5	0	0	125	0.12444175533328364	0.4722455726092105
3	29	2	(2, 29)	11.333333333333334	3.0	15.307950004273378	('fur', 'flda')	False												fur	flda	0	5	0	0	125	0.12444175533328364	0.4722455726092105
12	0	29	(0, 29)	13.666666666666666	12.0	14.571661996262929	('fur', 'oxyr')	False												fur	oxyr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
16	14	15	(14, 16)	15.0	15.0	1.0	('cpxr', 'soda')	False												cpxr	soda	0	5	0	0	125	0.12444175533328364	0.4722455726092105
23	4	38	(4, 38)	21.666666666666668	23.0	17.03917055884274	('fnr', 'pqib')	False												fnr	pqib	0	5	0	0	125	0.12444175533328364	0.4722455726092105
25	12	30	(12, 30)	22.333333333333332	25.0	9.291573243177568	('crp', 'fumc')	True	616.0	('crp', 'fumc')	0.0	[(0, 0.61196528873498057, 1.032350444757777e-14), (10, 0.52313848166715116, 1.7991249420766353e-05), (20, 0.4040806221357528, 0.0018254221847582028), (30, 0.3567041958055861, 0.0022625334007278204), (60, 0.20143427035349776, 0.26096887645334432), (90, -0.29243852772570061, 0.27171720139573363)]	['+']	crp	fumc	crp	1.0	fumc	0.0	crp	fumc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
0	74	1	(0, 74)	25.0	1.0	42.43819034784589	('marr', 'mara')	True	150.0	('marr', 'mara')	0.0	[(0, 0.88915141548128107, 2.7633347244297016e-45), (10, 0.78326658147445338, 1.4031915551634297e-13), (20, 0.64319945645953669, 6.8297680169379932e-08), (30, 0.35229812035225566, 0.002586257488982481), (60, 0.31812452333110974, 0.071196836278966946), (90, 0.69567098732078758, 0.0027665919057284411)]	['-']	marr	mara	marr	27.0	mara	0.0	marr	mara	0	5	0	0	125	0.12444175533328364	0.4722455726092105
13	26	40	(13, 40)	26.333333333333332	26.0	13.503086067019394	('crp', 'soxs')	False												crp	soxs	0	5	0	0	125	0.12444175533328364	0.4722455726092105
48	9	23	(9, 48)	26.666666666666668	23.0	19.75685535031659	('fnr', 'pqia')	False												fnr	pqia	0	5	0	0	125	0.12444175533328364	0.4722455726092105
6	28	47	(6, 47)	27.0	28.0	20.518284528683193	('soxr', 'ompn')	False												soxr	ompn	0	5	0	0	125	0.12444175533328364	0.4722455726092105
